VK,HT,FT
16,108,-1
84,128,151
72,9,207
69,104,48
32,133,141
70,104,109
79,195,189
68,83,282
32,135,106
65,99,253
84,107,515
32,177,124
16,147,183
71,71,160
79,111,72
76,227,134
68,84,48
69,112,224
78,120,88
32,111,106
16,694,187
83,96,137
84,145,192
65,124,1256
82,145,51
32,96,269
73,91,184
32,104,140
8,372,241
83,86,116
32,118,230
74,71,228
85,73,162
83,137,65
84,73,65
32,80,41
65,77,237
83,95,104
32,67,103
89,74,155
79,133,112
85,125,119
32,138,121
87,125,166
79,114,175
85,84,176
76,81,288
68,70,76
32,178,90
73,175,353
77,109,108
65,49,119
71,134,280
73,87,123
78,144,48
69,96,268
32,88,119
87,68,268
72,135,112
69,143,116
78,182,95
32,90,117
89,108,208
79,103,81
85,82,43
32,108,109
68,154,278
82,159,184
73,140,113
86,120,179
69,71,92
32,123,188
85,86,783
80,63,163
32,109,129
65,89,163
78,128,130
68,95,92
32,96,53
83,106,385
69,111,128
32,95,53
84,96,105
72,160,129
69,138,111
32,111,104
80,41,246
76,134,128
65,140,80
67,121,211
69,144,179
190,144,956
32,117,128
16,219,57
84,105,66
72,95,204
69,108,67
89,101,134
32,125,94
83,209,898
69,153,185
82,95,278
86,11,373
69,78,178
32,104,359
66,78,112
82,72,184
69,72,164
65,20,71
70,86,202
8,87,658
75,112,629
70,127,76
65,76,102
83,105,233
84,96,91
188,112,150
32,225,0
83,99,252
65,150,223
78,65,159
68,79,144
73,117,131
8,45,584
87,124,178
73,55,234
67,111,136
72,73,219
69,57,333
83,99,338
188,101,38
32,106,65
66,105,124
85,130,97
82,64,109
71,144,64
69,127,162
82,79,64
83,91,232
188,89,138
32,87,124
70,103,50
82,110,160
73,104,114
69,54,221
83,154,554
32,118,227
65,140,86
78,105,38
68,98,74
32,30,126
69,87,111
86,70,284
69,150,129
78,105,198
32,158,109
72,79,247
65,99,65
86,109,80
69,94,117
32,105,175
83,182,333
79,76,0
77,137,75
69,83,62
32,152,105
83,134,903
8,391,363
68,79,84
73,72,155
78,143,48
69,112,241
82,156,91
32,140,112
80,184,8
76,108,172
65,19,64
84,177,124
69,71,126
83,104,167
190,17,530
32,94,211
16,306,281
84,138,177
72,118,95
69,105,68
32,95,75
66,109,194
85,106,15
82,107,53
71,72,215
69,125,144
82,106,59
83,138,219
32,159,133
73,218,445
78,92,103
32,118,98
77,135,290
89,75,77
32,98,99
79,49,49
80,92,176
73,70,216
78,100,213
73,125,221
79,144,121
78,87,152
32,136,136
65,47,197
82,110,218
69,129,80
32,69,167
84,90,38
72,139,107
69,111,72
32,72,223
66,102,136
69,222,240
83,190,107
84,102,95
16,135,176
49,148,138
32,107,48
73,120,301
32,104,147
76,163,557
79,88,154
86,116,77
69,138,68
32,90,49
84,88,126
72,137,103
69,125,48
73,114,102
82,143,131
32,145,180
16,232,136
77,71,21
85,66,160
83,131,121
72,104,210
82,135,531
79,130,94
77,112,217
32,66,176
16,144,73
77,108,280
65,218,150
77,95,231
66,70,246
79,103,119
32,130,243
16,68,11
66,112,64
85,149,55
71,114,77
69,189,118
82,177,55
16,745,224
49,100,97
32,107,383
8,167,987
82,137,116
8,241,615
82,151,762
71,142,8
82,160,236
69,174,175
8,263,312
69,138,257
82,105,86
16,239,89
49,86,120
32,64,49
73,120,119
84,88,104
222,73,233
83,57,158
32,71,103
65,144,85
87,77,171
69,121,60
79,125,93
77,152,52
83,97,1107
8,511,1198
83,130,455
79,84,103
77,127,260
69,115,90
188,129,150
32,77,210
73,94,260
84,66,152
32,90,80
72,94,144
65,115,89
83,133,196
32,93,127
71,129,504
82,160,68
73,68,84
76,272,119
69,73,562
68,77,178
32,111,65
79,76,80
78,109,80
73,106,123
79,116,65
78,101,80
83,96,86
32,102,900
65,234,111
78,149,102
68,87,74
32,144,138
77,89,425
85,119,208
83,99,131
72,99,104
82,66,574
79,96,70
77,112,94
32,61,170
8,186,225
83,91,36
32,113,117
65,94,176
83,126,278
32,134,100
87,140,176
69,95,91
76,225,225
32,80,250
65,85,78
83,81,202
32,83,136
83,105,433
8,83,361
83,143,140
32,100,95
79,75,71
77,314,207
83,70,362
8,1500,674
83,108,64
79,64,304
77,130,125
69,104,98
32,119,188
89,122,8
85,72,63
77,171,234
89,123,56
32,68,99
65,70,129
67,247,120
8,400,44
86,99,57
79,82,243
67,83,112
65,100,339
8,883,301
68,94,73
79,64,85
190,130,231
32,177,118
16,146,984
84,94,80
72,106,129
69,13,3
32,72,72
70,104,203
82,133,228
73,112,77
69,136,160
83,122,184
32,156,200
65,127,29
82,19,131
69,75,241
32,128,72
65,113,168
76,105,110
83,114,115
79,113,100
32,72,109
83,103,266
79,192,128
77,89,168
69,134,173
32,162,80
79,163,73
70,106,65
32,61,98
84,171,79
72,72,105
69,87,122
32,123,38
66,102,145
69,108,79
83,151,131
84,159,184
32,112,127
65,132,100
82,203,142
79,100,4
85,80,48
78,70,177
68,75,39
190,60,166
16,381,165
32,75,68
84,72,64
72,103,74
69,79,46
89,87,143
32,80,126
65,105,535
82,140,163
69,141,106
32,26,65
78,101,95
73,113,113
67,78,77
69,137,75
32,93,109
84,112,147
72,134,82
73,99,123
67,111,339
75,71,104
32,152,192
83,88,167
84,66,122
69,125,176
65,118,167
75,96,179
32,135,161
67,128,155
85,86,135
84,78,144
32,127,63
70,104,93
82,144,162
73,88,122
69,71,84
83,121,150
32,113,38
65,104,109
78,36,116
68,124,96
32,112,112
87,120,150
72,101,81
69,164,124
78,142,107
32,125,9
89,95,262
79,79,110
85,70,83
32,185,272
68,138,76
73,94,71
80,110,196
32,160,295
84,108,19
72,128,197
69,100,91
77,104,140
32,29,140
73,115,143
78,112,120
32,140,178
83,138,433
79,64,99
77,131,151
69,93,21
32,159,77
84,98,676
72,117,118
8,783,350
79,97,446
70,98,160
32,98,79
84,153,116
72,83,111
69,70,53
73,84,112
82,75,109
32,86,115
72,80,178
79,146,44
77,151,200
69,123,116
77,103,128
65,120,100
68,130,196
69,106,185
32,81,85
82,59,483
65,113,182
67,107,101
78,63,64
8,72,586
78,103,333
67,188,104
72,77,117
32,88,219
68,128,522
82,77,264
69,151,351
83,193,128
73,59,126
78,144,56
71,84,70
32,90,168
89,72,448
79,109,116
85,113,138
222,90,764
76,72,143
32,93,286
84,90,146
72,104,105
73,190,117
78,102,157
75,85,72
32,106,8
89,104,144
79,112,132
85,81,63
222,62,140
86,73,86
69,13,138
32,117,1
68,32,881
73,87,123
69,23,93
68,87,171
32,94,75
65,157,332
78,120,109
68,73,77
32,104,57
71,94,145
79,31,245
78,53,115
69,112,88
32,96,44
84,119,37
79,96,108
32,72,190
72,147,316
69,137,62
65,176,286
86,91,138
69,79,97
78,132,268
190,117,263
32,38,96
16,234,173
65,44,94
76,214,241
83,102,118
79,108,64
188,68,341
32,67,350
73,82,182
70,120,80
32,117,150
89,71,852
79,104,129
85,87,88
82,135,60
69,144,94
8,17,312
222,62,61
82,112,48
69,177,526
32,106,98
70,97,182
69,81,207
76,143,265
73,115,143
78,98,66
71,79,110
32,145,238
82,166,99
69,81,48
65,142,176
76,185,100
89,126,353
32,95,103
71,35,654
76,105,96
85,132,97
84,145,70
73,124,221
78,96,151
79,132,96
85,107,69
83,144,135
188,34,306
32,110,134
79,122,244
82,87,315
68,92,854
69,115,208
82,79,80
32,94,392
84,64,132
72,81,113
69,115,124
32,101,138
67,13,151
72,125,107
73,105,113
76,230,254
73,80,434
32,96,280
67,132,180
72,119,76
69,81,124
83,80,351
69,86,214
188,46,333
32,120,109
80,56,295
65,137,127
83,120,73
84,80,204
82,87,234
65,107,130
77,120,283
73,54,126
32,81,90
70,96,63
82,122,187
73,90,79
69,97,89
83,79,160
32,169,124
65,133,94
78,105,111
68,96,167
32,98,111
84,110,204
72,79,93
65,120,68
78,109,52
75,128,215
32,128,105
77,71,160
69,153,120
32,111,80
76,127,159
65,125,117
84,99,123
69,126,87
82,113,94
16,152,266
49,87,110
