VK,HT,FT
16,363,-1
84,112,225
72,117,176
69,99,114
32,107,169
16,222,189
66,131,150
85,111,260
82,91,138
71,73,239
69,106,160
82,88,115
32,87,142
16,348,133
70,103,272
65,123,150
67,119,140
84,105,198
79,113,118
82,84,121
89,98,160
32,109,168
8,491,593
188,116,395
32,100,146
73,108,247
78,110,143
32,103,130
16,263,175
72,94,161
79,118,156
76,142,205
73,103,168
83,108,141
84,83,213
69,114,153
82,109,109
188,97,218
32,165,127
73,108,247
83,103,130
32,105,127
65,115,203
32,100,169
81,116,309
85,123,155
65,124,130
78,99,133
73,121,163
8,291,464
73,96,444
78,100,149
84,91,172
173,111,529
77,107,206
8,168,526
32,108,578
77,101,252
79,119,144
77,130,144
173,111,529
65,120,182
78,99,133
68,102,112
173,111,529
80,113,231
79,114,199
80,118,202
32,96,166
82,111,269
69,103,119
83,123,205
84,100,223
65,122,202
85,92,218
82,100,172
65,123,183
78,94,160
84,97,145
32,94,240
67,102,299
85,88,149
84,97,145
69,150,155
84,117,194
72,97,87
65,119,111
84,96,111
32,97,118
72,99,205
65,115,149
83,114,133
32,102,109
66,90,298
69,159,128
78,94,332
32,110,135
8,506,583
32,101,632
8,486,564
69,97,461
8,373,498
81,109,296
85,109,156
73,130,174
67,131,212
75,141,212
76,129,206
89,99,236
32,116,166
66,94,269
69,126,203
67,116,191
65,137,142
77,92,144
69,95,129
32,85,99
80,104,227
79,120,172
80,118,202
85,100,162
76,124,192
65,117,129
82,100,210
32,109,231
65,125,176
70,119,254
84,92,214
69,129,103
82,95,121
32,100,108
73,97,167
84,94,134
32,101,124
79,111,208
80,114,255
69,116,148
78,89,195
69,112,194
68,109,284
32,118,149
79,119,173
8,313,451
77,90,521
79,113,177
82,115,135
69,110,111
32,107,115
84,116,235
72,109,110
65,120,146
78,108,155
32,106,187
8,506,583
79,120,544
82,90,129
69,121,105
32,109,145
84,116,235
72,109,110
65,120,146
78,108,155
32,106,187
50,987,556
32,109,171
89,93,234
69,97,115
65,137,132
82,96,140
83,111,218
32,109,165
65,126,139
71,97,143
79,162,149
190,118,332
32,119,236
16,293,323
73,102,232
84,105,201
222,91,247
83,100,124
32,97,116
65,106,153
67,167,194
84,105,198
85,99,191
65,101,167
76,170,126
89,103,288
32,109,132
65,121,209
32,113,107
16,238,440
222,108,132
83,102,143
72,95,150
65,117,107
67,119,199
75,85,132
16,297,312
222,108,132
32,111,235
84,103,197
72,95,106
65,122,104
84,97,112
32,98,118
83,87,233
73,101,127
84,104,222
83,110,232
32,120,118
78,104,222
69,129,140
88,115,317
84,104,244
32,106,151
84,100,185
79,133,95
32,105,164
84,105,197
72,96,120
69,104,112
32,113,108
82,119,235
65,120,166
73,102,171
76,175,192
82,107,167
79,111,134
65,130,138
68,118,196
32,103,162
84,110,167
82,111,178
65,122,146
67,119,199
75,85,132
83,100,187
190,107,306
32,140,232
16,289,320
80,92,149
69,110,174
79,110,128
80,113,117
76,108,150
69,98,99
32,100,107
67,99,304
65,119,116
78,102,118
32,108,177
69,90,325
65,132,143
84,105,167
32,120,154
79,111,208
78,114,126
32,103,123
84,113,99
72,108,92
69,111,104
32,108,110
8,580,751
65,115,608
84,94,218
8,686,538
32,108,578
84,103,199
72,94,107
69,105,106
32,106,123
84,98,360
65,130,164
66,103,255
76,117,139
69,121,143
83,145,205
32,101,228
79,121,210
82,94,132
32,99,128
66,90,226
82,121,185
8,343,494
80,104,486
73,109,193
67,108,138
75,97,167
32,120,241
85,99,266
80,115,152
32,124,193
84,118,182
72,95,106
69,105,106
73,98,154
82,93,129
32,135,150
70,86,254
79,170,112
68,103,284
32,107,141
84,106,207
79,110,96
32,109,126
84,105,197
65,154,175
75,101,123
69,107,108
8,373,498
66,89,439
82,117,201
73,124,167
78,123,130
71,105,134
32,106,160
72,141,281
79,121,132
77,105,182
69,107,130
32,104,176
79,119,167
82,92,107
32,99,128
78,125,279
8,365,460
73,99,477
78,100,149
32,103,140
84,97,165
72,92,111
69,101,94
73,98,154
82,93,129
32,135,150
67,106,283
65,128,149
82,96,205
83,111,218
32,109,165
73,112,191
78,115,140
32,122,124
84,97,144
72,91,109
69,101,94
32,108,110
80,104,241
65,112,113
82,114,140
75,102,172
73,102,203
78,112,123
71,92,109
32,106,130
76,100,197
79,129,179
84,100,147
190,116,278
32,134,193
16,333,351
77,99,197
79,113,177
83,119,134
84,103,167
32,110,125
80,108,267
69,102,112
79,107,134
80,116,119
76,104,154
69,98,99
32,100,107
8,584,582
32,101,632
71,97,304
69,127,151
8,373,498
79,120,544
82,90,129
68,92,229
69,124,183
82,115,114
32,114,151
84,94,201
65,132,158
75,101,123
69,107,108
32,104,173
79,107,191
85,111,111
8,552,440
173,111,529
79,121,161
85,106,123
84,100,134
190,117,181
32,134,193
8,561,673
13,296,160
16,297,312
84,108,168
72,101,168
69,104,115
32,109,137
77,116,160
69,105,112
78,88,125
85,99,198
32,107,244
73,105,214
83,103,130
32,105,127
83,101,289
73,101,127
77,111,163
80,110,201
76,106,234
69,106,179
32,99,132
8,584,582
16,337,634
84,105,159
72,90,167
69,110,93
32,107,104
82,122,277
69,118,113
83,124,207
84,99,250
65,122,202
85,92,218
82,100,172
78,84,164
84,97,153
8,351,462
78,107,545
84,97,153
32,116,191
79,143,183
70,98,131
8,223,392
69,108,419
82,109,112
65,115,195
85,93,195
78,104,208
84,98,131
32,116,191
8,580,532
82,109,360
65,119,193
85,93,195
78,104,208
84,98,131
8,351,462
84,98,424
82,108,184
65,122,146
85,93,195
78,104,208
8,365,460
65,120,417
85,85,215
82,107,191
65,118,292
78,117,136
84,97,145
32,94,240
79,143,183
70,98,131
69,109,307
82,106,96
83,112,183
32,110,167
65,130,142
32,101,141
83,102,242
76,103,145
69,106,154
67,111,245
84,94,225
73,109,114
8,291,464
69,108,419
76,143,170
69,97,228
67,111,245
84,94,225
73,109,114
79,121,108
78,122,146
32,111,169
79,122,261
70,108,129
32,104,128
72,99,231
65,116,99
77,97,156
66,108,291
85,97,179
82,91,138
8,343,494
71,108,428
79,162,149
68,104,285
32,111,123
83,105,225
69,163,175
76,91,132
69,97,228
67,111,245
84,94,225
73,109,114
79,121,108
78,122,146
32,111,169
79,122,261
70,108,129
32,104,128
72,99,231
65,116,99
77,97,156
66,108,291
85,97,179
82,91,138
69,109,112
8,402,552
71,108,428
69,117,153
82,90,129
83,89,178
188,101,281
32,106,165
8,529,492
13,296,790
16,297,312
84,108,168
72,101,168
69,104,115
32,109,137
82,122,277
69,118,113
83,124,207
84,99,250
65,122,202
85,92,218
78,104,208
84,98,131
8,351,462
85,94,478
82,101,155
65,121,197
78,96,153
84,96,145
32,94,240
73,105,189
83,104,123
32,100,127
78,118,297
79,110,130
84,95,129
69,115,161
68,100,215
32,96,156
70,96,238
79,112,127
82,87,159
32,102,105
73,94,147
84,94,134
83,98,212
32,127,94
68,96,312
69,103,174
76,112,140
73,96,163
67,114,174
73,136,145
79,148,152
85,113,153
83,100,126
32,159,291
72,93,274
65,120,106
77,97,156
66,108,291
85,97,179
82,91,138
71,73,239
69,106,160
82,88,115
83,89,178
32,110,167
84,106,205
72,100,110
65,125,72
84,97,110
32,98,118
65,123,183
82,124,160
69,114,100
32,109,147
76,94,316
79,156,168
65,130,138
68,118,196
8,416,432
83,115,365
188,101,281
32,106,165
87,116,184
72,93,119
73,108,112
67,105,113
72,99,100
32,105,132
65,123,203
82,124,160
69,114,100
32,109,147
76,94,316
79,156,168
65,130,138
68,118,196
69,98,172
68,84,162
32,94,222
87,109,279
73,98,109
84,108,150
72,101,104
32,101,162
75,108,221
8,164,568
84,98,411
72,103,112
69,101,99
32,113,113
69,111,286
88,92,334
84,104,244
82,108,184
65,122,146
83,123,166
18,109,452
16,297,312
173,111,529
76,130,188
69,106,154
84,119,268
85,99,191
67,115,181
69,107,177
188,109,249
32,94,129
84,97,171
79,116,105
84,100,147
77,104,282
65,90,130
8,342,468
77,90,521
65,104,157
84,107,159
79,113,118
32,108,142
83,102,333
76,103,145
73,103,168
67,109,168
69,105,167
83,113,161
188,109,315
32,102,196
79,103,287
78,108,142
73,197,166
79,133,182
78,120,107
32,108,161
83,109,285
76,103,145
73,103,168
67,109,168
69,105,167
83,113,161
188,109,315
32,102,196
65,105,194
78,92,107
68,94,92
32,97,103
80,101,300
73,106,190
67,112,141
8,320,450
80,104,486
73,109,193
67,108,138
75,97,167
76,129,206
69,106,154
83,145,205
188,109,315
32,102,196
65,105,194
78,92,107
68,94,92
32,97,103
65,115,222
32,105,176
83,102,242
85,95,150
65,119,136
78,99,133
67,105,166
8,342,506
65,120,417
85,85,215
67,116,185
69,111,185
32,111,162
65,128,182
76,123,130
8,297,451
80,104,486
73,109,193
67,108,138
75,97,167
76,129,206
69,106,154
83,145,205
188,109,315
32,102,196
65,105,194
78,92,107
68,94,92
32,97,103
65,115,222
32,105,176
83,102,242
80,97,120
82,99,144
69,102,119
65,125,152
68,118,150
32,112,184
84,110,167
72,96,94
65,122,104
84,97,112
32,98,118
73,108,247
83,101,94
32,96,181
79,112,173
85,99,122
84,99,135
32,87,155
79,76,119
70,98,131
32,94,105
84,99,271
72,90,108
73,111,136
83,104,106
32,105,117
87,101,277
79,106,83
82,108,123
76,99,189
68,94,128
190,118,264
32,144,224
16,304,339
84,105,197
72,94,138
69,104,117
32,111,127
66,92,268
69,106,151
8,373,498
16,310,581
84,105,159
87,109,215
79,144,135
32,101,124
79,183,177
70,108,129
32,104,128
84,101,174
72,90,108
69,104,114
73,98,154
82,93,129
32,135,150
8,392,511
16,337,634
80,91,162
82,99,144
79,94,130
66,101,270
65,118,150
66,99,209
76,115,162
89,99,236
32,116,166
84,100,260
72,91,104
69,113,110
73,98,154
82,93,129
32,135,150
77,90,214
79,119,144
83,122,135
84,106,168
32,111,127
8,580,532
66,89,439
69,135,167
83,123,179
84,106,154
32,110,133
72,99,205
65,115,149
77,97,156
8,168,526
84,98,411
79,103,94
80,124,224
32,98,167
72,99,231
65,116,99
77,97,156
66,108,291
85,97,179
82,91,138
8,343,494
66,89,439
85,97,179
82,91,138
71,73,239
69,106,160
82,88,115
83,89,178
32,110,167
65,130,142
82,135,145
69,125,82
32,117,149
84,127,369
72,112,114
69,106,71
32,108,111
74,87,294
65,91,154
76,153,145
65,135,199
80,182,168
69,105,392
78,94,190
79,115,156
32,105,176
66,85,204
85,96,167
8,385,418
32,108,578
65,110,147
78,95,112
68,96,99
32,97,97
84,107,175
72,97,92
69,106,103
32,105,127
77,106,257
85,96,199
83,101,121
72,91,124
82,85,180
79,111,134
8,239,416
84,98,411
72,103,112
69,101,99
32,113,113
8,522,623
16,337,634
84,105,159
72,90,167
69,110,93
32,107,104
74,87,294
65,91,154
76,153,145
65,135,199
80,182,168
69,105,392
78,94,190
79,115,156
32,105,176
65,117,260
78,98,121
68,101,107
32,108,119
77,113,331
85,96,199
83,101,121
72,91,124
82,85,180
79,111,134
77,102,148
32,95,145
