VK,HT,FT
16,435,-1
79,96,197
67,161,534
72,107,94
79,107,179
222,176,934
83,276,267
32,141,156
16,220,225
66,880,453
8,122,337
16,214,397
82,98,232
8,1500,583
82,179,229
69,96,163
83,142,260
65,180,195
8,829,133
84,102,159
65,135,196
82,221,99
85,107,854
65,138,187
78,144,130
8,1500,879
85,82,160
82,146,162
65,151,168
78,141,175
84,93,981
32,100,190
83,248,79
73,144,119
32,133,160
187,948,422
8,142,501
73,103,172
83,175,154
32,176,255
65,95,259
8,103,505
71,47,12
8,1267,501
65,149,68
32,141,405
71,677,733
82,126,140
69,95,129
65,205,165
84,147,119
32,137,117
80,283,29
76,152,62
65,179,184
67,567,545
69,95,130
32,136,162
70,916,624
79,142,328
82,97,225
32,129,123
65,135,172
32,143,423
76,167,259
65,130,195
84,145,152
69,131,160
32,113,117
68,194,188
73,107,413
78,144,102
69,96,122
82,99,201
32,138,311
8,179,559
32,99,406
79,142,156
82,142,159
32,142,61
65,179,165
32,141,207
78,95,174
73,103,203
71,643,242
72,107,182
8,100,430
70,721,435
79,140,367
82,103,193
8,84,341
70,351,777
79,142,186
82,101,72
32,142,154
65,182,166
32,139,174
78,108,170
73,135,203
71,515,243
72,94,121
189,466,532
79,137,487
85,105,151
84,144,1141
32,137,184
70,40,672
85,90,143
8,865,555
84,142,128
32,142,333
79,102,151
85,97,121
84,139,150
32,139,156
70,720,3
79,103,210
82,103,209
32,142,124
74,891,763
85,68,121
83,233,278
84,138,1041
32,139,300
84,142,217
72,110,47
69,141,164
32,141,161
84,140,591
87,481,247
79,141,297
32,128,269
79,135,214
70,126,338
32,210,117
89,671,679
79,142,333
85,105,121
190,818,441
32,137,477
16,182,233
73,132,60
84,169,220
32,140,212
79,137,126
70,900,322
69,132,158
82,139,159
69,131,215
187,971,679
83,144,82
8,101,562
83,142,286
32,139,1163
65,142,186
78,141,199
32,141,197
69,102,213
88,678,154
84,107,167
69,34,160
78,73,156
83,143,161
73,107,68
86,426,296
69,102,149
32,130,1041
65,146,194
82,122,114
65,181,167
