VK,HT,FT
16,204,-1
82,142,629
69,176,95
68,7,224
32,150,131
16,369,97
82,175,144
79,136,153
66,97,293
73,73,111
78,57,177
32,127,105
73,128,105
83,161,50
32,59,90
77,96,80
89,87,203
32,129,361
71,78,121
79,143,217
32,64,72
84,102,149
79,143,48
32,93,75
66,16,174
85,119,61
82,184,127
71,86,73
69,153,120
82,192,129
32,96,148
80,139,122
76,87,162
65,142,144
67,87,186
69,88,198
190,108,145
32,126,79
16,153,152
78,71,80
79,89,96
32,110,37
77,91,135
65,142,96
84,128,131
69,136,78
82,139,120
32,93,87
87,135,159
72,96,160
65,232,127
84,142,154
32,58,165
77,111,282
79,120,153
68,80,124
32,105,146
16,215,150
73,90,8
222,256,153
77,94,120
32,87,82
73,152,112
78,110,152
32,142,105
16,159,12
73,154,70
32,126,144
72,81,143
65,227,74
86,111,244
69,200,151
32,105,973
78,134,600
79,120,177
32,34,80
80,78,169
82,192,143
79,182,217
66,104,127
76,7,182
69,41,145
77,58,210
32,93,112
70,159,248
73,86,168
78,106,185
68,120,84
73,95,102
78,168,143
71,103,58
32,111,89
65,80,81
32,118,104
66,97,174
85,94,94
82,119,141
71,78,73
69,111,192
82,186,90
32,64,48
84,118,73
79,114,87
32,116,81
77,10,120
69,159,119
84,135,187
32,87,127
77,116,324
89,104,247
32,134,125
78,127,113
69,145,111
68,102,537
83,271,118
32,131,128
70,128,66
82,129,127
79,209,73
77,73,121
32,110,150
84,102,135
72,103,106
69,94,126
73,111,23
82,150,159
32,93,82
77,53,218
69,328,127
78,81,112
85,111,184
190,87,186
32,56,106
16,153,116
69,161,120
86,111,65
69,168,151
78,80,78
32,175,105
79,136,96
78,160,100
32,88,79
68,128,80
65,159,113
89,86,190
83,135,118
32,64,184
16,226,192
73,106,66
222,368,177
77,104,990
32,159,89
79,138,119
78,138,145
76,73,98
89,149,225
32,98,239
70,176,62
69,145,120
76,325,439
73,128,73
78,112,143
83,118,119
32,81,118
8,248,457
71,71,121
32,110,89
76,59,160
73,71,334
75,104,118
69,154,119
32,112,104
65,117,280
32,94,122
83,112,127
65,114,110
76,71,119
65,88,319
68,36,129
32,50,152
16,183,159
73,133,49
32,95,130
75,102,379
78,155,184
79,192,126
87,134,173
32,96,153
73,147,96
78,52,184
32,96,85
65,119,162
68,161,129
86,79,368
65,176,74
78,81,88
67,104,97
69,127,231
32,128,116
82,158,64
69,175,260
71,87,2
65,142,185
82,184,80
68,158,105
76,189,136
69,136,90
83,302,136
32,56,123
79,88,104
70,183,166
32,122,152
87,135,200
72,110,105
65,193,74
84,168,119
32,94,121
16,3,177
73,123,73
32,117,158
79,185,77
82,128,158
68,130,179
69,147,192
82,144,110
32,93,126
16,167,127
73,86,89
222,788,70
76,72,959
32,136,279
66,105,131
69,88,112
32,128,150
72,95,201
65,158,76
80,85,121
89,96,278
32,151,95
87,134,9
73,128,111
84,96,132
72,105,160
32,124,88
77,134,201
89,88,253
32,115,106
77,111,176
69,163,121
65,175,104
76,63,230
190,69,145
32,152,144
16,369,118
77,154,167
89,87,239
32,126,113
72,79,104
85,89,185
83,222,89
66,77,136
65,114,200
78,129,155
68,118,89
32,81,126
65,150,160
78,83,120
68,129,79
32,105,152
16,216,87
73,124,79
32,140,138
76,168,150
73,128,105
75,81,454
69,91,121
32,136,82
84,158,73
79,147,111
32,110,96
69,122,76
83,205,193
67,95,152
65,159,757
80,142,113
69,104,135
32,127,112
84,103,129
72,109,112
69,141,274
82,146,135
69,157,23
32,113,28
70,135,48
79,118,126
82,111,72
32,128,87
68,136,139
65,178,317
84,143,120
69,167,185
32,165,113
78,91,159
73,248,126
71,88,223
72,112,112
84,134,104
190,87,145
32,145,105
16,153,294
84,112,112
72,78,76
69,135,41
32,95,112
68,118,134
82,190,136
73,83,89
78,85,151
75,119,192
32,127,160
83,119,234
80,64,166
69,166,135
67,145,204
73,126,96
65,141,208
76,135,28
83,271,163
32,68,142
65,142,177
82,72,57
69,175,117
32,105,145
71,119,121
82,135,128
69,106,96
65,164,365
84,167,154
32,93,165
65,95,235
78,78,75
68,168,80
32,99,152
87,184,330
69,302,81
32,137,106
75,103,186
78,111,80
79,118,119
87,146,120
32,85,141
87,135,79
69,302,86
32,129,111
67,148,174
65,160,103
78,79,120
32,93,233
65,129,280
76,69,119
87,95,122
65,184,718
89,109,101
83,112,94
32,106,136
70,153,111
73,111,221
78,111,143
68,80,88
32,105,152
65,127,170
32,103,104
85,151,216
78,94,224
73,88,66
81,970,565
85,132,216
69,111,119
32,103,224
78,138,974
69,112,127
87,178,105
32,72,82
65,95,176
68,114,156
85,90,123
76,327,234
84,128,120
32,130,103
66,105,144
69,181,216
86,98,246
69,156,176
82,184,144
65,120,147
71,78,89
69,120,151
32,109,104
79,120,104
80,72,121
84,159,120
73,248,110
79,79,136
78,133,128
32,127,207
69,112,63
86,79,84
69,76,186
82,184,87
89,118,154
32,121,95
77,104,255
79,26,96
78,94,103
84,127,161
72,105,135
190,88,145
32,56,103
16,159,158
73,128,81
84,96,115
222,567,772
8,70,432
222,530,382
83,135,144
32,115,114
76,145,429
73,105,216
75,72,115
69,102,81
32,111,82
65,80,144
78,104,113
32,113,106
65,129,126
68,160,129
86,111,67
69,183,98
78,102,120
84,164,160
85,122,194
82,67,174
69,142,120
32,104,143
84,128,69
82,65,134
89,118,233
78,125,97
8,71,627
73,128,101
78,111,84
71,78,81
32,111,121
79,120,119
85,80,73
84,126,152
32,56,127
84,141,120
72,105,104
69,94,107
32,87,135
78,122,43
69,80,198
87,134,106
32,143,153
68,105,112
82,112,61
73,120,80
78,105,190
75,72,190
83,163,118
32,87,164
84,158,120
79,142,80
71,39,79
69,134,220
84,116,26
72,111,112
69,95,69
82,142,144
190,77,224
32,95,470
16,216,129
84,95,87
72,80,109
69,104,155
32,85,112
77,88,80
69,134,156
65,166,88
76,63,192
83,96,108
32,87,192
65,95,180
82,28,57
69,160,96
32,104,152
80,134,95
82,184,143
73,95,168
67,95,78
69,107,198
68,130,190
32,135,103
74,719,912
85,107,101
83,107,87
84,110,127
32,98,254
82,112,150
73,73,89
71,88,223
72,19,200
84,117,115
32,102,345
65,153,159
78,81,88
68,111,87
32,105,111
84,142,177
72,133,80
69,102,101
89,111,112
32,102,352
65,109,81
82,56,57
69,158,232
32,108,150
83,96,113
69,135,96
82,102,120
86,63,103
69,182,145
68,102,199
32,80,66
80,152,95
82,120,158
79,195,76
77,94,168
80,132,121
84,138,149
76,95,234
89,135,257
85,120,218
8,273,432
190,102,256
32,136,111
16,223,173
84,167,141
72,82,80
69,135,56
32,86,130
83,281,185
69,293,108
82,150,98
86,111,252
73,96,89
67,105,127
69,96,198
32,145,78
73,128,105
83,118,110
32,152,128
70,127,56
65,175,88
83,132,103
84,124,271
32,96,29
65,127,164
78,101,125
68,135,63
32,95,152
80,78,117
76,72,199
69,134,112
65,183,54
83,271,143
65,96,110
78,129,130
84,150,174
190,99,215
32,103,78
16,141,118
68,136,80
69,174,192
70,89,110
73,111,111
78,111,184
73,241,202
84,0,156
69,159,76
76,119,207
89,89,257
32,159,352
87,112,79
73,109,222
76,327,506
32,128,334
66,62,174
69,113,145
32,97,112
69,112,62
65,159,96
84,128,146
72,103,158
69,103,90
8,583,674
73,77,89
78,100,356
71,87,81
32,73,89
84,150,133
72,100,356
69,136,101
82,148,127
69,150,120
32,105,25
70,132,59
79,120,224
82,123,64
32,128,84
65,162,170
32,111,98
76,135,70
79,112,119
78,94,145
84,118,114
32,56,104
8,245,440
71,104,113
32,73,117
84,117,129
73,96,111
77,87,92
69,133,463
32,95,150
84,131,120
79,128,0
32,110,72
67,105,172
79,87,128
77,151,134
69,148,463
190,71,144
32,142,104
