VK,HT,FT
20,0,-1
73,52,323
20,106,136
32,89,80
72,103,236
65,94,189
86,77,164
69,100,157
66,38,249
69,54,54
8,0,830
32,0,394
66,107,68
69,144,0
78,66,421
32,90,138
79,84,0
84,71,96
32,86,249
20,192,145
72,111,94
20,0,173
8,357,364
20,60,0
8,590,422
84,69,380
8,202,313
20,23,299
84,81,825
79,146,76
32,104,33
20,310,426
72,80,422
20,224,152
65,118,415
66,88,117
65,95,154
78,123,272
69,48,86
82,112,146
79,195,32
83,94,213
32,90,277
77,130,428
65,156,0
78,72,124
89,67,343
32,73,129
84,141,294
73,211,160
77,117,154
69,91,151
83,74,165
188,96,140
32,71,680
65,184,236
78,139,116
68,73,184
32,0,88
72,106,496
65,137,144
86,78,138
69,76,106
32,139,136
65,102,124
76,131,108
87,35,344
65,116,146
89,46,191
83,81,78
32,83,184
72,90,667
65,43,44
68,82,107
32,155,158
65,94,203
32,43,198
83,108,230
65,130,266
84,193,110
73,99,43
83,0,261
70,57,441
65,48,130
67,114,163
84,121,217
79,124,35
82,44,285
89,71,199
32,145,304
69,127,214
88,76,206
80,107,217
69,149,196
82,113,190
73,52,327
69,159,196
78,98,121
67,100,134
69,107,199
190,30,275
32,409,95
20,511,270
84,134,292
20,122,142
72,101,94
69,81,0
32,167,67
82,74,1155
69,126,108
83,184,74
84,90,293
65,91,150
85,153,200
82,127,119
65,149,186
78,70,148
84,77,131
188,87,71
32,117,208
66,67,345
69,180,173
73,127,68
78,126,178
71,100,94
32,71,137
67,119,239
76,96,111
79,221,198
83,81,133
69,98,497
32,88,55
84,116,196
79,119,0
32,55,177
20,541,2
85,93,67
67,125,443
70,119,0
188,108,499
32,117,344
20,37,676
71,52,261
69,126,93
84,76,8
83,139,128
32,0,0
67,108,560
82,160,154
79,76,31
87,123,197
69,85,44
8,578,932
68,134,101
69,57,189
68,140,227
32,100,180
68,158,205
85,39,48
82,74,76
73,65,174
78,150,65
71,80,63
32,117,597
68,86,0
73,104,133
78,172,71
69,115,207
82,112,164
32,83,144
79,179,340
78,135,128
32,130,33
79,114,112
67,168,16
65,168,199
83,63,176
73,132,214
79,129,39
78,132,158
32,100,35
65,155,289
78,94,34
68,119,75
32,57,159
86,103,564
69,77,162
82,72,331
89,138,0
32,107,145
76,116,118
79,81,189
85,101,87
68,116,349
188,150,353
32,110,47
66,110,731
85,120,141
84,85,202
32,64,0
83,102,1
69,316,78
82,56,143
86,28,302
73,123,129
67,94,101
69,126,214
32,93,0
73,59,357
83,154,122
32,150,92
70,66,144
82,111,167
73,136,260
69,74,119
78,114,180
68,50,153
76,120,47
89,44,130
32,89,423
65,104,327
78,73,36
68,103,96
32,131,122
80,74,377
82,72,64
79,109,127
77,180,75
80,93,207
84,95,313
32,95,27
65,144,368
78,144,151
68,84,183
32,146,121
84,98,494
72,117,163
69,161,183
32,147,0
78,104,167
69,89,162
87,97,113
32,112,119
68,146,269
69,141,258
67,191,345
79,99,142
82,130,209
32,132,0
73,132,184
83,133,144
32,102,242
69,106,114
88,114,188
67,116,367
69,168,113
76,187,287
69,62,205
78,148,217
84,70,182
32,105,344
65,125,325
78,109,90
68,73,185
32,693,113
65,125,627
32,148,415
72,126,0
85,111,77
71,126,115
69,104,91
32,155,117
83,107,62
84,100,57
69,122,339
80,167,169
32,129,61
85,92,175
80,119,127
32,85,85
70,61,62
82,69,202
79,180,278
77,113,206
32,145,196
84,74,115
72,121,197
69,90,161
32,81,180
67,89,438
72,95,101
69,365,110
83,154,420
89,98,348
32,115,60
68,126,408
69,48,294
67,146,129
79,73,119
82,135,69
65,51,159
84,74,321
73,71,106
79,59,58
78,121,130
83,106,164
32,95,307
79,96,220
70,86,262
32,172,59
84,128,236
72,65,48
69,122,169
73,111,172
82,85,150
32,105,257
80,95,621
82,87,123
69,88,183
86,109,39
73,141,0
79,0,58
85,161,55
83,86,74
32,290,318
76,75,133
67,106,385
79,102,188
65,164,104
84,69,125
73,45,12
79,118,71
78,127,125
190,91,245
32,0,263
20,0,1187
84,118,233
20,142,160
72,88,150
69,96,812
32,19,299
70,123,774
79,338,87
68,121,188
32,73,9
73,113,342
83,99,120
32,92,153
65,106,75
70,91,34
79,59,102
82,110,106
68,78,244
65,146,110
66,102,245
76,122,204
89,53,134
32,127,122
80,45,162
82,110,163
73,66,0
67,64,131
69,134,69
68,149,25
32,117,312
65,156,0
78,150,106
68,129,51
32,46,90
72,129,160
73,91,23
71,108,115
72,48,150
32,180,161
73,70,61
78,110,49
32,102,214
66,76,503
79,83,134
84,80,389
72,56,87
32,126,133
81,121,0
85,83,190
65,110,120
78,112,235
84,112,139
73,116,202
84,33,208
89,73,99
32,72,171
65,143,0
78,105,111
68,137,28
32,85,103
81,161,844
85,99,202
65,113,168
76,67,128
73,91,77
84,104,216
89,56,193
189,150,304
66,90,214
82,114,274
73,83,109
78,147,307
71,76,108
32,135,290
65,109,399
78,80,227
32,102,100
65,135,328
80,218,197
69,128,610
84,31,174
73,97,211
84,70,190
69,77,125
32,258,228
79,109,92
82,108,157
32,81,193
66,105,753
69,106,0
32,132,38
80,113,350
82,138,141
69,131,0
80,80,292
65,158,310
82,100,274
69,116,115
68,45,63
32,137,186
84,133,149
79,46,154
32,151,158
84,127,214
65,135,151
75,150,158
69,148,105
32,94,336
70,115,52
79,484,139
68,85,239
32,104,193
72,108,0
79,114,134
77,123,0
69,85,307
32,100,181
87,117,240
73,85,94
84,124,143
72,94,91
32,53,437
89,91,485
79,156,151
85,106,64
190,121,0
32,0,259
20,469,541
73,73,274
20,81,117
32,107,189
65,129,0
77,49,157
32,150,108
69,138,224
83,107,306
80,115,134
69,74,46
67,47,255
73,82,39
65,125,130
76,84,201
89,86,344
32,169,77
70,108,0
79,244,60
78,102,255
68,84,378
32,35,349
79,79,676
70,169,0
32,103,124
84,35,155
72,32,65
69,113,126
32,81,216
69,104,457
71,0,348
32,108,176
68,88,367
73,120,122
83,258,19
72,94,76
69,107,122
83,46,157
32,115,582
79,99,516
78,85,98
8,561,598
73,81,142
78,154,193
32,81,0
84,167,218
72,117,82
69,102,124
32,86,132
76,61,726
85,98,185
78,29,190
67,76,48
72,128,97
32,104,177
77,83,377
69,94,0
