VK,HT,FT
20,105,-1
77,168,272
20,111,151
89,462,232
32,109,94
87,140,791
73,92,151
70,616,417
69,94,177
32,133,124
65,112,186
78,148,74
68,90,118
32,129,120
20,105,126
73,122,130
20,106,315
32,110,191
87,95,540
69,86,206
78,156,143
84,97,77
32,141,45
84,116,151
79,112,136
32,112,283
20,117,186
73,116,35
20,124,159
90,561,577
65,106,117
75,590,853
65,112,206
89,756,833
65,123,153
32,67,135
20,131,47
70,746,719
20,120,283
85,105,179
189,706,381
71,147,955
65,96,130
32,95,76
70,145,327
79,110,198
82,100,0
32,112,32
79,120,142
85,125,182
82,89,227
32,85,88
65,136,79
78,102,108
73,76,68
86,800,481
69,83,171
82,84,8
83,158,135
65,106,41
82,110,96
89,68,716
190,326,942
32,111,260
20,111,138
73,110,153
20,114,131
32,112,37
87,102,644
65,98,41
83,144,344
32,84,51
65,96,86
32,113,220
76,108,193
73,116,76
84,103,121
76,150,309
69,52,113
32,99,154
87,138,651
79,126,166
82,90,88
73,99,155
69,94,285
68,106,172
32,109,182
65,126,156
66,106,663
79,127,116
85,80,89
84,92,97
32,103,165
71,661,484
79,94,101
73,86,214
78,68,158
71,930,920
32,96,187
84,82,187
79,108,141
32,124,199
65,115,142
32,89,0
80,411,221
76,92,84
65,102,51
67,128,95
69,75,0
32,67,52
87,139,477
69,68,38
222,823,745
68,98,279
32,117,140
78,122,90
69,115,252
86,806,808
69,90,140
82,66,199
32,126,20
66,897,555
69,103,122
78,138,152
84,96,230
79,141,131
32,135,205
8,918,195
32,129,142
84,83,194
79,112,20
32,113,162
66,652,779
69,91,214
70,154,343
79,115,160
82,89,274
69,104,186
188,702,349
32,106,144
66,348,91
85,133,83
84,96,160
32,115,61
77,453,917
89,955,40
32,86,86
67,117,287
79,113,156
78,140,86
67,137,33
69,110,338
82,83,206
78,190,58
83,171,201
32,110,2
87,114,625
69,74,168
78,117,127
84,85,241
32,104,154
65,116,95
87,115,99
65,101,231
89,36,502
32,127,12
84,71,115
72,131,120
69,111,256
32,136,93
77,833,392
79,124,134
77,94,203
69,79,407
78,127,213
84,76,302
32,78,316
87,120,470
69,89,0
32,79,126
71,826,745
79,90,75
84,79,259
32,85,0
73,175,150
78,145,149
32,120,196
84,90,167
72,104,113
69,111,523
32,89,96
68,95,416
79,122,75
82,97,116
190,316,204
32,124,61
20,111,181
84,94,151
20,121,237
72,113,59
69,101,89
32,106,136
68,96,257
69,103,228
67,109,207
79,127,178
82,82,262
32,81,92
73,103,60
83,170,143
32,100,151
76,180,89
79,107,64
86,764,639
69,101,383
76,140,0
89,574,882
32,82,166
65,126,196
78,103,111
68,103,83
32,117,81
84,89,223
65,119,196
83,71,166
84,71,213
69,108,322
70,70,136
85,131,53
76,173,143
188,151,221
32,116,62
87,126,248
73,68,71
84,98,209
72,123,136
79,117,173
85,76,112
84,106,74
32,83,123
65,118,191
78,134,48
8,94,39
65,119,138
78,110,57
68,110,86
32,106,140
8,124,155
32,80,109
84,94,121
72,120,81
69,39,325
32,127,123
76,77,65
73,85,121
71,806,34
72,103,104
73,94,56
78,92,105
8,4,576
84,89,164
73,156,51
78,136,151
71,483,429
32,99,84
8,473,550
72,124,111
79,91,171
83,27,347
84,76,210
69,67,118
83,134,0
32,98,209
87,76,188
65,121,76
83,61,347
32,76,117
69,126,246
88,260,464
84,93,185
82,100,0
69,134,269
77,125,703
69,58,203
76,114,319
89,743,554
32,122,196
70,174,945
82,115,165
73,96,74
69,126,148
78,110,116
68,105,131
76,202,41
89,641,525
32,104,34
65,122,85
78,157,39
68,115,64
32,104,91
83,24,365
69,69,150
65,90,272
84,82,157
69,100,67
68,70,31
32,122,172
85,122,117
83,46,163
32,82,67
86,119,198
69,52,217
82,104,143
89,525,123
32,135,134
81,254,321
85,81,183
73,78,179
67,133,213
75,653,864
76,224,317
89,813,258
188,379,793
32,123,216
69,102,377
86,925,732
69,124,393
78,75,227
32,129,52
84,86,148
72,114,103
79,100,99
85,151,50
71,681,869
72,93,118
32,71,147
87,103,508
69,92,81
32,107,86
68,87,220
73,142,158
68,95,210
78,111,134
222,861,854
84,104,214
32,91,114
72,118,75
65,123,105
86,852,700
69,77,202
32,106,115
65,108,119
32,86,22
82,108,152
69,131,60
83,132,59
69,130,1
82,91,190
86,5,460
65,103,86
84,83,209
73,141,157
79,121,114
78,69,42
190,539,714
32,113,42
20,105,212
73,130,123
20,120,236
32,100,105
8,355,829
20,103,157
87,108,703
20,106,129
69,112,222
32,107,117
20,135,132
8,735,516
190,919,458
32,118,4
20,122,290
79,122,150
20,114,147
85,72,54
82,87,61
32,101,151
87,107,755
65,85,296
73,94,68
84,100,217
82,88,45
69,77,288
83,141,0
32,109,84
87,134,871
65,119,163
83,129,190
32,107,91
65,101,138
76,170,146
83,62,0
79,143,87
32,124,25
86,504,762
69,119,76
82,105,44
89,181,895
32,100,144
72,123,89
69,82,256
76,47,120
80,350,334
70,550,212
85,109,116
76,184,148
32,118,138
65,87,155
78,133,78
68,122,91
32,97,79
75,690,781
78,119,154
79,142,169
87,142,408
76,152,224
69,119,102
68,83,127
71,930,656
69,84,157
65,117,203
66,97,615
76,168,266
69,97,487
32,116,84
65,100,189
66,266,632
79,130,74
85,75,58
84,75,81
32,103,0
70,134,795
79,93,147
68,98,21
32,122,118
65,100,96
76,170,69
69,74,361
82,106,216
71,792,989
69,75,147
78,154,250
83,54,0
190,700,175
32,140,121
20,129,174
87,147,869
20,103,254
8,829,679
20,113,158
73,101,106
20,124,260
32,122,180
8,13,457
20,118,126
87,100,204
20,119,172
69,127,93
32,106,116
79,117,173
82,78,67
68,105,10
69,94,57
82,72,134
69,59,336
68,103,23
32,137,60
65,91,123
32,79,287
83,70,146
85,101,166
66,722,517
83,137,137
84,78,104
65,114,119
78,99,178
84,113,206
73,104,134
65,135,52
76,89,111
32,121,136
65,98,205
77,31,313
79,85,116
85,130,41
78,112,162
84,108,230
32,126,146
79,109,69
70,804,959
32,110,298
83,46,88
72,96,97
8,142,206
85,120,221
83,137,0
72,151,137
73,66,133
188,921,105
32,72,167
87,92,435
72,105,102
73,116,119
67,94,107
72,118,141
32,61,0
87,130,892
65,96,189
83,14,137
32,87,114
68,100,134
69,87,192
