VK,HT,FT
16,295,-1
67,104,152
65,167,144
77,110,349
69,123,120
32,112,76
72,94,416
69,159,81
82,168,101
69,158,143
32,135,104
79,119,169
82,111,106
8,376,813
79,104,125
8,528,419
70,88,180
79,98,133
82,127,38
32,96,66
84,159,188
72,96,83
69,151,12
32,0,48
70,167,198
73,176,120
82,190,80
83,199,215
84,105,120
32,95,152
84,119,212
73,104,104
77,79,105
69,103,120
32,128,120
87,120,320
8,135,964
84,121,167
79,159,184
78,125,131
73,147,763
71,71,176
72,88,88
84,128,167
32,111,265
87,11,144
73,143,104
8,196,536
65,139,264
78,95,107
68,151,100
32,135,82
73,103,181
84,111,80
32,111,136
87,120,511
65,35,112
83,97,134
32,103,128
65,144,352
32,103,90
71,130,1283
82,127,248
69,113,97
65,175,160
84,217,164
32,103,305
69,136,135
88,867,655
80,119,88
69,127,136
82,184,166
69,159,178
8,199,449
73,191,306
69,30,160
78,95,97
67,119,164
69,133,138
190,61,531
32,93,127
16,239,215
84,104,231
72,95,88
69,175,15
32,82,120
83,143,184
84,119,127
65,145,108
70,227,88
32,144,63
87,88,374
65,159,286
83,151,124
32,144,121
70,77,1286
82,112,336
73,134,400
69,138,112
78,121,112
68,119,104
76,103,162
89,119,12
188,143,294
32,119,160
84,119,135
72,79,81
69,127,69
32,120,103
82,170,273
69,120,80
83,128,137
65,119,211
85,135,112
82,128,218
65,159,64
78,96,85
84,153,103
32,127,158
8,520,396
84,87,87
65,132,235
85,73,168
82,112,538
78,95,81
65,159,89
84,143,232
32,100,889
8,224,311
78,103,111
71,70,197
8,127,1129
65,126,584
78,95,147
84,135,48
32,102,39
76,239,222
79,239,87
75,95,128
69,133,44
68,138,200
32,127,88
67,119,297
76,207,50
69,84,120
65,185,139
78,86,88
188,166,293
32,87,168
65,58,313
78,95,58
68,137,80
32,114,80
84,135,1151
72,96,81
69,127,87
32,103,168
70,119,165
79,127,240
68,108,392
32,111,116
87,72,108
65,159,85
83,119,168
32,3,104
71,121,232
79,247,221
68,127,408
190,99,578
32,103,249
16,240,290
73,108,149
32,127,200
71,120,262
79,208,157
82,135,57
32,92,128
84,114,107
72,13,60
69,156,80
32,95,129
67,134,465
72,67,106
73,141,246
77,136,223
73,104,296
67,128,199
65,106,209
78,87,128
71,71,37
65,178,183
32,126,97
8,195,282
72,80,168
65,87,116
78,88,72
71,74,97
65,158,216
32,126,138
80,119,218
76,246,121
65,144,363
84,97,351
69,141,537
82,4,137
188,4,130
32,104,160
77,101,136
84,152,231
8,80,361
89,104,557
32,141,176
70,143,106
82,141,197
73,107,176
69,135,129
78,136,91
68,128,336
32,119,56
71,120,208
79,232,237
84,143,184
32,103,278
65,143,112
32,143,102
87,114,482
69,143,256
84,130,211
32,119,136
66,128,191
85,128,256
82,120,160
73,96,295
84,120,97
79,128,116
8,231,523
82,127,717
73,95,273
84,95,168
79,157,179
188,142,1462
32,87,162
65,134,144
78,98,119
68,119,97
32,122,69
77,137,215
89,133,302
32,140,33
66,128,320
79,104,240
89,63,144
70,143,191
82,126,224
73,62,282
69,42,128
78,119,80
68,119,130
32,136,97
71,120,127
79,232,155
84,111,56
32,103,152
65,139,44
32,138,89
84,127,152
79,113,156
8,384,912
65,157,8
67,135,63
79,160,82
32,127,135
80,104,421
76,103,311
65,146,73
84,162,359
69,127,95
82,105,104
84,151,296
8,231,424
32,104,187
84,167,1239
72,103,93
65,159,64
84,164,264
32,111,123
76,119,511
79,229,135
75,120,88
69,152,116
68,129,231
32,82,0
82,26,193
69,117,119
65,175,94
76,240,135
89,119,136
32,103,97
71,1,350
79,121,343
68,143,273
190,79,480
32,88,104
16,112,197
65,119,199
76,239,143
32,111,235
79,136,120
70,119,129
32,95,136
84,119,120
72,53,96
69,160,80
32,95,187
8,397,468
73,127,376
83,127,184
32,127,128
87,145,376
65,83,168
83,143,128
32,120,25
86,192,757
69,129,96
82,134,85
89,87,592
32,146,128
87,111,263
69,135,104
76,91,1132
32,143,537
80,119,568
79,163,167
82,89,160
84,118,176
73,96,152
79,167,59
78,127,81
69,108,101
68,80,231
32,128,93
70,119,620
79,88,240
82,104,720
32,103,24
84,123,120
72,98,88
69,151,80
32,95,123
77,141,104
79,319,153
78,87,103
69,151,150
89,113,113
8,145,504
89,136,296
190,79,743
32,87,160
16,237,293
65,112,88
70,335,88
84,151,891
69,186,454
82,128,138
32,152,127
68,128,54
73,127,328
78,136,192
69,175,200
82,134,152
32,119,67
87,144,206
69,172,72
32,136,80
83,181,200
80,135,166
76,17,362
73,119,216
84,127,46
65,36,262
32,143,97
8,520,469
32,80,260
65,119,162
70,95,344
82,66,85
8,232,469
32,108,157
70,111,128
82,135,312
73,72,133
69,136,138
78,108,80
8,902,433
68,159,113
32,119,87
73,127,138
67,41,160
69,81,101
32,111,210
67,110,239
82,104,128
69,121,120
65,167,154
84,103,325
8,199,659
77,136,327
189,919,19
73,135,297
84,95,120
83,151,152
32,96,121
86,171,948
65,159,262
78,87,212
73,127,382
69,144,160
8,1431,272
76,57,448
65,144,167
32,111,97
73,95,312
67,150,199
69,169,135
32,135,80
67,116,296
82,187,169
69,185,97
65,95,154
77,136,136
32,120,303
70,118,672
73,104,499
8,199,803
82,135,304
73,135,145
69,135,104
68,160,224
32,127,88
73,104,296
78,103,161
32,94,92
65,183,105
32,95,101
66,128,168
65,168,179
84,136,351
69,183,112
82,136,128
32,95,6
87,120,150
73,96,160
84,127,56
72,119,160
32,127,120
72,28,410
79,200,640
78,137,108
69,142,29
89,117,125
32,21,311
65,179,313
78,79,139
68,126,104
32,104,76
67,151,297
72,112,193
79,208,144
67,134,104
79,183,148
76,98,248
65,190,160
84,96,351
69,133,112
32,112,82
79,141,157
86,192,252
69,139,136
82,120,104
32,109,127
73,79,176
84,58,120
189,571,901
32,128,120
73,119,176
84,111,88
87,111,163
65,104,188
83,7,160
32,103,144
8,195,350
32,102,192
87,116,185
65,103,170
83,151,196
32,104,104
86,178,426
8,808,424
82,135,187
69,127,120
65,140,144
76,230,201
89,104,186
32,119,202
71,148,163
79,162,371
68,147,279
190,72,480
32,135,112
16,239,232
73,111,143
70,119,159
32,51,330
89,145,2
79,163,89
85,118,141
32,120,161
65,115,54
82,120,112
69,123,3
32,126,120
72,94,310
85,111,712
78,103,103
71,103,473
82,134,120
89,79,119
8,223,608
32,106,734
82,167,207
69,138,88
65,167,89
76,238,120
89,129,139
32,98,128
72,104,229
85,128,200
78,111,88
71,68,146
82,134,264
89,95,592
32,152,132
65,121,313
78,98,104
68,144,51
32,52,56
87,144,480
