VK,HT,FT
16,391,-1
73,74,261
32,119,71
85,107,263
83,119,116
69,107,152
68,98,204
32,132,143
84,105,282
79,77,131
32,107,118
68,110,292
82,95,179
73,89,217
86,96,272
69,110,120
32,119,159
51,123,560
48,971,518
32,128,237
77,74,374
73,92,140
78,99,164
85,87,221
84,101,177
69,119,141
83,110,129
32,113,189
84,103,186
79,84,131
32,108,80
71,101,247
69,111,182
84,92,234
32,109,46
84,107,158
72,81,91
69,113,152
82,111,80
69,130,163
32,116,192
85,105,235
78,98,194
84,95,142
73,70,136
76,133,163
32,129,123
84,89,159
72,77,94
69,116,186
89,96,181
32,119,106
79,110,222
69,133,171
80,124,196
69,122,159
78,89,177
69,92,121
68,89,207
32,136,100
65,130,135
32,117,161
8,863,452
80,137,127
69,123,190
78,84,174
69,88,119
68,109,199
32,126,183
65,126,151
32,116,200
50,503,152
78,87,170
68,90,172
32,123,84
76,119,119
79,112,178
67,123,196
65,131,87
84,110,148
73,73,91
79,78,133
78,86,183
32,128,93
73,83,207
78,94,177
32,124,77
77,80,255
89,93,175
32,124,218
72,76,161
79,89,124
77,127,172
69,110,79
32,129,145
84,89,178
79,80,85
87,95,90
78,83,219
190,77,158
32,127,186
16,490,120
87,113,122
72,80,93
69,115,113
78,85,130
32,126,120
89,88,206
79,103,134
85,85,164
32,137,134
71,99,189
69,126,118
84,104,224
32,108,55
84,93,276
72,82,85
69,101,180
82,108,91
69,119,166
32,118,137
89,95,252
79,97,232
85,95,161
32,134,108
65,118,186
76,108,151
8,427,423
82,101,116
69,111,95
32,122,218
65,134,236
76,158,141
87,108,214
65,135,234
89,102,243
83,114,101
32,117,102
83,100,142
69,116,180
65,126,89
84,96,122
69,129,212
68,92,186
32,133,108
87,124,159
73,89,125
84,124,177
72,84,84
73,97,202
78,86,162
32,131,66
51,383,971
48,47,183
32,125,241
83,90,281
69,119,180
67,120,128
79,111,233
78,83,188
68,91,141
83,111,142
190,86,222
32,121,113
16,292,156
84,127,172
72,86,97
69,105,145
32,120,237
72,73,141
65,127,96
86,106,326
89,95,228
8,478,420
69,109,172
32,129,95
65,133,103
32,112,203
16,202,249
72,83,98
65,123,106
86,98,168
65,131,138
67,124,178
72,76,159
8,370,501
78,88,221
8,447,457
66,94,397
65,131,126
67,115,210
72,84,96
73,98,186
32,117,117
79,90,287
80,110,298
84,93,224
73,70,122
79,77,198
78,89,186
32,108,99
66,76,415
85,89,140
84,99,263
32,119,298
87,106,178
69,137,161
32,134,143
85,109,268
83,111,134
85,92,181
65,115,142
76,155,110
89,78,225
32,133,378
71,107,197
8,535,571
83,132,240
74,64,153
85,101,194
8,491,522
74,81,131
85,95,159
83,129,116
84,105,166
32,106,221
71,96,209
69,115,122
84,103,203
32,124,215
65,125,159
32,115,171
78,83,231
79,86,198
82,101,164
77,81,321
65,135,77
76,127,136
32,117,145
84,103,255
65,130,120
66,90,290
76,93,166
69,124,108
65,106,122
190,78,188
32,131,84
16,253,195
8,343,497
32,116,617
16,457,235
73,79,212
8,223,412
190,73,363
16,317,354
32,117,109
16,449,186
73,79,219
32,123,71
76,125,133
73,95,188
75,98,159
69,110,113
32,134,179
84,100,202
79,85,143
32,98,85
83,103,233
84,107,144
65,136,116
82,94,133
84,97,196
32,118,193
87,112,228
73,89,163
84,128,158
72,88,99
32,131,113
71,100,216
82,98,120
69,108,137
78,86,184
32,107,104
84,98,140
69,104,205
65,99,124
32,119,138
65,116,116
78,104,127
68,93,165
32,134,83
16,399,151
59,646,120
8,541,358
222,109,174
65,132,230
71,92,144
69,103,208
68,85,240
65,121,208
83,113,99
72,79,132
73,97,194
32,123,110
84,107,161
79,77,103
70,125,157
85,93,203
16,398,321
222,96,190
8,363,515
190,85,206
16,479,174
222,100,186
32,121,184
16,470,222
84,109,175
72,88,78
73,101,167
83,117,110
32,125,104
70,92,501
8,520,478
84,103,446
79,76,128
70,119,151
85,96,166
32,140,124
73,90,213
83,133,107
32,131,95
80,132,248
65,117,94
78,89,143
75,107,155
79,110,111
32,122,126
70,105,509
82,104,181
73,91,157
69,118,205
68,109,221
32,128,155
65,137,158
78,101,121
68,104,202
32,142,84
83,92,357
69,117,190
82,93,82
86,102,181
69,113,118
68,96,237
32,129,102
73,90,170
78,91,166
32,137,87
65,129,240
32,114,172
84,97,155
72,80,82
73,100,190
67,117,128
75,102,153
32,122,83
83,100,134
79,92,118
89,92,176
65,127,81
32,124,173
66,85,334
65,130,213
83,109,120
69,119,170
68,108,250
32,129,125
83,100,177
65,136,229
85,90,229
67,114,139
69,123,207
190,78,222
32,128,78
16,475,148
77,89,239
89,89,144
32,122,82
69,108,162
78,89,174
84,87,113
73,68,96
82,100,138
69,114,123
32,108,200
8,536,554
82,113,119
69,117,107
32,121,186
73,81,221
83,125,110
32,131,93
85,101,306
83,123,135
85,94,217
65,115,206
76,154,124
89,75,244
32,128,346
65,130,131
32,112,185
77,88,464
73,92,124
83,120,92
8,611,441
88,797,311
69,109,189
68,106,232
32,134,178
66,76,384
79,83,99
87,96,74
76,127,134
32,112,165
79,101,307
70,123,251
32,123,83
82,109,179
65,119,151
87,121,165
32,112,172
70,97,234
73,89,184
83,124,100
72,83,108
32,129,241
79,107,291
78,89,187
32,109,78
65,130,166
32,118,127
66,76,252
69,131,128
68,101,197
32,122,103
79,120,198
70,110,172
32,126,127
83,99,370
84,97,164
73,73,122
67,125,159
75,96,159
89,95,247
32,129,181
82,105,187
79,77,220
69,111,153
32,125,174
67,124,192
79,101,214
86,100,328
69,120,138
82,107,83
69,125,165
68,109,229
32,124,110
82,118,199
73,78,205
67,125,146
69,118,158
190,79,170
32,125,157
16,273,163
84,118,167
72,88,108
69,104,284
32,128,163
81,821,423
85,97,206
65,119,125
76,161,148
73,78,158
84,77,130
89,86,239
32,118,235
79,140,288
70,99,330
32,129,192
84,96,252
72,80,86
69,117,139
32,121,92
70,98,374
73,79,195
83,114,95
72,81,130
32,116,230
73,80,202
83,123,109
32,115,91
67,108,174
79,105,163
78,85,188
83,125,89
73,82,164
83,115,94
84,97,187
69,133,146
78,84,164
84,98,142
76,97,154
89,84,245
32,131,185
70,106,258
82,110,102
69,114,128
83,165,136
72,80,121
32,121,212
65,120,191
78,92,110
68,95,122
32,137,82
65,128,141
83,120,234
32,116,163
65,123,234
32,111,182
82,107,182
69,92,107
83,107,160
85,100,204
76,124,170
84,103,249
32,104,278
68,105,216
69,119,213
76,108,180
73,95,162
67,119,169
73,87,215
79,81,152
85,94,160
83,120,105
32,127,157
190,78,247
32,124,147
16,437,155
66,84,363
8,252,490
90,720,35
83,129,165
190,82,267
8,218,555
83,130,170
190,73,206
32,113,120
16,284,146
66,80,236
89,84,232
84,88,158
8,260,390
32,131,767
8,674,440
89,102,216
32,119,219
78,94,225
79,87,190
87,108,80
32,124,194
84,102,247
72,77,94
69,108,186
32,131,72
71,102,224
8,278,361
74,65,369
79,78,110
8,479,492
72,77,124
79,99,128
83,122,173
84,107,188
69,107,203
83,160,130
191,227,461
79,86,125
87,107,101
78,93,152
69,97,128
82,93,78
32,127,139
75,87,176
78,96,188
79,95,197
87,103,95
83,119,154
32,116,198
85,106,235
83,120,129
190,79,214
32,119,89
16,217,111
83,125,95
72,79,162
69,108,161
32,120,158
65,135,171
76,125,120
87,116,153
65,130,135
89,82,161
83,124,185
32,132,157
84,99,236
65,131,151
75,90,161
69,110,120
83,178,151
32,126,95
8,837,572
72,79,106
69,118,105
32,128,182
65,128,191
76,134,115
87,106,171
65,125,139
89,83,198
83,107,234
32,124,172
84,93,158
65,133,151
75,84,175
69,127,111
83,116,116
32,125,142
84,91,274
73,74,131
77,94,343
69,109,201
32,123,146
84,94,251
79,84,132
32,100,87
67,101,236
79,100,242
77,110,171
86,100,158
69,112,157
82,97,85
32,127,128
8,441,392
69,136,128
32,128,94
79,98,193
86,108,339
69,112,128
82,96,85
32,133,151
65,136,241
78,102,95
68,107,123
32,125,85
65,128,161
83,114,122
75,99,164
32,126,198
85,96,249
83,118,119
32,129,91
72,70,182
79,93,150
87,104,101
32,129,120
87,111,152
69,99,168
222,104,195
82,105,145
69,129,147
32,121,142
68,105,200
79,83,155
73,91,184
78,86,171
71,93,162
190,71,146
32,122,155
16,351,224
73,82,259
78,91,164
32,121,64
70,113,339
8,222,563
82,106,185
69,150,147
70,122,299
76,106,142
69,127,113
67,118,128
84,100,181
73,74,99
79,76,228
78,91,188
32,117,115
16,225,233
73,84,262
32,125,58
78,84,292
79,84,180
87,96,92
32,117,190
82,115,206
69,95,114
65,93,114
76,156,148
73,90,195
90,80,391
69,135,192
32,135,115
72,74,141
79,78,98
87,99,101
32,123,174
71,91,193
82,104,102
69,107,96
65,109,100
84,114,121
32,122,198
84,107,207
72,81,83
69,115,111
32,133,89
67,104,179
85,101,135
83,112,116
84,96,185
79,76,130
77,95,182
69,105,135
82,99,99
32,128,138
83,96,297
69,124,181
82,93,88
86,102,216
73,84,206
67,125,133
69,129,125
32,121,88
73,86,185
83,125,113
32,134,109
65,122,227
84,103,136
32,118,124
84,97,178
72,82,87
73,90,194
83,127,120
32,122,98
80,135,127
76,107,146
65,114,184
67,108,199
69,115,167
190,87,216
32,122,105
16,217,200
73,82,162
84,100,189
8,648,429
70,138,404
32,121,219
89,85,158
79,107,174
85,95,162
82,93,129
222,91,240
82,93,166
69,142,104
8,418,357
222,91,241
82,107,139
69,125,109
32,115,157
79,154,226
73,88,179
78,101,162
32,123,80
8,687,420
73,84,180
78,88,167
32,114,85
84,107,287
79,77,138
87,96,72
78,86,136
32,109,118
65,129,246
78,96,129
68,108,186
32,144,97
73,81,238
78,97,166
32,133,82
