VK,HT,FT
16,420,-1
65,111,332
76,126,167
82,87,135
73,66,135
71,103,121
72,91,101
84,112,212
32,103,90
83,101,254
79,73,121
32,143,10
16,825,116
73,82,111
32,112,73
65,122,156
77,81,446
32,86,91
78,110,362
79,108,317
8,699,443
78,121,101
79,92,236
84,79,179
32,109,249
65,122,122
32,122,142
8,1500,492
68,72,176
79,93,132
78,87,181
222,133,177
84,101,542
32,116,173
84,123,109
89,91,273
80,101,176
73,77,194
67,117,127
65,137,686
76,92,124
89,89,150
32,50,62
87,81,217
82,129,65
73,106,136
84,124,130
69,99,80
32,142,92
84,129,87
72,62,104
69,84,66
83,87,146
69,101,58
32,112,377
66,83,551
85,80,108
84,127,117
32,112,91
16,244,843
65,143,96
70,77,210
84,60,312
69,118,103
82,55,115
32,126,71
78,81,277
89,86,115
32,123,206
86,97,202
8,1356,848
77,92,249
89,86,115
32,129,119
86,113,229
73,107,81
83,127,39
8,108,377
79,71,113
85,77,166
82,152,95
8,67,551
71,102,263
79,69,246
73,102,122
78,95,166
71,132,85
32,102,51
84,71,142
79,84,290
32,66,29
80,2,256
82,89,114
79,86,143
78,99,180
84,135,69
79,88,101
32,92,30
16,162,75
8,1500,302
16,84,136
80,252,154
82,141,90
79,82,167
78,89,155
84,91,69
79,91,244
32,115,67
16,340,623
80,261,460
73,87,246
90,19,124
65,148,216
32,134,131
16,158,91
73,82,101
32,131,51
74,91,144
85,67,3
83,122,208
84,112,99
32,152,82
65,112,138
8,129,249
72,69,127
65,112,63
68,92,150
32,117,71
84,94,99
79,66,356
190,89,38
32,110,122
16,178,34
73,90,153
32,131,255
84,116,248
72,87,100
73,88,166
78,94,186
75,123,40
32,135,178
84,78,262
72,92,81
73,87,180
83,7,148
32,139,73
82,144,471
69,3,98
83,217,268
84,108,93
65,131,136
85,76,26
82,102,145
65,162,263
78,71,158
84,60,64
32,102,132
77,116,138
65,96,108
89,101,271
32,124,81
72,68,99
65,122,132
86,114,97
69,82,131
32,129,108
71,91,158
73,112,226
85,90,165
86,89,133
69,151,159
8,1500,647
86,81,202
69,7,89
78,71,368
32,96,95
77,100,142
69,141,39
32,89,48
79,77,142
78,102,162
69,16,136
32,122,100
79,78,120
70,108,126
32,109,90
84,81,310
72,79,106
69,123,59
32,111,74
66,86,155
69,111,142
83,91,6
84,95,135
32,116,80
73,64,106
84,66,214
76,98,67
8,94,543
65,130,155
76,274,88
73,100,190
65,142,123
78,76,123
32,122,155
69,86,201
88,129,216
80,129,79
69,120,142
82,80,92
73,91,92
69,70,158
78,91,130
67,122,94
69,113,76
83,122,106
32,104,101
16,150,91
73,81,113
32,149,88
72,81,164
65,171,91
86,106,70
69,158,195
32,112,100
72,93,166
65,91,44
68,89,171
32,151,93
84,74,104
79,67,94
32,100,47
68,133,216
65,171,88
8,125,607
73,95,109
8,716,255
68,113,219
190,86,153
32,138,366
8,258,1011
32,110,453
8,105,207
80,60,56
8,95,489
32,126,914
65,122,159
78,119,70
68,98,115
32,122,71
16,808,36
73,89,135
32,123,83
68,91,180
79,95,133
32,79,135
8,1488,301
78,98,109
74,82,221
8,92,182
222,115,112
84,97,129
32,132,525
83,114,347
65,81,706
89,8,501
32,99,92
84,112,122
72,93,0
65,159,251
84,96,134
32,87,116
76,97,146
73,105,147
71,2,121
72,91,135
84,101,166
76,101,159
89,105,151
16,210,64
8,89,255
32,19,71
77,114,6
73,77,104
78,99,169
68,109,160
32,166,94
89,86,142
79,35,9
85,95,164
32,147,170
72,27,113
8,540,451
16,208,139
73,81,126
32,111,72
72,102,134
65,118,99
86,155,226
69,115,153
32,32,104
8,259,297
68,111,153
73,89,105
68,111,79
32,133,51
83,140,197
80,122,236
69,101,184
78,91,118
68,104,142
32,133,102
53,587,416
32,118,131
8,1152,334
54,263,236
32,129,81
77,90,15
79,91,92
78,66,232
84,134,106
72,108,152
83,158,548
32,111,47
73,76,179
78,93,164
32,128,111
16,173,83
82,114,602
79,54,120
77,73,171
69,122,259
32,119,71
16,173,63
8,80,735
16,464,138
32,117,61
8,246,207
188,76,444
32,128,136
16,186,91
73,60,102
84,94,216
65,138,26
76,275,40
89,101,162
190,34,226
32,117,140
16,213,75
84,129,132
72,71,100
69,103,120
32,101,292
83,109,190
8,94,380
65,137,205
8,484,447
16,237,312
87,85,121
72,81,73
69,109,70
78,91,152
32,118,96
89,82,110
79,62,71
85,99,191
32,102,90
87,159,235
65,112,97
76,81,141
75,145,173
32,140,73
73,94,159
78,9,174
32,107,89
84,90,80
72,88,115
69,91,106
32,91,71
65,102,237
84,86,158
77,57,428
73,71,306
83,109,106
8,824,789
79,69,255
83,93,99
80,80,74
72,76,96
69,127,75
82,139,64
69,121,93
32,111,94
73,76,93
83,127,124
32,130,89
73,62,297
78,73,161
86,92,434
73,115,110
84,111,112
73,63,72
78,59,148
71,132,14
32,122,102
65,137,91
78,62,134
8,1435,612
84,153,256
72,71,106
73,84,195
78,92,163
71,75,204
83,159,228
32,152,160
70,125,171
69,178,126
76,224,303
32,96,142
77,128,138
79,113,177
68,114,187
69,69,150
82,81,90
78,100,196
32,122,119
65,114,120
78,104,122
68,104,92
32,122,80
79,90,148
69,128,360
8,250,790
80,66,155
69,120,123
78,90,141
8,62,273
190,91,275
32,86,263
16,1500,116
84,106,265
72,91,91
69,116,104
32,134,16
68,126,304
69,6,174
79,255,136
8,250,403
67,137,135
79,70,104
82,121,2
85,38,176
77,100,116
32,101,71
70,111,125
69,211,87
76,54,287
83,118,210
32,131,143
8,92,338
72,81,141
65,126,88
83,103,82
32,122,50
65,161,254
32,132,81
77,87,218
79,112,173
68,82,120
69,65,298
82,102,95
78,80,122
32,105,126
70,86,375
69,92,253
76,102,132
32,128,115
65,133,136
78,62,119
68,93,92
32,139,126
8,1500,1012
32,126,286
87,80,138
65,116,123
82,109,153
77,121,69
32,102,82
65,132,231
78,61,120
68,82,124
32,112,129
77,90,141
79,99,168
68,61,264
69,119,151
82,150,67
78,104,150
32,112,82
70,124,125
69,102,197
76,95,293
190,86,336
32,143,142
16,214,15
84,91,102
72,81,81
69,98,105
32,127,93
83,120,115
69,91,95
82,23,90
86,137,435
69,111,74
82,112,91
32,116,35
87,102,616
65,126,90
83,93,247
32,89,262
81,247,178
89,57,163
73,82,205
67,139,133
8,260,178
89,101,117
73,75,104
8,92,393
85,108,169
73,102,144
67,125,125
75,126,125
32,40,442
84,96,82
79,72,88
32,86,21
71,104,176
69,107,25
8,204,312
82,111,293
69,264,92
84,143,53
32,39,80
65,94,294
78,71,103
68,122,149
32,112,83
83,101,136
69,91,210
65,106,90
84,44,131
32,105,59
8,262,540
16,216,136
87,122,141
69,110,213
32,115,321
8,825,384
69,30,804
32,132,101
87,105,73
69,91,294
82,128,122
69,133,124
32,137,111
81,185,809
85,100,83
73,102,650
67,109,56
75,71,177
76,101,137
89,73,250
32,144,71
71,69,366
82,108,52
69,251,114
84,137,160
69,111,693
68,122,216
32,131,216
65,133,95
78,110,82
68,104,144
32,141,92
79,92,466
70,88,107
69,309,0
82,81,68
69,113,94
68,80,232
32,132,12
220,139,969
8,1500,192
32,141,377
79,117,69
70,96,98
69,77,206
82,82,81
69,126,102
68,66,241
32,153,117
68,64,178
82,145,94
73,101,139
78,111,154
75,122,177
83,111,228
32,93,35
85,80,125
80,66,93
79,96,105
78,103,188
83,90,190
8,37,539
32,127,413
83,109,987
73,73,138
84,84,637
73,80,112
78,85,163
71,75,81
190,92,212
32,118,184
16,419,64
84,92,185
72,70,35
69,111,208
32,103,155
8,183,301
16,146,1050
84,111,330
72,100,102
8,105,544
16,631,134
73,91,153
32,122,101
79,70,1
82,100,130
68,102,98
69,101,208
82,112,78
69,114,112
68,86,300
32,99,39
8,2,1135
16,666,1052
87,122,114
69,56,248
32,132,90
87,141,159
69,110,188
82,102,91
69,117,112
32,105,105
8,630,279
79,69,183
82,24,114
68,131,139
69,110,392
82,122,69
69,122,112
68,33,175
32,152,7
84,105,143
72,81,116
69,111,140
32,133,91
8,147,459
84,91,1295
72,71,158
69,147,112
8,416,291
84,99,217
72,78,73
69,126,101
32,153,474
72,97,133
79,42,140
85,98,209
83,121,125
69,128,73
32,132,91
83,110,230
80,123,102
69,162,122
67,76,185
73,130,133
65,102,648
76,93,341
32,98,42
80,130,422
73,80,307
90,119,128
65,99,94
32,122,142
65,98,115
78,80,134
68,126,95
32,112,82
77,76,155
89,94,211
32,125,87
71,90,111
79,83,173
68,91,25
190,69,24
32,80,6
16,199,112
84,92,171
72,71,101
69,23,134
8,66,300
32,144,946
8,107,353
68,41,187
8,276,293
82,113,94
69,71,94
68,120,181
32,133,68
65,151,89
32,115,116
16,200,138
80,148,280
73,83,336
90,219,92
65,140,502
32,119,114
87,135,110
73,103,108
84,6,113
72,99,129
32,114,57
66,109,464
65,147,104
67,123,132
79,89,123
78,79,433
77,78,861
32,145,617
8,147,523
188,78,412
32,114,195
71,100,109
79,96,114
65,97,133
84,124,208
32,128,81
8,169,50
188,80,173
32,121,192
70,105,451
69,189,196
8,1500,607
32,128,481
67,115,145
72,71,136
69,125,326
83,166,284
69,72,169
32,119,202
8,146,851
188,77,160
32,130,195
65,131,125
78,83,144
8,244,144
80,56,90
69,101,142
80,274,91
69,143,257
82,152,71
83,122,5
77,87,164
32,142,127
8,255,341
188,99,306
32,52,269
65,130,221
78,92,70
68,125,141
32,141,80
80,59,155
69,126,342
80,80,252
79,6,150
82,86,225
79,48,145
78,74,189
73,139,103
32,123,66
8,126,339
65,128,102
8,469,692
69,96,530
82,132,69
79,99,153
78,88,193
73,81,223
32,60,70
8,237,450
190,77,102
32,118,100
16,577,27
73,72,96
84,124,270
32,142,80
87,58,197
65,121,97
83,67,127
32,80,129
68,98,386
69,110,208
76,221,151
73,103,188
67,139,212
73,71,194
79,91,174
85,98,160
83,121,125
190,83,519
32,115,129
16,543,117
84,92,150
72,74,82
69,104,116
32,101,4
80,103,376
8,101,224
72,51,6
69,301,134
32,110,146
80,140,125
73,76,141
90,197,116
65,165,220
83,102,232
32,113,108
67,105,199
82,112,120
85,79,130
83,122,237
84,100,153
32,132,5
87,120,62
65,135,63
83,132,170
32,138,72
80,85,256
69,126,131
82,91,77
70,144,200
69,347,212
67,84,202
84,78,52
76,78,163
89,88,144
32,131,66
67,101,222
82,132,175
73,85,178
83,140,129
80,91,116
32,162,72
65,127,239
78,102,112
68,90,89
32,133,153
84,99,257
72,101,78
69,128,68
32,132,37
191,462,539
77,83,157
79,113,242
90,128,40
65,95,956
82,5,226
69,141,93
76,102,8
65,129,81
32,164,224
8,810,972
32,126,1217
67,119,495
72,55,141
69,130,146
83,80,121
69,101,159
8,410,159
69,131,707
8,259,206
65,108,159
8,302,447
77,74,156
79,147,205
90,23,152
65,100,74
82,127,174
76,71,110
8,384,327
69,129,73
76,267,114
65,102,94
32,46,116
8,93,340
39,122,341
8,690,740
32,75,910
70,107,211
76,102,186
65,81,81
86,102,106
79,92,173
32,100,11
77,65,295
85,74,155
67,102,146
72,87,141
