VK,HT,FT
16,860,-1
73,102,121
32,117,105
76,110,104
79,107,68
86,111,42
69,107,119
32,139,104
16,702,37
84,115,206
72,93,223
65,181,70
8,111,302
16,658,76
69,0,0
65,147,1050
84,143,108
73,163,122
78,146,162
71,142,931
32,159,72
65,138,158
84,147,128
32,0,79
16,934,613
65,151,99
78,123,25
67,495,542
72,129,123
65,173,160
76,262,71
69,95,68
32,142,53
16,334,976
84,143,159
72,119,123
65,173,122
73,107,89
190,529,481
32,141,66
16,405,186
84,22,60
72,91,123
69,104,122
32,146,50
82,181,109
69,77,64
83,141,124
84,149,126
65,139,768
85,87,165
8,114,366
70,240,955
8,256,296
70,355,763
79,150,94
68,110,105
32,112,109
73,96,107
83,157,154
32,142,130
71,959,918
82,149,110
69,144,66
65,151,98
84,147,197
32,147,108
65,143,154
78,181,62
68,85,151
32,148,54
84,133,71
72,99,123
69,111,479
8,69,392
69,176,71
32,142,122
69,149,212
8,231,227
65,151,136
84,183,108
77,107,191
79,125,86
83,108,121
80,118,8
72,145,210
69,105,53
82,181,151
69,58,81
32,94,108
73,102,13
83,105,87
32,76,47
86,94,193
69,150,8
82,179,182
89,147,128
32,147,40
78,108,50
73,110,120
67,152,848
69,99,6
190,986,772
32,142,83
16,483,640
87,439,696
72,148,136
69,100,117
78,182,105
8,110,292
16,39,911
73,151,153
84,150,115
32,146,114
8,374,508
32,182,106
8,1500,294
84,149,136
32,137,137
73,160,135
83,101,692
32,134,109
82,145,133
85,108,104
78,150,108
32,117,96
66,74,79
89,96,140
32,144,106
8,278,504
16,703,220
73,81,136
84,119,49
32,144,145
70,633,114
69,108,151
76,111,72
83,57,154
32,105,66
76,117,85
73,110,130
75,529,642
69,171,105
32,146,121
73,129,101
8,1500,311
65,170,148
32,134,65
70,848,960
65,103,142
77,544,606
73,97,131
76,180,105
89,150,107
32,160,81
84,116,256
8,107,305
89,96,110
173,167,948
82,155,144
85,86,133
78,145,167
32,184,157
82,151,131
69,175,104
83,142,151
84,183,250
65,171,104
85,108,46
82,21,156
65,152,112
78,143,25
84,148,136
188,870,394
32,146,633
83,145,118
73,135,143
78,182,154
67,583,140
69,277,130
32,109,122
73,64,274
84,110,132
32,132,159
73,119,152
83,112,104
32,141,105
65,138,103
76,111,202
87,765,1
65,48,149
89,93,119
83,95,128
32,188,111
84,183,280
72,74,87
69,115,120
32,111,112
83,159,128
65,139,158
77,317,113
69,106,109
32,109,110
83,102,194
84,26,281
65,62,154
70,446,251
32,152,69
87,472,766
72,92,202
69,106,139
78,213,105
69,150,62
86,111,189
69,133,126
82,113,168
32,183,145
16,897,717
73,58,103
32,144,136
69,117,81
65,150,141
84,177,123
32,127,130
69,1,77
84,149,176
8,620,352
84,150,118
72,99,157
69,34,25
82,179,139
69,181,103
190,789,291
32,109,72
16,659,235
84,88,222
72,94,155
69,119,4
32,139,110
68,144,112
69,94,49
67,300,432
79,117,124
82,152,150
65,138,153
84,83,77
73,107,80
79,138,192
78,139,150
32,147,194
73,135,74
78,151,67
83,132,121
73,94,292
68,85,118
69,143,105
32,120,122
84,110,336
72,139,154
69,106,117
32,101,97
82,122,195
69,164,49
83,143,158
84,143,204
65,146,105
85,157,164
82,108,116
65,141,801
78,151,7
84,140,135
32,138,109
73,147,155
83,147,154
32,149,93
86,110,232
69,135,217
82,181,214
89,54,110
32,148,9
66,22,533
69,141,144
65,141,610
84,119,243
85,46,115
8,196,287
85,113,134
84,150,127
73,145,154
70,550,817
85,126,19
76,146,84
32,148,22
65,113,160
78,150,108
68,95,122
32,159,107
87,400,740
69,181,114
76,269,141
67,381,936
79,149,36
77,534,957
73,138,102
78,144,5
71,573,703
190,864,399
32,149,111
16,309,401
84,109,304
72,92,80
69,104,104
32,143,121
66,760,440
8,78,424
16,638,306
77,398,616
89,95,109
32,146,72
70,493,511
65,138,176
86,105,221
79,118,74
82,91,145
73,118,130
84,138,118
69,98,4
32,146,103
68,68,130
73,95,128
83,137,107
72,91,179
32,86,70
84,147,216
72,93,105
8,1500,297
83,110,213
73,108,150
8,292,287
73,90,266
83,144,120
32,140,88
65,102,124
32,0,122
66,697,282
69,72,113
70,956,745
32,112,150
78,144,125
79,111,68
68,91,75
76,115,112
69,172,144
32,118,113
83,98,116
79,118,75
85,116,105
80,493,840
190,60,422
32,155,157
8,246,352
79,113,84
68,137,149
76,18,166
69,103,18
32,144,107
65,95,139
78,139,103
68,80,135
32,139,109
67,176,751
73,96,108
76,146,70
65,147,153
78,138,97
84,132,237
82,181,104
79,65,129
32,147,30
83,168,107
79,109,69
85,108,79
80,277,784
8,292,325
83,110,200
79,127,92
85,86,104
80,645,356
190,911,124
32,186,105
16,267,243
79,134,74
84,115,103
72,115,119
69,114,34
82,25,116
32,83,107
71,663,415
82,128,162
69,147,109
65,160,300
84,185,145
32,109,122
68,60,151
73,146,14
83,102,154
72,153,27
69,96,109
83,103,103
32,144,103
84,107,270
72,110,136
69,109,129
82,142,150
69,156,182
32,141,116
73,99,120
78,205,77
67,118,966
76,109,132
85,108,164
68,149,143
69,228,123
32,140,103
84,133,215
72,93,105
69,109,126
32,141,117
68,143,113
73,104,270
70,779,531
69,104,119
82,144,154
69,128,0
78,138,66
84,138,110
32,92,108
84,109,117
89,144,150
80,241,170
69,146,160
83,160,130
32,141,207
79,109,124
70,323,655
32,139,131
70,517,688
82,104,166
73,151,139
69,188,2
68,88,96
32,147,92
82,119,157
73,136,284
67,233,498
69,106,141
32,109,109
16,166,592
