VK,HT,FT
20,91,-1
73,105,78
32,89,148
81,694,371
8,535,266
65,122,212
84,101,119
69,129,130
32,83,108
8,415,348
20,279,734
8,381,354
65,130,185
84,117,110
69,132,159
32,83,114
65,133,99
84,121,126
32,96,119
84,98,110
72,112,91
73,115,78
83,114,155
32,104,149
82,120,153
69,132,136
83,118,128
84,107,87
65,128,187
85,90,98
65,124,65
82,115,190
8,584,342
82,124,171
65,138,234
78,109,68
84,113,123
32,91,135
65,132,79
66,49,840
79,110,115
85,104,142
84,109,125
32,88,120
65,126,138
32,95,143
87,110,109
69,141,191
75,68,368
32,95,115
65,138,63
71,106,160
79,106,130
32,95,176
87,110,93
73,99,82
84,108,111
72,109,92
32,89,182
77,535,728
89,140,229
32,100,175
66,617,622
79,109,89
89,98,155
70,96,134
82,121,71
73,114,98
69,146,169
78,108,84
68,103,152
190,460,596
32,87,170
16,150,73
73,104,97
84,104,95
32,98,127
8,611,393
16,155,152
73,113,86
8,482,457
16,165,97
65,122,185
8,625,393
16,150,156
73,109,92
32,95,151
71,100,178
73,99,98
86,861,588
69,150,160
32,87,131
73,98,75
84,103,111
32,87,125
8,620,440
87,99,66
79,109,140
85,79,158
76,122,171
68,93,126
32,98,184
71,108,123
73,98,100
86,965,509
69,140,161
32,93,141
73,100,87
84,104,130
32,94,139
49,537,877
48,406,903
32,99,114
83,120,134
84,123,132
65,122,65
82,121,188
83,126,119
32,89,111
73,106,94
70,114,112
32,87,142
73,112,75
16,170,58
32,88,216
8,354,460
16,151,116
8,621,277
73,104,100
32,92,107
67,923,125
79,114,132
85,105,147
76,116,120
68,108,110
16,175,71
49,918,197
32,88,194
16,131,62
84,123,108
72,104,86
69,137,209
32,84,137
83,128,169
84,107,123
65,126,183
70,114,129
32,97,186
87,103,113
65,134,64
83,122,163
32,97,217
65,126,202
77,520,209
65,133,117
90,911,959
73,112,95
78,120,73
71,108,191
76,147,166
8,267,488
65,129,250
90,800,559
73,111,100
78,113,92
76,146,123
71,103,122
8,437,458
71,104,123
76,167,175
89,108,326
32,90,128
67,617,988
79,99,131
78,113,69
83,116,139
73,98,87
68,94,111
69,141,135
82,127,109
69,147,121
65,134,242
84,117,113
69,142,182
32,102,111
8,352,288
65,126,254
84,109,113
69,139,198
32,101,109
87,101,108
73,115,75
84,110,134
72,111,82
32,102,158
77,471,695
89,121,194
32,91,111
84,102,108
79,98,102
77,936,440
79,90,145
65,119,154
84,106,130
8,426,302
65,120,176
84,100,138
79,88,90
32,85,125
65,130,268
76,161,153
69,147,165
82,120,174
70,131,121
8,611,370
71,99,112
89,134,193
188,238,830
32,101,178
65,120,185
78,110,78
68,93,163
32,84,216
84,110,105
72,130,80
69,137,205
89,132,164
8,352,398
32,94,124
87,117,104
69,142,212
82,125,113
69,150,213
32,100,136
67,880,913
79,109,114
85,98,118
82,120,149
84,101,114
69,148,169
79,96,98
85,90,155
83,120,136
190,840,889
32,84,174
16,148,148
84,112,95
72,114,82
69,137,204
32,94,117
69,143,134
83,120,150
84,112,108
65,119,147
66,444,123
76,160,176
73,97,99
83,123,143
72,112,90
77,87,260
69,135,137
78,117,81
84,113,134
32,88,137
87,100,128
65,121,68
83,132,150
32,95,108
67,91,599
76,118,107
69,143,183
65,126,206
78,109,77
188,48,26
32,103,162
8,565,378
188,743,343
32,88,117
79,107,120
82,121,116
68,109,171
69,136,198
82,128,149
76,163,179
89,110,111
188,189,415
32,87,216
