VK,HT,FT
16,212,-1
70,106,101
65,105,147
76,153,139
83,128,235
69,159,169
84,158,233
73,165,411
222,81,402
83,113,170
32,239,131
86,96,285
8,128,666
16,415,202
86,153,226
73,40,98
76,273,245
65,169,238
32,177,221
73,149,247
83,113,146
32,153,130
65,153,203
78,137,95
32,209,154
69,121,132
88,105,306
67,145,146
69,153,162
76,174,154
69,114,129
78,231,132
84,93,587
32,161,106
16,264,139
73,170,146
84,129,186
65,97,258
76,145,146
73,121,146
65,106,159
78,137,114
32,204,239
82,177,337
69,95,106
83,105,186
84,113,82
65,97,178
85,170,225
82,137,153
65,123,179
78,60,170
84,114,166
32,186,245
73,231,146
78,147,138
32,153,162
82,122,203
85,130,283
82,137,154
65,129,197
76,156,156
32,186,145
16,258,755
87,144,162
69,113,162
83,105,481
84,105,82
69,116,204
82,114,121
78,185,154
32,158,168
16,217,394
80,145,170
69,153,202
78,154,173
83,119,447
89,139,146
76,155,144
86,90,178
65,120,146
78,137,133
73,148,146
65,122,170
190,137,784
32,217,171
16,268,292
87,121,248
72,129,85
8,297,715
16,408,397
66,149,359
85,129,276
84,113,154
32,144,155
73,106,217
84,121,187
83,129,186
32,157,130
68,121,361
69,97,229
70,294,114
73,144,202
78,107,138
73,177,178
84,48,186
69,130,505
76,263,194
89,130,193
32,130,218
87,105,160
82,200,318
8,145,666
79,234,154
82,25,98
84,162,154
72,134,146
32,177,130
84,161,152
72,169,71
69,122,106
32,153,122
84,110,114
82,153,265
73,169,146
80,89,226
32,161,242
73,128,131
70,160,364
32,169,163
89,137,274
79,144,218
85,143,106
32,161,114
76,145,147
79,97,270
86,90,136
69,177,170
32,201,122
73,259,195
84,120,117
65,121,236
8,569,104
16,248,434
84,122,583
8,301,795
16,243,609
73,169,146
84,145,125
65,110,199
76,119,146
73,153,222
65,137,145
78,137,154
32,153,226
16,170,994
67,231,130
8,290,946
67,153,130
85,177,122
73,169,130
83,89,138
73,184,122
78,107,122
69,154,170
190,145,230
32,327,122
13,64,390
16,199,226
65,78,178
8,98,402
16,225,130
73,122,98
222,48,437
86,153,492
69,162,378
32,233,131
69,79,122
65,121,154
84,137,320
69,129,145
78,150,193
32,209,196
65,98,157
84,142,259
32,161,154
77,131,227
65,177,122
78,153,112
89,104,711
32,213,207
16,212,177
73,129,129
84,126,204
65,162,137
76,129,146
73,153,129
65,138,91
78,169,71
32,153,226
82,122,611
69,54,131
83,103,542
84,23,114
65,161,184
85,129,202
82,169,162
65,120,179
8,137,594
85,129,170
8,629,430
82,153,300
65,136,179
78,153,135
84,129,157
83,169,258
188,97,178
32,193,161
65,136,169
78,89,125
68,153,147
32,121,130
78,154,178
79,113,122
84,113,130
72,106,57
73,121,146
78,145,154
71,145,302
32,37,150
67,146,488
79,105,123
77,120,194
69,89,111
83,136,262
32,193,77
67,124,951
76,148,198
79,241,106
83,105,196
69,265,146
32,201,185
84,126,132
79,121,204
32,197,153
84,162,489
8,297,628
32,169,146
87,113,565
72,145,82
65,161,145
84,89,43
32,144,115
84,169,162
72,145,90
69,131,106
32,176,183
82,201,353
69,115,106
71,204,226
85,113,246
76,113,82
65,122,170
82,51,270
83,177,539
32,184,114
67,137,865
8,101,498
16,415,429
70,129,99
65,137,162
76,97,114
83,128,378
69,119,82
84,104,210
73,104,122
222,136,498
83,137,170
32,152,210
16,347,186
86,105,218
73,185,112
76,273,226
