VK,HT,FT
16,277,-1
84,122,218
72,91,136
69,157,103
32,135,362
16,217,117
67,159,304
79,106,155
86,98,158
69,126,212
32,143,202
73,128,117
78,125,133
32,163,136
16,362,240
82,139,89
85,135,281
83,156,252
69,190,316
76,196,335
32,104,149
16,280,329
83,118,87
80,117,402
82,100,241
73,114,134
78,153,96
71,159,191
83,31,135
32,133,0
8,203,371
32,179,821
188,196,508
8,332,384
16,290,47
188,189,162
32,167,146
16,219,101
75,101,463
69,84,81
78,120,4
84,123,169
85,130,123
67,157,121
75,179,388
89,87,115
32,140,174
73,115,352
83,139,91
32,104,148
65,125,23
32,121,12
65,136,0
8,676,422
32,151,752
76,168,228
79,156,0
67,133,532
65,243,180
76,158,92
32,162,81
83,157,0
84,153,822
69,145,76
65,144,273
75,178,368
72,160,23
79,139,372
85,115,64
83,462,294
69,153,272
32,154,73
82,159,453
69,137,76
65,162,222
8,327,317
83,233,334
84,158,358
65,199,126
82,249,96
8,333,610
85,180,241
82,193,116
65,228,220
78,82,176
84,95,155
190,130,426
32,197,0
16,486,263
73,146,67
84,141,298
32,184,124
73,169,148
83,143,241
32,128,166
65,120,286
32,122,56
67,134,509
65,190,157
83,97,199
85,99,156
65,146,177
76,186,230
32,169,151
68,110,0
73,104,265
78,118,152
73,143,546
78,123,134
71,120,35
32,158,0
69,367,83
88,105,323
80,98,503
69,289,167
82,185,143
73,121,159
67,127,347
78,110,203
69,119,0
8,831,453
69,265,23
78,89,96
67,142,131
69,137,235
32,156,412
84,114,336
72,99,120
65,173,132
84,123,134
32,129,161
73,128,169
83,140,202
32,114,129
83,101,292
85,98,191
82,151,106
80,126,379
65,170,0
83,209,434
69,157,265
68,120,933
32,109,187
66,123,597
89,156,591
32,137,55
78,107,117
79,128,301
66,103,487
79,189,0
68,153,45
89,86,20
32,162,157
69,398,719
76,264,255
83,104,60
69,144,454
32,115,129
73,199,89
78,129,151
32,101,160
84,174,322
72,127,67
69,180,70
32,152,68
65,84,218
82,195,109
69,153,120
65,140,418
190,182,739
32,136,205
16,371,36
84,139,177
72,122,57
69,160,161
32,141,119
83,77,375
84,135,198
65,206,158
70,189,522
32,138,351
73,164,239
83,135,168
32,129,109
67,139,666
69,232,292
8,4,219
86,133,113
69,211,145
82,165,110
89,207,183
32,159,148
70,121,554
82,138,123
73,121,152
69,153,109
78,84,507
68,134,146
76,178,200
89,143,468
32,159,176
65,181,235
78,87,108
68,154,137
32,99,84
89,144,434
79,227,66
85,133,60
32,146,617
75,116,449
78,96,66
79,301,177
87,138,499
32,148,41
87,148,254
72,212,368
69,150,79
78,105,443
32,132,277
89,204,260
79,237,164
85,97,60
32,176,660
87,139,117
65,153,56
76,184,271
75,106,0
73,57,0
8,0,645
32,186,1004
73,112,244
78,105,135
32,162,172
84,142,225
72,145,65
65,160,91
84,135,166
32,91,74
84,152,158
72,146,153
69,190,107
89,184,224
32,137,243
87,129,543
73,198,305
76,116,231
32,152,116
77,95,269
65,170,43
75,161,235
69,140,323
32,133,450
69,317,556
86,127,239
69,202,295
82,94,116
89,118,363
32,152,124
69,0,96
70,75,716
79,170,117
82,162,164
84,109,230
32,147,155
84,188,389
79,104,100
32,156,125
77,138,319
65,155,54
75,123,187
69,124,6
32,112,410
83,161,355
85,104,199
82,137,193
69,117,84
32,170,490
89,174,228
79,239,88
85,209,80
32,165,368
8,297,212
82,213,276
32,133,332
78,97,11
69,224,164
68,108,0
83,122,337
32,114,290
65,142,99
82,176,126
69,194,117
32,168,142
77,107,529
69,109,211
84,187,305
190,168,837
32,113,280
16,268,0
84,138,134
72,112,71
69,153,93
32,134,210
82,140,122
69,139,85
83,202,178
84,144,273
65,167,146
85,131,220
82,129,215
65,193,235
78,108,259
84,100,167
32,124,159
65,167,229
76,162,154
83,262,52
79,115,253
32,125,119
72,152,149
65,164,89
83,402,193
32,122,68
65,145,375
32,124,254
66,101,1020
65,135,284
82,123,169
32,167,0
69,0,582
8,217,850
65,146,244
82,210,132
69,156,118
65,151,206
32,118,0
87,145,918
73,111,412
84,128,189
72,111,125
8,0,409
65,157,114
32,122,101
84,146,447
79,127,92
32,144,129
83,121,407
73,198,178
84,131,222
32,150,281
65,194,294
84,129,0
188,183,684
32,167,143
69,219,473
8,190,437
86,125,265
69,191,370
78,108,561
32,103,251
84,146,317
72,89,92
79,231,237
85,193,66
71,150,265
72,154,37
32,204,1
65,225,84
76,150,195
67,139,158
79,122,152
72,199,0
79,235,351
76,108,330
32,149,285
73,75,223
83,153,126
32,123,140
78,103,170
79,114,151
84,146,427
32,142,326
83,128,203
79,155,176
76,197,20
68,145,221
32,91,265
73,134,143
78,127,115
32,35,166
84,175,349
72,109,94
69,187,159
32,140,239
8,901,418
73,154,575
83,139,120
32,146,122
84,186,343
79,174,73
87,109,607
78,85,70
188,163,749
8,0,340
190,156,799
32,147,485
16,125,443
84,141,242
72,109,98
69,141,220
83,106,324
8,541,701
73,184,163
83,133,133
32,126,64
65,236,591
82,166,137
69,136,106
65,238,0
32,110,0
72,105,59
65,173,38
83,118,317
32,156,59
65,171,66
32,111,160
78,176,33
85,119,416
77,112,315
66,82,0
69,171,245
82,99,175
32,120,679
79,152,230
70,246,143
32,127,172
16,398,240
84,112,163
86,104,187
83,181,164
32,146,0
84,173,175
72,123,109
65,163,81
84,117,206
32,132,235
65,156,309
82,195,200
69,170,121
32,179,215
85,172,180
83,307,238
85,101,214
65,202,176
76,215,88
89,87,28
32,147,247
84,212,190
85,174,0
78,113,215
69,203,169
68,106,472
32,105,151
73,119,118
78,181,113
84,106,163
79,124,98
32,168,121
83,96,299
8,908,395
87,140,554
72,145,191
65,193,83
84,132,108
69,147,244
86,99,770
69,180,276
82,162,222
32,145,53
83,153,293
79,162,126
8,0,322
80,99,677
79,216,86
82,117,160
8,0,251
82,165,271
84,125,257
73,193,408
78,158,149
71,98,203
32,160,14
69,0,478
86,67,130
69,165,399
78,111,472
84,101,101
83,217,238
32,153,887
72,75,0
65,162,26
86,118,269
8,0,714
80,112,121
69,295,158
78,100,0
32,109,97
84,169,463
79,157,79
32,159,122
66,106,569
69,89,203
32,138,517
79,140,230
78,109,144
190,149,1060
32,114,871
16,226,769
84,109,234
72,106,67
73,124,134
83,135,106
32,119,146
68,153,730
73,150,401
78,88,130
71,152,158
8,557,813
69,98,21
32,178,195
68,169,158
73,164,605
78,166,143
73,179,283
78,139,138
71,91,72
32,152,519
73,142,233
8,16,184
69,166,146
88,132,257
8,55,523
80,106,213
82,151,219
73,184,64
67,122,341
73,124,107
78,105,145
71,147,240
32,113,378
73,149,0
83,146,138
32,75,171
82,134,413
69,167,95
65,158,273
83,100,359
79,130,244
78,117,129
65,193,160
66,109,1206
76,123,236
69,75,4
32,131,263
70,150,346
79,175,166
82,158,179
32,146,14
84,163,307
72,112,103
69,133,123
32,128,224
84,113,225
89,122,82
80,111,317
69,241,173
32,119,152
79,192,250
70,127,282
32,117,133
82,154,309
69,142,85
83,140,306
84,132,400
65,209,162
85,137,445
82,137,124
65,181,253
78,97,184
84,129,119
32,90,204
84,129,161
72,162,74
65,173,57
84,131,207
32,127,189
73,181,179
84,124,269
32,152,0
73,151,175
83,176,202
32,115,192
65,176,529
78,113,0
68,140,144
32,103,61
84,137,274
72,113,128
69,166,118
32,135,311
81,400,604
85,164,232
65,78,343
76,116,208
73,107,224
84,134,131
89,140,156
32,154,281
79,237,191
70,140,326
32,130,102
84,193,253
72,104,130
69,134,115
32,134,372
70,139,185
79,210,152
68,171,497
32,129,14
73,141,198
83,126,113
32,125,158
67,141,736
79,280,260
77,135,447
65,70,537
80,118,252
8,362,634
80,125,286
65,214,256
82,162,106
65,160,225
66,140,1046
76,126,171
69,9,576
32,138,35
84,156,287
79,155,83
32,179,124
84,132,438
72,161,84
65,185,76
84,121,201
32,161,267
79,123,219
70,119,103
32,121,62
65,123,392
78,101,125
89,103,244
32,135,149
79,213,221
84,105,493
72,104,87
69,143,129
82,160,105
32,96,0
69,0,815
83,234,354
84,130,542
65,169,143
66,151,506
76,201,246
73,174,207
83,139,185
72,210,141
73,128,107
8,368,738
77,106,17
69,150,118
78,114,280
84,89,155
190,154,361
32,134,284
16,332,243
70,101,346
79,160,187
82,137,164
32,117,44
8,625,453
16,127,498
70,151,131
79,132,120
82,109,158
32,121,0
65,141,249
32,138,541
85,132,153
78,95,62
73,121,0
81,129,387
85,135,233
69,194,320
32,145,158
68,145,775
73,157,277
78,109,151
71,105,0
73,142,530
78,140,143
32,110,93
8,486,194
73,75,187
78,127,145
71,66,84
32,111,927
69,133,638
88,119,359
80,104,269
69,222,150
82,127,121
73,123,202
67,93,243
78,104,312
69,85,390
8,517,912
69,161,288
78,109,219
67,144,194
69,161,145
188,98,196
32,130,141
16,356,355
73,140,172
32,137,163
72,165,215
73,127,156
71,136,230
72,133,123
76,91,302
89,102,226
32,161,147
82,125,233
69,156,89
67,114,182
79,242,231
77,79,376
69,121,71
78,97,484
68,130,121
32,126,34
84,156,223
72,166,49
73,113,102
83,133,162
32,132,138
66,113,1362
85,128,576
83,193,219
73,151,197
78,187,148
69,182,237
83,115,28
190,185,1030
