VK,HT,FT
16,320,-1
73,92,209
222,88,318
68,97,202
32,93,107
72,91,412
65,87,89
86,101,132
69,93,80
32,104,137
84,97,220
79,99,141
32,100,137
83,97,153
65,103,188
89,107,232
32,77,127
84,96,339
72,107,108
65,132,102
84,99,97
32,89,94
16,180,347
83,106,129
73,102,164
84,125,228
65,102,205
82,138,171
32,112,130
16,152,352
73,91,219
78,100,145
68,112,189
73,104,116
65,122,171
78,118,139
32,94,109
16,242,215
67,119,252
85,84,148
73,112,184
83,99,119
73,89,209
78,115,157
71,81,84
32,97,126
16,176,140
82,122,95
8,194,510
82,116,460
65,122,222
8,285,427
69,100,326
32,92,159
82,132,164
65,114,134
78,86,179
75,93,188
83,119,124
32,107,138
65,97,168
83,125,154
32,132,131
79,99,165
78,88,191
69,112,131
32,102,68
79,120,108
70,88,122
32,91,100
77,112,256
89,106,176
32,118,96
84,96,169
79,141,127
80,201,166
32,107,132
53,367,988
32,77,222
70,84,152
65,120,112
86,94,233
79,105,195
82,85,177
73,101,103
84,111,115
69,118,104
32,104,97
82,128,187
69,118,117
83,132,160
84,87,204
65,114,181
85,99,284
82,100,231
65,136,224
78,111,114
84,86,122
83,122,168
32,85,149
79,101,198
70,95,127
32,114,121
65,126,208
76,104,193
32,117,241
84,94,133
73,98,94
77,107,127
69,108,80
190,92,186
32,162,273
16,161,393
73,86,92
32,121,139
72,112,259
65,116,121
86,109,196
69,113,110
32,103,100
78,93,316
69,81,197
86,107,182
69,131,147
82,91,154
32,116,125
72,95,168
65,115,75
68,89,134
32,97,110
65,110,135
32,103,105
66,100,160
65,131,147
68,115,213
32,87,157
69,97,335
88,107,247
80,78,198
69,120,100
82,130,125
73,100,149
69,132,182
78,99,162
67,89,146
69,104,138
32,100,150
84,124,136
72,106,118
69,98,158
82,130,141
69,103,109
190,90,184
32,120,191
16,234,205
73,91,302
84,94,179
32,96,149
73,123,329
83,108,107
78,105,130
84,82,175
8,136,536
222,102,640
84,102,107
32,118,133
84,107,179
72,80,93
69,116,101
32,102,107
67,104,182
85,86,157
83,99,133
84,81,149
79,90,281
77,88,180
69,117,125
82,99,111
32,110,144
83,93,165
69,119,151
82,97,143
86,99,371
73,105,147
67,109,119
69,129,163
32,100,302
84,121,279
72,81,80
65,141,144
84,112,86
32,97,105
68,79,317
82,97,160
73,122,120
86,100,144
69,120,129
83,123,226
32,97,167
77,89,178
69,104,164
32,93,103
84,119,240
79,122,116
32,101,113
86,90,319
73,133,200
83,108,151
73,85,208
84,101,230
32,87,137
84,93,275
73,121,94
77,114,123
69,93,81
32,103,91
65,128,305
78,99,117
68,117,153
32,111,156
65,117,262
71,114,152
65,127,157
73,88,175
78,111,154
188,108,479
32,110,158
78,120,376
79,105,156
32,92,156
73,124,196
83,96,116
32,117,82
73,96,131
84,109,149
32,83,193
84,93,326
72,88,120
69,95,101
32,85,116
83,119,288
67,81,307
69,113,148
78,94,140
69,104,272
82,101,101
89,104,114
186,96,253
32,83,102
8,416,548
84,109,430
72,97,285
69,129,188
89,96,150
32,121,194
72,104,169
65,101,96
86,119,92
69,105,114
32,120,91
84,115,259
72,94,65
69,106,143
32,91,261
77,85,215
79,185,141
83,102,153
84,84,157
32,101,167
68,82,236
69,92,181
76,115,102
73,97,248
67,105,109
73,129,105
79,136,189
85,100,149
83,116,214
32,94,152
16,188,224
73,110,118
78,131,159
68,121,193
73,117,115
65,98,129
78,92,125
32,109,125
70,95,279
79,231,164
68,95,237
32,108,109
65,105,200
82,132,190
79,128,106
85,81,107
78,79,185
68,89,110
16,438,356
49,111,103
32,106,268
16,336,385
73,98,162
32,113,116
69,125,207
83,117,142
80,93,165
69,80,95
67,105,304
73,99,148
65,108,129
76,157,174
89,103,260
32,103,107
69,107,422
78,97,124
74,104,248
79,87,150
89,111,195
32,96,155
84,110,302
72,113,103
69,93,131
73,97,170
82,94,178
32,95,116
76,113,328
85,92,175
78,106,184
67,86,142
72,74,148
32,91,122
66,82,383
85,78,193
70,286,238
69,137,269
84,103,211
32,93,168
87,127,112
73,102,91
8,393,545
72,86,489
73,105,147
67,121,132
72,91,90
32,108,130
65,135,393
76,160,154
87,112,240
65,142,214
89,101,193
83,93,153
32,100,86
67,92,264
79,119,102
78,100,154
84,82,100
65,131,206
73,97,155
78,128,141
83,111,114
32,107,111
65,136,290
78,91,161
32,102,123
65,118,343
83,121,164
79,124,148
82,97,105
84,102,174
77,87,476
69,107,137
78,81,114
84,96,101
32,103,120
79,130,201
70,112,154
32,87,89
68,97,278
69,119,197
76,96,123
73,120,179
67,97,229
73,127,177
79,138,152
85,109,198
83,130,122
32,89,276
79,115,227
80,121,134
84,129,226
73,144,92
79,161,87
78,90,143
83,97,168
190,92,347
32,242,188
16,324,332
84,109,193
72,87,133
69,111,97
32,112,155
65,80,200
82,134,150
69,132,137
32,84,102
65,106,183
76,101,175
87,112,177
65,139,136
89,97,105
83,109,103
32,103,230
67,103,342
82,134,184
79,134,194
85,83,128
8,583,521
87,130,488
68,88,215
69,99,230
68,116,168
32,99,169
77,87,171
73,89,201
68,116,219
65,123,168
89,111,161
190,98,300
32,90,187
16,315,152
73,103,149
84,104,149
32,98,141
83,108,152
69,160,187
77,90,357
83,121,234
32,96,175
84,95,152
79,127,103
32,108,150
66,86,152
69,117,156
32,101,104
85,95,346
78,89,179
65,125,125
78,110,126
73,121,126
77,99,127
79,106,165
85,94,143
83,100,130
76,163,178
89,56,270
32,123,243
84,91,138
72,109,92
79,140,134
85,112,131
71,84,109
72,85,93
84,103,124
32,83,180
79,117,270
70,110,168
32,87,147
65,102,227
83,101,126
32,79,219
84,85,146
72,101,111
69,96,98
32,95,81
66,90,239
69,128,133
83,119,112
84,130,91
32,95,162
79,113,235
80,122,171
84,133,167
73,143,90
79,155,98
78,94,150
32,115,176
73,110,215
78,103,167
32,91,123
8,627,565
70,109,542
79,119,133
82,90,156
32,109,155
76,102,309
85,84,249
78,103,166
67,102,141
72,70,139
190,108,354
32,110,254
16,130,151
83,126,440
73,96,148
84,92,207
65,123,198
82,130,144
32,116,186
73,103,204
83,110,105
32,99,168
79,97,111
78,123,124
69,100,113
32,103,79
79,107,103
70,108,133
32,121,92
84,96,115
72,94,72
69,121,90
32,110,106
85,89,261
78,96,238
68,115,84
69,96,227
82,96,138
71,96,198
82,128,191
79,130,155
85,101,121
78,95,181
68,100,131
32,95,102
72,110,441
65,92,107
85,92,175
78,91,203
