VK,HT,FT
53,66,-1
57,113,327
84,109,107
72,92,124
32,109,143
65,119,121
78,92,133
68,103,108
8,365,387
16,226,461
82,94,144
73,101,195
67,93,236
65,133,204
8,309,570
16,180,688
77,105,196
89,98,401
32,125,168
87,111,177
73,109,86
70,118,188
69,97,234
32,105,208
65,131,154
78,93,89
68,88,94
32,117,135
16,165,156
73,115,75
32,124,108
72,104,222
65,106,72
68,93,180
32,122,120
65,123,120
32,123,120
86,94,451
69,102,228
82,102,126
89,98,206
32,91,154
80,120,164
79,115,212
83,115,192
73,124,230
84,111,244
73,123,154
86,96,228
69,105,107
32,116,182
69,397,269
88,99,263
80,94,148
69,125,164
82,116,134
73,90,137
69,92,146
78,95,171
67,94,152
69,117,245
32,143,210
65,111,231
84,93,283
32,105,124
16,477,248
82,107,124
73,90,197
67,92,174
72,118,119
65,97,131
8,412,488
65,114,502
82,109,211
68,123,230
79,117,166
32,101,193
16,345,262
79,101,352
67,107,127
69,114,136
65,122,203
78,96,152
32,121,150
16,308,226
71,100,91
82,132,214
73,79,122
76,252,194
32,100,334
8,460,442
190,113,710
32,94,223
16,338,273
84,116,166
72,91,206
69,109,91
82,130,74
69,103,110
32,105,229
73,106,299
83,92,113
32,168,122
65,110,189
32,97,131
86,100,330
8,333,494
87,112,246
73,89,127
68,87,190
69,99,157
32,122,174
86,107,394
65,118,209
82,118,136
73,95,168
69,106,219
84,323,153
89,106,309
32,113,245
79,96,157
70,94,99
32,110,181
68,88,301
73,102,124
70,322,183
69,112,185
82,101,127
69,76,137
78,103,255
84,106,175
32,101,168
77,88,162
69,107,114
88,136,299
73,97,230
67,105,224
65,76,197
8,252,534
76,110,346
65,109,162
84,136,169
73,146,157
78,110,122
32,115,137
65,130,115
78,90,119
68,109,115
32,87,91
83,108,215
69,133,143
65,144,215
70,148,270
79,204,197
68,97,307
32,95,121
68,105,246
73,102,112
83,146,107
72,109,259
69,115,233
83,127,285
190,108,390
32,143,280
16,216,325
73,97,178
32,119,144
76,85,188
73,80,119
75,100,169
69,108,57
32,111,137
84,114,150
72,98,71
69,96,87
32,97,112
76,108,325
65,131,92
84,96,142
73,135,130
78,116,113
32,117,129
68,115,213
73,91,146
83,114,205
72,103,213
69,110,304
83,126,288
32,110,259
66,87,303
69,134,140
67,101,199
65,117,124
85,87,165
83,129,103
69,117,140
32,120,112
84,107,148
72,124,91
69,105,109
89,79,140
32,111,152
65,122,164
82,118,133
69,115,122
32,116,121
68,91,216
73,92,110
70,336,131
69,86,342
82,75,124
69,87,131
78,80,175
84,84,202
32,79,187
84,112,384
72,89,109
65,115,94
78,119,111
32,92,149
84,102,125
72,101,127
69,113,74
32,101,112
85,98,219
83,112,141
85,98,102
65,96,122
76,278,132
8,624,518
32,138,459
84,110,223
69,147,210
88,124,284
189,135,554
77,134,287
69,96,98
88,100,314
32,109,124
68,110,211
73,115,95
83,123,170
72,98,231
69,79,316
83,118,177
32,114,180
84,94,162
72,107,112
65,131,111
84,124,152
32,125,120
16,249,179
73,116,60
32,114,147
65,110,229
77,103,139
32,108,155
85,96,312
83,121,129
69,82,128
68,94,221
32,126,81
84,98,169
79,94,238
190,89,464
32,137,133
16,387,250
70,106,140
79,134,152
82,90,146
32,110,165
69,109,185
88,117,312
65,103,120
77,91,180
80,96,257
76,108,193
69,128,132
188,105,286
32,92,158
79,107,361
78,117,124
32,110,137
84,116,170
72,113,139
69,88,94
73,109,104
82,84,109
32,100,113
70,98,183
73,107,105
83,92,136
72,105,183
32,106,109
84,106,152
65,108,213
67,138,250
79,156,217
83,110,223
32,106,237
73,120,330
78,119,148
83,98,122
84,110,123
69,128,144
65,126,198
68,120,186
32,102,84
79,126,273
70,142,156
32,103,143
85,106,209
83,107,86
73,96,138
78,126,150
71,95,136
32,99,105
76,111,262
69,112,84
84,189,169
85,96,332
67,126,97
69,113,135
32,96,170
65,120,172
78,100,125
68,100,102
32,104,144
84,101,196
79,93,192
77,95,218
65,146,146
84,111,207
79,116,290
32,105,208
8,785,529
188,98,447
32,119,154
84,83,250
72,83,124
69,101,125
89,111,106
32,123,144
85,102,343
83,125,202
69,74,122
32,124,102
67,110,303
65,116,191
66,84,205
65,159,171
71,107,170
69,120,180
32,116,132
65,123,135
78,113,132
68,97,70
32,100,128
67,108,251
73,81,188
76,201,153
73,88,229
65,113,199
8,306,563
65,124,379
78,95,126
84,106,192
82,122,172
79,104,125
32,93,216
87,99,287
73,98,90
84,113,172
72,94,93
32,117,114
76,89,252
73,89,147
84,341,114
76,87,270
69,109,106
32,371,104
68,111,206
73,91,100
67,97,206
69,108,139
68,122,243
32,108,175
79,125,382
78,125,152
73,108,132
79,131,132
78,145,131
83,87,119
190,44,219
32,148,253
16,330,195
84,104,484
72,102,187
73,117,127
83,98,178
32,105,95
87,110,137
65,169,163
83,129,194
32,126,113
83,100,127
79,122,90
77,111,154
69,94,82
84,105,171
72,111,86
73,135,129
78,103,163
71,125,74
32,93,142
86,104,404
69,151,216
82,110,144
89,88,248
32,114,166
85,95,218
78,129,200
73,119,218
81,121,274
85,116,152
69,97,305
32,105,120
84,105,225
79,113,98
32,104,113
77,119,340
69,107,169
32,107,85
65,98,176
78,94,111
68,96,118
32,97,131
16,242,139
73,104,120
32,107,129
69,74,222
78,86,123
74,116,324
79,135,103
89,127,156
69,98,166
68,113,241
32,95,156
73,136,196
84,111,94
32,108,101
86,101,282
69,134,221
82,114,139
89,83,178
32,95,140
77,98,207
85,101,242
67,115,104
72,100,106
32,98,81
190,83,379
8,335,478
190,122,729
32,134,246
16,287,344
84,95,173
72,90,141
69,101,117
32,97,113
