VK,HT,FT
16,171,-1
84,135,112
72,90,246
69,128,193
82,114,133
8,297,523
32,135,317
83,180,289
69,156,210
82,121,141
86,141,346
73,167,551
78,147,174
71,139,326
32,137,17
83,127,570
84,117,175
65,152,199
70,141,188
32,129,243
87,160,349
65,190,206
83,132,136
32,124,158
83,127,143
79,300,242
32,113,163
70,148,567
82,152,202
73,142,556
69,115,207
78,156,166
68,145,238
76,169,104
89,148,273
190,140,76
32,338,581
16,300,284
73,201,75
32,209,139
70,134,225
69,139,168
76,33,113
84,159,133
32,115,119
76,107,262
73,140,404
75,182,169
69,125,144
32,138,119
16,189,144
73,194,74
32,132,71
87,109,414
65,130,212
83,137,169
32,143,142
87,126,259
69,142,175
76,149,126
67,147,180
79,183,112
77,175,242
69,152,123
68,123,234
32,149,201
73,112,210
78,153,139
32,62,97
8,30,774
84,126,199
79,243,112
32,129,81
65,148,287
32,134,159
87,114,418
65,150,206
82,132,401
77,109,274
32,129,120
72,96,312
79,199,141
77,133,253
82,148,146
32,130,177
70,148,167
82,148,196
79,162,883
77,172,266
32,68,179
84,151,109
72,130,97
69,150,153
32,125,103
77,138,237
79,168,259
77,172,344
69,107,121
78,136,118
84,150,326
32,138,107
16,288,614
73,206,219
32,147,71
67,164,414
65,95,149
77,115,115
69,131,122
32,121,159
82,137,454
72,104,283
8,325,316
84,134,100
72,62,101
82,86,238
79,146,274
85,167,193
71,132,362
72,144,177
32,115,199
84,38,102
72,158,105
69,136,156
32,127,206
68,122,798
79,128,126
82,132,159
190,127,624
32,398,259
16,283,557
73,193,117
32,158,140
74,166,551
85,105,163
83,147,166
84,134,129
32,135,127
76,101,695
79,115,94
86,157,228
69,140,230
32,132,123
84,149,231
72,104,116
69,107,169
32,122,358
85,122,324
78,131,312
73,153,113
81,914,931
85,131,269
69,115,177
32,116,166
65,162,191
78,124,116
68,134,167
32,94,141
70,148,1155
82,157,194
69,112,189
83,141,280
72,105,354
32,127,420
70,165,280
69,151,173
76,160,115
8,118,328
69,130,248
76,149,80
32,130,293
79,186,241
70,284,103
32,130,339
76,128,209
73,162,395
84,132,136
76,150,323
69,101,104
32,114,118
66,118,284
79,115,262
85,224,169
84,143,411
73,118,73
81,37,508
85,109,153
69,152,459
32,140,97
67,146,405
65,153,221
70,147,312
69,165,368
83,126,247
190,146,1063
32,44,270
16,462,316
84,142,133
72,105,219
69,124,202
32,118,219
83,180,271
65,146,230
78,132,141
68,137,141
73,147,215
67,138,175
72,136,219
69,84,307
83,128,199
32,127,154
87,97,259
69,76,428
82,142,145
69,128,228
32,98,95
68,131,969
69,137,223
76,191,141
73,158,169
67,137,132
73,227,149
79,231,274
85,144,195
83,131,297
76,168,164
89,161,233
32,132,810
70,133,175
82,157,171
69,110,124
83,148,279
72,111,109
32,128,152
66,140,259
85,122,158
84,142,221
32,96,162
87,162,203
72,142,95
65,179,133
84,146,116
32,119,128
82,73,87
69,103,228
65,116,306
76,236,116
89,158,350
32,132,143
83,171,183
69,136,144
84,138,546
32,123,123
73,182,203
84,120,114
32,136,108
79,142,266
70,146,264
32,133,162
70,136,157
79,308,101
82,162,306
32,109,166
77,160,229
69,103,140
32,35,154
87,133,388
65,162,226
83,157,149
32,113,168
84,132,138
72,104,172
69,98,217
32,92,107
67,185,223
79,215,97
70,122,254
69,134,319
190,133,610
32,317,286
16,244,316
73,213,426
32,107,128
65,157,316
77,115,179
32,154,131
65,158,344
32,122,43
66,121,433
73,197,156
71,138,126
32,104,48
67,138,125
79,139,160
70,286,106
69,134,339
32,103,210
68,161,314
82,129,260
73,179,220
78,156,178
75,149,118
69,148,200
82,140,233
32,114,214
65,173,1145
78,120,101
68,107,151
32,127,106
84,142,231
72,153,98
69,168,365
89,149,483
32,161,199
79,107,127
70,149,227
69,1002,371
82,142,126
32,109,108
73,130,190
84,73,362
32,138,299
69,122,617
86,104,247
69,156,204
82,155,158
89,121,952
32,164,283
87,139,260
65,157,202
89,179,146
32,121,136
16,201,212
73,180,81
32,205,100
67,176,306
65,196,152
78,121,47
32,152,386
84,176,349
72,89,23
73,158,159
78,56,37
75,150,349
32,107,274
79,155,558
70,144,256
190,149,1251
32,69,287
16,319,605
84,140,123
72,119,208
69,134,116
32,134,226
70,118,244
79,165,212
68,158,286
32,90,77
67,180,266
65,153,383
77,127,53
69,115,218
32,118,162
84,118,127
79,159,147
32,151,128
79,124,565
85,142,299
82,148,197
32,131,125
84,167,246
65,130,229
66,162,800
76,175,109
69,58,230
32,121,136
81,288,697
85,127,171
73,149,85
67,136,175
75,127,170
32,161,124
65,143,240
78,118,157
68,134,206
32,115,101
77,158,297
89,25,355
67,72,208
8,139,1065
32,132,113
67,138,219
79,157,124
70,272,385
69,356,316
32,133,305
67,136,205
85,125,116
80,227,295
32,178,288
65,156,130
76,146,117
87,148,309
65,175,224
89,132,170
83,197,231
32,98,152
83,154,159
84,88,139
65,173,44
89,162,256
69,140,150
68,134,213
32,121,197
72,133,1034
79,230,125
84,148,37
32,132,162
65,144,215
78,111,139
68,138,124
32,94,115
70,148,225
85,130,105
76,196,123
190,95,856
32,283,56
16,982,328
84,162,144
72,105,256
73,141,135
83,143,312
32,145,181
73,194,156
83,126,335
32,122,146
65,173,333
32,117,160
70,150,494
8,152,577
71,135,147
82,168,171
69,170,195
65,126,203
84,145,5
32,104,141
80,226,307
76,120,441
65,160,200
69,117,53
8,133,529
86,136,328
69,178,189
32,102,166
8,641,420
67,138,202
69,209,216
32,114,142
70,115,229
79,318,100
82,148,982
32,156,188
70,137,161
65,154,178
77,109,309
73,175,154
8,122,543
77,144,1175
8,1500,511
73,137,140
76,163,113
73,127,227
69,125,179
83,65,279
32,137,136
79,168,340
82,144,198
32,137,104
84,91,147
79,140,102
32,139,131
77,105,218
69,132,174
84,138,195
32,114,118
70,134,342
82,88,218
73,145,186
69,163,176
78,131,261
68,133,164
83,150,298
32,36,303
16,286,390
73,160,77
32,166,136
87,122,632
73,164,105
76,301,188
32,151,291
68,33,1299
69,106,275
70,167,186
73,142,109
78,125,222
73,142,86
84,132,393
69,66,230
76,281,33
89,114,350
32,136,209
66,134,203
69,123,210
32,117,141
67,136,135
79,194,106
78,239,219
8,479,743
77,136,1283
73,146,242
78,107,75
71,114,156
32,142,128
84,175,334
79,175,169
32,94,139
84,166,116
72,106,146
73,118,117
83,171,212
32,121,294
83,120,612
80,144,154
79,155,283
84,143,468
32,132,131
69,126,467
86,24,214
69,62,289
82,113,96
89,169,746
84,143,195
32,135,131
8,74,392
32,133,64
8,320,20
89,152,209
32,147,248
84,134,320
73,178,160
77,184,122
69,317,161
32,34,158
16,274,415
73,194,77
32,182,128
65,162,1171
77,110,215
32,132,212
73,162,187
78,161,175
32,167,112
84,23,84
72,117,447
69,117,190
32,102,177
78,160,255
69,123,166
73,173,219
72,113,177
8,115,244
71,142,151
72,145,117
66,123,449
79,153,211
82,137,300
32,157,108
8,867,1161
72,147,157
79,141,213
68,148,198
190,143,606
39,1500,256
87,134,187
8,297,710
69,88,672
