VK,HT,FT
16,135,-1
68,57,81
69,83,215
76,135,86
73,125,156
8,72,618
16,346,121
84,114,86
72,46,111
69,102,71
32,102,131
70,126,115
79,290,176
68,112,241
32,67,179
87,131,206
65,59,169
83,128,131
32,116,119
8,738,322
72,74,397
69,72,149
82,50,99
69,120,103
32,78,114
87,7,124
65,128,104
83,112,141
32,20,6
71,77,195
82,152,301
69,140,64
65,128,181
84,93,132
190,79,1
32,123,151
16,120,187
84,134,105
72,78,142
69,62,80
32,173,152
83,199,199
84,89,97
65,112,180
8,519,418
83,57,263
69,187,72
82,124,47
86,125,252
73,109,205
78,59,125
71,88,82
32,123,164
83,142,212
84,90,265
65,95,128
70,330,643
32,152,281
87,134,70
65,172,120
83,151,112
32,48,111
83,107,620
79,60,251
32,98,70
87,52,116
65,26,168
82,113,101
77,89,159
32,87,200
65,135,34
78,86,123
68,35,30
32,144,96
70,6,200
82,127,169
73,64,136
69,134,118
78,111,150
68,101,61
76,144,121
89,65,416
37,104,370
39,127,917
8,1222,1377
16,200,361
84,106,136
72,126,31
69,62,87
32,84,115
83,145,159
69,112,208
82,109,96
86,82,286
73,94,160
78,95,159
71,146,98
32,100,133
83,125,465
84,80,111
65,119,103
70,232,103
32,83,274
87,140,74
65,179,184
83,112,143
32,141,112
83,115,125
79,219,77
32,101,110
70,93,112
82,88,141
73,49,104
69,97,115
78,127,127
68,98,152
76,82,129
89,62,154
190,74,555
32,119,174
16,121,43
73,80,80
32,128,83
70,84,554
69,248,160
76,98,236
84,149,130
32,127,138
76,131,204
73,94,260
75,129,186
69,138,113
32,105,393
16,976,311
73,112,96
32,178,117
87,92,71
65,97,62
83,176,142
32,78,145
87,138,93
69,107,71
76,301,164
67,154,153
79,64,160
77,144,132
69,104,202
68,94,300
32,144,112
73,129,224
78,118,124
84,80,209
79,107,132
32,141,177
65,146,10
32,96,97
87,93,152
65,128,114
82,60,201
77,90,180
32,116,163
72,132,144
79,104,271
77,96,132
69,96,75
32,141,97
70,79,152
82,63,140
79,17,81
77,5,93
32,90,5
84,64,96
72,79,151
69,92,87
32,112,152
77,83,603
79,107,184
77,121,147
69,120,135
78,80,98
84,50,112
32,61,79
16,160,179
73,113,181
32,120,261
67,94,90
79,108,63
78,86,47
8,224,260
65,103,284
77,151,105
69,109,76
32,84,89
84,114,65
72,86,52
82,83,102
79,78,73
85,87,114
71,61,154
72,95,90
32,159,108
84,58,113
72,144,172
69,64,134
32,33,129
68,76,134
79,56,136
82,86,183
190,18,185
32,246,160
16,196,51
73,64,135
32,159,191
74,72,165
85,112,223
83,97,80
84,104,43
32,159,64
76,94,169
79,116,325
86,93,96
69,194,215
32,84,96
84,103,84
72,93,75
69,109,66
32,90,61
85,78,193
78,122,107
73,105,227
81,112,47
85,141,158
69,131,111
32,107,90
65,136,120
78,104,72
70,76,113
32,134,112
8,486,500
68,167,1304
32,81,69
70,63,283
82,155,170
69,220,140
83,129,166
72,56,98
32,5,185
70,130,318
69,126,88
76,99,239
32,79,58
79,151,112
70,50,29
32,93,96
76,110,247
73,105,158
84,302,79
76,158,249
69,89,68
32,117,105
66,144,116
79,222,110
85,63,191
84,117,77
73,98,158
81,80,145
85,80,240
69,79,104
32,123,167
67,88,170
65,134,74
70,128,88
69,72,224
83,152,227
190,80,416
32,125,110
16,240,92
84,104,103
72,134,174
69,2,64
32,88,151
83,137,218
65,123,38
78,106,637
68,128,198
87,84,221
73,138,109
67,79,148
72,136,79
69,501,140
83,74,290
32,111,94
87,110,146
69,112,90
82,195,121
69,128,99
32,62,93
68,89,136
69,96,130
76,81,50
67,118,205
73,80,125
79,193,632
85,72,128
83,111,97
8,1073,421
73,146,320
83,2,108
8,381,347
67,79,124
73,143,121
79,138,123
85,166,121
83,85,105
32,96,67
66,101,155
85,123,124
84,59,168
32,68,116
8,548,264
76,80,311
