VK,HT,FT
16,205,-1
72,144,139
79,138,189
84,146,88
32,131,194
16,551,488
76,170,212
73,146,206
80,140,147
83,190,132
32,126,173
16,656,1121
80,120,98
73,140,210
90,363,181
65,178,509
32,47,132
73,133,228
83,121,134
32,161,154
76,49,212
79,124,167
67,162,105
65,200,196
84,209,198
69,224,192
68,157,238
32,142,89
84,141,641
72,124,128
82,84,128
79,150,49
85,154,172
71,152,84
72,150,93
84,207,328
32,121,166
84,126,118
72,139,57
69,166,102
32,140,58
67,145,105
73,146,218
84,150,293
89,139,97
32,135,157
79,131,162
70,146,69
32,135,141
16,225,780
80,120,104
79,140,177
82,147,0
84,145,123
76,121,133
65,200,266
78,155,98
68,150,93
188,155,331
32,163,299
66,135,170
85,111,125
84,139,110
32,145,167
84,177,156
72,108,101
69,145,140
32,132,127
79,145,251
78,127,182
76,148,177
89,140,425
32,152,239
79,166,178
78,137,173
69,185,137
32,155,316
84,105,37
72,150,104
65,182,6
84,207,137
32,140,195
16,551,289
73,146,62
32,156,170
75,158,183
78,178,172
79,134,162
87,161,394
32,146,163
79,145,177
70,151,73
32,135,142
70,140,59
82,157,102
79,125,131
77,120,410
32,155,202
69,108,310
88,327,881
80,133,129
69,189,242
82,152,161
73,129,78
69,175,68
78,147,73
67,145,68
69,175,172
32,151,161
73,150,426
83,175,65
32,157,182
84,133,256
72,157,84
69,171,18
32,108,71
79,112,251
78,127,179
69,200,218
32,133,212
76,166,715
79,175,288
67,235,68
65,154,102
84,168,214
69,151,18
68,146,228
32,156,88
73,19,201
78,111,187
32,157,88
68,135,180
79,129,103
87,150,142
78,115,162
84,152,183
79,145,119
87,211,1353
78,131,173
190,155,219
32,126,306
16,250,799
84,128,285
72,161,128
69,139,59
89,141,235
32,164,192
67,153,149
65,184,102
84,140,121
69,173,54
82,157,128
32,156,148
84,174,160
79,151,50
32,164,122
86,159,21
65,220,266
82,163,247
73,152,196
79,150,74
85,150,192
83,339,0
32,146,192
68,160,212
69,139,221
73,120,83
84,165,113
8,682,448
73,131,167
69,179,23
84,132,232
83,170,805
32,151,167
16,222,250
57,33,780
70,137,178
82,180,123
79,111,117
77,136,271
32,151,142
83,186,1217
65,184,103
85,127,172
83,190,48
65,210,138
71,126,293
69,175,103
32,145,172
84,110,162
79,169,112
32,135,122
77,131,367
85,154,83
83,154,97
72,150,151
82,241,118
79,167,9
77,142,166
16,610,280
48,107,75
32,161,122
65,185,335
78,115,139
68,156,93
32,122,95
83,85,160
85,126,143
82,130,187
80,141,360
82,156,118
79,116,119
8,976,449
73,160,68
83,180,97
73,150,177
78,146,177
71,115,84
76,155,222
89,121,361
188,156,557
32,165,162
84,146,118
72,151,127
69,63,93
89,150,261
32,128,196
66,120,323
82,161,116
69,189,118
65,190,86
75,81,90
32,140,182
84,129,123
72,121,82
69,165,105
32,140,73
77,130,266
79,130,93
76,121,125
68,126,122
32,157,148
79,167,162
70,146,58
32,135,117
84,135,123
72,281,139
69,129,88
32,143,99
79,141,251
84,159,93
72,107,100
69,170,103
82,140,92
32,163,152
80,16,453
73,164,321
90,360,96
65,165,853
32,160,160
83,200,640
72,131,65
79,278,162
80,136,271
83,185,192
32,150,167
65,161,123
82,170,242
79,145,141
85,125,219
78,141,187
68,126,102
32,158,88
66,130,123
89,110,448
32,125,142
67,136,73
72,115,72
65,189,48
78,187,22
71,170,63
73,140,206
78,141,201
71,141,12
32,131,37
84,147,272
72,121,82
69,128,37
32,126,99
73,126,286
78,132,187
71,170,70
82,161,109
69,79,153
68,160,39
73,166,167
69,145,97
78,145,93
84,146,123
83,339,88
32,160,800
79,141,150
70,145,73
32,141,142
84,174,91
72,122,255
69,115,93
32,133,72
80,141,327
73,138,244
90,376,314
65,204,499
83,166,222
32,136,204
73,142,201
78,126,182
32,121,187
65,178,66
67,120,145
79,130,164
82,177,83
68,126,64
65,190,67
78,150,98
67,181,18
69,194,270
32,193,0
87,138,132
73,196,53
84,135,369
72,142,137
32,159,232
84,131,156
72,150,127
69,154,113
32,133,153
83,186,286
69,367,221
65,215,107
83,181,222
79,145,549
78,126,182
83,147,162
32,136,539
16,244,423
57,958,877
89,158,173
79,170,217
85,133,186
222,80,93
76,130,74
32,134,231
82,140,83
69,189,137
65,190,73
76,304,152
89,135,251
32,144,237
78,161,162
79,635,165
84,159,0
73,160,202
67,156,181
69,175,206
32,199,771
84,105,112
72,124,76
73,141,231
83,160,138
32,161,117
79,138,158
78,151,206
32,165,150
84,156,269
72,107,114
69,130,94
32,135,73
86,134,120
69,141,113
71,141,164
65,155,98
78,180,101
32,122,177
83,165,132
76,156,210
73,145,177
67,16,68
69,166,209
16,12,280
48,109,78
8,1500,1012
69,141,91
83,160,103
16,261,231
48,131,59
190,151,442
32,136,80
16,215,252
73,146,53
32,137,189
84,151,105
82,120,118
89,131,98
32,142,162
84,151,139
79,142,73
32,99,162
65,180,147
86,112,152
79,150,207
73,98,385
68,159,236
32,159,64
69,178,313
65,190,93
82,156,241
89,155,160
76,145,181
8,748,379
76,160,228
89,150,441
32,128,186
78,116,151
79,132,165
78,129,182
32,21,151
66,116,280
69,154,108
67,159,61
65,171,148
85,132,158
83,161,88
69,189,269
32,100,303
79,142,175
70,143,65
32,134,122
65,159,138
76,304,187
32,135,231
84,131,279
72,101,117
69,133,111
32,133,142
72,130,140
73,136,772
71,131,164
72,136,73
32,170,112
83,185,796
67,159,162
72,121,103
79,165,231
76,145,57
69,175,17
82,136,78
83,166,93
32,150,144
84,132,0
72,121,108
65,217,120
84,207,110
32,170,135
65,190,117
82,195,212
69,188,123
32,169,103
84,69,548
72,113,73
69,160,98
82,146,133
69,56,215
188,155,331
32,161,152
83,136,162
79,118,100
32,149,162
16,289,380
73,125,93
32,51,163
71,155,71
79,131,103
32,144,185
65,162,706
66,120,163
79,150,162
85,147,174
84,137,0
32,150,124
50,93,220
48,131,73
32,230,204
77,145,394
73,76,520
78,150,152
85,125,174
84,166,111
69,140,212
83,165,224
32,145,23
76,120,47
65,210,231
84,169,143
69,190,171
82,143,103
32,140,132
65,156,117
78,150,142
68,159,66
32,120,88
79,131,345
82,141,139
68,146,222
69,189,143
82,161,103
32,156,117
77,106,250
89,187,266
32,169,161
85,141,157
83,190,117
85,116,198
65,205,458
76,132,147
32,135,374
83,191,905
76,338,456
73,120,206
67,165,34
69,176,206
32,162,135
65,141,273
78,116,152
68,192,110
32,105,141
71,159,83
73,177,93
78,169,201
71,170,110
69,140,83
82,115,98
32,150,135
65,155,295
76,136,146
73,145,206
69,145,97
8,116,909
69,141,157
190,126,448
32,146,132
16,206,245
84,150,124
72,150,64
69,181,78
32,140,98
80,140,169
73,160,221
90,363,142
65,165,446
32,146,503
84,135,66
65,215,333
83,172,191
84,141,63
69,146,214
83,180,46
32,131,182
70,30,58
82,146,200
69,165,124
83,339,98
72,170,127
32,141,261
65,175,119
83,165,187
32,146,194
89,151,459
79,150,181
85,153,148
32,125,96
87,215,622
79,126,177
85,125,195
76,165,222
68,151,44
32,126,135
69,170,448
83,160,188
8,130,467
88,591,979
80,141,171
69,166,135
67,170,181
84,141,112
188,158,334
32,131,182
66,56,199
85,125,200
84,136,75
32,141,259
87,150,196
72,116,93
65,71,57
84,74,107
32,147,194
82,136,98
69,161,118
65,218,107
76,154,169
89,132,448
32,36,143
73,136,197
77,125,182
80,130,98
82,150,72
69,155,137
83,121,102
69,210,221
68,159,242
32,147,85
77,125,266
69,156,12
32,139,152
87,167,190
65,160,458
83,166,157
32,145,157
84,146,325
72,126,83
65,190,30
84,145,143
32,139,217
84,156,379
72,125,116
69,172,93
73,165,221
82,154,184
32,162,113
68,160,202
82,154,102
73,126,23
78,157,167
75,171,205
83,146,222
32,122,231
65,199,138
82,105,231
69,192,123
32,169,153
65,193,93
83,161,155
32,146,190
67,159,137
76,136,374
79,131,237
83,156,97
69,159,23
32,189,117
84,133,112
79,141,93
32,148,122
84,130,133
72,150,89
69,145,55
32,132,126
83,161,226
79,112,251
85,125,174
82,205,88
67,130,118
69,190,127
32,181,138
73,126,201
78,147,172
71,129,83
82,197,99
69,126,118
68,146,222
73,146,182
78,157,187
69,190,108
84,155,123
