VK,HT,FT
16,161,-1
87,263,250
69,142,143
78,137,129
84,95,210
32,106,189
84,131,101
79,109,87
32,82,58
16,114,279
74,631,682
8,415,464
16,541,157
84,129,79
16,220,295
74,219,175
222,60,395
83,132,176
32,93,166
70,118,164
79,148,127
82,126,159
32,102,174
77,121,125
89,108,58
32,77,158
72,97,157
85,63,127
83,109,184
66,109,234
65,114,155
78,140,121
68,84,123
83,71,180
32,114,130
71,118,165
65,155,117
82,163,132
8,415,609
82,107,86
65,127,132
78,155,77
68,100,77
77,89,204
79,119,74
84,109,0
72,127,26
69,132,116
82,151,119
83,112,184
32,100,313
70,107,265
8,93,317
66,105,205
73,126,328
82,188,133
84,149,132
72,131,65
68,100,115
65,134,133
89,147,230
32,95,152
76,128,159
65,173,237
83,125,245
84,177,130
32,107,153
78,155,176
73,127,60
71,151,138
72,110,122
84,138,31
32,81,157
87,125,211
73,114,87
84,86,92
72,125,113
32,99,180
77,78,431
89,6,56
32,70,133
100,732,505
32,102,168
89,139,553
69,107,122
65,180,96
82,109,132
79,98,65
8,104,330
32,105,319
79,118,117
76,140,637
68,100,217
188,127,245
32,119,260
101,499,553
32,139,121
77,125,318
79,86,104
78,142,486
84,109,135
72,118,95
32,5,180
79,132,338
75,358,269
68,125,158
190,117,201
8,100,1085
76,124,137
68,128,91
188,398,717
32,89,193
72,137,122
85,116,189
83,110,9
66,74,282
65,123,194
78,152,77
68,107,77
32,104,101
65,161,131
78,136,117
68,73,128
32,134,73
73,107,128
78,119,157
189,190,477
76,97,120
65,188,132
87,271,388
83,90,171
190,102,185
32,118,233
16,142,289
84,131,80
72,133,167
69,112,95
32,107,96
87,183,145
65,196,83
73,125,207
84,113,635
83,163,245
84,177,130
65,124,112
70,298,102
32,93,94
87,115,128
69,167,133
82,196,155
69,153,7
32,127,138
83,120,166
85,143,127
80,194,135
69,103,133
82,167,272
32,112,147
65,114,127
77,121,50
65,118,504
90,471,654
73,124,207
78,149,35
71,122,162
188,957,562
32,84,78
73,109,105
84,115,173
32,114,67
87,232,128
65,112,83
83,132,248
32,100,133
69,103,365
65,92,114
82,159,170
76,266,152
89,139,119
32,79,137
83,138,159
79,110,109
32,88,114
84,97,150
72,132,11
69,107,105
89,56,149
32,102,170
87,171,174
69,144,167
82,195,2
69,145,89
78,118,179
222,492,741
84,142,96
32,105,39
84,112,125
72,135,0
65,95,256
84,124,196
32,67,199
66,77,208
85,121,95
83,105,225
89,114,450
32,117,170
65,130,330
78,139,80
68,26,142
32,132,96
87,147,146
69,129,77
32,71,62
87,188,133
69,141,98
82,172,140
69,153,110
32,122,110
65,143,156
66,17,282
76,91,118
69,93,113
32,93,317
84,130,76
79,106,119
32,94,93
84,171,145
65,125,107
75,643,205
69,132,143
32,141,135
79,142,155
85,139,111
82,125,159
32,102,143
84,124,104
73,130,100
77,43,196
69,107,93
190,86,166
32,122,152
16,8,273
77,181,139
89,128,219
32,93,137
101,47,544
32,105,121
77,130,236
79,151,172
78,161,132
84,86,155
72,146,72
32,116,193
79,112,155
76,93,129
68,116,208
32,100,110
71,112,169
79,155,45
84,124,126
32,77,232
72,133,575
85,116,135
78,92,243
71,79,233
82,114,282
89,115,69
32,130,199
87,215,128
72,132,191
73,123,116
76,259,40
69,134,193
32,93,312
87,136,141
69,136,101
32,107,118
87,146,141
69,152,77
82,203,105
69,154,127
32,17,10
84,139,145
72,97,137
69,115,120
82,190,74
69,129,137
32,124,171
65,138,95
78,100,119
68,129,122
32,162,2
87,107,150
69,145,85
32,91,102
87,136,181
69,185,97
82,157,78
69,149,89
32,139,137
65,135,168
76,285,128
32,68,272
84,139,151
82,90,111
89,114,119
73,153,319
78,139,176
71,111,112
32,127,134
84,143,219
79,108,55
32,75,16
69,256,161
65,155,96
84,115,225
32,29,203
83,120,183
79,4,604
32,128,119
84,103,120
72,159,56
69,119,90
32,137,95
87,155,181
65,46,90
73,106,74
84,110,655
82,114,114
69,138,131
83,119,216
32,130,142
79,104,103
70,111,225
69,127,318
82,198,101
69,158,111
68,114,224
32,27,202
84,119,166
79,118,123
32,90,130
70,89,226
69,2,169
68,98,137
32,130,135
77,116,238
89,121,185
32,93,133
83,138,161
79,77,109
78,158,180
32,95,234
70,116,167
79,132,121
82,111,124
32,134,113
77,106,234
69,92,164
32,99,160
83,96,183
79,56,604
32,104,137
16,200,153
73,11,86
32,141,128
87,136,132
65,156,80
83,95,245
32,105,130
65,114,212
66,75,195
76,119,197
69,103,523
32,93,128
84,130,41
79,104,119
32,76,20
69,153,322
65,189,81
84,119,274
32,106,157
87,137,166
72,132,126
73,123,100
190,86,246
69,223,81
8,84,355
76,122,183
69,94,145
32,84,141
77,125,227
84,117,200
8,114,640
89,68,150
32,102,170
70,105,242
79,139,45
68,125,200
32,112,87
87,156,128
8,85,330
79,99,155
8,111,560
68,110,219
32,84,79
87,147,131
65,187,200
83,51,97
32,104,21
83,120,415
84,143,130
73,118,114
76,259,194
32,82,300
87,271,191
83,115,139
65,152,209
82,127,147
8,108,345
65,176,247
82,127,121
77,151,159
16,190,272
49,402,339
32,78,156
16,225,263
83,112,250
72,159,137
69,116,88
32,95,94
65,146,60
76,292,139
83,86,130
79,103,100
32,101,143
72,131,157
69,118,88
76,137,93
80,105,200
69,125,91
8,111,255
68,98,110
32,91,102
72,48,155
65,157,92
78,144,123
68,48,158
32,92,84
72,100,174
73,125,100
77,15,206
32,85,322
65,145,166
67,120,155
82,195,212
79,220,106
83,93,165
32,109,137
84,125,119
72,127,85
69,135,122
32,145,93
84,140,223
65,128,168
76,63,164
8,104,426
66,74,190
76,106,438
69,134,109
32,92,130
87,206,127
72,142,64
69,113,181
78,116,304
32,76,147
77,116,130
89,121,190
32,77,125
77,125,164
79,132,84
84,142,161
72,126,112
69,102,115
82,148,100
32,113,162
73,133,130
78,137,176
32,99,123
76,108,155
65,188,134
87,132,166
32,143,224
87,214,166
65,156,93
78,120,123
84,58,322
69,99,278
68,125,209
32,93,94
84,104,97
79,116,68
32,68,135
72,101,75
79,24,99
76,123,137
68,117,32
32,6,150
72,130,189
73,154,97
77,125,196
32,99,101
83,135,184
79,113,99
32,109,133
16,193,278
73,137,85
32,102,113
67,142,227
79,132,234
85,121,94
76,266,123
68,100,97
32,102,126
69,251,145
65,190,99
84,52,97
32,106,119
77,9,151
89,122,40
32,85,149
68,141,185
69,97,99
83,80,218
69,190,96
82,199,91
8,415,724
83,90,104
69,144,23
82,192,140
84,87,211
190,98,223
32,95,114
16,193,96
84,123,106
72,128,147
69,64,97
32,95,124
70,96,266
79,89,42
68,83,158
32,93,85
87,109,142
65,185,113
83,113,247
32,24,135
81,986,119
85,32,130
73,109,116
67,98,98
75,616,336
32,275,85
84,143,184
79,89,123
32,91,97
67,116,207
79,69,91
77,181,89
69,111,174
32,106,81
79,109,129
85,118,95
84,128,126
32,82,186
65,114,98
78,139,116
68,68,122
32,112,73
87,186,2
72,117,86
73,118,112
76,129,194
69,79,17
32,89,128
84,74,29
72,126,100
69,120,100
32,62,103
83,120,184
65,95,132
76,194,150
65,119,227
68,99,189
32,136,112
66,118,162
65,123,206
82,164,124
32,102,160
87,112,147
65,190,93
83,95,245
32,109,104
83,120,166
77,116,470
65,156,46
76,107,139
32,68,293
73,133,101
84,116,161
32,107,164
87,180,137
65,199,83
83,95,261
32,111,106
70,30,433
82,116,85
69,120,69
83,140,204
72,110,182
32,155,193
65,118,126
78,139,106
68,120,127
32,92,116
84,92,114
72,140,84
69,138,120
32,98,76
66,97,125
82,142,153
69,145,89
65,173,92
68,133,159
32,109,112
87,140,128
65,174,93
83,107,250
32,100,119
84,116,88
72,127,55
73,134,148
67,79,332
75,345,851
76,140,112
89,139,192
32,130,147
83,133,159
76,97,246
73,102,104
67,109,163
69,134,144
68,124,219
190,111,185
32,120,123
16,174,110
84,129,80
72,104,107
69,128,10
32,95,96
87,136,137
65,156,87
73,123,397
84,110,173
83,132,151
84,127,193
65,168,109
70,273,246
32,119,192
73,54,163
83,119,184
32,84,470
84,125,158
72,131,75
69,119,47
32,87,94
66,74,194
69,107,188
83,253,214
84,115,188
32,91,67
16,137,278
73,123,78
32,102,113
72,144,634
65,125,132
86,165,315
69,255,150
32,77,83
69,160,255
86,241,814
69,132,114
82,147,98
32,111,11
83,120,196
69,190,103
78,128,152
32,91,229
73,67,384
78,167,176
32,104,126
65,117,558
32,88,210
76,122,188
79,93,133
78,15,486
71,110,146
32,118,109
84,92,111
73,102,104
77,104,194
69,95,138
190,97,165
