VK,HT,FT
16,628,-1
84,46,946
72,646,500
69,662,201
32,109,161
16,744,993
67,736,790
79,122,552
8,90,790
67,730,451
79,127,627
70,996,928
69,541,54
32,98,128
87,958,633
65,140,93
83,49,754
32,111,180
77,218,286
65,133,282
8,847,133
65,133,242
77,641,338
65,140,262
90,222,471
73,777,994
78,0,726
71,55,687
188,47,43
32,110,124
78,786,632
73,921,268
67,338,577
69,705,42
32,96,177
72,303,515
79,469,923
84,916,985
32,93,123
65,136,180
78,202,777
68,892,955
32,99,151
82,480,119
69,429,509
65,136,117
76,261,483
89,157,530
32,103,162
72,180,966
73,156,273
84,62,840
32,98,168
84,623,124
72,9,459
69,201,495
32,101,161
83,843,781
79,440,729
80,38,615
8,744,267
80,681,103
79,74,508
84,240,746
190,944,819
32,97,144
16,658,350
84,835,12
72,81,241
69,655,118
32,100,127
68,133,768
69,872,885
83,612,911
69,218,25
82,954,177
84,140,167
83,161,219
32,100,135
87,599,362
69,516,510
82,842,196
69,543,62
32,110,126
79,692,770
85,723,792
84,676,539
32,107,151
79,696,582
70,961,374
32,111,180
84,626,142
72,476,255
73,967,408
83,861,107
32,103,165
87,817,447
79,45,720
82,536,300
76,223,150
68,964,758
32,101,152
65,126,160
78,856,506
68,828,881
32,93,154
84,190,954
72,632,817
69,404,98
32,94,139
65,126,169
84,243,389
77,470,571
79,840,367
83,522,104
80,901,71
72,137,41
69,207,431
84,548,975
69,220,26
8,530,819
82,943,897
69,139,429
32,95,177
87,756,211
65,138,315
83,656,512
32,111,152
86,751,804
69,697,352
82,137,730
89,95,446
32,106,181
87,149,59
65,137,234
82,90,39
77,766,907
32,107,157
65,125,137
78,669,265
68,533,837
32,94,168
87,310,355
69,641,300
67,901,45
8,655,517
76,155,570
67,635,888
79,445,303
77,959,35
73,384,632
78,609,15
71,496,745
190,315,273
32,107,143
16,20,861
73,285,41
32,112,149
87,99,295
79,101,938
85,366,992
76,284,477
68,881,13
32,107,169
67,917,551
79,965,882
77,617,470
69,320,512
32,97,171
66,431,64
65,127,130
67,449,485
75,169,236
32,111,167
65,138,136
71,486,97
65,137,220
73,497,128
78,218,821
32,95,166
74,570,372
85,21,624
83,459,173
84,791,768
32,99,168
84,527,715
79,598,701
32,99,163
83,455,728
73,615,741
84,804,997
32,109,153
65,136,153
78,937,256
68,302,273
32,98,144
82,161,708
69,602,609
76,724,749
65,142,130
90,37,47
8,834,58
88,431,123
