VK,HT,FT
16,135,-1
87,133,530
72,102,179
73,85,122
76,240,121
69,66,97
32,145,249
77,152,128
89,130,191
32,70,176
70,52,483
65,143,146
77,135,93
73,88,219
76,119,202
89,88,164
32,105,167
65,140,535
78,135,177
68,101,182
32,143,283
16,236,18
73,106,275
32,70,402
87,55,133
69,139,44
82,51,244
69,98,106
32,60,205
73,37,144
78,175,108
32,103,77
16,265,87
76,105,97
79,81,168
83,102,392
32,0,0
16,259,0
65,117,553
78,141,223
71,126,186
69,68,126
76,8,112
8,675,282
78,94,95
71,84,219
69,139,149
76,151,348
79,146,171
83,119,430
32,163,0
8,216,619
188,134,210
32,149,89
77,62,85
89,60,228
32,161,244
67,146,0
79,61,83
85,82,198
83,85,123
73,116,182
78,91,151
32,88,301
8,465,787
79,7,817
85,110,244
82,94,166
32,141,274
67,90,61
79,77,131
85,85,116
83,61,314
73,87,281
78,108,0
32,102,170
84,84,137
79,102,154
76,172,248
68,76,214
32,141,194
85,34,594
83,74,106
32,86,196
79,65,136
70,65,71
32,158,64
65,78,268
32,128,165
71,86,0
82,90,229
69,86,197
65,146,0
84,83,157
32,96,113
80,120,165
76,125,130
65,47,109
67,125,216
69,123,211
32,39,154
84,97,88
79,37,104
32,51,183
69,134,595
65,91,62
84,116,194
188,53,305
32,191,103
16,0,104
69,95,176
65,24,152
71,81,247
76,248,198
69,0,317
32,82,109
16,31,261
82,82,0
73,69,148
67,168,225
75,66,21
32,89,114
16,508,471
73,110,361
84,103,237
65,89,373
76,94,151
73,166,58
65,224,159
78,43,175
32,86,93
16,179,35
66,92,90
65,169,134
75,32,29
69,84,111
82,79,54
89,106,54
32,113,0
65,51,463
78,96,187
68,69,43
32,94,189
16,364,107
68,124,0
69,65,110
76,89,20
73,93,86
190,149,593
32,156,243
16,206,587
77,138,0
89,117,67
32,146,362
67,70,400
79,23,45
85,67,99
83,91,148
73,47,111
78,77,217
32,116,436
87,120,401
65,122,227
83,112,139
32,130,145
65,29,560
66,156,293
83,92,601
79,81,155
76,54,202
85,81,105
84,128,0
69,38,136
76,94,190
89,69,105
32,43,180
82,140,212
73,56,139
71,89,46
72,44,116
84,72,0
190,146,393
32,161,288
16,403,0
87,98,310
69,118,126
32,96,280
76,91,717
79,168,196
86,124,0
69,110,18
68,88,238
32,137,0
84,86,409
72,94,209
73,92,161
83,92,194
