VK,HT,FT
16,12,-1
65,128,103
84,66,84
32,89,196
70,77,121
73,68,68
82,67,101
83,62,275
84,70,109
32,79,213
70,74,97
76,63,97
8,6,946
71,62,108
76,94,197
65,63,197
67,109,192
69,75,125
188,73,1014
8,202,281
78,75,80
67,109,130
69,74,88
188,71,342
32,60,203
16,165,210
71,68,131
65,84,130
82,58,235
70,61,213
73,67,163
69,60,175
76,60,194
68,23,89
222,64,52
83,61,79
32,79,325
77,79,300
73,76,170
71,63,94
72,74,134
84,47,127
32,83,128
65,97,259
80,116,293
69,62,77
65,69,173
82,89,232
32,75,204
76,74,230
73,69,569
75,63,288
69,236,133
32,79,146
89,77,116
79,109,51
85,52,107
82,71,226
32,65,189
84,65,128
89,35,190
80,52,186
73,86,423
67,68,143
65,75,106
76,49,141
32,79,408
16,119,279
82,74,162
85,70,114
66,76,118
89,54,149
32,79,201
16,155,110
84,72,133
85,72,69
69,61,125
83,62,250
68,71,82
65,82,89
89,36,96
222,57,684
83,86,150
191,930,605
16,346,325
65,57,108
80,74,305
76,10,350
69,72,61
66,32,131
69,70,117
82,107,85
8,71,348
83,60,152
32,75,533
84,66,114
89,82,158
80,57,293
69,70,101
32,95,138
79,83,247
70,65,105
32,70,122
16,119,62
65,95,115
77,78,186
69,69,343
82,123,121
73,59,299
67,116,147
65,88,151
78,70,94
32,51,241
68,54,130
73,11,159
78,82,86
73,73,167
78,108,77
71,50,199
190,69,848
16,263,1042
32,73,181
65,78,141
78,68,113
68,58,86
32,54,160
84,7,134
72,68,135
69,58,104
32,73,145
77,76,198
69,72,123
68,95,90
78,75,81
8,204,496
78,67,391
85,71,571
32,73,93
68,73,124
79,62,130
69,30,102
83,76,197
32,74,103
83,84,337
75,63,262
69,51,27
87,75,63
32,84,149
72,71,268
69,69,144
65,135,176
86,76,224
73,60,231
76,75,205
89,52,142
32,59,1029
73,71,249
78,85,88
32,64,208
84,56,334
72,80,113
65,77,143
84,65,116
32,89,178
72,71,211
79,85,299
77,68,81
69,85,151
32,65,116
67,67,198
79,209,177
75,74,189
69,54,105
68,74,83
32,72,183
16,147,60
65,126,122
77,83,594
69,79,187
82,84,89
73,64,127
67,113,62
65,87,85
78,63,122
32,61,445
67,67,92
79,194,122
77,84,70
70,59,216
79,74,132
82,74,247
79,211,180
84,43,153
8,537,307
82,229,238
84,50,204
32,83,138
68,98,144
8,74,367
70,67,137
79,197,160
68,40,227
32,88,218
68,68,300
73,76,117
82,78,98
69,165,106
67,106,124
84,74,270
73,77,194
79,97,128
78,85,52
190,65,362
32,26,252
16,190,210
66,62,220
85,81,196
32,69,355
84,62,119
72,64,146
69,66,99
32,81,130
83,105,119
69,64,200
82,59,121
73,56,163
8,71,410
86,81,231
73,98,130
67,76,157
69,86,125
32,53,154
65,86,105
78,67,190
68,76,161
32,73,119
80,67,217
82,73,64
73,62,97
67,111,132
69,73,149
83,88,265
32,73,205
69,58,122
84,166,172
8,939,434
88,86,230
84,53,139
69,136,73
78,63,205
68,80,80
32,77,144
73,64,224
84,58,107
32,81,133
83,106,189
76,17,198
73,69,201
71,61,117
72,67,153
84,55,51
89,60,190
32,85,101
66,52,347
69,77,165
89,84,148
79,67,142
78,21,82
68,60,106
32,73,121
73,103,201
84,48,76
83,42,144
32,74,562
80,62,195
69,132,215
82,44,86
83,76,235
190,71,387
13,909,642
16,119,585
65,133,115
83,86,137
32,50,223
8,309,651
32,67,225
83,89,75
79,63,141
78,85,101
32,66,212
65,74,125
83,96,95
32,70,162
89,39,133
79,67,119
85,44,124
32,77,206
65,82,124
82,47,374
73,67,102
86,89,171
69,133,184
32,77,147
8,1500,559
32,90,526
89,40,36
79,67,150
85,69,109
32,70,206
65,97,158
82,103,232
69,84,422
32,65,241
71,72,278
82,80,106
69,69,93
84,64,142
69,154,153
68,85,146
32,79,126
66,61,217
89,66,165
32,63,702
84,38,108
87,79,70
79,89,180
32,67,207
80,130,238
69,60,121
79,96,222
80,77,144
76,107,89
69,69,47
32,77,858
65,73,143
84,63,94
32,86,218
84,30,134
72,73,126
69,47,91
32,79,116
68,105,127
79,89,156
82,70,141
188,69,605
32,69,226
87,70,61
72,73,113
79,104,140
32,91,156
80,74,546
79,79,220
73,77,149
78,92,83
84,42,222
32,81,244
79,72,532
85,88,109
84,63,82
32,54,133
84,79,28
72,64,125
69,62,86
32,60,150
83,106,124
80,68,149
69,63,138
67,80,95
73,80,198
65,60,166
76,221,155
