VK,HT,FT
16,501,-1
76,111,87
65,144,216
83,144,103
84,144,88
32,170,88
87,144,102
69,237,86
75,90,72
32,128,404
16,240,71
73,97,119
32,95,120
87,96,134
69,139,86
78,96,384
84,112,167
32,109,155
84,144,77
79,80,55
32,112,231
16,208,136
80,112,180
85,96,199
73,96,258
67,1407,200
8,80,556
73,64,201
67,1198,200
79,64,37
76,257,155
79,111,273
222,53,967
83,144,151
32,159,120
16,370,120
57,111,168
65,144,215
32,144,216
16,240,68
80,95,86
73,80,55
69,108,758
8,49,119
90,313,135
69,144,152
82,141,168
73,127,424
65,95,68
32,143,238
73,24,31
78,79,166
32,113,104
84,144,118
79,80,55
87,121,134
78,80,103
16,128,71
48,96,120
32,112,87
70,105,151
79,303,99
82,80,150
32,141,87
84,144,134
72,79,93
69,112,25
32,128,118
70,87,871
73,141,95
82,128,119
83,96,151
84,111,96
32,144,103
84,159,135
73,43,187
77,112,215
69,96,119
190,432,199
32,95,72
16,192,71
87,128,119
79,95,120
87,128,147
190,94,330
32,96,167
16,232,470
73,113,135
32,144,97
68,144,302
79,80,71
78,79,183
84,96,119
32,143,104
8,46,347
32,143,343
78,111,149
79,79,55
84,111,104
32,144,282
78,96,99
79,96,136
82,86,137
77,64,603
65,112,215
76,240,102
89,128,274
32,106,88
69,112,134
65,144,105
84,144,103
32,159,221
79,61,118
85,96,199
84,129,199
188,96,215
32,144,441
69,112,152
83,207,119
80,111,421
69,112,151
67,96,213
73,79,71
65,131,144
76,241,87
89,112,264
32,128,72
87,144,104
73,110,88
8,138,580
72,126,135
69,95,166
78,96,147
32,113,308
73,79,225
84,148,87
222,108,44
83,112,103
32,131,126
80,111,156
73,63,23
90,304,96
65,160,104
188,63,121
32,140,405
66,125,87
85,95,199
84,128,215
32,133,87
70,128,151
79,271,119
82,142,135
32,144,109
79,80,58
78,80,261
67,112,745
69,167,103
32,161,176
16,161,135
73,96,118
32,138,135
87,192,183
65,177,135
83,139,103
32,161,103
72,112,151
65,192,71
80,255,103
89,111,151
32,128,87
87,128,71
73,79,142
84,68,184
72,85,72
32,143,83
77,188,198
89,113,119
32,112,102
68,63,455
69,192,183
67,96,293
73,80,136
83,157,151
73,63,166
79,96,183
78,80,199
190,432,199
32,128,120
16,208,88
84,112,103
72,95,255
69,128,377
32,111,119
65,127,135
84,128,119
77,63,150
79,65,311
83,160,179
80,105,233
72,95,204
69,104,150
82,87,87
69,176,108
32,176,169
87,144,102
65,255,376
83,26,160
32,151,120
69,70,480
88,814,136
67,25,200
69,144,87
76,272,103
69,91,115
78,96,135
84,127,133
188,96,55
32,144,199
71,127,144
8,288,632
71,95,104
8,711,237
32,144,455
71,110,120
82,128,119
69,192,118
65,184,122
84,127,103
32,143,103
67,94,580
85,80,198
83,96,119
84,128,392
79,79,119
77,80,198
69,95,25
82,112,87
32,99,103
83,112,128
69,124,103
82,79,86
86,96,151
73,95,104
67,1407,376
69,145,86
188,96,138
32,143,317
65,127,119
78,80,135
68,97,56
32,96,86
77,120,183
79,198,1415
83,80,214
84,128,87
32,144,88
73,80,163
77,81,191
80,252,85
79,127,103
82,80,150
84,111,269
65,177,157
78,64,103
84,133,167
76,240,198
89,112,263
188,99,175
32,113,183
84,112,123
72,79,88
69,144,134
32,144,155
80,96,257
73,97,376
90,320,135
65,128,87
32,140,68
87,128,103
65,160,135
83,47,140
32,159,118
73,96,386
78,79,167
67,96,132
82,113,151
69,129,88
68,64,81
73,96,376
66,96,119
76,111,75
69,104,120
16,224,54
49,816,636
32,144,72
16,560,131
84,96,119
72,63,88
69,112,166
89,96,103
32,112,128
72,80,199
65,197,100
86,78,137
69,144,69
32,160,110
77,96,117
65,154,118
78,80,135
89,127,103
32,128,87
69,112,125
88,489,43
79,112,375
84,96,102
73,96,55
67,54,155
32,144,168
67,96,656
79,64,87
72,144,146
73,79,203
67,81,194
69,128,88
83,159,263
32,112,87
65,127,103
83,95,148
32,112,103
87,144,151
69,256,86
76,40,151
32,125,330
16,256,92
57,128,55
73,64,133
78,94,183
67,144,200
76,96,153
85,80,211
68,150,102
73,128,119
78,81,199
71,78,46
32,146,49
77,63,183
89,83,119
32,131,75
70,128,151
65,193,178
86,79,120
79,111,55
82,128,151
73,96,151
84,132,108
69,192,135
188,23,408
32,148,743
73,80,101
8,272,407
66,163,87
69,112,70
66,84,231
67,112,263
85,81,231
69,95,135
32,127,183
65,112,119
78,79,120
68,89,62
32,95,135
67,65,192
72,96,234
73,64,105
67,96,101
75,80,296
69,95,103
78,112,75
16,256,136
49,489,260
16,161,71
48,111,75
32,143,119
8,288,487
188,96,131
32,166,184
83,112,203
79,95,119
32,113,134
84,128,134
72,95,72
69,112,109
82,96,88
69,112,25
32,175,119
73,80,153
83,175,87
32,175,135
83,112,359
79,96,261
77,80,198
69,93,86
84,96,169
72,128,272
73,79,239
78,75,206
71,112,120
32,111,41
70,80,449
79,95,55
82,108,72
32,21,81
69,32,183
86,80,120
69,32,136
82,144,120
89,111,235
79,95,120
78,80,183
69,64,119
16,625,54
49,303,277
32,111,72
16,240,103
79,64,218
78,80,53
32,129,151
84,144,118
79,79,60
80,80,340
32,160,120
79,111,118
70,111,841
32,128,132
71,78,135
69,144,151
84,111,120
73,96,66
78,81,199
71,126,135
32,111,84
80,80,139
73,81,550
90,222,215
65,183,102
188,86,120
32,64,183
84,113,135
72,65,91
69,144,48
89,112,247
32,112,106
72,79,152
65,192,94
86,78,122
69,144,103
32,176,118
65,127,552
32,128,135
83,112,307
76,256,246
69,79,144
8,93,519
69,207,103
76,80,151
69,158,280
67,111,252
84,95,88
73,96,71
79,63,214
78,80,199
32,111,101
79,80,118
70,121,151
32,128,87
83,36,1277
69,139,103
86,96,136
69,111,103
82,112,88
65,176,102
76,240,102
32,112,248
83,64,135
73,80,1033
90,224,206
69,96,134
68,92,151
32,175,102
80,96,93
73,80,151
90,224,105
65,160,87
222,46,256
83,96,120
32,159,101
83,59,195
79,271,103
84,113,135
72,96,200
69,112,103
82,96,86
69,192,103
32,128,118
73,79,151
83,154,40
32,112,68
83,125,240
79,80,310
77,79,215
69,176,215
84,93,151
72,111,72
73,79,104
78,111,216
71,95,103
32,144,98
70,79,135
79,299,136
82,100,143
32,129,791
69,110,135
86,104,247
69,128,103
82,98,119
89,96,151
32,111,151
65,127,103
80,96,247
69,96,119
84,129,167
73,95,127
84,91,49
69,95,118
190,174,200
32,143,103
16,1500,94
71,112,151
73,97,71
86,96,130
69,144,87
32,160,103
84,144,135
72,71,135
73,79,227
83,114,93
32,111,58
80,95,147
76,255,119
65,144,71
67,112,263
69,120,87
32,175,270
65,190,135
32,143,136
84,144,141
82,159,199
89,96,241
188,96,1197
32,144,361
66,54,231
82,127,118
73,96,151
78,112,168
71,96,86
32,111,86
89,80,176
79,96,55
85,54,216
82,112,151
32,144,103
70,128,38
77,97,215
65,160,326
73,97,216
76,128,120
89,123,103
32,108,136
65,201,72
78,79,126
68,111,120
32,127,103
70,43,747
82,128,150
73,96,189
69,64,343
78,96,119
68,136,102
188,96,55
83,117,136
8,256,536
83,176,104
188,80,967
32,113,590
16,116,263
73,96,124
32,143,136
80,42,411
82,80,183
79,64,120
77,156,215
73,96,247
83,127,150
69,81,135
32,175,44
89,125,229
80,112,251
8,215,855
79,80,103
85,96,187
76,278,215
8,448,391
32,144,1399
87,192,134
73,80,152
76,96,215
32,100,266
78,96,199
79,95,86
84,96,166
32,127,103
71,96,104
8,833,525
82,80,151
69,112,102
71,64,135
82,112,215
69,112,87
84,95,136
32,188,339
73,100,81
84,96,119
16,451,183
49,214,639
8,484,375
65,191,87
77,60,144
8,96,375
65,192,103
82,127,216
69,172,103
8,68,375
72,96,182
73,63,115
8,128,636
79,63,88
83,144,151
32,160,103
83,90,135
79,79,119
32,112,253
84,113,118
72,95,72
69,96,129
82,80,116
69,124,135
