VK,HT,FT
16,879,-1
73,464,455
32,104,34
65,70,795
66,834,614
83,657,406
79,721,505
76,659,62
85,229,714
84,110,754
69,135,60
76,180,363
89,491,681
32,104,292
76,845,749
79,489,565
86,965,756
69,135,71
32,135,66
84,660,266
72,113,886
73,142,826
83,381,988
32,155,72
82,805,8
69,375,60
83,465,704
84,242,419
65,988,539
85,282,164
82,163,355
65,791,330
78,707,450
84,652,437
16,126,745
49,521,112
13,690,283
16,357,766
67,804,446
8,105,830
16,44,92
73,774,477
32,133,72
67,865,563
79,961,312
77,955,204
69,117,60
32,87,158
72,562,962
69,155,148
82,276,417
69,155,71
32,104,48
65,490,287
76,75,671
32,132,31
84,588,926
72,13,607
69,156,28
32,134,31
84,42,353
73,868,477
77,354,644
69,82,5
32,133,71
87,548,588
73,444,974
84,940,445
72,938,145
32,145,308
70,926,3
82,83,845
73,268,341
69,181,60
78,14,662
68,375,20
83,352,634
32,106,77
65,147,469
78,314,159
68,29,158
32,105,50
77,809,878
89,533,943
32,104,33
66,642,885
79,987,531
89,274,62
70,36,216
82,658,177
73,706,142
69,154,6
78,670,906
68,226,522
188,222,562
32,105,31
65,501,73
78,188,678
68,11,939
32,113,75
87,412,214
69,159,71
222,936,298
86,238,545
69,140,158
32,133,83
78,978,898
69,119,51
86,739,709
69,105,54
82,760,948
32,145,70
72,652,941
65,47,628
68,609,164
32,145,72
65,420,609
32,101,31
78,631,14
69,186,55
71,812,86
65,841,480
84,95,209
73,853,37
86,489,294
69,139,52
32,135,78
69,103,59
88,433,316
80,452,2
69,221,170
82,603,468
73,335,729
69,117,71
78,355,959
67,511,203
69,115,53
32,122,102
89,710,420
69,117,60
84,347,843
190,231,184
32,132,116
16,820,581
84,330,858
72,729,574
69,185,60
32,105,53
84,790,302
89,536,154
80,349,203
69,111,69
32,134,48
79,157,162
70,730,768
32,144,31
70,369,384
79,638,298
68,319,483
32,123,31
84,657,340
72,554,264
69,131,60
89,778,874
32,106,104
83,62,901
69,145,71
82,528,523
86,613,735
69,126,153
32,135,17
72,854,590
69,134,53
82,819,804
69,134,12
32,138,50
73,756,356
83,552,258
32,124,138
16,531,703
84,861,800
65,473,135
73,237,279
87,392,222
65,964,743
78,71,233
69,110,50
83,999,770
69,110,71
32,110,47
16,164,339
72,516,924
79,37,131
84,0,576
32,107,170
16,83,82
80,108,46
79,515,793
84,402,900
190,797,255
32,104,31
16,141,335
85,419,525
80,944,867
79,725,11
78,225,616
32,144,234
66,531,197
69,111,60
73,291,244
78,220,513
71,156,399
32,105,64
83,548,929
69,171,159
65,333,691
84,543,370
69,119,100
68,618,814
188,754,211
32,131,43
89,493,334
79,331,727
85,423,656
222,346,7
82,71,235
69,163,94
32,147,172
8,162,628
86,214,297
69,114,158
32,125,72
71,755,104
73,551,738
86,354,508
69,169,8
78,878,618
32,144,94
65,559,116
32,135,2
77,464,564
69,115,60
78,791,670
85,800,711
32,149,39
87,709,376
72,320,236
69,101,71
82,267,593
69,174,53
32,124,126
89,433,776
79,89,752
85,333,632
82,582,60
32,151,104
80,114,844
65,120,591
82,799,927
84,264,305
89,8,324
32,135,89
67,562,147
65,499,26
78,863,539
32,126,32
67,975,458
72,720,483
79,433,210
83,138,227
69,37,92
32,133,72
89,52,729
79,913,343
85,647,563
82,284,144
32,145,84
86,344,217
8,483,847
70,497,410
65,741,948
86,225,484
79,77,912
82,117,109
73,503,839
84,949,339
69,230,109
32,104,46
84,993,513
89,71,755
80,758,88
69,113,0
32,135,354
79,876,761
70,714,361
32,121,72
8,728,835
32,105,72
66,982,386
82,907,995
79,201,500
84,472,27
72,515,782
32,95,92
79,631,500
85,154,774
84,64,737
32,135,5
79,609,121
70,316,82
32,140,31
65,225,384
66,147,484
79,824,511
85,842,311
84,310,15
32,113,90
56,897,188
32,135,77
68,607,339
73,17,904
70,629,855
69,110,154
82,13,113
69,184,60
78,134,723
84,596,844
32,137,126
66,476,960
82,536,428
79,68,672
84,361,12
72,916,980
8,694,351
84,257,77
89,606,946
80,970,438
69,121,46
83,943,217
32,104,7
79,903,323
70,466,678
32,132,77
66,613,354
79,303,311
82,70,465
84,811,197
72,392,637
190,95,753
32,134,71
16,861,876
77,744,963
89,721,560
32,104,50
65,875,775
66,23,305
83,490,585
79,670,524
76,288,82
85,774,638
84,949,3
69,147,58
32,141,73
70,733,146
65,267,433
86,613,761
79,685,637
82,784,111
73,54,798
84,109,790
69,179,159
32,152,71
84,444,526
72,664,333
65,665,763
84,143,790
32,124,50
16,283,493
73,832,475
32,145,53
71,160,697
69,134,60
84,920,912
32,129,72
69,155,0
86,18,513
69,92,4
82,663,200
89,274,848
32,96,32
84,482,991
73,316,8
77,849,375
69,152,50
32,149,172
73,563,228
83,891,285
32,144,43
16,5,760
84,144,292
72,801,719
65,589,636
73,265,317
32,101,387
16,910,231
66,572,448
82,108,885
79,83,394
84,765,725
72,537,521
189,577,258
32,136,119
8,814,349
65,648,347
32,143,46
68,390,484
69,58,87
70,490,927
73,43,358
78,434,118
73,25,397
84,879,940
69,111,137
32,135,11
83,341,133
73,421,338
78,471,778
85,471,948
83,890,320
32,135,70
67,245,250
76,536,202
69,134,85
65,16,318
78,399,597
83,550,283
69,114,145
82,140,623
16,512,970
49,163,526
32,147,172
16,797,452
73,434,766
32,99,93
65,311,792
76,546,278
83,831,198
79,742,417
32,110,73
76,390,628
73,513,566
75,444,311
69,99,51
32,15,76
84,868,455
72,385,472
69,172,52
32,27,171
16,81,110
80,1,267
72,91,329
79,492,75
32,138,75
8,738,316
32,15,48
66,680,437
82,717,221
79,543,680
84,987,571
72,52,730
190,345,242
32,145,77
16,871,266
65,502,832
85,289,144
84,68,26
72,115,973
69,292,53
78,125,691
84,196,672
73,124,339
67,117,21
32,141,17
70,968,999
76,195,685
65,553,328
86,407,900
79,337,937
82,124,438
16,220,463
49,53,203
32,147,168
16,508,740
73,193,921
70,370,334
32,137,6
89,881,910
79,127,610
85,52,748
32,116,211
67,503,874
65,74,615
78,223,341
222,954,978
84,958,840
32,132,71
77,136,44
65,367,383
75,925,592
69,149,55
32,105,43
89,711,437
8,521,535
85,989,352
32,136,122
8,220,803
80,358,64
32,104,46
89,554,992
79,781,404
85,874,105
82,744,639
32,104,38
77,244,780
73,69,61
78,71,590
68,439,662
32,105,31
8,894,383
188,972,344
32,126,12
89,372,800
79,626,923
85,83,419
32,141,50
67,276,601
65,886,445
78,734,766
32,96,93
71,205,554
69,136,172
84,337,955
32,146,172
65,673,478
32,135,50
83,173,574
80,83,734
76,220,497
73,828,892
84,909,848
32,143,72
66,599,647
79,182,632
87,103,567
76,966,59
32,133,32
65,390,2
78,131,611
68,342,992
32,106,91
67,143,575
72,377,989
79,278,391
83,894,958
69,139,71
32,55,92
84,352,222
89,521,123
87,734,634
8,982,107
87,424,723
79,600,701
32,121,293
84,425,775
89,364,325
80,151,302
69,112,71
83,563,217
32,135,387
79,704,813
70,630,198
32,109,81
66,656,362
82,500,556
79,416,326
84,994,963
72,862,674
190,655,218
32,133,50
16,390,957
84,278,615
72,943,395
73,605,953
83,280,962
32,143,50
73,334,407
83,865,12
32,135,151
84,366,358
72,836,955
69,238,53
32,104,95
66,796,850
65,101,74
83,579,358
69,145,62
32,128,31
73,452,509
78,243,292
32,144,84
87,105,796
72,739,671
73,120,432
67,769,504
72,69,798
32,146,0
89,146,159
79,421,929
85,545,348
32,114,50
67,793,837
79,593,404
75,811,942
32,146,50
89,796,677
79,468,682
82,410,166
32,135,0
8,803,273
85,65,824
8,553,144
85,951,543
82,85,116
32,95,70
70,434,256
79,153,444
68,36,669
32,146,102
73,229,610
78,125,340
190,79,93
32,120,72
13,390,150
16,332,158
65,818,66
70,344,356
84,645,340
69,177,101
82,786,521
32,142,71
67,685,857
72,558,785
79,655,832
83,774,610
73,953,112
78,315,336
71,454,755
32,95,76
65,215,360
32,122,95
66,124,516
82,58,689
79,987,673
84,392,904
72,481,398
32,145,31
89,363,794
79,686,601
85,424,194
32,128,30
67,78,532
8,78,7
188,717,263
32,104,246
89,787,41
79,738,433
85,164,22
32,149,0
67,402,612
65,875,471
78,498,612
32,133,133
71,602,377
79,774,854
32,22,71
73,694,978
78,177,304
84,29,461
79,208,642
32,124,96
84,253,436
72,797,384
69,185,60
32,99,172
84,261,663
72,516,769
82,155,714
69,186,15
32,104,5
70,778,465
82,267,566
73,476,927
68,953,232
71,130,346
69,155,31
83,111,202
32,104,50
84,192,618
72,272,745
69,130,102
89,399,709
32,112,132
72,48,70
65,870,365
86,957,885
69,186,60
32,135,31
65,253,624
78,736,363
68,896,133
32,122,102
67,342,898
72,565,980
79,694,711
83,3,304
69,123,69
32,104,28
89,224,71
79,898,115
85,83,151
82,103,300
32,122,31
70,577,45
79,860,656
68,639,652
32,134,32
73,861,954
84,169,732
69,155,8
77,4,739
83,641,187
190,202,70
32,106,277
16,791,769
84,700,608
72,394,983
69,134,26
83,752,500
69,155,60
32,105,70
65,964,156
82,86,180
69,102,176
32,103,378
82,786,213
65,853,585
87,701,520
32,124,75
70,824,500
79,613,971
68,833,322
83,290,897
188,279,994
32,128,407
80,918,973
76,690,972
65,362,117
84,422,712
69,130,0
68,426,281
32,130,31
65,856,794
78,588,171
68,494,980
32,147,100
67,363,749
79,371,211
86,939,883
69,114,50
82,40,745
69,131,0
68,217,525
32,131,72
73,330,617
78,865,296
32,95,84
83,560,660
65,937,459
82,235,133
65,562,530
78,41,396
32,142,214
87,905,323
65,541,443
82,551,672
80,159,779
190,702,705
32,135,142
84,930,419
72,264,414
69,159,83
82,487,925
69,114,108
32,143,148
8,58,830
82,149,223
65,775,839
80,421,921
190,472,446
32,146,31
16,204,891
84,616,714
72,459,12
69,278,70
89,919,335
32,146,70
65,767,353
82,189,302
69,130,159
32,151,59
8,61,384
82,337,40
69,175,53
32,129,31
65,293,10
82,595,15
69,134,71
32,135,41
83,166,615
79,176,303
