VK,HT,FT
16,770,-1
72,74,160
79,100,198
76,75,194
89,62,163
32,84,96
16,505,123
67,88,107
79,77,138
87,621,68
16,687,245
49,587,310
32,80,139
16,512,125
84,79,167
72,67,94
73,64,293
83,74,134
32,80,188
80,761,33
76,87,185
65,80,133
67,75,148
69,93,136
32,72,115
84,71,208
8,181,395
72,60,127
65,80,180
83,78,170
32,71,114
84,70,232
72,64,89
69,88,133
32,70,118
66,117,245
69,98,169
83,74,189
84,67,242
32,76,110
82,85,117
79,92,205
76,89,204
83,62,140
32,78,191
73,56,244
78,88,233
32,82,94
84,71,113
79,91,210
87,206,579
78,77,254
190,575,808
32,86,148
16,386,164
84,77,210
72,77,115
69,104,130
32,69,131
67,80,134
16,660,245
79,87,199
67,86,117
79,95,196
78,77,270
85,62,225
84,67,136
32,71,108
79,92,209
32,76,162
82,83,120
79,105,208
76,70,173
32,79,153
73,51,335
83,55,178
32,75,157
67,85,140
82,90,140
65,79,157
90,739,905
89,67,155
32,78,109
71,89,307
79,87,198
68,65,116
190,3,110
32,77,133
16,374,107
84,68,231
82,85,144
8,507,478
16,532,142
65,93,124
78,70,125
68,61,126
32,81,154
84,64,230
72,75,90
69,87,162
89,62,165
32,85,160
72,62,114
65,85,132
86,82,233
69,83,143
32,71,131
65,74,138
32,85,165
72,60,182
65,82,114
80,125,280
89,62,198
32,85,185
72,68,161
79,84,182
85,79,195
82,72,128
32,75,184
80,873,853
82,74,151
73,80,314
67,85,103
73,61,201
78,78,59
71,96,265
32,76,170
77,62,134
69,97,131
78,82,166
85,68,217
32,78,145
84,74,174
72,65,112
65,79,134
84,77,121
32,73,106
73,73,374
83,93,141
32,80,137
65,77,169
66,154,290
83,67,187
85,59,143
82,70,137
68,65,134
190,759,851
32,80,102
16,402,183
83,68,173
79,88,170
32,79,114
67,87,162
72,75,131
69,80,105
65,79,154
80,195,674
190,78,716
32,84,109
16,705,115
89,63,200
79,108,137
85,63,201
32,76,113
67,85,163
65,92,147
78,62,149
32,81,182
66,146,258
85,75,171
89,64,194
32,85,157
83,62,154
85,62,196
83,73,152
72,62,187
73,70,119
32,81,175
8,162,518
66,154,245
85,58,209
89,72,194
32,73,153
69,83,163
78,72,247
79,113,168
85,69,193
71,52,172
72,58,175
32,85,161
