VK,HT,FT
16,991,-1
84,121,119
72,118,131
73,119,69
83,129,229
32,118,163
8,498,412
16,1007,186
83,149,249
85,161,204
83,167,250
72,90,111
73,179,215
189,289,819
16,184,105
71,697,595
69,114,108
78,87,110
32,125,173
73,159,107
83,121,215
32,119,138
8,153,436
73,158,143
83,167,292
32,122,166
68,120,20
69,120,108
70,460,241
73,119,388
78,169,65
73,84,255
84,120,102
69,155,142
76,125,124
89,161,172
32,71,115
79,201,26
78,166,19
69,160,71
32,121,55
79,193,209
70,446,976
32,86,106
84,121,12
72,162,76
69,114,109
32,115,97
66,930,295
69,94,168
83,124,196
84,123,105
32,117,108
83,189,29
85,150,55
83,123,324
72,119,105
73,160,106
32,120,144
66,158,549
65,157,305
82,52,193
83,123,165
32,113,73
16,460,176
73,122,108
32,118,118
72,117,194
65,191,110
86,715,664
69,120,72
32,113,151
69,121,71
86,270,293
69,120,191
82,122,99
32,121,142
66,779,549
69,121,71
78,85,148
190,362,847
8,125,409
32,83,86
84,108,224
79,86,193
190,262,441
32,88,106
16,192,185
87,11,90
72,96,93
69,85,109
78,163,569
32,48,117
16,519,106
73,156,133
32,92,102
70,806,804
73,87,108
82,85,54
83,53,129
84,121,216
32,117,366
65,156,114
82,34,245
73,86,114
86,434,421
69,120,333
68,122,79
32,87,114
8,122,642
188,805,186
32,128,76
84,102,492
72,130,77
69,121,69
32,119,30
83,168,147
84,157,387
65,191,171
70,693,510
32,122,127
87,351,783
65,47,187
83,157,215
32,119,35
86,116,428
69,119,134
82,152,175
89,37,104
32,100,135
70,503,882
82,83,620
73,121,70
69,158,75
78,118,109
68,121,8
76,123,105
89,139,164
32,125,104
65,182,13
78,156,147
68,122,16
32,86,104
65,194,277
76,166,148
32,84,101
83,78,173
77,110,182
73,135,135
76,130,147
69,121,106
68,143,98
32,121,131
65,168,147
78,121,140
68,31,137
32,84,69
83,139,282
65,150,331
73,122,372
68,151,144
32,86,108
72,119,205
69,121,67
76,158,101
79,123,74
32,86,171
65,48,177
68,181,42
83,164,128
32,126,111
8,244,421
83,169,300
32,120,71
16,192,157
73,122,141
32,88,39
87,624,77
65,158,181
76,122,105
75,747,543
69,139,109
68,119,141
32,109,88
73,121,411
78,87,85
190,798,650
32,124,106
16,192,383
73,135,106
32,120,115
67,586,235
72,162,114
79,120,164
83,123,139
69,126,104
32,115,116
84,128,105
79,162,38
32,117,146
83,169,247
73,178,231
84,157,152
32,120,120
65,158,235
84,87,98
32,121,72
84,124,245
72,122,191
69,120,121
32,120,119
83,121,160
85,125,185
83,130,295
72,156,109
73,87,89
32,125,76
66,120,841
65,194,39
82,146,108
32,84,39
65,126,88
68,148,215
78,126,56
32,111,404
8,537,392
78,171,441
68,121,169
32,120,79
16,192,131
87,391,961
65,136,184
83,151,40
32,117,72
69,85,535
88,652,317
84,125,198
82,164,109
69,119,111
77,124,182
69,122,139
76,214,210
89,76,280
32,26,19
83,121,120
65,156,170
84,156,127
73,122,111
70,350,441
8,470,367
83,132,20
70,867,33
73,157,28
69,119,106
68,156,145
32,84,116
87,190,872
73,119,84
84,121,78
72,123,75
32,84,119
84,124,351
72,122,5
69,125,166
32,115,150
81,467,768
85,151,119
65,191,121
76,44,194
73,127,76
84,128,105
89,143,119
32,102,121
79,188,125
70,5,394
32,85,107
84,122,156
8,467,318
70,750,277
73,121,142
68,51,417
8,39,680
83,32,241
72,122,75
32,121,441
8,125,406
190,641,188
16,733,154
32,84,27
16,205,163
73,121,136
32,128,119
83,122,159
8,125,263
68,176,141
79,200,73
78,86,63
222,953,334
84,120,199
32,85,229
84,90,71
72,118,2
73,152,115
78,134,150
75,939,436
32,54,108
16,255,378
73,120,217
32,48,70
72,85,109
65,158,140
86,223,281
69,96,71
32,115,123
69,155,365
86,172,482
69,125,110
82,119,181
89,121,111
32,94,77
8,166,296
32,115,131
72,85,114
65,156,320
68,119,38
32,88,176
84,150,143
72,112,78
65,156,151
84,121,145
32,120,108
70,461,327
82,129,285
69,120,144
83,127,242
72,121,196
32,64,109
79,192,127
70,311,265
32,157,437
65,156,238
32,120,76
70,380,702
73,130,226
83,132,169
72,130,162
32,90,55
66,505,593
69,156,375
70,248,234
79,83,208
82,159,191
69,156,41
188,142,739
32,122,62
16,375,441
65,156,16
78,119,106
68,170,173
32,83,119
16,192,196
73,119,140
32,93,172
72,119,262
65,193,111
86,74,787
69,121,75
32,122,122
84,106,168
82,85,105
73,121,139
69,123,561
68,121,138
32,120,108
74,995,490
85,122,74
83,123,163
84,157,79
32,128,118
65,168,119
66,979,256
79,197,113
85,131,205
84,125,130
32,85,152
69,123,107
86,524,338
69,156,143
82,85,106
89,96,119
32,125,55
83,122,45
72,85,106
8,122,377
85,147,73
83,152,89
72,85,77
73,121,77
32,120,109
65,31,182
78,114,60
68,94,136
32,92,104
74,493,202
65,117,140
80,310,92
65,70,151
78,93,109
69,120,137
83,157,113
69,159,71
32,103,108
82,34,417
69,133,146
83,133,57
84,157,252
65,121,429
82,150,151
85,126,135
8,244,617
65,118,263
8,197,309
85,128,123
82,164,244
65,124,31
78,85,81
84,157,250
32,85,276
73,50,36
78,156,104
32,85,119
16,18,119
76,119,150
79,120,70
83,122,119
32,120,62
16,198,115
65,175,293
78,326,155
71,253,621
69,158,175
76,120,124
69,124,157
83,156,159
190,273,867
32,123,108
16,457,290
84,116,145
79,86,111
32,118,38
69,84,109
8,458,14
65,122,34
78,87,103
89,153,106
79,198,209
78,121,110
69,121,205
32,120,21
79,166,111
78,50,112
32,124,128
84,88,383
72,156,231
69,120,109
32,85,150
70,801,42
8,158,413
70,219,258
69,86,168
78,196,84
67,520,180
69,121,488
32,120,103
65,65,143
66,762,693
79,191,70
85,128,226
84,120,136
32,116,125
67,561,212
79,168,70
78,87,64
73,157,76
8,244,267
77,102,248
73,85,294
78,86,72
71,817,848
32,82,1038
72,87,75
69,133,200
82,122,174
69,119,108
188,898,596
32,128,119
74,571,70
85,130,135
83,72,11
84,125,131
32,121,108
70,754,174
79,125,70
8,120,285
68,119,138
79,164,173
32,121,581
73,122,37
84,158,106
16,752,376
49,928,345
32,86,110
16,1080,292
73,120,76
222,462,467
77,123,323
32,85,163
84,127,105
69,124,105
76,123,278
73,128,473
78,119,115
71,897,532
32,128,85
65,156,167
76,148,147
32,121,118
79,193,200
70,123,126
32,95,70
77,134,78
89,138,31
32,118,110
70,50,77
82,131,104
73,150,241
69,121,99
78,110,108
68,121,182
83,122,111
32,116,144
84,155,20
72,120,109
65,193,318
84,127,145
32,86,440
84,91,172
72,120,74
69,123,110
89,121,33
32,117,124
83,157,323
72,125,125
79,120,178
85,131,115
76,120,389
68,155,217
32,121,104
67,105,969
79,120,71
77,123,187
69,161,22
32,119,110
72,129,75
69,121,137
82,184,41
69,124,78
188,754,423
32,48,448
65,156,127
78,133,109
68,119,115
32,89,108
8,910,422
73,86,243
84,97,108
32,116,113
8,231,504
222,872,309
13,477,596
8,124,396
83,132,122
32,119,127
87,975,249
79,154,117
82,127,206
84,122,424
72,121,110
32,48,146
69,156,135
86,328,374
69,123,122
82,130,301
89,135,110
32,110,93
80,973,606
69,87,174
78,169,72
89,124,119
190,15,375
