VK,HT,FT
16,498,-1
89,111,398
65,138,474
71,178,140
85,99,208
82,185,207
65,183,179
32,169,195
16,0,465
73,111,0
67,79,256
72,130,243
73,164,31
66,81,159
65,178,171
78,114,122
32,125,203
73,174,6
83,139,318
32,177,159
65,149,365
32,181,89
78,122,227
69,176,0
87,881,989
32,147,0
69,67,264
88,247,910
8,594,397
188,125,628
32,108,276
69,203,0
88,662,318
67,172,192
73,186,353
84,108,0
73,129,314
78,142,245
71,195,118
32,153,307
82,165,145
69,214,64
83,147,214
84,204,243
85,118,217
8,160,809
65,176,252
85,133,121
8,0,941
65,156,265
82,152,71
85,136,116
65,138,190
78,101,196
84,190,297
8,339,415
84,225,102
65,128,720
85,101,111
82,172,125
65,125,153
78,139,72
84,176,162
190,890,517
32,135,131
16,0,494
65,187,0
8,891,854
16,0,0
73,116,478
84,150,190
32,199,292
72,70,72
65,128,0
83,130,30
32,187,72
8,0,475
16,457,351
73,103,268
70,271,107
32,161,261
89,112,326
79,155,3
85,122,192
32,137,180
65,143,262
82,142,144
69,184,352
32,107,205
76,177,74
79,194,626
75,799,859
73,178,136
78,110,40
71,94,187
32,144,424
70,116,288
79,103,20
82,184,275
32,77,182
65,151,24
77,935,24
65,150,258
90,957,809
73,124,377
78,123,346
71,193,365
32,166,319
16,143,405
74,789,951
65,130,451
80,243,111
65,156,154
78,100,354
69,158,207
83,146,227
69,147,326
32,153,119
70,173,236
79,187,84
68,162,266
32,115,136
16,0,382
89,106,177
65,131,29
71,119,54
85,129,104
82,133,146
65,152,0
32,121,192
16,297,412
73,155,27
67,143,188
72,60,229
73,98,391
66,532,921
65,210,101
78,128,40
32,163,0
73,115,233
83,149,266
32,187,160
84,207,127
69,179,0
32,122,99
8,170,760
72,96,80
69,123,392
32,122,91
80,585,177
76,102,220
65,152,247
67,123,125
69,157,217
32,129,174
84,188,334
79,160,46
32,116,144
71,99,0
79,164,439
16,0,99
49,803,853
32,165,315
16,791,423
84,136,346
72,81,258
69,188,70
89,125,232
32,167,150
72,135,321
65,161,109
86,388,856
69,149,54
32,125,137
71,101,186
82,187,127
69,220,165
8,0,373
79,76,532
70,110,478
69,172,159
82,149,116
32,132,192
71,114,262
82,81,165
69,160,283
65,138,210
84,132,0
32,204,59
83,128,381
69,161,129
82,169,139
86,111,98
73,114,96
67,106,126
69,125,61
188,600,386
32,147,163
65,155,272
78,133,403
68,124,282
32,120,439
70,153,270
79,295,158
68,92,134
32,147,371
65,129,475
78,115,475
8,291,542
84,151,354
65,168,340
32,143,182
8,0,846
32,127,96
65,168,205
77,349,839
65,169,342
8,275,843
70,188,79
79,0,196
82,196,77
68,141,108
65,183,0
66,928,488
76,92,259
69,209,137
32,129,183
80,494,152
82,136,144
73,149,207
67,127,281
69,183,338
83,153,0
16,189,568
49,365,740
32,147,276
16,178,410
89,131,85
8,460,669
16,212,272
73,107,258
70,424,0
32,133,194
89,105,177
79,294,379
85,115,191
32,134,206
65,181,0
82,168,104
69,211,305
32,105,57
76,191,246
79,187,304
75,446,456
73,112,256
78,115,336
71,159,107
32,168,69
70,141,217
79,214,348
82,191,196
32,126,179
65,202,306
32,137,363
76,72,100
73,177,241
84,88,170
76,147,198
69,188,410
32,149,144
69,135,101
88,441,811
84,240,211
82,246,59
65,139,119
32,148,200
69,110,316
78,120,276
84,152,249
69,183,307
82,146,110
73,128,224
8,0,254
84,110,289
65,131,239
73,155,0
78,114,150
77,371,341
69,155,220
78,95,161
84,150,401
32,116,272
16,467,548
89,107,309
65,162,0
71,126,11
79,89,242
8,82,715
85,120,95
82,194,237
65,153,80
32,154,200
16,598,209
73,139,145
67,115,164
72,60,259
73,176,0
66,112,494
65,161,708
78,118,525
32,135,84
79,355,0
70,90,362
69,195,304
82,174,76
83,164,466
32,166,177
84,111,0
72,118,74
65,246,130
84,190,0
32,136,99
65,150,274
83,135,373
32,177,68
87,949,476
69,189,217
76,184,78
190,586,949
32,149,115
16,170,608
84,238,228
72,139,276
69,224,195
89,92,48
32,193,140
78,114,100
79,158,499
87,314,523
32,93,119
70,146,295
69,189,0
65,180,99
84,172,90
85,113,31
82,99,174
69,169,296
32,91,230
16,468,507
75,568,317
65,171,69
82,76,228
65,102,58
79,186,160
75,343,93
69,147,280
16,268,831
49,93,737
32,179,372
16,0,561
87,285,619
72,99,222
65,181,144
84,106,213
32,95,239
65,173,418
32,130,307
71,142,240
82,137,198
69,178,337
65,174,291
84,43,367
32,179,492
87,872,619
65,140,176
89,114,246
32,168,231
84,204,311
79,141,914
32,131,150
8,0,581
65,158,0
84,196,23
32,154,342
87,911,772
65,135,407
89,79,229
32,155,84
84,177,243
79,208,0
32,153,58
72,111,313
65,188,164
86,698,710
69,151,524
32,97,211
65,171,510
32,132,175
71,170,181
79,0,392
68,145,356
32,142,56
84,161,153
73,130,258
77,830,789
69,155,262
32,140,168
87,818,656
73,141,263
84,223,319
72,103,158
32,194,44
84,154,163
8,144,337
70,244,469
82,175,144
73,132,88
69,200,235
78,85,475
84,213,180
68,153,262
8,954,764
68,168,415
83,209,233
32,124,147
65,207,370
78,108,227
68,165,282
32,102,195
70,142,382
65,146,0
77,360,688
73,129,158
76,126,171
89,152,276
16,445,648
190,841,590
32,130,205
16,191,573
89,132,127
65,193,102
71,145,305
85,139,142
82,128,186
65,135,128
32,117,250
16,575,455
73,74,107
67,126,128
72,126,251
73,140,58
66,693,769
65,164,64
78,103,0
32,169,0
73,163,286
83,181,289
32,172,42
65,171,249
71,113,181
32,80,21
8,684,362
32,199,103
87,362,44
79,154,231
78,110,160
68,115,118
69,137,221
82,162,183
70,124,0
85,157,108
76,198,354
32,160,312
80,732,721
76,235,158
65,140,129
67,118,231
69,177,196
32,164,118
84,163,81
79,0,430
32,145,155
72,79,251
65,152,458
86,195,792
69,94,354
8,715,443
69,203,517
78,113,155
71,104,104
8,997,693
74,824,729
79,68,654
89,134,176
32,180,49
70,141,201
79,277,336
68,118,302
32,202,193
70,164,257
8,580,872
188,849,18
32,100,292
70,154,266
85,117,194
78,80,204
188,725,765
32,91,305
65,193,98
78,78,341
68,196,62
32,135,271
