VK,HT,FT
16,184,-1
17,30,713
86,686,811
17,838,674
86,36,930
16,752,848
77,876,423
89,145,867
32,80,85
71,997,913
73,93,217
82,246,848
84,676,596
76,389,695
8,479,629
76,702,453
70,122,397
82,906,670
73,82,261
69,88,89
78,61,484
68,727,897
32,36,136
65,812,112
78,713,774
68,664,494
32,149,145
16,455,812
73,124,88
32,208,108
71,813,767
69,66,214
84,597,212
32,129,94
80,731,201
73,66,82
90,484,738
65,422,138
32,138,31
70,294,569
82,208,155
79,399,867
77,473,148
32,70,158
16,516,680
69,91,153
65,975,313
83,619,548
84,100,292
32,132,131
69,118,235
78,163,385
68,247,359
32,76,150
79,403,359
70,395,182
84,441,972
69,112,194
78,412,576
190,273,30
32,150,148
16,956,66
73,35,0
84,850,347
222,947,933
83,766,988
32,125,124
67,834,341
79,505,342
78,382,788
86,598,131
69,114,241
78,825,107
73,92,42
69,87,231
78,225,734
84,444,131
32,157,125
68,410,614
85,368,385
69,116,155
32,18,149
84,522,742
79,851,282
32,118,94
84,918,225
72,87,456
69,67,110
32,101,34
76,293,192
79,736,813
65,837,402
67,733,242
65,449,657
84,843,387
73,56,16
79,904,300
78,888,239
8,22,378
67,992,719
65,189,259
84,958,496
73,87,347
79,417,341
78,283,316
32,106,79
66,682,70
69,112,87
73,110,77
78,216,722
71,743,232
32,114,130
67,70,650
76,880,781
79,50,664
83,137,384
69,92,152
32,158,86
66,651,225
89,946,839
32,108,123
65,174,832
78,931,745
68,65,490
32,156,183
79,899,118
78,459,35
32,107,9
84,45,982
72,321,380
69,68,98
32,155,72
73,73,106
83,600,332
76,195,223
65,787,693
78,98,914
68,65,259
32,120,87
79,746,92
70,7,714
32,221,102
16,542,545
65,584,609
76,313,14
65,655,164
77,218,185
69,86,277
68,699,288
65,496,609
190,52,141
32,133,65
16,562,829
84,87,253
72,863,809
69,82,239
32,92,147
80,209,768
73,101,173
90,383,866
65,414,232
32,87,65
73,121,224
83,902,519
32,101,189
83,133,800
79,119,785
77,998,332
69,71,174
32,123,139
79,382,961
70,688,402
32,117,73
84,611,81
72,761,798
69,87,93
32,151,145
77,432,608
79,469,268
83,566,957
84,475,519
32,104,182
68,647,791
69,79,132
76,242,954
73,89,217
67,41,812
73,100,0
79,585,999
85,186,677
83,157,80
32,95,159
80,232,165
73,64,113
90,817,93
65,972,533
32,109,160
16,788,265
73,128,156
32,151,163
72,561,202
65,251,299
86,553,792
69,101,198
32,75,63
69,49,357
86,1,432
69,91,382
82,144,85
32,85,82
69,79,11
65,626,827
84,982,123
69,86,215
78,345,298
32,95,129
73,112,192
78,529,517
32,100,28
77,218,416
89,590,980
32,107,65
76,297,749
73,86,91
70,400,985
69,87,155
190,152,893
32,129,143
16,593,444
84,49,32
72,982,86
69,89,146
32,171,69
67,404,642
82,7,361
85,994,879
8,706,524
85,648,672
83,48,363
84,424,423
32,90,197
65,245,100
78,958,287
68,696,819
32,146,126
68,752,190
79,101,39
85,390,692
71,423,903
72,971,436
32,85,79
73,102,349
83,373,854
32,160,116
80,700,956
