VK,HT,FT
16,439,-1
73,137,179
8,117,493
16,427,354
77,161,314
89,142,320
32,130,206
71,168,231
73,138,177
82,192,151
76,126,68
70,121,158
82,96,314
73,114,107
69,148,176
78,171,159
68,165,138
32,129,152
65,186,678
78,118,194
68,190,105
32,136,152
16,225,144
73,161,96
32,178,127
71,130,163
69,190,257
84,174,127
32,144,188
80,145,459
73,168,123
90,314,131
65,194,380
32,130,171
70,156,295
82,137,260
79,137,141
77,162,106
32,193,158
16,170,346
69,192,47
65,212,119
83,168,210
84,173,131
32,106,232
69,118,82
78,158,152
68,114,126
32,146,150
79,169,557
70,165,200
84,155,204
69,195,202
78,180,324
190,111,253
32,145,172
16,355,236
87,53,160
69,153,324
32,143,163
85,132,276
83,170,260
85,122,205
65,153,64
76,403,74
89,175,292
32,182,750
79,121,275
82,115,105
68,181,177
69,194,152
82,193,180
32,147,146
84,123,53
72,139,159
69,153,121
32,191,98
86,136,299
85,179,270
76,138,280
67,185,447
65,188,238
78,152,133
32,191,438
87,222,209
73,168,184
84,100,189
72,156,100
32,157,128
67,138,226
72,118,127
69,136,155
83,195,382
69,194,248
190,115,175
32,182,255
16,155,335
73,132,247
84,145,262
222,127,223
83,149,160
32,186,163
65,128,160
32,155,203
68,194,247
69,145,99
76,166,396
73,56,349
86,167,103
73,153,215
79,152,186
85,114,137
8,1011,411
67,75,290
73,153,446
79,192,264
85,155,239
83,140,175
32,167,153
80,153,140
73,167,316
90,307,321
65,188,406
32,146,522
87,155,914
73,199,138
84,170,169
72,122,156
32,207,125
71,201,264
65,149,173
82,138,159
76,162,291
73,155,223
67,104,373
188,157,404
32,157,213
8,290,1192
16,214,1133
73,69,171
84,138,123
222,183,221
83,72,174
32,130,157
67,162,407
79,191,170
78,162,345
86,194,156
69,169,142
78,176,166
73,186,295
69,146,176
78,159,123
84,218,127
32,153,99
68,153,457
85,199,190
69,123,176
32,55,167
84,194,218
79,218,161
32,146,254
73,127,184
84,158,191
222,161,174
83,236,175
8,170,280
83,155,1407
8,1500,447
84,163,120
72,119,219
69,192,187
32,168,80
76,189,365
79,199,208
67,171,127
65,187,115
84,141,252
73,263,179
79,141,191
78,120,273
32,192,214
66,152,101
69,114,129
73,177,235
78,213,175
71,125,117
32,165,114
67,130,671
76,74,121
79,86,201
83,102,156
69,190,286
32,130,443
66,110,192
89,220,311
32,197,182
65,125,233
78,118,146
68,108,167
32,169,112
79,127,200
78,127,215
32,140,209
