VK,HT,FT
16,732,-1
73,421,659
32,141,90
76,929,874
79,898,666
86,903,997
69,146,279
32,137,69
84,768,697
72,444,152
69,94,95
32,126,51
83,710,669
73,480,658
77,762,576
80,44,331
76,650,266
69,131,93
32,117,92
77,539,955
69,187,156
78,88,575
73,633,898
8,627,48
85,668,684
17,902,934
86,543,993
32,118,100
65,150,124
78,738,17
68,500,358
32,118,108
67,668,947
85,296,309
83,729,220
84,374,834
79,520,301
77,363,217
73,324,147
90,170,392
65,134,93
84,323,836
73,691,702
79,82,354
78,138,887
32,126,84
79,874,218
80,359,710
84,268,636
73,537,11
79,450,350
78,177,138
83,113,297
190,100,13
32,122,36
16,563,940
84,203,157
72,519,374
69,164,109
32,141,70
73,523,552
78,614,824
71,936,105
82,143,210
69,134,73
68,594,600
73,917,182
65,146,44
78,345,847
84,211,231
83,461,639
32,139,68
65,150,99
82,122,169
69,160,92
32,118,24
83,629,206
73,831,616
78,230,239
77,799,276
80,121,989
8,651,18
77,192,868
80,430,20
76,61,619
69,149,185
32,130,68
65,135,45
78,341,57
68,996,492
32,134,49
70,976,796
82,148,53
69,182,93
83,212,177
72,411,910
190,21,70
32,126,74
16,30,495
84,154,415
72,846,188
69,175,52
32,142,63
84,787,414
65,150,83
83,266,163
69,15,88
8,284,228
84,351,895
69,182,141
32,212,100
73,401,365
83,37,249
32,136,85
68,144,195
69,147,52
76,874,41
73,500,629
67,401,816
73,587,98
79,710,79
85,629,947
83,548,942
32,21,43
65,161,84
78,400,47
68,670,221
32,126,67
75,553,642
69,142,197
80,266,4
83,969,322
32,133,154
77,980,91
69,142,94
32,118,74
87,242,559
65,172,36
76,420,874
8,702,993
65,135,123
76,259,627
87,348,575
65,194,100
89,763,530
83,636,216
32,227,100
87,253,104
65,135,36
78,427,653
68,695,710
8,480,757
84,56,173
73,483,606
78,711,604
71,264,738
32,134,100
77,891,559
79,403,103
82,135,49
69,159,54
190,530,573
32,136,88
16,235,857
84,284,45
72,10,619
69,142,83
32,326,88
80,167,43
79,639,855
82,143,189
84,509,790
73,675,861
79,217,833
78,334,115
83,736,360
32,126,68
65,135,45
82,118,135
69,182,177
32,126,78
86,856,523
69,188,84
82,118,70
89,106,642
32,119,36
70,17,246
73,360,930
76,179,605
73,636,610
78,254,480
71,299,445
190,58,556
32,117,105
16,558,468
65,44,113
32,118,68
66,185,422
85,738,870
82,127,207
73,911,956
84,118,996
89,898,123
79,151,196
8,129,909
79,185,816
32,118,108
73,325,788
83,169,579
32,193,100
77,608,840
79,522,145
82,134,202
69,190,71
32,124,64
84,94,787
72,319,170
65,150,120
78,12,911
32,134,75
69,110,157
78,671,252
79,642,614
85,171,497
71,437,347
72,780,595
32,35,50
70,318,957
79,865,50
82,172,180
32,118,100
65,197,124
32,118,29
77,950,627
69,160,83
65,200,98
76,212,238
190,182,114
32,120,10
16,592,785
73,990,167
32,118,68
65,150,44
76,696,314
87,980,64
65,150,124
89,85,178
83,520,361
32,125,77
84,319,491
65,143,58
75,741,163
69,139,84
32,126,83
77,239,852
89,468,28
32,135,28
70,851,145
82,128,185
73,686,568
69,191,87
78,513,761
68,558,549
83,602,899
32,158,108
65,161,105
78,384,374
68,214,566
32,123,42
67,361,11
79,973,708
87,593,679
79,123,382
82,129,176
75,616,91
69,142,52
82,135,55
83,279,940
32,138,68
84,903,178
72,240,413
69,182,84
82,138,55
69,117,109
32,24,90
85,268,695
83,725,560
85,274,506
65,150,101
76,42,383
89,177,591
32,138,85
70,26,391
79,877,841
82,123,47
32,130,72
76,990,393
85,749,726
78,36,419
67,959,301
72,370,233
188,1,506
8,278,609
190,356,627
32,117,86
16,485,352
73,813,578
84,627,104
222,868,410
83,557,369
32,121,74
71,878,912
82,165,113
69,115,83
65,64,41
84,428,690
32,124,84
69,132,252
86,874,473
69,185,84
78,363,543
32,126,108
70,864,520
79,932,547
82,144,108
32,318,36
86,369,933
69,129,94
71,123,417
65,150,58
84,328,355
65,152,37
82,143,73
73,718,113
65,182,18
78,905,134
83,327,709
32,134,86
65,158,0
83,769,158
32,128,64
84,633,711
72,549,131
69,135,56
32,135,124
66,418,607
85,126,135
82,137,263
73,863,600
84,302,301
79,104,421
83,271,512
32,118,140
65,200,12
8,295,329
67,544,645
65,170,44
78,216,107
32,134,108
66,449,628
69,191,94
32,141,137
77,319,75
65,137,35
75,561,640
69,155,84
32,120,69
84,815,708
79,520,272
32,132,68
65,133,12
80,805,370
69,178,140
65,133,13
83,331,725
69,161,265
32,135,44
65,166,37
78,333,23
89,755,461
32,117,0
84,156,37
65,150,44
83,355,465
84,261,910
69,115,54
190,542,780
32,126,100
16,420,114
84,663,766
72,171,423
69,134,0
32,125,75
80,78,978
82,106,261
73,648,914
67,480,614
69,134,379
32,135,48
80,746,98
69,140,93
82,124,57
32,128,148
77,752,689
69,177,93
65,133,82
76,876,218
32,127,100
73,258,932
83,302,476
32,148,88
65,150,58
32,125,36
76,384,372
73,512,867
84,255,44
76,866,258
69,141,53
32,135,100
79,245,507
78,595,186
32,148,90
84,428,26
72,140,282
69,110,92
32,119,127
72,418,734
73,410,822
71,511,489
72,808,944
32,118,106
83,727,504
73,628,296
68,389,981
69,120,0
32,127,78
66,94,727
85,46,325
84,336,4
32,118,92
69,129,0
65,144,75
83,689,812
73,154,854
76,720,317
89,512,404
32,121,41
87,983,671
79,118,650
82,143,262
84,514,804
72,133,998
32,121,158
73,792,593
84,576,427
190,291,65
32,118,102
16,134,86
73,24,122
84,496,284
32,146,50
82,137,267
69,116,0
65,193,48
76,118,192
89,240,754
32,117,48
66,720,10
69,112,109
65,200,38
84,462,380
83,645,625
32,196,116
79,498,27
85,849,536
84,252,440
32,140,74
77,544,411
79,442,697
83,872,597
84,931,933
32,134,77
76,313,463
79,192,527
67,661,202
65,141,88
76,691,503
32,146,99
16,997,493
84,310,762
65,139,4
81,552,699
85,28,579
69,139,473
82,139,153
73,88,21
65,150,44
83,754,790
32,342,95
70,33,629
79,956,307
82,118,259
32,135,80
84,40,927
65,134,44
83,54,843
69,149,94
32,120,79
8,404,739
84,274,759
69,175,393
32,135,36
65,150,49
78,699,741
68,957,420
32,118,79
84,953,896
72,288,929
69,135,292
32,134,100
80,650,93
82,155,96
