VK,HT,FT
16,182,-1
87,72,787
69,132,140
222,212,280
86,529,24
69,137,51
32,99,247
69,148,89
65,119,75
84,148,80
69,91,24
78,100,91
32,1015,187
65,120,90
84,138,74
32,100,87
16,167,215
90,901,533
73,190,295
78,107,69
67,123,195
32,100,136
16,248,213
83,144,141
8,107,340
83,156,87
69,130,100
86,937,882
69,17,120
82,151,0
65,111,87
76,128,36
32,102,39
84,158,77
73,95,71
77,123,132
69,113,77
83,171,137
32,117,110
79,109,116
86,63,635
69,123,78
82,132,358
32,119,39
84,101,251
72,18,138
69,127,31
32,103,62
76,94,134
65,180,915
83,178,311
84,114,235
32,99,121
72,99,106
8,672,259
84,130,85
72,88,57
82,146,109
69,177,55
32,100,44
69,157,361
8,371,343
89,192,607
69,150,104
65,118,110
82,131,111
83,89,148
188,776,800
32,66,118
73,149,135
84,136,182
222,842,16
83,119,85
32,97,108
65,120,356
32,106,77
71,609,502
79,101,98
84,158,163
79,89,113
32,129,108
82,102,79
69,108,87
83,238,202
84,134,107
65,123,64
82,152,0
8,20,338
85,88,100
82,157,69
65,92,98
78,96,72
84,115,69
32,104,36
70,146,435
79,89,133
82,128,198
32,99,157
83,227,161
80,740,611
69,118,90
67,108,138
73,96,132
65,123,90
76,81,118
32,108,86
79,86,133
67,187,192
65,129,220
83,146,245
8,108,249
73,175,6
79,90,65
78,88,109
83,165,126
190,767,66
32,120,108
16,1500,143
84,163,110
72,90,62
69,113,111
32,111,239
77,90,66
69,167,79
78,98,94
85,111,33
32,100,57
73,70,125
83,151,109
32,101,107
65,85,124
77,224,82
65,129,96
90,665,575
73,153,60
78,88,77
71,961,295
188,117,708
32,96,97
73,152,86
84,116,107
32,100,83
72,82,116
65,100,71
83,179,66
32,104,150
65,120,210
32,99,85
86,417,68
65,82,677
82,153,112
73,130,0
69,123,117
84,146,170
89,196,133
32,109,76
79,85,133
70,88,55
32,99,131
76,50,61
79,126,134
67,172,5
65,139,90
76,76,171
67,153,120
8,117,819
76,76,151
32,81,132
65,120,46
78,82,86
68,137,864
32,101,35
79,96,131
82,100,102
71,375,305
65,118,53
78,89,102
73,97,181
67,110,36
32,122,88
79,59,108
80,433,928
84,121,84
73,120,79
79,72,100
78,114,64
83,215,105
188,29,399
32,100,139
65,119,54
78,96,112
68,231,309
32,103,51
84,136,69
72,92,15
69,153,130
73,105,82
82,170,65
32,79,72
80,346,17
82,73,71
73,96,162
67,154,4
69,138,91
32,43,130
70,141,0
73,95,89
8,103,299
73,125,285
88,668,103
69,133,91
68,666,643
32,85,116
77,96,285
69,160,145
78,110,116
8,212,634
16,332,67
222,775,263
70,102,384
82,140,383
65,138,212
77,84,69
8,362,790
65,88,175
82,155,119
77,85,37
32,106,88
77,128,141
69,118,156
78,118,93
85,86,60
16,267,215
222,842,399
32,115,43
73,109,85
83,146,65
32,122,57
65,24,158
32,98,132
71,445,512
82,132,194
69,129,61
65,173,68
84,130,143
32,112,66
86,635,279
65,139,83
76,76,5
85,15,20
69,116,66
188,577,936
32,92,78
65,123,38
78,115,74
68,118,505
32,89,152
73,116,134
84,129,178
32,81,36
67,103,53
72,81,75
65,132,186
78,99,116
71,883,750
69,151,124
83,119,179
32,122,93
87,185,852
69,167,91
75,855,822
76,111,100
89,505,913
32,116,117
68,129,276
85,98,176
82,143,69
73,97,30
78,78,29
71,409,386
32,196,109
84,117,84
72,126,34
69,159,95
32,100,87
83,88,140
85,109,151
77,122,108
69,130,144
82,140,121
190,212,702
32,88,142
16,169,83
83,113,67
79,155,117
85,111,146
80,220,971
83,148,89
32,122,133
65,116,255
82,171,187
69,110,217
32,97,143
70,64,352
65,131,60
78,110,102
84,171,75
65,123,89
84,130,17
8,202,265
83,101,85
84,158,63
73,108,32
67,163,188
190,306,851
32,111,46
16,256,231
84,124,65
72,89,82
69,153,76
32,99,55
83,156,215
69,113,90
82,108,105
86,896,346
73,88,83
67,153,119
69,164,85
32,111,90
73,86,150
83,287,201
32,87,36
69,138,22
88,818,115
67,122,179
69,148,57
76,22,134
69,167,141
78,81,52
84,129,79
32,103,92
65,112,120
78,90,98
68,85,590
32,91,107
84,149,71
72,90,74
69,120,63
32,107,88
80,236,820
82,113,174
79,126,117
70,144,55
69,116,76
83,122,190
73,121,175
79,102,64
78,91,69
65,123,532
76,102,47
32,122,107
65,120,113
78,93,102
68,558,302
32,75,96
84,148,69
72,60,57
69,266,0
37,746,272
39,199,472
8,831,274
39,793,504
32,99,63
65,120,381
84,134,190
77,80,83
79,86,82
83,163,91
80,821,152
69,123,62
82,140,108
69,116,75
32,94,140
73,88,180
83,128,90
32,105,77
80,794,133
69,157,76
70,74,1193
69,284,273
67,133,103
84,148,80
32,109,101
70,104,0
79,141,37
82,163,91
32,87,269
66,245,902
79,89,208
84,158,74
72,89,68
32,88,93
71,810,785
65,142,87
84,165,2
72,196,29
69,240,77
82,163,73
8,830,616
82,153,35
73,96,105
78,119,131
71,567,553
83,128,135
32,122,60
87,365,433
73,173,171
84,130,84
72,165,134
32,103,109
70,149,0
82,139,122
73,120,113
69,102,101
78,120,73
68,618,686
83,95,314
32,75,151
79,93,82
82,167,123
32,106,57
70,102,63
79,116,63
82,133,196
32,99,117
65,120,81
32,96,151
67,169,159
8,105,342
82,129,101
79,141,115
77,92,81
65,93,62
78,89,95
84,155,172
73,58,65
67,103,95
32,217,93
68,263,199
73,140,152
78,89,69
69,131,164
82,142,69
190,207,749
32,102,49
16,264,136
87,545,268
73,121,162
84,148,57
72,78,31
32,106,55
84,151,266
72,73,77
69,129,73
32,122,90
78,100,70
85,101,145
77,98,170
66,11,166
69,168,124
82,156,72
32,99,90
79,94,62
70,135,330
32,119,51
79,92,120
80,297,330
84,147,80
73,43,124
79,27,85
78,79,53
83,108,165
32,86,61
79,27,241
70,14,751
32,111,98
16,173,111
80,982,323
8,110,837
80,821,366
76,110,111
65,131,98
67,121,192
69,52,120
83,202,234
32,117,102
84,164,69
79,173,129
32,109,114
69,137,96
65,107,58
84,129,76
32,103,105
73,72,132
78,90,73
32,111,79
16,700,105
78,90,96
69,116,63
87,648,977
32,109,107
16,300,132
72,90,40
65,104,45
86,719,908
69,158,141
78,87,112
32,123,100
89,302,219
79,97,56
85,59,52
32,107,121
72,86,89
65,123,431
86,682,336
69,266,101
32,109,79
84,158,62
79,89,272
32,92,150
66,438,813
69,179,62
32,101,106
65,118,351
32,95,80
83,96,145
80,421,816
69,170,86
67,12,23
