VK,HT,FT
16,138,-1
74,81,449
73,89,161
8,248,442
73,87,101
77,840,965
89,109,119
16,163,83
32,91,155
90,637,783
222,974,571
83,83,73
32,36,67
16,108,24
84,60,6
69,53,84
88,643,962
65,151,116
83,104,152
32,104,66
16,160,63
72,57,0
79,170,127
84,106,61
83,115,69
32,83,199
73,78,0
83,69,43
188,806,104
32,79,76
73,89,137
78,99,25
32,71,239
77,898,778
89,79,237
32,122,69
79,66,119
80,940,624
73,60,17
78,101,38
73,92,74
79,100,81
78,88,104
188,592,527
32,117,350
84,64,0
72,88,90
69,67,89
32,54,70
66,56,67
69,84,99
83,93,76
84,45,122
32,124,18
80,384,780
76,62,57
65,100,71
67,75,96
69,134,64
32,77,45
84,88,87
79,46,98
32,106,61
69,131,104
65,133,152
84,86,24
32,93,48
73,87,102
78,86,76
32,85,282
16,143,30
66,59,48
82,102,300
79,138,99
67,153,113
75,729,313
80,519,642
79,74,84
82,85,87
84,108,70
190,245,273
32,125,53
16,139,24
73,71,98
84,66,129
222,379,499
83,70,54
32,78,0
79,119,154
78,147,112
69,80,110
32,117,49
79,20,78
70,19,39
32,128,149
84,77,36
72,96,74
79,137,57
83,92,67
69,143,104
32,127,85
16,149,52
222,227,370
72,118,90
79,143,129
76,88,168
69,53,61
32,105,30
73,62,56
78,106,74
32,59,7
84,85,106
72,123,70
69,54,87
32,73,78
87,83,77
65,117,50
76,182,91
16,122,157
222,936,759
32,102,298
80,663,534
76,120,151
65,100,56
67,89,130
69,125,96
83,75,46
32,91,94
84,111,39
72,83,42
65,81,0
84,130,31
32,99,42
85,109,224
83,96,53
8,842,627
83,77,109
85,104,0
82,128,0
80,769,521
82,122,137
73,73,49
83,91,26
73,66,39
78,79,0
71,859,394
76,97,46
89,65,8
32,93,269
71,120,777
79,142,118
68,84,235
32,97,96
70,139,22
79,80,35
68,113,42
190,741,434
32,74,0
16,143,65
73,59,54
84,88,3
32,122,0
73,67,74
83,77,117
32,94,71
65,104,53
32,62,191
70,63,0
65,124,66
77,981,208
73,61,31
76,145,249
89,34,40
32,79,107
82,92,472
85,107,148
78,96,110
32,106,102
80,672,229
76,175,136
65,152,73
67,102,93
69,58,73
32,101,87
87,83,114
73,53,82
84,144,19
72,107,84
32,84,102
65,98,21
32,88,0
76,55,99
79,170,149
84,76,106
32,109,0
79,112,51
70,71,268
32,111,281
72,62,58
73,75,150
83,95,93
84,84,168
79,93,126
82,79,562
89,60,74
32,74,74
66,44,31
69,65,188
72,87,0
73,81,74
78,86,165
68,74,84
32,89,174
73,61,8
84,96,52
32,86,0
65,107,19
78,118,166
68,71,85
32,74,239
65,141,48
78,97,0
32,106,242
69,142,67
88,585,527
84,119,110
82,126,0
69,64,51
77,524,229
69,103,51
76,130,39
89,71,151
32,107,47
70,118,312
82,109,313
73,74,128
69,39,112
78,105,135
68,59,111
76,24,102
89,74,121
32,104,73
83,50,32
84,93,172
65,119,105
70,122,73
190,300,840
32,92,0
16,120,36
69,93,138
86,519,840
69,49,120
78,103,85
32,91,0
73,71,83
70,126,74
32,109,216
89,81,125
79,204,50
85,123,128
32,52,0
72,87,148
65,101,26
86,185,734
69,118,43
32,84,63
78,100,133
69,66,72
86,960,951
69,200,52
82,94,79
32,98,51
66,57,78
69,54,63
78,80,163
32,99,99
84,107,58
72,98,44
69,14,90
82,124,92
69,71,84
32,67,55
66,75,92
69,45,58
70,108,0
79,74,109
82,118,52
69,121,80
188,260,608
32,95,5
84,69,41
72,98,55
69,106,63
82,77,81
8,446,212
89,72,126
32,79,127
87,86,138
73,64,137
76,83,0
32,101,0
71,639,125
82,93,467
69,118,67
84,84,79
32,94,51
89,63,102
79,52,67
85,77,204
32,103,190
87,110,0
65,111,63
82,91,65
77,290,188
76,129,112
89,70,13
32,75,21
65,139,98
78,81,0
68,87,204
32,80,128
84,121,125
82,50,0
69,33,70
65,105,100
84,149,156
32,84,194
89,76,138
79,203,108
85,81,120
32,91,214
65,105,94
83,71,57
32,50,192
73,91,67
70,88,0
32,78,248
89,73,152
79,173,50
85,101,20
32,97,110
72,70,229
65,150,71
69,93,43
32,109,81
66,75,65
69,130,183
78,83,118
32,104,251
65,94,55
32,114,296
82,95,0
69,75,86
71,161,193
85,88,111
76,149,84
65,107,61
82,76,7
32,76,0
70,108,56
79,95,111
82,72,320
32,66,60
89,80,24
69,137,81
65,129,94
82,99,0
83,98,94
190,49,107
32,122,327
16,108,76
84,106,88
72,106,57
69,59,83
82,123,72
69,124,89
32,82,76
73,89,109
83,89,73
32,107,134
65,101,78
32,97,233
87,84,65
73,78,99
68,63,134
69,87,55
32,107,74
86,184,529
65,110,0
82,86,199
73,92,73
69,77,99
84,82,45
89,65,162
32,110,181
79,228,109
70,73,158
32,72,0
70,136,0
79,114,84
68,46,155
83,113,113
32,106,66
84,87,109
72,82,98
65,102,44
84,49,94
32,113,0
65,124,79
82,123,510
69,155,57
32,58,73
85,81,55
78,105,118
73,66,19
81,728,819
85,98,181
69,87,118
32,103,67
67,90,97
79,159,86
77,717,201
66,45,98
73,88,179
78,115,143
65,145,89
84,98,41
73,95,36
79,23,128
78,64,49
83,76,60
32,45,0
79,151,91
70,76,194
32,62,206
68,97,227
73,101,125
70,126,228
69,186,121
82,62,63
69,124,55
78,87,121
84,50,67
32,78,176
73,55,143
84,116,156
69,92,73
77,810,844
83,93,50
32,141,54
76,32,99
73,115,11
75,84,488
69,84,77
32,90,87
66,64,67
85,86,35
82,50,490
71,506,234
69,80,121
82,89,92
83,46,99
188,331,519
32,69,95
69,82,103
71,7,225
83,89,110
188,606,514
32,47,40
65,94,41
8,816,576
67,65,76
72,96,53
73,83,125
67,85,88
75,171,577
69,93,75
32,96,82
70,60,236
73,75,67
78,90,20
71,740,815
69,99,138
82,50,84
83,93,67
188,37,104
32,76,116
69,91,146
84,86,55
67,68,98
32,85,0
73,74,168
78,104,70
32,95,106
68,71,36
73,102,105
70,142,0
69,15,88
82,111,85
69,184,53
78,105,85
84,82,74
32,50,32
83,55,138
87,80,367
8,816,893
65,126,41
78,100,94
68,59,93
87,89,1
73,79,181
67,78,92
72,86,160
69,122,96
83,88,32
32,58,125
87,97,136
73,75,63
84,86,33
72,76,31
32,41,0
78,89,148
65,140,97
77,852,79
69,53,56
83,76,112
32,76,172
76,106,123
73,76,26
75,494,486
69,115,34
32,57,53
16,171,4
222,619,973
16,157,0
66,40,55
73,73,38
82,49,139
68,39,115
32,110,0
73,68,125
83,90,21
32,86,196
84,115,92
72,114,82
69,34,6
32,80,82
16,148,62
87,79,9
79,129,113
82,75,459
68,72,353
190,464,619
16,131,66
222,793,270
32,83,114
16,189,64
84,85,96
72,125,96
69,46,82
82,107,72
8,127,423
89,63,55
32,117,66
65,138,23
82,88,193
69,102,91
32,98,59
65,100,27
76,170,135
83,45,94
79,183,76
32,85,168
87,66,46
69,86,6
76,98,306
32,103,46
75,275,162
78,94,29
79,140,58
87,91,515
78,98,132
32,57,0
73,85,104
78,109,0
32,124,39
84,99,84
72,73,20
69,125,30
32,113,61
65,140,15
82,83,608
69,108,75
65,85,51
32,82,149
79,117,165
70,152,362
82,97,0
32,113,118
84,110,60
72,97,70
69,106,108
73,84,141
82,59,0
32,112,120
71,85,373
65,117,16
82,93,497
66,45,47
65,105,123
71,297,507
69,129,84
32,114,79
80,86,526
76,111,33
65,128,63
84,111,98
69,74,0
83,98,76
188,495,199
32,113,408
87,91,126
72,111,213
73,88,103
67,110,73
72,92,102
32,77,122
84,111,109
72,57,90
69,121,78
89,89,258
32,80,160
67,67,95
65,100,90
76,237,89
32,99,176
16,140,12
70,111,323
73,74,114
86,604,165
69,82,49
32,97,37
16,181,93
83,92,78
84,74,114
65,93,62
82,120,0
32,96,75
16,148,80
80,975,247
76,105,80
65,128,89
84,91,48
69,46,172
83,91,73
190,932,422
78,111,48
13,255,589
16,125,98
74,329,278
73,98,117
77,499,922
89,76,43
32,83,0
16,171,78
90,721,949
32,68,0
79,121,0
87,85,0
78,108,42
83,66,100
32,86,169
84,76,0
72,106,66
69,103,0
32,98,79
82,124,0
69,119,55
83,101,38
84,125,105
65,113,42
85,55,186
82,95,0
65,94,57
78,91,128
84,93,50
16,130,139
57,661,497
79,24,54
66,55,78
86,244,789
73,57,126
79,73,107
85,126,162
83,95,68
76,26,225
89,80,208
16,113,109
48,348,458
32,98,268
65,120,122
78,125,210
68,52,52
32,96,101
73,84,164
83,74,41
32,98,57
65,119,63
32,94,136
80,488,479
73,86,102
76,158,146
65,110,74
82,108,3
32,84,156
79,62,87
70,63,228
32,62,392
84,104,0
72,124,121
69,122,149
32,68,55
67,41,110
79,42,166
77,338,508
85,40,92
78,107,167
73,71,133
84,89,119
89,70,177
190,960,707
16,141,74
32,99,15
69,120,51
86,280,321
69,72,56
82,85,96
89,82,52
84,91,89
32,104,124
16,137,55
8,849,843
32,95,141
16,163,57
84,49,42
72,82,75
65,76,138
78,88,62
75,111,350
83,61,55
71,774,635
73,81,128
86,497,600
73,55,69
78,101,92
71,210,495
32,89,156
72,62,319
69,98,55
32,82,79
72,75,0
65,158,63
83,77,60
32,84,39
65,118,15
32,69,0
70,118,80
82,82,0
69,139,67
32,79,71
16,180,52
84,96,95
72,80,113
65,109,68
78,109,86
75,559,132
83,79,54
71,743,371
73,52,173
86,123,745
73,68,73
78,101,240
71,877,321
32,58,0
68,64,0
73,69,64
78,82,108
69,77,130
82,82,56
190,95,375
16,144,12
32,98,136
84,116,175
72,103,78
69,108,163
32,77,68
80,87,711
82,91,0
73,76,77
67,60,85
69,148,142
83,104,55
32,72,109
65,114,10
82,116,246
69,175,47
32,81,74
65,126,117
67,69,106
84,99,43
85,75,0
65,109,34
76,231,174
89,63,68
32,102,89
65,130,51
32,114,47
76,137,94
73,84,48
84,99,54
76,19,106
69,118,112
32,116,65
66,76,48
73,79,102
84,129,114
32,101,324
72,52,138
73,77,157
71,381,452
72,126,101
32,77,170
66,52,63
85,107,210
84,94,0
32,103,442
84,119,140
72,98,47
65,99,0
84,89,89
32,59,56
73,99,116
83,84,100
32,89,0
84,95,73
79,177,47
32,46,252
66,58,55
69,102,18
32,91,66
69,99,57
80,697,357
8,30,561
88,763,981
80,412,166
69,76,47
67,56,100
84,81,8
69,53,169
68,130,95
32,67,158
79,74,140
70,57,0
32,76,0
71,253,855
79,66,118
68,34,304
32,90,72
70,91,0
79,128,118
68,83,0
190,825,133
32,123,192
16,141,66
86,358,509
69,84,117
82,107,71
89,82,152
32,104,216
72,75,143
65,120,27
80,621,774
89,77,136
32,84,69
87,91,92
73,106,0
84,102,33
72,97,100
32,91,274
16,146,4
74,523,829
73,77,79
77,12,821
89,85,223
16,120,36
32,61,0
90,286,679
222,646,269
83,58,45
32,93,275
65,98,142
78,102,66
68,38,179
32,107,94
87,89,16
73,82,47
76,298,180
32,96,422
68,36,146
69,69,39
70,66,0
73,47,104
78,93,67
73,74,91
84,122,106
69,126,80
76,98,93
89,73,52
32,108,266
66,40,63
69,41,95
32,71,41
66,50,57
65,108,37
67,66,111
75,859,98
190,537,827
