VK,HT,FT
16,654,-1
82,117,338
69,120,115
68,113,221
32,129,132
16,233,532
82,120,428
79,179,134
66,113,239
73,129,179
78,128,137
32,112,131
73,134,196
83,121,146
32,149,86
65,113,342
32,142,180
86,87,229
69,98,168
82,116,81
89,149,185
32,136,152
70,80,351
65,129,169
77,107,115
73,123,219
76,156,137
89,138,219
32,125,138
70,87,345
82,112,209
73,98,146
69,102,177
78,103,111
68,118,158
76,150,141
89,147,215
32,123,128
80,228,263
76,135,250
65,106,243
67,107,249
69,113,126
32,138,202
84,104,136
79,171,93
32,136,111
68,89,319
73,118,243
78,121,163
69,103,222
190,109,254
32,279,381
16,252,467
87,125,334
69,111,87
32,133,240
83,118,229
69,122,156
76,131,198
68,98,236
79,183,124
77,136,133
32,124,182
72,112,195
65,116,312
86,116,203
69,97,166
32,141,139
84,96,119
79,162,92
32,126,107
87,111,203
65,117,210
73,113,95
84,90,141
32,109,159
84,98,117
79,150,73
32,140,118
66,110,185
69,93,240
32,138,208
83,104,256
69,107,151
65,121,186
84,91,131
69,99,156
68,114,222
190,120,352
32,233,287
16,342,327
84,94,125
72,107,158
69,95,89
32,123,124
83,111,238
69,123,181
82,129,77
86,88,218
69,104,185
82,116,80
83,114,212
32,128,183
65,135,224
32,136,137
86,90,226
69,100,183
82,112,78
89,151,221
32,133,183
72,108,167
69,110,138
76,122,179
80,192,261
70,127,257
85,135,141
76,153,212
32,123,159
65,104,246
78,105,94
68,116,147
32,148,72
77,115,220
65,102,153
78,93,77
89,136,204
32,113,147
84,99,146
73,131,203
77,139,171
69,95,131
83,157,169
32,146,269
77,98,316
65,122,147
78,91,70
65,116,140
71,122,251
69,109,232
77,147,167
69,88,119
78,93,164
84,91,227
32,113,237
65,106,321
76,105,207
83,125,187
79,160,97
32,133,175
83,108,174
84,113,130
79,161,79
80,181,244
83,102,241
32,139,118
66,117,196
89,139,153
32,118,123
65,109,171
78,103,92
68,110,147
32,144,69
86,89,460
73,96,100
83,108,137
73,104,190
84,97,137
83,132,272
32,139,116
68,91,259
85,124,127
82,94,151
73,106,199
78,123,136
71,89,118
32,158,94
79,166,217
85,155,104
82,95,162
32,130,112
86,94,297
73,98,97
83,108,167
73,114,194
84,99,187
190,126,214
32,257,305
16,370,618
84,90,117
72,108,148
69,95,83
32,116,173
70,78,251
79,218,93
68,107,269
32,129,61
73,134,263
83,125,142
32,149,102
65,105,265
66,110,215
83,128,205
79,171,107
76,168,229
85,136,214
84,87,141
69,81,169
76,123,174
89,155,157
32,131,131
68,106,379
69,82,151
76,124,146
73,119,110
67,109,203
73,131,180
79,165,173
85,139,130
83,118,149
32,129,163
65,132,223
78,117,81
68,112,135
32,138,90
67,116,228
79,164,128
77,228,116
69,101,124
83,147,222
32,139,235
81,369,172
85,128,241
73,106,165
67,121,228
75,127,111
76,160,231
89,146,162
190,102,358
32,249,353
16,337,657
84,96,126
72,108,158
69,112,91
82,134,79
69,115,141
32,156,100
73,151,266
83,107,134
32,120,99
83,112,185
79,138,98
77,201,133
69,93,125
84,96,128
72,126,90
73,156,105
78,125,171
71,95,135
32,163,207
70,91,267
79,192,126
82,100,77
32,128,88
69,85,380
86,94,152
69,102,180
82,118,81
89,139,160
79,194,116
78,121,149
69,100,130
190,97,408
32,258,305
16,328,341
79,167,166
85,119,123
82,93,146
32,132,116
84,107,138
87,113,412
79,174,140
32,145,101
66,126,258
79,147,129
89,139,112
83,113,277
32,132,142
69,94,212
78,97,138
74,601,930
79,169,185
89,127,115
32,120,202
84,103,133
72,130,72
69,110,170
32,148,112
75,146,202
73,110,99
68,99,308
83,109,197
32,131,150
77,100,216
69,92,108
78,83,207
85,134,132
32,121,113
65,129,246
78,102,88
68,112,168
32,148,75
87,122,260
69,139,158
32,144,150
76,96,187
79,139,212
86,88,181
69,103,181
32,135,126
84,104,140
79,172,79
32,150,105
80,155,248
76,127,156
65,112,267
89,136,257
32,132,201
84,103,132
72,120,95
69,109,151
32,131,88
71,89,230
65,119,181
77,111,118
69,87,130
83,114,282
32,133,364
79,166,243
78,125,119
32,127,201
84,103,142
72,131,71
69,107,147
32,148,105
77,112,264
69,99,115
78,87,181
85,125,121
32,151,109
87,107,191
72,118,150
73,156,106
76,155,131
69,128,137
32,125,174
87,115,318
69,133,203
32,134,154
87,108,207
65,105,208
84,89,146
32,118,233
70,88,251
79,203,120
82,99,101
32,136,139
79,150,191
85,152,102
82,92,132
32,136,112
70,101,438
79,228,110
8,422,524
68,112,283
190,120,204
8,392,452
87,113,339
65,109,257
73,115,235
84,93,249
32,119,150
70,81,311
79,176,92
82,100,101
85,114,97
8,524,424
32,156,160
79,178,250
85,151,115
82,92,151
32,135,139
70,83,432
79,217,106
68,113,206
190,114,311
32,254,309
16,157,517
79,153,191
85,136,169
82,85,147
32,130,166
66,122,244
79,204,109
89,140,126
83,90,204
32,142,130
65,108,456
76,110,236
83,124,199
79,166,101
32,130,114
69,102,426
78,109,92
74,600,825
79,154,190
89,143,120
32,118,188
69,88,348
8,178,523
82,110,168
69,128,128
67,98,283
69,93,144
73,135,180
86,84,188
73,99,95
78,120,136
71,98,110
32,123,118
65,119,295
32,133,185
66,106,257
65,118,124
76,128,119
79,218,232
78,100,134
32,117,180
87,113,195
72,106,136
69,103,160
78,106,118
32,118,212
87,111,222
69,146,126
32,142,144
76,119,180
69,140,147
65,135,205
86,115,179
69,113,166
190,100,333
32,271,373
16,144,401
84,89,115
72,107,147
69,98,87
82,133,82
69,130,140
32,156,136
65,122,250
82,157,88
69,116,132
32,151,118
65,116,314
76,110,326
83,102,203
79,157,107
32,136,176
77,111,236
65,106,146
78,89,82
89,150,204
32,119,130
71,122,240
79,194,122
68,109,225
32,120,77
68,90,451
69,79,149
65,121,178
76,154,132
83,108,215
32,123,193
84,95,121
72,120,95
65,121,262
84,87,179
32,112,211
87,110,317
69,138,100
32,139,137
84,98,122
65,122,254
75,139,141
32,147,220
80,152,166
65,132,251
82,167,109
84,95,172
32,124,132
87,116,167
73,116,236
84,88,202
72,121,120
32,126,113
84,95,113
72,129,89
69,100,122
32,141,83
16,275,566
222,344,284
82,112,130
8,459,545
16,309,369
82,118,440
69,118,139
68,117,221
32,122,78
16,155,548
82,122,124
79,139,185
66,112,207
73,109,98
78,124,137
32,128,142
16,211,532
82,111,414
69,123,156
87,109,391
65,116,215
82,156,113
68,97,244
83,128,212
16,391,283
222,716,178
190,106,284
32,229,261
16,328,319
87,117,109
69,141,355
32,125,292
76,115,184
79,129,205
86,97,149
69,99,183
32,144,131
84,106,142
79,146,83
32,151,101
86,86,306
73,102,101
83,118,163
73,132,239
84,94,216
32,115,152
72,131,209
84,91,210
73,131,128
83,114,162
32,146,94
76,118,189
79,166,211
67,94,288
65,134,293
76,159,109
32,132,209
69,95,411
83,143,235
84,112,132
65,113,224
66,111,224
76,149,199
73,138,109
83,105,189
72,129,87
77,107,235
69,89,127
78,90,208
84,90,140
190,123,223
32,258,263
16,218,496
87,168,275
69,112,272
32,140,238
72,131,98
65,108,255
86,105,165
69,103,183
32,141,112
78,105,156
73,109,268
67,98,206
75,128,178
78,99,161
65,112,154
77,110,120
69,93,136
68,126,240
32,140,70
73,125,262
84,86,119
32,109,161
84,100,173
72,134,94
8,297,638
16,372,404
59,785,909
84,100,137
72,119,100
8,543,489
16,311,525
222,699,934
84,101,227
72,120,94
69,106,125
32,143,90
66,105,270
73,106,118
82,129,205
68,99,180
69,79,187
8,258,521
16,160,526
222,76,842
190,102,273
