VK,HT,FT
16,246,-1
84,170,402
72,70,190
69,155,133
32,108,155
16,520,353
66,171,689
69,236,30
83,238,149
84,157,19
32,99,159
16,406,216
81,646,706
85,144,534
73,81,0
67,148,259
72,141,102
69,133,0
32,79,120
16,773,0
73,200,97
32,96,113
16,318,620
69,253,363
86,92,143
69,177,176
82,180,108
32,168,149
72,99,556
65,94,134
68,138,222
49,313,451
32,154,304
16,343,383
73,207,269
32,47,81
77,79,330
69,166,280
65,159,145
78,53,138
32,93,121
16,495,197
69,129,374
86,51,196
69,134,115
82,163,100
49,74,651
32,180,203
16,616,504
68,85,29
79,161,0
78,44,349
222,117,0
84,141,172
32,85,92
66,68,343
69,136,206
32,83,181
65,150,2
70,94,320
82,173,0
65,149,290
73,77,271
68,99,449
32,120,91
84,145,122
79,93,153
32,141,292
84,88,147
82,165,186
89,156,206
32,139,140
84,99,23
72,76,67
73,126,243
69,97,217
82,180,176
32,106,114
8,512,860
69,96,0
73,75,214
82,151,531
32,150,71
16,0,0
84,166,80
79,174,86
77,160,0
65,178,204
84,137,28
79,227,257
32,108,184
80,137,402
73,128,204
69,160,214
32,169,125
69,129,274
73,126,0
84,134,69
72,159,108
69,114,112
82,179,81
32,107,139
66,125,314
69,147,190
67,138,1
65,186,405
85,104,206
83,151,245
69,118,234
32,162,218
73,133,121
84,133,69
32,88,144
87,91,86
73,103,0
76,170,365
32,146,220
83,151,769
79,119,124
8,189,469
73,134,422
77,153,141
80,144,438
76,106,183
89,99,315
32,154,74
77,101,298
69,326,199
76,298,162
84,135,93
32,116,91
73,108,221
78,142,119
32,193,89
89,121,313
79,120,116
85,146,113
82,103,76
32,113,180
77,82,750
79,169,270
85,113,41
84,171,47
72,96,92
16,440,52
49,219,566
32,124,388
16,1200,361
73,156,378
84,168,210
32,80,198
71,104,400
79,68,104
69,102,244
83,251,127
32,121,165
70,159,382
65,195,172
83,282,172
84,245,90
32,123,110
84,148,527
79,165,74
188,418,361
32,57,276
83,155,54
79,197,62
32,169,439
73,195,0
70,126,460
32,104,179
89,127,198
79,85,183
85,162,109
32,145,430
83,172,639
69,206,189
32,103,322
73,131,0
84,130,182
32,129,192
80,95,542
79,99,229
80,110,507
32,84,74
85,138,110
80,59,177
32,159,63
71,111,527
79,285,106
32,128,136
69,164,393
65,135,152
82,156,230
76,72,246
89,137,140
16,0,534
49,196,275
32,106,310
16,526,831
84,191,0
72,141,92
69,105,142
82,149,68
69,135,143
222,94,237
83,133,160
32,107,125
65,148,217
32,146,124
67,105,590
85,119,278
84,128,102
69,117,280
32,88,151
82,188,52
69,166,172
76,188,173
65,209,0
88,251,710
69,164,260
68,159,339
32,101,106
69,82,234
65,197,215
84,182,129
32,131,149
73,174,206
78,109,96
32,95,61
65,174,446
82,196,119
69,129,145
65,133,238
32,177,107
79,78,446
82,124,200
32,115,151
89,192,316
79,159,125
85,164,98
32,162,653
67,116,74
65,136,606
78,126,148
32,78,139
71,109,436
69,136,127
84,139,148
32,59,139
89,137,235
79,140,73
85,158,112
82,123,210
32,109,162
77,112,353
69,275,303
65,198,254
76,117,181
32,131,255
84,181,588
79,172,256
32,120,92
71,129,495
79,245,29
190,134,265
32,109,170
16,303,20
84,146,557
72,110,154
69,182,162
89,176,323
32,207,102
72,124,437
65,178,29
86,86,153
69,134,193
32,129,117
68,98,168
69,106,618
76,173,219
73,83,172
71,108,563
72,138,205
84,118,221
70,84,90
85,136,397
76,103,284
32,140,310
83,175,307
65,182,244
78,76,161
68,88,79
87,203,281
73,118,232
67,150,160
72,135,86
69,218,62
83,257,160
32,88,289
84,111,388
79,194,326
190,159,242
32,105,96
16,299,567
73,159,432
78,147,105
32,120,99
70,119,626
65,154,200
67,148,180
84,154,327
32,120,257
16,1136,206
73,140,0
32,139,109
72,145,546
65,169,93
86,108,160
69,106,183
32,102,102
65,214,460
32,124,77
72,109,358
65,114,114
82,141,69
68,114,326
32,92,75
84,169,150
73,267,62
77,121,492
69,156,92
32,90,0
68,154,205
69,146,39
65,130,134
76,110,172
8,222,278
67,96,236
8,248,338
67,155,357
73,181,73
68,120,259
73,133,378
78,144,179
71,95,283
32,98,259
66,0,347
69,236,91
84,139,272
87,176,280
69,153,700
78,178,156
32,95,85
84,169,556
72,120,104
69,146,60
32,83,143
16,380,0
80,188,295
73,122,188
90,931,66
65,110,469
32,128,119
16,441,0
83,115,362
8,185,658
83,129,126
85,58,39
66,98,30
32,152,165
65,119,542
78,65,171
68,116,114
32,93,108
84,149,96
79,175,43
77,145,220
65,147,155
84,162,52
79,181,476
32,107,400
80,143,170
73,81,218
69,169,596
190,102,183
32,110,204
16,252,429
84,135,38
72,113,90
69,136,135
89,188,353
32,118,102
65,175,237
82,140,148
69,153,93
32,123,63
83,110,159
79,183,79
32,127,477
71,124,184
79,108,107
68,125,560
32,90,71
16,371,634
73,98,0
32,156,132
79,111,340
70,94,438
84,133,236
69,131,221
78,73,102
32,142,113
71,114,653
69,135,154
84,149,148
32,157,67
66,76,387
79,138,362
84,135,82
72,125,118
32,113,358
79,113,0
82,115,95
32,152,133
67,134,255
79,176,151
78,128,0
86,119,292
73,89,414
69,157,505
78,92,142
67,159,0
69,87,97
32,84,8
83,147,593
79,161,73
77,115,508
69,151,204
79,120,0
78,157,347
69,126,195
32,95,189
84,112,264
79,148,0
32,135,322
71,71,575
69,155,132
84,140,134
32,148,110
87,141,454
72,150,90
65,154,92
84,163,94
69,168,222
82,120,228
8,593,220
86,113,0
69,176,133
82,169,92
32,113,119
16,336,557
73,170,366
32,107,80
68,58,288
79,214,266
78,133,226
222,95,188
84,106,113
32,128,112
79,109,380
82,75,83
68,111,9
69,142,48
82,184,44
16,236,491
49,256,364
32,183,369
16,1387,426
65,164,312
32,128,127
68,135,68
69,183,0
76,82,182
73,109,258
71,121,462
72,143,225
84,132,246
70,128,309
85,61,120
76,186,230
32,134,143
80,118,641
76,62,193
65,170,126
67,194,298
69,173,155
16,473,95
49,261,60
32,171,336
16,61,419
77,176,259
65,147,295
75,270,633
69,200,141
32,79,368
83,162,434
85,117,322
82,165,88
69,141,117
32,137,181
84,147,33
79,116,0
32,105,142
83,113,145
65,167,0
86,137,130
69,146,174
32,70,82
82,188,201
79,194,172
77,181,126
32,82,108
70,91,335
79,198,0
82,84,218
32,93,179
68,109,122
69,151,275
83,53,110
69,272,0
82,165,18
84,137,64
83,156,4
49,287,218
32,166,135
16,0,303
89,104,64
69,113,233
83,450,206
32,134,307
84,133,141
72,73,101
69,136,129
89,150,179
32,174,109
65,208,103
82,203,108
69,212,113
32,148,111
84,120,0
72,108,69
65,171,48
84,159,126
32,115,69
16,1204,73
71,108,414
79,61,125
68,162,162
49,39,86
