VK,HT,FT
16,589,-1
87,180,396
79,177,254
68,125,490
89,266,929
222,681,809
83,415,342
32,118,180
73,134,216
83,391,415
32,111,118
65,174,224
32,109,189
67,541,69
65,155,216
83,589,560
85,168,975
65,161,288
76,444,154
32,100,155
66,825,577
65,170,168
82,39,344
32,111,120
65,173,180
83,493,676
8,720,992
84,138,213
77,567,254
79,180,211
83,279,638
80,618,663
72,771,266
69,160,146
82,671,73
69,123,148
32,111,113
82,847,199
69,151,141
83,133,182
84,139,214
65,175,286
85,897,358
82,455,660
65,170,119
78,120,179
84,148,174
32,114,182
84,135,285
72,128,682
65,153,217
84,145,265
32,102,147
73,178,207
83,946,571
32,117,133
65,153,115
76,248,655
87,227,88
65,169,152
89,960,817
83,957,969
32,100,155
65,153,280
32,95,180
71,1,479
82,181,378
69,139,191
65,172,289
84,150,216
32,122,150
80,321,776
76,656,864
65,157,284
67,721,142
69,153,184
32,120,200
84,141,259
79,176,86
32,121,172
77,608,568
69,161,146
84,130,233
32,106,160
87,780,26
73,156,278
84,134,191
72,799,731
32,93,164
70,875,780
82,106,152
73,148,188
69,142,139
78,80,191
83,172,364
8,572,409
68,705,459
83,742,408
190,344,883
32,116,162
16,763,330
69,126,168
78,116,187
74,362,467
79,144,114
89,833,826
32,95,189
65,150,192
32,100,143
68,99,973
82,899,312
73,157,176
78,97,169
75,273,395
32,97,171
70,961,627
82,842,460
79,176,284
77,374,923
65,164,265
32,114,130
8,381,646
32,108,112
8,994,215
32,119,128
84,141,164
72,700,666
69,142,219
32,96,164
66,148,732
65,153,131
82,153,572
32,99,182
79,139,180
82,190,362
32,101,118
8,148,384
65,169,113
78,91,154
68,947,199
32,105,109
69,124,198
78,103,152
74,941,636
79,182,174
89,547,783
32,122,189
65,158,237
32,119,123
71,210,737
82,729,948
69,154,176
65,159,195
84,145,160
32,94,137
83,381,683
69,151,161
76,856,590
69,135,149
67,552,173
84,130,182
73,153,272
79,178,264
78,83,176
32,122,186
79,171,236
70,319,568
32,103,112
66,82,33
65,172,205
82,812,242
32,95,145
