VK,HT,FT
16,322,-1
77,429,140
89,357,253
32,64,34
80,810,659
65,79,602
82,603,599
84,61,126
78,989,54
69,83,75
82,946,207
32,87,83
65,55,189
78,936,879
68,85,480
32,78,43
16,370,439
73,65,52
32,47,58
82,361,957
8,178,8
70,565,444
82,133,812
69,82,178
81,208,967
85,932,589
69,93,67
78,821,685
84,64,59
76,757,833
89,686,184
32,74,56
71,523,97
79,810,30
32,63,84
84,79,0
79,476,188
32,77,100
16,225,878
76,894,790
8,867,859
16,986,854
76,377,898
73,63,96
66,245,524
69,87,87
82,257,154
84,71,134
73,55,51
78,14,846
69,71,90
32,55,42
16,575,470
76,328,647
73,51,79
81,854,894
85,808,144
79,788,384
82,886,970
32,88,59
16,358,978
66,89,255
65,95,756
82,116,37
190,314,84
32,78,61
16,183,426
8,976,426
16,519,847
66,116,186
65,74,884
82,210,131
190,419,590
32,77,59
16,293,307
73,82,83
84,77,59
222,835,431
83,959,80
32,55,51
84,53,59
72,568,147
69,91,121
32,55,70
70,66,715
73,81,53
82,869,898
83,184,82
84,86,16
32,96,12
80,763,501
76,629,172
65,83,260
67,480,85
69,86,76
32,56,43
84,64,142
72,855,445
65,79,323
84,79,55
32,55,32
87,293,971
69,95,123
32,103,57
72,596,466
65,55,672
86,42,394
69,160,59
32,64,149
69,103,91
86,781,554
69,80,75
82,500,882
32,87,43
66,886,819
69,95,139
78,778,715
32,54,88
68,334,772
79,416,916
8,814,7
84,30,143
79,964,682
32,87,60
8,651,110
32,89,15
80,662,460
76,862,533
65,77,35
67,842,499
69,212,91
32,55,47
87,18,846
72,13,763
69,85,67
82,108,511
69,103,145
32,63,43
87,736,356
69,80,91
32,64,36
72,260,723
65,73,693
68,841,756
32,63,210
65,95,263
8,190,430
79,468,905
85,129,802
82,543,512
32,63,69
70,388,927
73,72,89
82,665,760
83,825,953
84,53,60
32,78,61
68,434,96
65,95,207
84,55,69
69,105,162
190,319,190
32,87,43
16,389,838
84,65,5
72,614,219
69,8,74
32,68,51
76,296,674
73,63,108
81,250,941
85,564,961
79,693,52
82,461,925
32,63,3
83,1,577
69,80,76
76,225,402
69,149,59
67,230,826
84,63,79
73,55,23
79,479,892
78,473,483
32,55,37
73,80,51
83,249,674
32,95,74
70,429,708
78,615,538
65,71,468
84,74,60
8,498,364
65,55,322
78,958,340
84,71,34
65,96,154
83,912,707
84,64,71
73,17,52
67,748,255
32,88,58
65,95,350
78,331,187
68,993,688
32,79,85
84,79,80
72,675,191
69,103,92
73,81,52
82,386,378
32,47,146
66,915,298
79,560,39
85,441,213
82,81,509
66,610,927
79,360,869
78,242,861
32,63,71
67,587,492
79,363,331
76,158,415
69,86,150
67,228,883
84,70,145
73,76,0
79,916,472
78,901,580
32,103,43
73,80,52
83,359,888
32,78,51
84,79,201
79,951,609
8,526,776
65,79,605
8,512,802
84,63,40
79,192,296
8,210,746
65,83,35
77,706,734
65,70,488
90,181,701
73,72,83
78,214,523
71,215,203
190,779,458
32,60,169
16,572,1
87,746,951
69,91,67
32,68,48
70,182,277
82,251,684
69,96,36
81,734,38
85,454,696
69,103,133
78,829,810
84,85,82
76,768,810
89,659,325
32,63,52
83,372,434
8,409,120
68,195,435
82,680,334
73,78,107
78,808,93
75,573,663
32,63,29
84,63,185
72,627,466
69,94,166
73,81,52
82,884,975
32,38,109
16,958,676
83,363,696
69,198,167
76,181,37
66,598,79
65,64,823
67,51,116
72,265,808
32,50,51
16,195,133
67,925,413
8,199,463
16,337,567
79,985,830
76,919,617
68,825,973
32,63,52
16,677,183
83,8,21
69,95,135
76,161,609
66,9,727
65,76,942
67,610,271
72,35,810
32,93,12
16,404,834
67,440,904
79,9,870
67,579,845
75,223,738
84,51,59
65,83,296
73,76,15
76,902,977
83,991,854
32,87,76
65,73,296
78,137,555
68,993,3
32,47,29
84,63,73
72,355,330
69,83,120
32,80,33
16,460,719
66,13,388
76,440,310
79,230,137
68,563,551
32,88,51
65,55,881
78,757,558
68,762,228
32,87,58
16,292,829
83,827,345
65,59,178
78,424,676
68,631,741
32,56,31
16,129,167
67,3,387
79,472,114
75,41,312
67,824,171
8,742,938
16,767,232
67,159,641
8,653,388
79,76,592
67,873,504
75,478,986
84,84,35
65,29,551
73,60,10
76,713,986
190,305,766
32,78,59
16,486,372
84,67,35
72,385,67
69,103,67
73,41,100
82,78,759
32,101,58
16,282,473
83,330,529
65,103,488
76,189,799
77,738,604
79,534,75
78,23,139
32,74,43
16,680,664
66,888,93
85,941,288
82,112,54
71,327,242
69,71,75
82,631,277
32,96,22
73,30,112
83,566,940
32,51,80
83,467,147
79,439,872
32,102,16
68,33,553
65,115,22
77,156,817
78,523,628
32,87,97
71,524,512
79,112,605
68,383,701
32,55,24
16,282,975
73,35,72
84,65,0
32,56,105
77,479,187
65,28,824
75,518,604
69,104,145
83,197,242
32,88,22
77,492,613
69,102,163
32,82,59
87,65,732
78,291,830
65,88,980
84,64,51
32,87,51
8,769,512
32,56,60
73,75,82
83,476,525
32,73,19
65,93,843
77,836,407
65,79,754
90,442,527
73,87,39
78,4,684
71,355,420
190,326,554
8,86,596
76,870,90
89,32,575
32,87,59
68,303,301
69,80,91
76,599,8
67,992,100
73,73,22
79,213,866
85,439,922
8,786,889
73,29,86
67,270,439
73,20,20
79,720,801
85,993,230
83,223,406
190,781,822
32,94,43
16,131,206
73,64,52
84,14,62
222,677,47
83,376,410
32,87,11
83,821,205
69,101,76
82,586,863
86,180,837
73,55,45
8,599,717
69,93,160
68,855,6
32,87,51
79,670,864
78,697,366
32,87,73
65,67,636
80,605,325
8,92,752
32,56,59
80,980,752
82,777,516
84,64,31
69,80,58
8,942,831
69,82,72
84,71,59
90,965,873
69,80,139
76,683,346
32,94,39
82,461,344
79,394,609
76,676,513
32,63,83
65,79,473
8,470,304
87,925,721
73,58,26
84,8,91
72,487,411
32,55,59
71,486,683
82,740,520
65,44,518
66,719,951
65,79,496
67,604,742
8,139,550
79,476,48
66,502,886
65,95,781
