VK,HT,FT
16,353,-1
68,115,250
69,124,219
70,139,108
73,111,446
78,143,146
73,129,114
84,115,146
69,152,76
76,163,61
89,101,138
32,148,66
67,101,123
79,133,38
77,63,127
69,99,81
32,168,94
72,86,147
69,72,71
82,134,56
69,114,91
16,910,230
49,191,510
16,370,501
32,148,10
73,91,255
222,91,271
8,67,323
84,86,194
222,105,240
83,91,89
32,110,104
65,111,118
32,120,114
66,86,167
82,117,178
79,110,114
78,110,71
8,518,461
16,190,512
66,100,94
82,101,214
79,119,105
78,116,79
88,95,110
32,141,436
72,115,199
73,91,99
68,186,114
69,105,261
78,98,90
32,134,61
71,81,76
69,105,138
77,77,75
190,77,1112
13,81,-1
38,114,633
13,81,541
38,120,421
16,735,182
73,82,605
78,106,156
32,148,144
84,81,100
69,110,108
82,81,81
77,92,75
83,87,105
32,138,80
79,96,195
70,82,118
32,128,34
84,66,194
79,77,70
80,232,180
73,96,254
78,91,62
71,82,61
83,129,47
188,101,225
32,73,155
84,76,138
72,43,85
69,87,76
89,74,81
32,133,81
72,101,104
65,77,37
86,123,67
69,72,127
32,115,81
69,124,89
86,106,114
69,117,123
82,110,66
89,87,99
84,120,90
72,100,133
73,115,404
78,100,76
71,86,80
190,91,166
32,100,119
16,209,56
84,82,156
72,115,66
73,105,85
83,81,100
32,138,28
73,105,109
83,58,75
32,101,76
84,86,71
72,139,75
69,129,48
32,115,61
79,109,43
78,96,118
76,163,108
89,106,133
32,136,59
80,111,159
73,103,130
90,580,87
65,94,693
8,81,355
69,119,154
82,129,89
73,85,162
65,91,56
32,120,377
16,135,232
73,72,80
222,100,118
86,95,57
69,104,128
32,124,165
86,106,1025
8,100,752
66,96,75
69,218,190
78,114,183
32,106,75
84,82,67
79,111,52
32,96,104
84,85,48
72,113,99
65,100,19
84,105,61
32,138,9
87,92,151
73,62,86
76,241,126
32,139,307
80,136,171
85,98,132
84,86,90
32,138,43
83,39,165
90,100,247
8,282,153
90,124,309
73,86,160
84,111,109
73,115,587
32,138,123
79,110,94
78,126,67
32,106,103
89,82,133
79,133,76
85,133,85
32,153,89
83,105,368
76,133,194
73,98,89
67,134,95
69,116,76
190,91,388
8,1005,267
82,93,998
32,138,80
83,115,232
76,162,123
73,81,123
67,119,71
69,115,57
190,91,196
32,82,182
16,300,42
73,87,219
84,95,84
222,101,147
83,72,67
32,110,80
84,86,90
79,111,80
32,125,85
68,77,57
73,101,143
69,77,48
32,67,113
70,81,61
79,91,85
82,91,61
188,100,162
32,110,94
69,96,113
83,63,191
80,120,467
69,100,169
67,128,160
73,84,467
65,81,116
76,253,71
89,134,204
32,163,71
87,76,157
73,72,56
84,86,99
72,130,38
32,166,76
66,34,202
65,91,217
67,110,113
79,104,58
78,86,70
190,70,505
32,115,67
16,185,90
73,82,265
16,379,359
8,80,1
73,96,192
84,82,333
222,96,124
83,77,75
32,112,71
84,84,106
72,77,88
69,105,19
32,138,47
85,124,109
76,124,90
84,82,142
73,111,51
77,96,95
65,110,52
84,110,95
69,128,76
32,152,923
67,77,276
79,134,264
77,114,147
66,76,157
73,96,80
78,102,61
65,129,417
84,101,123
73,139,118
79,138,76
78,180,90
32,125,89
79,100,86
70,119,66
32,163,56
83,109,297
84,76,141
65,119,117
82,86,66
67,120,207
72,110,76
32,138,76
65,72,75
78,148,80
68,87,66
32,133,15
67,128,156
72,137,105
79,95,108
76,138,386
69,110,224
83,110,220
84,100,419
69,100,127
82,109,71
79,87,113
76,102,206
190,83,706
13,74,-1
16,573,-1
38,139,1471
16,772,473
65,96,647
78,68,133
89,82,184
87,111,109
65,111,132
89,73,66
188,110,231
32,91,128
84,68,113
72,63,71
69,90,72
32,143,32
65,106,239
84,97,85
79,81,85
77,110,214
8,216,408
77,177,316
79,82,147
83,91,440
80,101,113
72,99,517
69,91,96
82,180,66
69,130,89
32,138,71
73,90,133
83,78,66
32,120,61
84,77,123
82,144,155
85,81,91
76,161,125
89,114,137
32,148,95
85,68,234
78,180,157
73,111,146
81,86,104
85,67,104
69,87,105
190,81,393
32,111,249
16,204,38
84,58,175
72,44,71
69,62,851
89,119,95
32,142,113
76,67,176
8,77,301
67,147,71
76,105,156
69,111,75
65,119,104
82,120,57
76,154,75
89,138,114
32,176,118
80,129,137
85,91,95
