VK,HT,FT
16,448,-1
79,628,585
76,718,616
73,810,683
86,371,388
69,491,441
32,92,163
16,145,308
71,818,788
65,568,528
82,399,814
68,699,209
69,326,860
78,691,606
32,94,182
72,266,481
65,570,168
83,809,147
32,85,135
65,50,396
76,127,656
87,933,152
65,114,772
89,3,661
83,578,983
32,102,109
66,143,652
69,639,626
78,179,940
32,99,159
79,498,410
78,422,852
69,709,959
32,85,186
79,705,73
70,686,628
32,84,168
77,93,284
89,191,597
32,110,151
70,462,238
65,353,203
86,884,232
79,574,91
82,326,774
73,258,409
84,305,713
69,529,950
32,94,179
80,909,360
76,525,202
65,657,533
67,216,247
69,872,294
83,906,973
32,101,115
84,514,812
79,715,955
32,92,175
69,821,348
65,348,789
84,603,955
190,965,368
32,96,130
16,70,117
73,977,962
32,117,130
76,308,49
79,986,533
86,617,145
69,265,854
32,100,193
84,617,549
72,266,840
69,588,157
32,110,150
84,48,920
83,539,680
8,676,886
85,319,573
83,244,327
67,613,701
65,355,881
78,270,579
89,923,336
32,112,192
70,206,604
69,836,664
76,110,837
32,90,202
87,172,815
72,286,671
69,861,585
78,370,248
32,98,172
89,858,283
79,387,835
85,514,982
32,101,202
87,349,812
65,268,159
76,997,663
75,543,416
32,106,165
73,644,505
78,47,319
32,85,203
84,950,407
72,284,136
69,132,519
32,100,123
82,974,131
69,38,69
83,913,125
84,577,21
65,734,87
85,248,74
82,695,788
65,446,912
78,229,240
84,771,357
190,153,584
32,91,126
16,797,560
84,445,329
72,978,182
69,616,298
82,247,300
69,844,170
32,109,192
73,385,618
83,533,937
32,85,175
80,326,73
76,50,414
69,246,663
78,69,285
84,687,280
89,625,74
32,113,107
79,800,893
70,255,196
32,103,158
82,978,317
79,722,791
77,197,684
32,92,165
65,947,459
78,793,227
68,686,582
32,104,126
84,692,46
72,68,70
69,275,734
32,103,150
72,115,574
79,800,451
83,746,856
84,222,270
69,665,322
83,431,20
32,111,173
73,106,237
83,553,262
32,109,195
65,933,243
76,940,425
87,711,995
65,862,711
89,330,357
83,665,802
32,103,184
82,69,714
69,570,894
65,429,346
68,515,161
89,600,56
32,91,194
84,74,768
79,247,645
32,109,163
84,668,838
65,453,72
75,157,587
69,120,665
32,107,162
89,465,866
79,759,971
85,748,618
82,934,839
32,99,126
73,323,428
78,465,10
70,959,751
79,444,996
82,7,210
77,149,958
65,998,265
84,231,416
73,789,548
79,257,258
78,535,606
190,84,747
32,100,192
16,21,780
89,48,415
79,623,332
85,498,175
32,112,144
65,62,293
76,515,518
87,580,556
65,671,87
89,974,625
83,934,742
32,110,123
71,339,609
69,948,650
84,433,597
32,86,138
83,467,376
65,180,454
68,963,376
32,115,192
8,883,144
65,341,373
76,95,783
65,109,963
68,125,898
32,98,119
65,366,202
78,601,791
68,988,478
32,94,127
66,990,386
82,195,974
69,583,90
65,990,202
68,135,807
83,71,249
84,70,238
73,967,690
67,913,583
75,685,325
83,418,321
32,113,170
87,652,341
73,490,384
84,25,9
72,681,814
32,106,165
89,200,308
79,565,668
85,177,85
82,321,171
32,87,185
77,572,229
69,156,875
65,579,725
76,680,406
190,953,632
32,101,142
16,372,277
84,424,251
72,696,90
69,914,726
32,104,113
83,385,867
69,983,238
82,739,767
86,179,91
69,349,407
82,812,842
83,362,347
32,117,114
65,500,686
82,267,870
69,277,51
32,101,160
65,17,488
76,689,32
87,604,398
65,84,954
89,444,83
83,754,535
32,90,194
75,35,123
78,810,392
79,964,48
87,914,582
76,623,744
69,427,215
68,411,476
71,455,400
69,117,617
65,557,869
66,594,412
76,489,331
69,989,235
32,101,164
65,273,576
66,266,473
79,507,145
85,286,241
84,501,723
32,95,125
84,388,466
72,203,320
69,193,994
32,112,154
84,808,933
8,294,178
84,646,325
72,561,236
69,990,374
32,96,129
84,428,415
79,927,194
68,669,715
65,531,196
89,878,603
222,781,686
83,420,819
32,86,170
83,115,22
80,752,875
69,937,931
67,356,441
73,244,730
65,426,221
76,906,273
83,778,538
190,288,815
32,84,200
16,744,912
79,422,558
78,97,252
69,798,712
32,116,141
79,436,343
70,776,427
32,112,185
77,617,397
89,143,562
32,88,170
70,328,566
65,780,889
86,849,239
79,464,26
82,768,383
73,128,454
84,666,218
69,819,616
32,99,109
66,626,991
69,491,890
86,845,654
69,437,489
82,170,218
65,749,847
71,380,261
69,31,24
83,958,589
32,110,182
73,914,212
83,30,394
32,84,141
84,641,369
72,816,324
69,568,816
32,92,203
82,629,702
65,984,834
83,232,372
80,754,768
66,45,800
69,164,289
82,277,256
89,963,6
32,110,151
84,971,986
69,88,691
65,891,415
190,475,346
32,94,181
16,239,54
89,958,922
85,830,777
77,378,964
16,253,21
49,576,903
32,106,181
16,628,494
77,193,512
89,56,81
32,109,145
70,874,213
65,849,624
86,229,349
79,76,254
82,322,204
73,138,520
84,33,914
69,896,210
32,101,145
77,498,752
69,682,384
65,586,243
76,703,269
32,103,124
73,327,601
83,568,398
32,100,153
84,383,762
72,778,861
69,292,569
32,89,166
80,483,243
79,469,5
84,675,158
65,71,471
84,175,585
79,262,405
32,103,135
83,992,912
85,591,217
8,1,208
79,790,321
85,176,290
80,9,365
190,171,587
32,95,171
16,48,906
73,887,752
32,100,130
65,833,465
76,54,777
87,995,205
65,958,943
89,799,14
83,556,670
32,96,173
71,127,507
69,798,773
84,925,420
32,84,155
65,185,280
32,92,178
83,415,651
79,764,512
85,605,794
80,391,970
32,97,167
84,553,191
79,4,783
32,89,167
71,875,114
79,469,611
190,904,297
32,115,124
16,497,544
89,891,62
79,410,952
85,693,904
32,98,165
67,12,936
65,520,491
78,587,730
222,919,510
84,945,395
32,92,184
71,144,403
79,524,299
32,107,204
87,118,488
82,699,792
79,48,77
78,464,632
71,637,882
32,117,146
87,406,937
73,757,476
84,375,670
72,412,778
32,98,162
65,779,617
78,934,45
89,494,715
32,114,201
79,317,632
70,957,351
32,104,122
84,91,908
72,32,757
69,301,470
32,106,166
77,961,726
69,433,603
65,389,169
76,913,483
83,486,13
32,104,160
65,325,220
78,470,255
68,527,720
32,99,144
84,866,670
72,709,627
69,434,703
89,305,990
222,98,541
82,411,482
69,832,728
32,115,193
65,518,248
76,739,67
87,516,391
65,997,173
89,289,333
83,629,986
32,87,194
67,26,776
79,704,761
77,601,877
73,987,44
78,652,625
71,52,495
32,101,159
85,368,520
80,453,880
32,109,112
87,614,474
73,75,462
84,724,398
72,497,394
32,111,144
78,431,255
69,905,414
87,885,58
32,116,123
68,913,946
73,224,418
83,59,11
72,577,978
69,218,91
83,546,868
32,109,149
83,172,18
79,513,509
32,103,145
73,148,215
84,963,552
222,143,269
83,760,182
32,112,164
78,460,237
69,893,787
86,723,342
69,482,211
82,874,94
32,98,194
66,374,128
79,341,106
82,980,823
73,566,925
78,484,67
71,335,19
190,108,330
32,98,154
16,710,860
70,308,811
82,610,977
73,112,115
69,346,154
68,715,40
