VK,HT,FT
16,360,-1
73,113,107
32,100,112
76,516,27
79,72,893
86,707,910
69,110,117
32,100,112
16,288,832
73,113,107
72,102,107
79,646,977
16,728,323
80,825,110
188,733,544
32,100,112
73,113,107
84,94,178
222,153,525
83,985,784
32,100,112
79,211,858
78,131,115
69,110,117
32,100,112
79,874,757
70,725,458
32,100,112
77,230,717
89,143,977
32,100,112
70,772,93
65,907,111
86,505,733
79,728,353
84,94,178
73,113,107
82,837,955
32,100,112
80,505,414
65,926,719
76,221,452
67,10,783
69,110,117
8,810,988
82,304,399
73,113,107
84,94,178
69,110,117
32,100,112
80,965,391
76,915,454
65,270,202
67,707,219
69,110,117
83,941,744
32,100,112
84,94,178
79,676,215
32,100,112
73,113,107
84,94,178
190,134,936
32,100,112
84,94,178
8,585,803
16,626,452
73,113,107
84,94,178
32,100,112
72,102,107
65,884,226
83,151,619
32,100,112
65,987,579
76,605,948
32,100,112
79,691,497
70,931,269
32,100,112
77,605,447
89,935,570
32,100,112
70,278,474
65,825,808
86,934,41
79,939,419
82,62,557
73,113,107
84,94,178
69,110,117
32,100,112
70,184,218
79,365,213
68,841,866
83,684,551
32,100,112
65,305,661
84,94,178
32,100,112
79,284,133
78,131,115
69,110,117
32,100,112
80,855,234
76,589,308
65,850,440
67,697,127
69,110,117
190,477,844
32,100,112
16,342,578
73,113,107
32,100,112
67,763,932
65,909,656
78,131,115
32,100,112
71,463,341
69,110,117
84,94,178
32,100,112
69,110,117
71,445,305
83,44,40
32,100,112
65,535,643
78,131,115
68,739,821
32,100,112
80,140,654
65,604,264
78,131,115
67,259,750
65,621,473
75,919,531
69,110,117
83,899,785
32,100,112
87,37,856
73,113,107
84,94,178
72,102,107
65,905,685
32,100,112
83,900,966
73,113,107
68,991,148
69,110,117
32,100,112
79,942,978
70,184,974
8,876,947
72,102,107
32,100,112
65,364,979
32,100,112
83,902,834
73,113,107
68,730,236
69,110,117
32,100,112
79,904,989
70,865,353
32,100,112
79,257,192
78,131,115
73,113,107
79,370,553
78,131,115
32,100,112
82,849,803
73,113,107
78,131,115
71,730,569
83,36,144
32,100,112
73,113,107
70,33,785
32,100,112
16,453,491
73,113,107
222,510,735
68,263,370
76,928,564
32,100,112
73,113,107
75,22,613
69,110,117
188,142,105
32,100,112
65,489,264
78,131,115
68,234,434
32,100,112
16,289,165
8,194,220
32,100,112
76,799,764
73,113,107
75,458,292
69,110,117
188,925,467
32,100,112
65,744,739
78,131,115
68,921,334
32,100,112
16,785,766
73,113,107
32,100,112
72,102,107
65,268,805
86,379,447
69,110,117
16,955,267
49,597,159
32,100,112
16,908,462
84,94,178
72,102,107
69,110,117
73,113,107
82,512,153
32,100,112
67,600,896
72,102,107
69,110,117
83,977,598
69,110,117
66,860,98
85,178,419
82,558,352
71,580,952
69,110,117
82,787,847
32,100,112
77,164,90
69,110,117
65,889,17
76,410,84
83,567,120
32,100,112
65,226,964
82,167,981
69,110,117
32,100,112
84,94,178
