VK,HT,FT
16,736,-1
77,128,623
79,80,296
82,64,128
78,72,248
73,128,232
78,150,120
71,72,144
32,72,112
16,200,168
83,104,112
84,64,216
65,104,184
82,120,144
32,56,224
16,184,168
82,80,120
69,72,264
83,96,176
84,64,336
65,96,272
85,72,200
82,72,136
65,104,264
78,96,128
84,71,145
32,72,103
73,112,144
83,103,73
32,64,183
84,63,97
72,63,104
69,88,103
32,63,97
66,56,159
69,168,152
83,119,129
84,111,88
32,64,135
80,88,120
76,103,225
65,71,144
67,119,248
69,96,303
32,64,176
84,72,152
79,71,129
32,72,143
71,64,168
79,72,160
32,48,168
70,71,129
79,80,119
82,55,113
32,48,143
66,47,185
82,55,208
69,144,136
65,96,184
75,71,232
70,56,216
65,79,200
83,111,168
84,80,192
32,56,184
79,96,128
82,64,160
32,56,144
66,56,176
82,80,240
85,72,264
78,80,248
67,80,232
72,55,152
190,88,224
32,232,240
16,128,360
84,56,112
72,80,160
69,64,120
32,40,144
70,64,128
79,256,144
68,88,272
32,64,112
73,88,144
83,72,128
32,64,152
65,72,184
77,80,136
65,80,160
90,96,312
73,104,184
78,112,136
71,48,136
32,48,128
65,72,96
78,72,88
68,88,120
32,64,120
73,120,112
83,72,160
32,56,112
74,56,152
85,72,200
83,128,120
84,88,104
32,56,128
76,64,168
73,48,176
75,88,192
69,64,120
32,48,168
72,80,152
79,64,152
77,64,128
69,72,136
32,32,136
67,88,168
79,240,104
75,72,384
73,112,192
78,104,136
71,48,136
32,48,136
87,64,120
73,64,80
84,64,128
72,72,112
79,104,128
85,80,120
84,64,128
32,48,120
84,64,120
72,64,88
69,72,104
32,64,104
87,87,152
79,80,80
82,72,168
75,80,80
32,71,160
65,88,64
78,64,136
68,88,72
32,48,144
87,64,120
73,72,72
84,72,136
72,72,112
79,128,112
85,88,120
84,64,104
32,72,96
84,64,152
72,64,80
69,72,128
32,64,88
67,88,176
76,80,160
69,72,128
65,80,136
78,104,112
32,56,120
85,120,152
80,80,152
190,72,280
32,224,240
16,200,360
84,72,144
72,80,168
69,72,112
32,48,136
87,72,128
65,104,152
73,80,128
84,64,136
32,48,136
83,88,144
84,64,320
65,80,256
70,264,296
32,64,384
65,128,128
82,88,112
69,96,136
32,48,144
86,64,152
69,104,192
82,104,72
89,72,168
32,64,96
72,80,168
69,80,128
76,104,144
80,104,176
70,72,264
85,80,192
76,80,216
188,72,288
32,80,184
80,88,128
76,104,216
69,72,120
65,80,160
83,136,96
65,88,408
78,88,152
84,72,200
188,72,160
32,64,176
80,88,160
79,72,224
76,72,224
73,80,192
84,48,152
69,72,168
32,48,184
65,72,112
78,72,104
68,80,128
32,56,176
65,72,176
67,240,296
79,56,496
77,224,344
79,88,368
68,56,160
65,136,208
84,103,121
73,104,119
78,80,120
71,64,128
190,72,136
32,263,233
16,145,391
84,63,113
72,95,176
73,111,64
83,71,128
32,63,112
73,87,120
83,79,136
32,64,159
65,87,169
32,55,152
86,55,184
69,103,184
82,151,80
89,79,136
32,71,112
67,95,152
79,71,112
77,111,112
70,71,176
79,80,440
82,63,256
84,63,688
65,72,248
66,56,200
76,80,120
69,72,136
32,64,120
80,88,136
76,118,208
65,48,112
67,96,136
69,80,248
32,56,160
84,72,120
79,80,128
32,72,104
84,72,200
65,80,208
75,80,136
69,88,112
32,64,120
84,56,128
72,72,72
69,72,104
32,40,112
87,79,152
72,96,72
79,96,80
76,80,232
69,112,24
32,48,248
70,72,160
65,96,152
77,136,120
73,96,112
76,104,80
89,96,216
32,72,160
87,88,152
72,72,112
69,80,136
78,80,128
32,56,128
89,72,176
79,96,136
85,72,112
32,64,104
87,80,88
65,88,152
78,80,112
84,56,144
32,48,112
65,80,128
32,55,81
78,136,183
73,112,120
67,88,88
69,64,232
32,72,128
66,48,152
82,72,224
69,144,144
65,88,304
75,80,344
70,56,296
65,104,208
83,168,160
84,72,152
188,72,360
32,72,152
87,72,104
73,80,128
84,72,168
72,64,176
79,112,192
85,95,113
84,64,279
32,72,328
65,80,312
76,232,136
32,48,320
84,56,168
72,64,112
69,64,144
32,56,200
70,80,648
85,64,144
83,256,152
190,80,728
32,208,352
16,184,424
73,64,96
32,40,136
72,80,128
65,88,104
86,72,136
69,64,144
32,56,104
82,64,192
69,64,176
67,112,240
79,72,208
77,232,296
69,64,312
78,80,136
68,80,144
69,56,224
68,88,200
32,48,152
84,64,160
72,80,112
73,112,40
83,86,114
32,56,126
82,56,144
69,104,160
83,88,216
84,88,144
65,88,312
85,72,200
82,56,160
65,88,184
78,80,152
84,64,136
32,56,136
84,72,120
79,88,88
32,24,136
77,72,144
89,64,248
32,72,112
70,48,104
82,64,176
73,64,104
69,64,160
78,80,128
68,96,144
83,96,120
32,56,144
65,80,120
78,88,56
68,112,128
32,54,114
72,88,110
65,72,104
86,80,104
69,72,136
32,48,120
65,72,136
76,80,96
87,80,144
65,96,144
89,72,168
83,80,152
32,56,136
71,56,160
79,72,120
84,224,160
69,111,361
78,87,136
32,55,136
80,80,111
79,79,249
83,79,304
73,71,216
84,63,208
73,96,144
86,71,176
69,72,176
32,47,160
70,56,112
69,231,256
68,104,383
66,63,425
65,79,232
67,136,200
75,79,137
32,71,151
70,55,112
82,64,216
79,48,112
77,15,232
32,130,6
84,56,1098
72,64,96
69,71,144
77,72,136
190,72,288
32,232,232
16,176,336
73,65,112
32,56,152
87,80,136
73,56,104
76,256,184
67,112,448
79,87,113
8,248,1071
32,64,496
67,112,224
79,88,160
78,136,128
84,120,184
73,112,184
78,88,120
85,88,248
69,80,144
32,72,160
84,72,144
79,80,104
32,64,104
82,56,128
69,72,152
67,96,240
79,64,184
77,240,200
69,64,312
78,80,152
68,80,136
32,48,160
84,64,144
72,104,96
73,120,72
83,80,104
32,64,128
82,64,160
69,96,200
83,72,808
84,56,392
65,80,392
85,88,280
82,88,264
65,96,312
78,80,144
84,56,160
32,56,120
84,64,136
79,80,88
32,56,120
65,104,96
78,56,120
89,64,216
79,80,184
78,112,112
69,88,128
32,48,136
87,88,120
72,80,72
79,144,32
32,72,208
73,112,128
83,72,96
32,72,152
76,80,192
79,248,240
75,64,392
73,120,184
78,96,136
71,64,112
32,48,128
70,64,112
79,94,66
82,64,142
32,56,112
65,80,128
32,64,112
71,56,168
82,72,208
69,143,136
65,128,136
84,80,104
32,56,192
66,56,616
82,80,248
69,136,176
65,88,128
75,72,136
70,72,256
65,80,208
83,144,136
84,88,152
32,56,192
79,88,136
82,72,160
32,56,160
66,48,208
82,72,496
85,64,664
78,96,256
67,112,256
72,80,152
32,72,120
73,120,128
78,143,129
32,56,151
65,72,144
32,56,136
67,104,208
79,72,88
77,96,120
70,63,201
79,104,183
82,71,89
84,64,271
65,80,200
66,56,168
76,136,112
69,79,169
32,56,159
69,80,168
78,64,128
86,72,200
73,80,152
82,56,176
79,88,232
78,103,137
77,64,1280
69,71,160
78,87,128
84,64,144
190,55,168
