VK,HT,FT
16,113,-1
73,79,70
32,68,114
76,56,418
79,203,181
86,767,555
69,91,137
32,68,80
16,89,366
77,136,159
69,91,23
88,737,512
73,91,113
67,113,390
65,83,141
78,88,87
32,54,157
70,153,125
79,203,91
68,80,92
188,90,77
32,69,103
66,101,125
85,91,46
84,90,114
32,110,339
87,125,809
72,91,118
69,68,125
82,147,91
69,102,199
32,57,182
16,114,125
73,79,81
32,73,148
71,102,191
82,123,92
69,79,81
87,91,778
32,80,117
85,79,182
80,124,204
188,102,272
32,95,103
84,80,103
72,91,113
73,104,159
83,104,47
32,91,26
87,114,64
65,124,92
83,112,104
78,69,218
222,102,125
84,46,137
32,7,103
84,46,859
72,79,81
69,1,62
32,68,159
16,104,148
72,91,126
73,91,150
83,14,158
80,91,200
65,147,166
78,81,14
73,80,162
67,125,136
32,46,91
71,114,46
79,102,283
82,91,92
8,68,260
82,102,69
79,102,91
85,69,53
80,87,159
32,80,96
84,80,114
72,102,59
65,113,68
84,68,92
32,216,339
82,91,74
85,90,54
76,136,170
69,79,118
68,105,148
190,9,87
32,57,159
16,104,183
66,102,350
85,102,46
84,80,22
32,68,153
16,136,80
76,5,69
65,131,148
83,52,102
32,56,103
55,39,676
32,67,125
16,102,239
82,102,137
69,68,69
71,79,91
79,57,80
8,508,90
73,80,242
79,68,406
78,3,172
8,90,641
69,102,68
71,97,159
79,90,130
8,372,576
73,68,171
79,27,17
78,35,181
69,102,74
83,91,103
222,102,216
32,102,159
16,136,548
77,80,182
69,80,114
88,610,675
73,102,81
65,124,92
78,79,92
8,226,350
67,125,126
65,147,102
78,68,14
32,79,148
82,90,163
69,68,103
83,90,114
84,79,118
65,136,1126
85,91,125
82,102,103
65,91,148
78,11,57
84,68,103
32,72,227
73,90,140
83,67,148
32,90,126
65,144,148
83,112,115
32,56,70
65,51,182
85,87,46
84,79,353
72,91,58
69,91,112
78,102,16
84,80,58
73,79,113
67,125,88
32,68,126
65,94,137
83,125,114
32,48,114
84,68,63
72,107,95
69,91,80
32,79,114
70,91,126
79,203,113
68,102,148
32,69,406
16,156,352
73,22,61
32,67,159
71,80,92
82,192,69
69,40,126
87,102,103
32,54,92
85,88,182
80,102,140
32,80,14
69,515,170
65,136,125
84,91,107
73,71,114
78,12,182
71,79,175
32,209,130
70,73,152
82,125,181
79,68,22
77,86,171
32,169,212
79,102,174
84,68,125
72,57,189
69,102,114
82,116,17
32,68,103
16,125,183
72,68,176
73,111,171
83,125,110
80,57,148
65,90,92
78,80,78
73,91,137
67,16,159
32,125,203
67,102,126
79,38,119
85,68,95
78,57,182
84,69,103
82,91,81
73,57,74
69,567,126
83,90,126
190,79,184
32,92,69
16,201,243
79,68,148
78,80,182
32,79,137
84,68,103
72,91,86
65,117,69
84,79,160
32,79,147
65,107,137
76,91,601
79,101,149
78,80,220
69,124,126
188,62,125
32,75,214
16,113,92
73,80,69
32,62,136
70,153,138
69,4,80
76,38,115
84,79,69
32,80,91
82,91,81
69,125,126
65,12,148
76,80,182
89,91,455
32,146,148
67,91,152
79,152,148
78,76,216
69,91,149
67,90,205
84,68,104
69,91,80
68,79,160
32,79,125
84,39,104
79,106,91
32,65,126
84,81,104
72,79,70
73,80,149
83,125,159
32,91,22
80,90,125
76,69,200
65,90,91
67,113,81
69,113,125
190,46,114
32,80,136
16,125,103
84,79,72
72,79,181
73,40,137
83,102,152
32,94,114
73,3,94
83,79,23
78,68,474
222,91,108
84,69,114
32,228,162
70,61,143
65,136,125
75,66,171
69,102,81
32,80,103
16,5,147
77,124,436
69,82,43
88,85,583
73,80,44
67,28,80
65,56,114
78,81,13
188,91,200
32,79,148
76,51,148
73,91,148
69,80,80
75,68,92
32,57,115
16,114,181
67,156,13
72,345,107
79,102,222
8,10,76
76,68,229
69,249,92
32,515,102
16,200,80
67,113,36
8,91,260
75,165,171
69,90,72
32,58,182
16,113,205
67,5,13
72,345,121
79,2,148
8,91,306
73,79,60
80,57,32
79,49,91
84,68,80
76,135,160
69,73,139
188,72,157
32,23,137
16,102,207
81,766,590
68,90,51
79,90,148
66,94,138
65,102,475
32,102,70
65,140,137
78,91,69
68,41,80
32,74,62
16,136,359
84,75,24
65,113,148
67,125,81
79,49,148
66,102,81
8,440,260
32,79,291
16,136,126
66,91,126
69,79,81
76,125,115
190,68,350
32,119,69
16,114,147
73,69,92
84,68,92
222,102,170
83,103,101
32,57,92
80,102,125
69,102,114
79,102,61
80,102,125
76,102,135
69,90,125
32,456,104
87,102,156
72,91,81
79,91,133
32,90,81
71,101,192
82,68,148
69,137,98
87,91,148
32,80,148
85,102,103
80,68,240
32,68,92
73,35,103
78,91,182
32,91,126
16,102,986
77,135,182
69,91,55
88,720,816
73,77,113
67,113,219
79,57,47
32,68,92
79,110,171
82,68,69
32,68,117
65,113,148
82,90,137
69,1,69
8,1054,384
87,68,114
72,91,14
79,32,282
32,80,339
65,113,190
82,143,182
69,95,69
32,44,119
84,90,194
82,68,148
8,225,441
73,102,69
69,90,183
68,102,171
32,79,91
84,80,88
79,57,113
32,90,126
84,79,243
72,79,69
69,79,72
32,57,14
82,90,92
69,84,92
71,102,159
73,91,283
79,68,19
78,80,814
32,68,385
84,57,66
72,79,88
65,118,69
84,98,103
32,112,339
65,112,148
82,198,117
69,113,78
32,26,65
77,91,412
65,136,137
75,68,198
73,68,192
78,91,203
71,86,179
32,112,148
84,74,103
72,80,124
73,45,149
83,135,64
32,91,131
65,113,115
85,91,125
69,68,47
72,84,148
84,80,148
8,1013,386
84,52,103
72,79,155
69,102,14
78,91,205
84,68,58
73,17,80
67,113,103
188,102,525
32,80,103
68,57,103
69,91,170
76,182,182
