VK,HT,FT
16,194,-1
73,91,94
32,86,61
76,80,125
79,85,199
86,81,341
69,115,67
32,90,139
16,100,399
83,138,120
79,64,169
85,109,31
80,70,194
32,88,333
16,257,248
55,141,953
32,100,104
84,83,310
79,74,215
8,385,208
65,112,212
67,137,511
79,124,126
190,108,348
32,103,78
16,153,190
73,86,52
84,93,150
222,90,257
83,115,205
32,84,172
77,96,192
89,90,204
32,79,79
71,61,385
79,129,418
32,74,388
84,75,237
79,96,83
32,93,83
79,85,90
78,107,122
32,103,150
65,107,83
32,113,126
17,919,639
70,70,243
16,297,196
70,92,152
82,91,185
73,76,0
68,64,155
65,119,209
89,86,388
32,78,569
78,130,103
73,90,65
71,77,189
72,79,265
84,64,48
32,81,160
87,130,151
72,94,0
69,127,10
78,112,117
32,102,154
16,364,53
73,78,58
32,93,69
68,56,207
79,87,123
78,105,123
222,115,231
84,63,161
32,73,149
70,81,3
69,90,96
76,105,139
32,75,0
76,61,133
73,111,41
75,12,180
69,114,505
32,102,131
67,130,278
79,132,121
75,65,221
73,30,102
78,154,146
71,90,16
190,87,321
32,103,113
16,76,0
84,60,381
82,86,201
89,76,50
32,71,0
84,86,209
72,68,64
69,87,100
32,85,105
84,94,331
65,167,336
67,154,309
79,226,35
83,120,198
189,137,116
84,113,13
72,73,71
69,89,133
89,83,249
80,89,8
82,95,22
8,302,451
82,89,65
222,110,214
8,0,340
222,106,124
82,62,286
69,148,43
32,85,68
68,71,388
69,87,181
76,101,155
73,109,300
67,156,302
73,110,133
79,95,142
85,106,22
83,67,63
190,67,208
32,113,95
16,287,80
73,91,14
32,100,134
72,79,9
65,105,115
86,109,267
69,106,106
32,87,191
65,101,169
76,1,165
83,104,138
79,102,57
32,102,221
72,70,160
65,155,80
68,99,318
32,115,204
84,60,95
72,105,90
69,108,46
32,107,167
67,115,120
72,50,277
73,240,105
77,68,167
73,109,325
67,147,243
72,90,125
65,100,168
78,87,348
71,82,147
65,122,83
83,139,261
32,98,303
65,111,84
78,83,105
68,125,61
32,100,116
81,159,924
85,91,266
69,81,129
83,146,303
65,106,162
68,92,254
73,165,83
76,39,350
69,159,201
8,314,421
65,128,128
83,140,202
190,64,391
32,96,58
16,231,0
66,103,305
79,110,78
84,105,0
72,75,79
87,106,135
32,90,120
8,119,350
32,79,214
87,92,119
69,83,224
82,76,28
69,74,91
32,75,292
71,84,0
82,64,119
69,79,178
65,151,44
84,86,105
