VK,HT,FT
16,198,-1
70,316,965
82,95,193
79,97,255
77,126,470
32,142,160
84,92,158
72,93,74
69,95,134
32,126,57
86,431,688
69,105,161
82,90,225
89,562,203
32,131,164
83,140,175
84,99,143
65,108,361
82,86,201
84,100,159
32,131,143
16,183,201
73,112,135
32,133,165
75,216,43
78,90,157
69,102,239
87,868,655
32,133,154
84,89,114
72,93,72
65,110,206
84,93,189
32,142,160
77,132,349
89,162,366
32,143,102
68,106,160
78,91,169
8,537,521
73,102,154
78,91,171
73,108,90
78,96,148
71,90,144
32,128,134
69,95,160
88,221,502
80,626,108
69,91,124
82,88,159
73,103,139
69,117,221
78,95,132
67,164,237
69,104,193
32,133,86
87,210,773
79,88,248
85,91,115
76,467,988
68,104,169
32,134,148
66,216,962
69,109,134
32,133,97
71,88,123
82,93,135
69,118,217
65,98,268
84,100,155
190,950,899
32,134,114
16,183,83
85,89,131
80,823,758
79,116,136
78,88,126
32,144,167
69,98,199
78,89,138
84,91,161
69,99,196
82,90,196
73,115,152
78,87,158
71,88,120
32,136,138
84,101,122
72,91,84
69,100,132
32,132,54
82,96,152
69,95,206
83,112,233
84,92,176
65,99,195
85,93,108
82,90,159
65,110,261
78,96,176
84,100,150
32,135,158
16,187,575
73,90,151
32,132,133
67,125,228
79,99,211
85,95,147
76,12,781
68,106,177
32,134,117
83,123,254
69,119,162
32,128,138
84,92,141
72,89,79
69,91,150
32,127,52
65,105,259
85,91,160
84,100,139
72,91,106
69,96,145
78,90,151
84,90,139
73,91,136
67,124,241
32,134,129
16,198,923
75,773,591
79,93,123
82,100,202
69,123,182
65,103,292
78,92,127
32,140,138
68,106,225
69,91,248
67,158,210
79,117,138
82,101,212
32,142,156
65,111,267
78,95,156
68,103,209
32,134,130
65,108,356
67,173,263
79,119,118
77,141,470
79,88,142
68,102,222
65,107,337
84,99,174
73,84,160
78,90,140
71,96,99
32,133,105
87,246,789
65,110,331
73,80,160
8,705,410
77,133,471
79,97,142
68,104,172
65,104,256
84,95,164
73,96,140
78,94,164
71,92,100
32,138,155
87,38,70
65,104,324
73,109,112
84,96,145
83,158,168
84,96,158
65,108,184
70,879,749
190,691,590
32,137,146
16,175,836
89,574,366
79,125,129
85,95,127
32,142,110
67,116,285
79,101,254
85,90,147
76,223,795
68,108,181
32,133,166
76,755,113
73,111,127
84,100,155
69,122,206
82,86,224
65,108,229
76,162,286
89,925,302
32,128,104
83,125,180
77,115,537
69,96,251
76,396,50
32,145,110
84,99,112
72,95,76
69,93,139
32,127,61
83,154,142
67,118,300
69,106,160
78,93,131
84,95,152
83,150,146
32,134,162
79,122,222
70,476,792
32,140,114
16,178,585
75,992,452
79,95,253
82,93,222
69,120,215
65,101,332
78,90,178
32,139,123
66,71,65
65,104,260
82,100,149
66,709,967
69,111,236
67,172,224
85,95,136
69,98,164
32,140,135
73,95,122
78,93,122
32,142,120
84,87,105
72,89,72
69,92,141
32,124,50
65,103,312
73,102,122
82,101,186
186,201,915
32,136,121
73,115,101
84,98,189
32,131,119
87,264,542
65,104,183
83,140,238
32,128,142
65,100,240
77,139,161
65,102,211
90,140,201
73,105,100
78,89,169
71,95,120
16,191,925
49,387,419
32,129,106
16,186,171
84,97,196
72,95,99
69,92,148
32,134,53
87,941,429
65,102,294
73,105,128
84,100,149
32,130,119
70,840,943
79,94,243
82,85,142
32,132,118
65,103,208
32,129,104
84,89,106
65,99,339
66,909,740
76,674,5
69,106,178
32,128,121
87,368,728
65,107,354
83,107,270
32,128,158
90,136,195
73,93,156
76,101,106
67,162,190
72,91,107
186,439,582
32,139,146
73,91,141
84,90,156
32,135,154
87,324,265
65,102,244
83,114,273
32,139,123
69,119,202
86,579,23
69,117,252
78,92,147
32,131,146
77,141,358
79,124,242
82,86,122
69,116,257
32,135,63
65,99,321
77,132,386
65,108,199
90,712,414
73,103,139
78,92,147
71,87,101
32,132,149
67,115,292
79,119,176
78,96,133
83,162,251
73,101,120
68,109,225
69,116,176
82,92,159
73,99,103
78,95,151
71,88,145
32,145,134
84,98,148
72,94,77
65,110,347
84,94,167
32,142,130
84,100,127
72,91,80
69,102,136
32,130,55
82,87,164
69,95,257
83,110,163
84,99,198
65,104,358
85,96,127
82,96,146
81,636,397
8,695,409
65,107,166
78,94,169
84,94,181
32,130,141
87,203,472
65,103,271
83,155,148
32,143,156
80,995,611
65,110,355
67,156,169
75,778,285
69,105,164
68,101,172
190,825,26
32,141,136
16,197,350
84,93,151
72,94,100
69,97,146
32,135,49
77,134,244
69,93,214
78,89,172
85,95,125
32,128,138
67,153,224
79,116,119
78,90,175
83,110,197
73,83,132
83,111,161
84,101,203
69,112,258
68,98,187
32,138,113
79,117,241
70,650,200
32,139,110
71,92,114
69,106,165
78,98,157
85,96,150
73,96,152
78,89,132
69,114,120
32,136,58
16,198,643
75,276,166
79,122,172
82,97,188
69,110,146
65,109,273
78,88,158
32,128,117
67,166,269
85,94,111
73,81,149
83,126,164
73,85,162
78,95,124
69,95,123
32,135,136
77,138,216
73,109,119
88,609,866
69,92,163
68,108,175
32,131,159
87,246,860
73,81,139
84,93,148
72,92,74
32,132,122
65,99,248
32,144,128
70,919,459
69,111,242
87,39,641
32,128,125
16,179,458
65,108,323
77,118,492
69,107,193
82,93,206
73,99,115
67,127,249
65,107,228
78,94,165
32,131,152
68,98,148
73,104,92
83,122,135
72,92,81
69,102,137
83,124,176
190,365,755
32,145,144
16,189,411
77,124,285
89,685,705
32,143,152
83,147,253
79,88,160
8,643,537
80,440,480
79,127,135
85,93,118
83,106,164
69,94,240
32,140,81
65,111,216
78,87,126
68,102,216
32,141,135
16,199,294
73,105,100
32,130,125
66,454,379
79,98,119
84,94,154
72,90,113
32,132,144
71,86,99
79,97,240
84,95,178
32,144,111
16,170,869
75,431,17
79,118,135
82,95,187
69,123,240
65,110,252
78,92,136
32,134,146
16,185,735
66,69,983
65,103,275
82,97,206
66,9,320
69,109,147
67,159,214
85,94,111
69,107,246
32,130,91
65,99,314
78,94,176
68,110,158
32,140,151
73,113,166
84,99,146
32,132,130
87,511,230
65,103,236
83,120,151
32,133,151
66,628,113
89,699,724
32,142,134
70,437,142
65,105,228
82,101,151
32,130,118
84,91,108
72,92,71
69,103,140
32,124,64
66,542,841
69,123,147
83,119,242
84,103,159
32,133,143
16,182,539
73,96,91
222,711,824
86,538,866
69,116,241
32,137,121
84,98,143
65,101,176
83,148,229
84,104,138
69,106,139
68,104,148
32,130,103
73,91,103
78,92,157
32,137,106
84,90,115
72,88,83
69,102,143
32,128,54
67,148,175
73,87,139
84,97,205
89,692,937
190,657,135
32,134,106
16,201,665
84,93,202
79,128,256
32,130,108
84,87,158
79,106,261
80,50,677
32,133,137
73,109,157
84,91,150
32,140,139
79,117,150
70,586,852
32,144,129
84,100,107
72,92,74
69,100,141
32,131,55
70,426,120
79,111,145
68,100,148
32,131,102
65,105,331
82,94,200
73,91,140
86,929,283
69,102,134
68,104,150
32,140,137
80,243,884
82,102,129
79,88,248
77,137,436
80,399,787
84,101,141
76,558,733
89,215,132
188,608,558
32,144,105
65,111,200
78,92,140
68,108,188
32,137,124
84,92,130
72,94,76
69,97,149
32,129,51
87,14,224
65,104,205
73,80,142
84,97,149
32,144,147
87,265,817
65,99,347
83,116,142
32,141,146
49,677,104
48,516,199
189,778,429
49,76,653
53,128,845
32,138,145
77,127,542
73,100,167
78,88,125
85,94,142
84,102,173
69,97,126
83,112,185
32,134,123
84,92,120
79,92,255
80,643,265
83,131,269
16,169,856
49,333,508
32,140,150
16,172,398
72,93,82
73,111,146
71,91,105
72,90,109
76,31,833
89,665,824
188,747,718
8,284,454
32,141,106
82,100,207
69,98,224
67,174,218
8,676,511
67,154,291
79,121,133
77,137,308
69,119,166
78,97,163
68,100,188
32,145,124
84,91,124
72,89,82
73,103,120
83,120,136
32,143,163
80,104,909
65,107,245
8,440,409
76,256,394
65,109,339
67,172,172
69,120,194
188,97,948
32,137,151
65,110,360
76,930,693
84,99,168
72,94,111
79,109,234
85,97,113
71,94,108
72,87,101
32,144,142
74,32,709
85,98,122
68,100,223
71,91,129
73,104,114
78,90,168
71,94,139
32,138,142
66,204,130
89,139,989
32,140,126
84,100,108
72,91,72
69,93,138
32,126,53
65,104,166
77,139,512
79,128,175
85,91,132
78,96,119
84,104,150
32,143,153
79,101,144
70,891,456
32,134,166
80,789,942
69,121,179
79,98,260
80,36,396
76,381,935
69,99,166
32,129,56
84,90,141
72,90,71
69,98,145
82,90,194
69,115,252
32,136,73
16,166,78
73,83,121
219,476,539
8,365,426
222,751,939
77,131,363
32,135,142
78,94,159
79,108,212
84,101,163
32,134,118
83,128,268
85,94,154
82,102,202
69,106,231
32,130,118
16,201,406
73,86,165
8,555,381
70,255,486
73,83,148
8,671,451
73,93,116
70,511,888
32,137,114
16,195,195
73,113,138
222,552,300
77,128,306
32,129,105
78,94,157
8,708,482
68,107,153
79,99,219
85,98,123
8,372,363
73,91,125
78,95,173
71,87,136
32,139,147
65,105,335
32,141,120
71,89,109
79,94,123
68,109,205
32,139,134
84,98,109
72,90,77
73,105,108
78,87,179
71,89,140
32,135,152
16,189,557
186,476,445
48,538,474
190,138,681
