VK,HT,FT
16,279,-1
87,415,208
72,104,120
69,67,111
78,106,47
32,103,182
16,279,156
73,105,134
32,103,130
70,31,207
73,105,105
82,111,119
83,106,150
84,109,88
32,98,104
77,187,235
79,105,75
86,809,669
69,74,110
68,44,141
32,105,108
84,107,120
79,67,94
32,113,125
16,328,193
67,87,119
72,108,110
73,67,158
67,76,53
65,138,71
71,70,140
79,111,152
188,143,688
32,106,185
16,279,155
73,127,124
32,141,108
87,502,305
65,145,132
83,67,22
32,67,130
68,67,104
69,104,936
76,157,118
73,74,152
71,81,104
72,71,71
84,207,71
69,74,119
68,67,89
32,140,92
84,69,198
79,69,148
32,67,149
70,87,143
73,104,158
78,109,108
68,68,200
32,98,399
84,71,175
8,459,271
72,105,111
65,104,106
84,105,78
32,93,179
84,107,68
72,102,71
69,104,121
82,104,124
69,36,126
32,135,140
87,301,982
65,142,131
83,24,147
32,112,66
65,140,78
32,105,98
84,60,106
72,69,120
65,70,116
73,68,127
32,67,179
71,73,50
8,605,724
70,19,137
79,71,222
68,101,191
32,67,115
76,98,74
80,158,288
65,138,71
67,91,119
69,105,99
32,102,130
8,153,498
80,313,829
76,71,141
65,101,260
67,71,116
69,8,1020
32,106,147
79,112,14
78,102,109
32,102,169
77,484,65
89,62,106
32,105,182
86,719,469
69,102,169
82,104,154
89,66,48
32,120,132
66,104,170
76,69,176
79,106,68
67,105,11
75,494,739
190,415,148
16,20,115
32,112,99
73,72,102
32,67,179
76,70,96
79,157,3
86,147,431
69,106,846
32,141,83
84,69,70
72,104,139
65,105,117
73,138,108
32,105,112
70,2,98
79,67,117
68,123,114
32,141,6
16,208,174
57,705,66
84,213,116
72,104,163
69,31,110
32,110,107
83,72,828
80,414,898
73,106,175
67,105,134
69,105,105
82,104,136
32,112,190
8,735,609
89,68,205
69,64,181
82,108,79
32,104,93
84,78,108
72,66,97
69,63,111
8,935,650
73,102,117
69,105,107
82,105,177
32,106,230
84,99,203
72,104,73
69,15,129
32,141,84
66,138,92
69,67,175
84,105,113
69,111,181
82,107,58
16,171,108
48,901,314
32,106,150
65,105,104
78,103,69
68,141,70
32,106,73
16,210,101
73,70,181
32,105,129
67,104,56
79,60,118
85,104,107
76,103,156
68,69,72
78,105,16
222,599,16
84,103,151
32,73,73
87,719,624
65,140,117
73,70,30
84,103,146
32,128,81
85,100,70
78,105,104
84,103,121
73,102,109
76,67,204
32,142,164
16,37,116
73,74,171
32,103,91
70,106,106
73,74,177
78,102,34
65,68,12
76,198,136
89,43,270
32,138,122
71,94,3
79,32,206
84,71,104
32,70,177
84,69,108
72,102,118
69,62,108
32,102,73
67,104,127
72,104,258
65,139,69
78,124,68
67,77,105
69,108,184
32,102,15
84,104,111
79,106,114
32,105,69
71,70,106
79,70,68
32,112,168
84,66,104
72,104,111
69,63,114
82,88,181
69,64,107
190,459,227
32,105,108
16,163,235
79,159,86
78,112,180
69,74,112
32,104,72
79,27,130
70,105,142
32,106,208
84,110,70
69,104,184
32,104,12
8,399,565
72,73,74
69,61,111
32,103,107
77,113,214
79,61,113
83,71,69
84,102,70
32,99,89
85,104,102
78,99,71
85,107,107
83,106,168
85,106,238
65,108,0
76,69,43
32,105,66
84,69,66
72,69,111
73,72,184
78,67,130
71,65,99
83,106,1
32,142,241
65,104,109
66,138,171
79,126,84
85,99,76
84,107,104
32,102,104
16,257,116
77,603,427
89,61,217
32,139,170
16,209,88
84,105,149
72,105,71
65,107,253
73,103,107
32,106,95
73,124,105
83,105,154
32,105,90
84,107,85
72,104,120
65,141,149
84,64,71
32,102,73
73,104,112
84,207,129
32,109,103
83,104,157
69,105,122
77,41,326
83,68,69
32,104,107
84,70,69
72,6,110
65,103,131
84,102,145
32,141,155
73,104,106
84,108,107
222,598,931
83,53,105
32,109,128
65,69,128
76,68,155
87,31,281
65,139,157
89,63,904
83,101,189
32,106,91
69,67,119
77,854,95
80,653,457
84,64,135
89,61,218
190,167,856
32,115,69
16,1,83
84,69,108
72,107,131
73,124,53
83,102,145
32,103,190
73,70,111
83,105,159
32,106,231
78,141,106
73,141,160
67,71,70
69,141,106
32,139,107
66,67,159
69,71,109
67,74,146
65,8,71
85,111,107
83,101,69
69,82,177
32,68,111
89,128,222
79,103,53
85,104,251
32,105,164
71,67,57
69,12,55
84,114,149
32,104,73
81,867,350
85,140,112
73,106,153
67,71,69
75,160,959
32,67,150
83,67,85
69,70,173
82,104,153
86,588,36
73,111,106
67,104,149
69,190,105
188,640,691
32,67,76
65,140,152
76,67,166
84,69,345
72,70,350
79,140,184
85,83,85
71,67,27
72,69,102
32,107,168
16,213,821
73,69,104
32,105,66
72,68,117
65,105,157
86,145,202
69,71,73
32,107,22
70,73,105
79,106,130
85,58,88
78,105,106
68,105,213
32,140,67
79,100,66
85,99,137
84,112,183
32,119,120
84,69,70
72,102,118
69,104,121
32,66,98
83,57,161
69,98,176
67,72,69
82,107,148
69,75,137
84,106,127
32,104,104
84,69,70
79,104,216
32,107,142
72,83,71
79,104,26
87,106,630
32,106,115
84,89,72
72,104,110
69,63,96
