VK,HT,FT
16,134,-1
77,681,896
65,96,56
83,708,264
84,85,42
69,96,109
82,96,86
32,103,64
16,963,196
67,594,12
72,10,95
69,96,64
70,900,402
32,96,104
73,648,479
83,358,930
32,96,49
79,196,403
78,825,97
69,99,187
32,63,48
79,829,479
70,156,681
32,88,90
77,608,825
89,889,263
32,95,72
70,347,309
65,95,64
86,689,145
79,905,970
82,95,68
73,914,56
84,96,109
69,147,31
32,88,89
80,903,703
76,563,362
65,63,104
67,703,825
69,97,135
83,321,169
32,125,89
84,95,56
79,306,348
32,96,104
69,98,32
65,62,84
84,95,27
32,72,64
79,958,334
70,453,959
32,62,87
65,95,106
76,679,627
32,88,51
84,94,71
73,252,977
77,874,872
69,96,11
190,186,437
32,111,76
16,25,139
32,96,64
84,90,56
72,44,88
69,73,32
89,79,750
65,112,73
8,189,231
32,104,56
65,62,53
82,131,96
69,88,74
32,225,72
65,96,55
76,653,298
87,857,739
65,96,54
89,983,637
83,103,120
32,96,40
8,87,130
89,527,953
8,5,207
89,585,28
83,346,685
32,64,75
86,27,188
69,95,89
82,55,55
89,411,838
32,100,89
81,441,579
85,421,90
73,213,396
67,797,215
75,383,486
32,99,40
84,72,56
79,895,121
32,103,48
83,944,421
69,109,16
65,118,85
84,92,48
32,88,89
85,805,190
83,867,753
32,96,56
65,43,11
78,370,340
68,512,670
71,373,745
32,88,50
8,942,364
32,106,55
71,230,998
69,92,121
84,182,83
32,88,48
85,890,732
83,690,907
32,88,48
86,153,291
8,324,483
66,158,243
69,103,33
86,11,138
69,103,115
82,96,56
65,96,155
71,221,843
69,96,41
83,258,766
32,103,80
87,456,952
72,132,110
73,707,514
76,838,384
69,95,39
32,100,70
87,515,597
69,138,87
32,79,89
87,250,194
65,96,114
73,715,521
84,88,56
190,749,498
32,88,89
16,333,530
84,88,139
72,88,50
69,114,39
73,451,468
82,97,12
32,87,104
77,941,45
69,96,107
78,486,99
85,652,233
69,142,72
32,95,89
72,95,67
65,93,79
83,233,804
32,72,49
80,771,796
76,46,668
69,149,36
78,28,921
84,92,41
89,790,617
8,610,453
32,63,12
72,133,55
65,95,105
83,208,635
32,126,92
80,309,149
76,523,723
69,88,57
78,560,863
84,97,174
89,41,487
32,88,82
79,528,554
70,506,999
32,63,56
73,35,344
84,96,78
69,94,60
77,159,769
83,205,33
32,85,40
65,109,82
78,821,885
68,837,848
32,98,48
84,95,178
72,142,83
69,134,92
89,525,994
32,96,56
65,139,203
82,165,66
69,57,72
32,73,56
65,32,81
76,550,317
32,88,56
86,289,227
69,103,96
82,95,62
89,298,633
8,450,9
89,353,775
32,96,87
82,86,49
69,112,113
65,96,80
83,864,567
79,129,782
78,510,350
65,68,62
66,668,784
76,355,441
69,88,87
32,79,64
80,394,97
82,74,87
73,832,253
67,818,541
69,154,38
68,231,711
190,321,490
32,103,81
16,392,266
89,226,360
79,570,122
85,188,599
32,95,48
67,770,138
65,96,137
78,208,703
32,96,104
70,667,611
69,49,213
68,276,494
32,97,56
89,503,774
79,641,174
85,519,256
82,55,44
32,96,64
69,104,72
78,607,575
84,95,1
73,614,123
82,55,87
69,105,72
32,79,80
70,948,697
65,111,56
77,193,374
73,638,427
76,878,503
89,962,847
32,83,49
79,622,95
70,956,441
32,88,56
8,742,109
32,104,74
70,711,612
79,176,489
82,22,51
32,96,0
85,298,556
78,745,660
68,162,563
69,83,212
82,127,92
32,96,83
52,138,295
48,757,977
32,88,56
68,701,487
79,602,525
76,448,800
65,70,70
82,95,11
83,366,322
188,826,176
32,104,0
78,419,988
79,823,906
84,88,72
32,243,49
77,324,150
65,96,77
78,342,682
89,621,399
32,57,88
80,832,632
76,772,533
65,96,12
67,854,67
69,112,32
83,21,596
32,95,72
65,79,56
82,62,85
69,132,22
32,87,72
65,138,80
66,334,562
76,385,805
69,98,96
32,111,34
84,102,35
79,573,266
32,181,83
83,79,88
65,95,217
77,48,196
8,329,864
83,796,966
65,96,56
89,704,870
32,104,56
84,88,39
72,142,72
69,104,89
32,87,72
83,698,329
65,71,47
77,161,17
69,96,113
190,489,469
32,118,88
16,976,997
84,43,2
72,132,60
69,112,96
32,104,89
68,246,462
69,88,23
83,964,182
