VK,HT,FT
16,256,-1
84,170,140
72,113,293
73,160,254
83,172,170
32,142,175
73,135,206
83,161,381
32,174,349
65,177,0
66,163,160
83,161,0
79,98,176
76,174,372
85,136,133
84,168,313
69,201,165
76,168,535
89,168,277
32,105,142
84,148,261
72,175,112
69,186,194
32,159,337
66,150,407
69,201,235
83,202,499
84,142,306
32,153,329
82,211,174
69,223,156
83,187,199
84,155,299
65,197,215
85,151,240
82,171,36
65,256,51
78,179,138
84,171,408
32,156,374
84,172,549
72,94,145
65,149,84
84,185,33
32,172,517
16,0,879
73,142,109
32,244,262
72,165,363
65,179,108
86,113,451
69,192,120
32,115,488
69,311,0
86,119,248
69,212,193
82,157,156
32,119,204
66,151,292
32,108,76
69,152,476
78,170,315
8,1041,787
69,204,335
78,113,9
32,137,248
84,158,291
79,119,84
190,145,667
32,153,422
16,295,483
84,156,151
72,110,263
69,162,96
32,157,159
16,158,525
80,127,184
73,135,334
65,195,100
8,660,803
90,257,279
65,183,186
32,150,315
87,251,303
65,190,270
83,248,224
32,176,447
79,130,147
85,171,150
84,178,13
32,137,0
79,135,121
70,139,533
32,125,72
84,118,335
72,87,95
73,229,74
83,172,215
32,147,170
87,182,493
79,169,33
82,177,313
76,179,0
68,236,244
32,133,566
65,148,110
78,74,87
68,243,44
32,113,166
84,149,160
72,91,101
69,196,154
32,144,87
68,227,491
82,160,102
73,138,358
78,160,310
75,148,223
83,258,441
32,170,516
74,832,171
85,129,120
83,182,285
84,153,420
32,217,411
75,118,93
69,188,28
80,151,694
84,144,126
32,164,311
66,168,224
69,231,205
73,161,210
78,185,236
71,135,151
32,163,156
82,176,334
69,224,167
70,119,0
73,154,0
76,264,201
69,170,322
68,213,325
32,108,1185
87,231,492
73,161,457
84,150,489
72,91,139
79,180,266
85,141,150
84,178,196
32,189,253
77,150,279
89,101,321
32,128,295
72,138,201
65,154,163
86,109,257
73,204,0
78,146,302
71,132,191
32,158,248
84,171,272
79,142,105
32,179,155
65,215,64
83,179,249
75,154,237
32,174,349
70,142,158
79,85,142
82,183,447
32,142,99
82,193,218
69,227,152
76,171,463
8,609,1193
70,175,441
73,124,306
76,298,167
83,168,458
190,139,360
32,162,68
16,376,634
84,170,85
72,121,246
69,226,88
89,100,83
32,138,461
72,129,527
65,170,154
68,160,250
32,148,411
65,154,245
32,137,217
78,97,432
69,192,156
86,152,525
69,209,157
82,183,140
189,821,160
69,225,0
78,128,329
68,199,145
73,158,52
78,117,245
71,111,204
32,161,41
83,199,234
65,164,295
76,195,121
65,196,384
68,189,541
32,176,20
66,146,202
65,233,187
82,196,273
32,130,350
87,187,715
73,142,189
84,175,63
72,44,114
32,180,855
65,152,555
66,151,246
79,192,0
85,163,70
84,205,226
32,152,335
52,894,381
48,694,484
32,220,124
68,166,137
73,150,72
70,191,148
69,166,222
82,173,142
69,221,23
78,153,61
84,174,10
32,183,431
83,202,171
69,283,418
76,151,317
69,161,302
67,183,600
84,156,362
73,169,107
79,206,121
78,59,241
83,198,91
32,163,244
73,129,174
78,132,290
67,186,615
76,198,461
85,100,309
68,234,228
73,164,86
78,159,224
71,162,168
32,146,234
82,200,265
69,206,154
65,283,198
76,192,77
32,137,349
65,135,0
8,221,894
66,169,284
65,228,333
67,200,358
79,251,76
78,135,156
32,153,246
66,140,243
73,164,92
84,162,24
83,231,384
32,135,28
189,707,665
32,117,516
78,107,199
79,122,167
84,168,373
32,191,673
84,155,425
72,66,124
69,272,225
32,116,198
70,173,235
65,227,200
75,122,91
69,195,1012
32,170,0
83,186,263
84,123,273
85,76,249
76,176,240
8,387,738
70,160,309
190,159,153
32,204,478
16,217,276
84,138,150
72,101,272
69,205,148
32,153,287
16,145,505
80,125,455
73,142,276
90,23,376
65,176,366
32,122,646
87,214,268
65,235,127
83,259,370
32,137,550
83,220,162
79,109,122
32,161,135
66,155,364
73,179,327
71,160,53
32,138,438
84,176,62
72,89,103
65,192,171
84,161,184
32,169,450
87,222,0
69,200,257
32,148,151
72,151,270
65,194,103
68,189,170
32,153,304
84,151,132
79,156,1
32,150,244
65,189,310
83,332,105
75,173,169
32,183,109
70,141,227
79,201,179
82,183,189
32,134,0
65,194,332
78,93,111
79,132,250
84,165,44
72,85,176
69,289,198
82,225,179
32,105,241
84,176,200
65,290,226
66,169,344
76,208,294
69,191,115
32,121,448
74,898,622
85,86,166
83,213,164
84,150,381
32,194,344
84,150,153
79,116,27
32,181,221
70,180,78
73,148,148
84,186,255
32,183,468
65,165,220
76,221,135
32,120,389
84,162,0
72,130,104
69,260,206
32,192,375
80,132,627
76,231,0
