VK,HT,FT
16,632,-1
73,182,148
32,179,165
72,142,218
65,210,112
86,144,242
69,220,151
32,100,184
66,141,286
69,176,278
78,143,386
32,144,206
71,144,211
79,112,133
73,104,200
78,144,246
71,144,147
32,145,126
84,147,289
79,107,109
32,146,145
84,173,148
72,106,104
73,118,143
83,185,158
32,144,230
82,211,159
69,215,142
83,176,530
84,179,190
65,127,313
85,144,109
82,181,181
65,182,146
78,104,105
84,181,133
32,107,143
70,147,190
79,112,109
82,180,162
32,133,219
77,111,6
65,220,131
78,111,107
89,144,184
32,178,253
89,109,229
69,215,277
65,219,186
82,143,103
83,178,278
32,148,144
65,132,159
78,109,109
68,218,179
32,112,248
84,180,140
72,109,107
69,220,140
89,105,104
32,115,217
72,144,128
65,133,149
86,31,242
69,220,260
32,16,183
78,145,244
69,216,151
86,108,376
69,181,287
82,181,67
32,143,155
68,80,315
73,146,105
83,217,293
65,218,366
8,77,760
70,183,239
65,4,226
73,182,430
76,330,168
69,178,295
68,87,341
32,143,150
84,173,307
79,143,39
32,144,145
83,184,209
69,212,183
82,214,111
86,144,172
69,217,287
32,101,224
87,251,1
73,145,299
84,165,192
72,110,109
32,53,1222
65,182,195
32,144,186
83,216,14
77,107,400
73,107,226
76,123,63
69,177,477
32,144,228
65,218,130
78,111,141
68,198,170
32,137,179
70,147,259
82,182,344
69,216,143
73,147,215
8,77,906
73,144,75
69,180,157
78,18,386
68,179,176
76,142,229
89,145,12
32,135,255
71,80,264
82,179,508
69,215,1166
84,107,310
73,178,146
78,143,234
71,141,204
83,176,671
190,142,509
32,178,903
16,218,495
73,30,107
32,140,902
8,107,297
84,142,204
32,144,361
73,142,162
83,214,605
32,146,731
79,111,149
87,287,390
78,143,182
69,176,140
68,149,327
32,144,186
66,43,244
89,104,232
32,140,274
65,167,122
32,133,224
70,143,223
65,179,29
77,107,309
73,144,108
76,217,158
89,130,34
32,108,238
84,179,212
72,112,109
65,179,149
84,176,345
32,158,143
67,219,155
79,151,108
75,144,342
83,179,293
32,138,144
65,177,159
85,177,145
84,178,144
72,130,143
69,204,186
78,82,224
84,178,622
73,144,109
67,219,269
32,141,274
68,180,261
69,252,127
76,162,217
73,183,72
67,217,265
73,144,146
79,106,112
85,143,109
83,182,140
32,147,169
16,214,276
73,112,111
84,178,107
65,188,245
76,115,107
73,109,74
65,180,890
78,108,72
32,144,209
70,179,157
79,147,73
68,220,150
190,146,935
32,178,184
16,634,278
84,178,109
72,137,286
69,218,113
32,180,179
80,144,259
65,183,261
83,225,242
84,143,285
65,327,229
32,178,220
68,178,340
73,144,104
83,180,158
72,144,107
69,220,210
83,181,163
32,145,157
65,179,293
82,179,180
69,212,180
32,146,493
83,213,293
85,110,108
80,160,954
69,213,114
82,179,46
66,142,347
190,146,297
32,143,192
16,408,316
69,177,72
86,144,347
69,212,287
78,143,145
32,141,228
73,142,154
70,179,348
32,146,161
89,108,237
79,216,135
85,108,144
82,196,202
32,143,187
87,181,156
69,179,77
82,213,258
69,214,145
32,144,399
79,138,145
78,143,141
32,146,81
65,178,151
32,114,220
68,139,216
73,144,72
69,181,202
84,173,313
32,183,600
89,109,116
79,145,132
85,89,109
32,180,291
67,154,237
79,149,71
85,143,251
76,145,224
68,254,341
32,106,217
78,76,105
79,268,177
84,178,177
32,181,199
82,178,164
69,217,144
83,364,509
73,144,109
83,184,151
84,143,187
32,130,168
79,138,149
82,168,99
68,179,177
69,252,222
82,144,104
73,143,143
78,146,240
71,144,146
32,142,205
84,147,163
72,68,105
69,251,195
73,178,70
82,178,364
32,178,142
87,181,392
79,142,150
78,107,198
68,177,115
69,217,348
82,145,103
70,179,342
85,176,76
76,48,224
32,151,681
68,175,263
73,144,109
83,67,186
72,146,492
69,213,140
83,178,262
190,177,273
32,145,183
16,183,407
73,61,141
32,146,718
87,184,242
79,145,210
85,109,183
76,207,198
68,68,112
32,144,296
82,183,226
69,218,181
67,110,126
79,149,71
77,374,246
8,1322,851
16,284,618
73,112,99
32,140,206
69,177,181
83,180,287
80,29,265
69,473,111
83,181,376
8,871,827
67,143,268
73,147,320
65,178,122
76,135,109
89,142,188
32,175,304
76,142,162
79,106,146
86,146,492
69,214,247
32,100,142
84,142,159
72,109,143
69,252,202
73,175,110
82,183,147
32,143,142
76,179,103
65,144,190
90,649,549
65,181,546
71,146,264
78,108,222
65,325,227
32,140,196
65,178,161
78,105,107
68,219,189
32,143,75
87,249,472
79,182,110
85,109,110
76,215,224
68,181,182
32,177,184
82,150,192
69,213,142
67,219,235
79,151,71
77,146,317
69,176,111
78,143,195
68,184,115
32,141,224
73,144,157
84,99,7
32,146,255
72,144,192
73,183,163
71,16,217
72,146,222
76,144,147
89,139,259
190,140,362
32,178,195
16,181,407
65,144,325
78,110,141
79,145,243
84,145,115
72,112,124
69,180,195
82,143,216
32,17,183
79,105,147
70,147,91
32,142,132
77,111,221
89,69,287
32,178,242
70,200,458
65,199,226
86,141,339
79,183,141
82,180,247
73,4,137
84,183,235
69,212,171
32,179,236
76,216,265
85,143,261
67,181,331
8,788,1119
78,111,364
67,217,277
72,107,109
32,143,192
68,219,206
73,144,103
83,184,213
72,109,108
69,205,140
83,181,293
32,140,144
73,141,154
83,181,153
32,145,331
84,181,198
72,112,108
69,219,182
32,180,28
65,180,135
78,108,75
73,181,487
8,107,919
84,178,136
73,145,38
189,947,412
80,134,215
65,215,225
83,217,102
84,183,352
65,15,318
32,144,228
8,799,851
32,138,98
83,248,187
65,183,219
76,386,64
65,183,217
68,179,209
190,109,179
32,108,183
16,333,768
84,145,141
72,111,239
69,142,72
32,180,219
80,144,244
82,179,180
69,170,183
83,74,317
69,176,278
78,144,211
84,182,162
65,219,220
84,175,215
73,147,39
79,143,109
78,184,141
32,144,238
73,145,155
83,140,153
32,142,130
70,178,288
65,180,226
78,110,105
84,178,164
65,178,244
83,106,291
84,144,360
73,146,146
67,144,237
32,144,280
65,181,179
78,74,106
68,183,179
32,143,205
84,174,147
72,74,145
69,204,180
32,177,181
68,178,280
82,175,193
69,218,137
83,178,328
73,178,251
78,145,235
71,141,217
32,175,250
73,144,322
83,217,151
32,71,162
84,144,244
65,327,245
78,75,102
84,178,282
73,141,262
76,218,163
73,143,76
90,734,253
73,177,131
78,171,222
71,141,204
190,151,362
32,140,274
16,253,768
89,141,234
79,179,154
85,106,144
8,77,991
16,183,422
84,142,146
72,111,299
69,218,74
32,180,181
65,179,765
84,107,204
77,106,246
79,141,71
83,213,278
80,142,277
72,144,271
69,218,144
82,181,104
69,216,121
32,145,224
73,120,154
83,135,8
32,143,350
82,144,780
69,217,144
76,104,236
65,143,145
88,840,370
69,213,170
68,209,323
32,104,150
65,218,193
78,74,179
68,184,176
32,105,223
70,88,261
82,178,378
69,171,139
73,147,106
8,3,1005
73,143,110
69,212,202
78,109,378
68,179,214
76,215,880
89,112,450
32,141,272
65,144,131
78,74,109
68,243,22
32,107,182
89,104,232
79,180,149
85,143,109
32,54,40
70,181,300
69,220,248
76,107,219
32,143,165
76,182,764
73,147,106
75,144,387
69,180,638
32,104,229
89,72,290
79,146,137
85,74,103
222,140,792
82,179,180
69,217,231
32,77,215
65,182,111
32,139,231
80,144,263
65,179,195
82,210,17
84,142,159
32,143,256
79,138,190
70,138,368
32,110,247
84,173,149
72,144,109
69,215,140
73,145,106
82,145,181
32,146,147
70,142,261
65,215,129
77,146,118
73,145,143
76,179,168
89,145,64
190,146,1098
32,146,236
16,253,682
73,181,111
32,144,288
87,214,143
79,146,171
85,108,110
76,104,224
68,163,152
32,178,150
72,144,192
73,178,154
71,141,146
72,144,108
76,215,273
89,142,9
32,140,289
82,178,730
69,209,106
67,181,269
79,151,73
77,111,263
69,176,111
78,70,141
68,217,213
32,143,110
84,177,150
