VK,HT,FT
16,215,-1
84,100,85
72,129,82
69,150,323
32,86,151
79,81,418
84,111,152
72,90,93
69,82,253
82,335,155
32,96,84
78,77,219
73,139,174
71,469,10
72,94,107
84,112,251
188,202,985
32,114,195
77,47,106
89,771,769
32,105,108
70,122,0
8,512,443
71,592,835
73,130,22
82,155,67
76,61,212
70,85,281
82,43,390
73,75,296
69,148,39
78,152,231
68,78,165
32,117,116
87,554,998
65,74,162
83,132,176
32,114,117
67,63,0
82,43,80
65,133,126
86,137,221
73,165,152
78,80,152
71,570,459
32,60,0
16,160,120
73,173,108
84,137,76
65,116,276
76,143,161
73,129,162
65,125,157
78,154,0
32,165,118
70,62,312
79,108,165
68,130,181
32,113,123
83,95,197
79,14,57
32,134,17
87,106,615
69,136,131
32,112,45
87,958,441
69,122,111
78,87,0
84,82,131
32,105,31
84,85,109
79,84,84
32,122,104
16,168,239
80,640,951
65,84,176
83,91,95
84,116,155
73,114,132
67,187,141
73,122,87
79,136,157
32,102,145
16,150,138
82,114,305
69,118,271
83,83,149
84,116,166
65,120,151
85,123,114
82,216,175
65,143,123
78,159,592
84,104,120
190,604,203
32,82,201
16,157,208
85,125,1066
83,124,50
85,141,247
65,163,110
76,123,188
89,821,47
32,36,211
16,128,60
73,110,75
32,65,0
8,509,600
190,973,918
32,147,211
16,153,335
85,139,425
83,125,112
85,165,123
65,160,107
76,141,111
73,137,225
8,949,265
89,838,594
32,152,123
16,155,298
32,174,60
8,316,0
16,135,145
73,189,107
32,111,165
65,144,29
77,155,288
32,112,119
83,67,116
75,91,783
69,117,146
80,455,833
84,87,159
73,87,140
67,76,70
65,105,240
76,98,180
32,65,72
79,55,372
70,102,110
32,130,67
16,176,115
73,148,67
84,75,121
65,150,170
76,131,75
73,134,148
65,141,68
78,160,181
32,126,142
69,88,206
8,759,281
66,507,846
69,82,365
67,159,252
65,132,67
85,110,986
83,109,15
69,93,160
32,85,143
16,172,207
73,86,86
222,214,212
77,199,135
32,141,0
65,146,492
32,58,106
86,116,143
69,53,217
71,45,992
65,132,282
78,85,430
32,88,50
65,113,11
78,113,504
68,123,321
32,99,114
86,155,118
69,57,216
71,507,928
65,144,227
78,93,35
32,141,68
16,151,238
73,124,76
84,109,92
65,154,226
76,223,108
73,136,170
65,94,250
78,202,0
32,137,100
70,107,0
79,86,0
68,104,68
32,109,127
73,76,64
83,113,119
32,142,17
8,485,460
79,187,197
84,132,209
69,79,200
78,115,0
32,120,118
65,121,74
77,105,115
79,159,178
85,107,695
78,20,136
84,136,231
83,77,83
8,53,248
70,111,148
84,103,202
69,128,306
78,103,288
32,118,97
65,116,0
77,90,143
79,150,0
85,170,0
78,121,194
84,129,90
83,78,113
32,147,263
84,101,78
79,127,274
32,136,107
80,491,162
65,75,208
83,125,130
84,116,130
65,132,223
32,153,181
65,119,211
78,87,295
68,134,450
32,119,135
77,126,66
65,80,127
82,10,227
73,94,71
78,74,0
65,154,43
78,100,0
65,132,1
8,312,710
82,94,438
65,171,79
188,505,351
32,85,170
87,199,205
73,150,14
8,584,510
67,199,202
72,135,87
73,135,82
67,141,248
72,150,123
32,130,137
8,307,249
67,122,375
72,103,76
8,965,599
72,60,236
73,104,141
67,131,206
72,155,152
39,593,840
8,704,661
87,209,357
73,57,154
84,107,177
72,97,145
32,94,176
16,139,187
73,113,97
32,115,29
65,88,239
77,144,187
32,108,0
67,52,359
65,129,59
80,534,321
65,156,408
66,43,36
76,153,123
69,130,11
32,77,91
79,190,333
70,103,360
32,103,245
77,33,110
65,114,109
75,682,200
73,124,18
78,74,164
71,527,97
32,116,84
79,96,110
78,121,244
32,126,110
77,115,175
89,476,224
32,97,243
79,142,192
87,23,468
78,96,177
190,484,851
32,111,92
16,158,149
72,61,97
79,73,91
87,992,707
69,133,204
86,144,279
69,116,106
82,191,216
188,916,732
32,87,178
16,203,43
73,102,68
32,105,101
68,120,429
69,164,0
67,253,431
73,110,200
68,100,127
69,146,122
68,93,248
32,112,106
84,86,85
79,176,144
32,116,210
80,140,505
85,108,82
84,87,133
32,121,133
84,79,157
72,95,160
73,92,95
83,99,112
32,165,19
65,104,316
84,114,169
73,71,109
84,150,50
85,85,592
68,123,378
69,139,203
32,114,176
65,85,190
83,142,87
73,106,113
68,120,104
69,63,271
32,95,93
65,78,8
78,113,225
68,100,546
32,124,127
84,92,92
82,191,242
89,454,87
32,115,212
84,105,104
79,213,44
32,140,181
69,84,63
78,130,440
74,19,808
79,152,102
89,234,0
32,109,50
16,164,41
80,488,748
65,169,255
83,106,156
84,84,131
73,102,109
67,155,143
73,63,116
79,116,146
222,123,199
83,122,148
191,121,831
32,130,225
16,145,285
73,149,92
32,108,98
87,615,439
65,94,116
83,160,67
32,113,201
65,147,0
67,215,286
84,140,115
85,137,0
65,100,68
76,126,98
89,800,4
32,91,0
86,119,200
69,112,0
82,155,261
89,300,248
32,99,47
80,408,504
69,164,32
76,164,111
65,161,72
83,129,133
8,81,0
76,59,166
69,50,200
65,160,124
83,67,174
69,74,10
68,88,135
32,88,101
189,4,430
32,134,0
87,859,886
72,120,49
69,109,0
78,143,0
32,69,69
16,148,225
73,55,72
32,122,210
84,99,137
79,79,278
76,120,99
68,123,26
32,108,106
84,123,76
72,99,135
69,141,257
