VK,HT,FT
17,311,-1
86,898,261
17,101,257
86,800,799
16,211,326
84,653,898
72,121,189
73,7,829
83,811,132
32,88,219
73,554,296
83,604,640
32,117,131
68,204,248
69,350,250
73,235,671
78,346,232
73,114,716
8,780,271
70,571,247
73,93,500
78,595,341
73,127,764
84,672,78
69,507,278
76,525,676
89,445,206
32,150,113
84,616,656
72,636,616
69,673,744
32,118,173
80,575,391
76,901,347
65,942,128
67,609,696
69,880,796
32,114,174
84,295,183
79,277,875
32,110,234
71,44,739
79,408,460
32,152,107
73,410,457
78,121,868
32,105,261
16,740,662
83,805,760
79,505,916
85,673,34
84,538,247
72,145,619
32,121,158
16,79,674
76,376,592
79,498,122
83,917,680
32,113,174
16,961,850
65,628,857
78,449,903
71,293,542
69,736,536
76,234,919
69,616,268
83,154,556
16,797,317
49,318,466
32,104,112
16,463,538
73,117,216
70,605,610
32,117,196
89,494,788
79,922,379
85,383,826
222,947,302
82,716,863
69,70,475
32,114,230
73,463,76
78,284,283
32,111,68
84,919,591
72,778,752
69,598,93
32,130,103
77,447,610
79,212,738
68,419,204
32,108,117
70,480,316
79,674,649
82,585,106
32,95,131
83,62,43
79,205,34
77,682,80
69,478,296
84,956,13
72,215,324
73,910,812
78,3,333
71,994,300
32,116,121
71,244,986
79,557,382
68,221,591
188,889,661
32,206,156
83,14,889
87,817,539
73,878,725
78,539,713
71,12,898
32,134,131
84,669,605
79,392,871
32,110,228
16,109,457
78,441,63
65,708,177
72,361,195
77,709,420
32,94,112
16,198,846
83,781,995
65,805,987
78,645,365
32,1,212
16,775,419
75,603,793
79,861,898
82,277,624
69,202,624
65,654,356
78,198,612
8,228,253
65,112,872
78,530,680
32,134,139
16,129,717
66,647,736
81,49,144
190,280,789
32,138,174
16,563,141
84,771,178
72,562,948
69,893,876
73,553,236
82,838,892
32,117,134
77,674,356
69,55,321
65,690,814
84,491,463
32,108,131
73,695,846
83,868,947
32,116,106
79,63,346
85,498,882
84,467,981
32,97,131
79,119,610
70,997,584
32,72,124
84,593,627
72,580,702
73,235,288
83,116,124
32,153,120
87,996,296
79,82,224
82,350,514
76,446,829
68,881,542
188,50,556
32,96,120
73,667,57
84,979,999
222,142,290
83,537,439
32,111,70
83,292,235
85,72,721
66,260,770
32,128,72
80,217,443
65,408,690
82,341,709
32,118,162
84,443,338
79,896,291
32,137,131
78,455,583
79,954,864
78,439,68
69,939,197
190,773,757
32,92,118
16,285,299
84,345,332
72,421,117
69,882,751
32,23,119
80,269,468
8,799,923
16,758,514
84,104,242
72,581,171
69,376,176
32,134,110
80,520,906
69,319,931
79,351,846
80,476,86
76,699,614
69,465,732
32,97,138
87,825,869
79,3,491
82,985,251
75,408,702
73,232,530
78,773,830
71,713,193
32,96,108
84,764,682
72,3,367
69,238,679
82,6,936
69,726,389
32,66,174
65,280,489
82,177,102
69,138,221
32,83,110
65,420,402
76,861,167
87,520,115
65,117,501
89,33,293
83,935,677
32,84,112
83,463,110
85,73,142
80,151,308
69,493,764
82,28,702
32,115,157
70,896,500
73,950,846
8,808,809
82,496,638
73,86,730
69,217,583
78,901,148
68,817,488
76,372,808
89,286,672
32,137,131
65,480,279
78,349,155
68,195,596
32,103,131
75,111,801
73,190,485
78,405,467
68,142,324
188,465,135
32,96,112
84,838,153
72,78,261
69,453,709
89,739,982
32,149,107
77,744,914
65,977,234
75,207,926
69,420,26
32,98,148
84,369,293
72,641,582
69,456,54
32,118,113
69,44,678
88,147,306
80,830,829
69,283,47
82,141,160
73,154,652
69,737,66
78,267,514
67,550,630
69,824,797
32,145,112
79,114,995
70,275,301
32,125,153
69,609,571
65,658,485
84,8,469
73,764,873
78,161,166
71,126,949
32,118,177
65,772,10
83,586,590
84,60,252
32,142,1253
8,153,218
84,685,928
32,111,1048
84,886,213
72,98,646
69,317,829
32,164,110
82,696,993
69,923,608
83,715,642
84,472,468
65,140,909
85,28,261
82,362,951
65,139,17
78,92,930
84,145,724
32,132,1124
87,759,722
79,982,97
82,447,585
84,84,654
72,357,87
87,918,729
73,628,557
76,288,72
190,511,36
69,554,569
32,117,106
16,401,562
76,397,412
65,138,869
83,726,216
84,496,260
37,228,782
8,177,655
72,112,535
73,198,274
76,694,381
39,962,491
190,84,860
35,49,231
32,254,87
84,491,487
73,180,806
77,632,993
69,494,660
32,122,109
16,196,954
73,393,496
32,96,110
87,257,301
65,528,126
83,180,917
32,96,116
84,403,153
72,141,424
69,829,208
82,222,539
69,71,906
32,170,125
16,635,735
73,643,757
32,274,105
66,561,291
79,471,724
8,65,340
79,20,606
85,363,724
71,35,423
72,668,389
84,932,688
32,81,112
65,878,43
32,95,236
67,922,966
79,205,607
85,3,916
80,435,39
76,519,54
69,239,958
32,255,177
70,423,262
82,26,975
73,290,228
69,820,67
78,254,652
68,826,691
83,617,792
32,119,107
79,545,70
70,989,235
32,247,131
77,8,844
73,724,229
78,328,155
69,682,223
32,96,231
8,860,737
65,247,228
78,552,202
68,65,32
32,83,131
78,650,336
79,299,573
87,866,298
32,117,119
84,115,680
72,404,799
69,164,492
89,970,331
32,117,174
87,774,112
65,199,538
78,109,72
84,208,732
32,129,109
84,535,973
79,562,194
32,117,129
71,232,413
79,913,121
32,131,176
66,752,815
65,675,618
67,17,80
75,839,918
32,150,107
69,960,942
86,765,118
69,740,551
82,603,316
89,527,118
32,118,807
87,147,742
69,429,390
75,585,436
69,465,20
78,976,126
68,870,815
190,279,480
32,117,174
16,734,364
73,13,145
84,808,140
32,41,112
82,502,838
69,635,301
65,649,119
76,418,922
89,385,451
