VK,HT,FT
16,382,-1
17,518,115
16,302,317
66,106,179
65,195,164
78,95,248
71,99,130
75,98,198
79,97,200
75,102,306
32,110,225
66,96,258
16,302,317
8,190,449
66,88,631
81,106,330
32,111,162
73,102,225
83,103,121
32,107,125
8,648,678
32,104,588
65,123,230
32,103,125
83,119,174
77,96,141
65,119,138
76,277,122
32,124,253
16,276,281
84,102,171
72,94,170
65,115,126
73,94,299
32,106,173
82,121,195
69,115,112
83,122,196
85,91,158
82,106,162
84,101,241
8,239,467
84,142,365
65,145,143
85,100,241
69,106,178
82,115,127
8,369,478
82,114,378
65,122,192
78,103,155
84,100,155
32,106,146
76,90,233
79,124,189
67,105,119
65,115,168
84,91,180
69,118,157
68,102,218
32,103,156
73,103,163
78,106,192
32,107,190
84,98,109
72,94,98
69,99,97
32,107,102
16,203,244
86,100,211
66,95,262
8,259,454
79,118,587
78,113,152
83,110,157
32,130,180
16,294,296
83,114,182
8,382,490
80,132,432
76,111,173
65,105,96
90,109,312
65,124,399
32,103,213
73,104,354
78,105,135
32,108,121
84,98,109
72,94,98
69,99,97
32,107,102
83,105,291
77,96,141
65,119,138
76,277,122
32,124,253
67,106,257
73,98,163
84,71,150
89,86,140
32,98,140
79,92,226
70,93,113
32,103,117
16,250,198
87,114,253
65,119,168
76,155,108
78,105,161
85,98,238
84,99,134
188,109,284
32,109,121
16,238,361
67,117,149
65,115,157
188,97,553
190,102,343
32,152,219
8,497,686
188,104,516
190,102,343
32,152,219
8,497,686
190,97,438
32,106,211
16,270,235
84,103,117
72,86,144
69,100,127
32,110,139
66,83,203
85,102,113
73,104,154
76,183,207
68,97,123
73,100,135
79,128,144
78,117,149
8,378,493
78,103,524
71,99,130
32,111,141
73,101,281
83,103,121
32,107,125
81,109,342
85,113,137
73,114,152
84,106,152
69,113,161
32,108,132
83,106,252
77,96,141
65,119,138
76,277,122
32,124,253
65,104,263
78,101,129
68,103,115
32,102,109
83,109,255
69,139,182
65,134,188
84,118,237
83,109,194
32,104,165
51,853,851
48,101,228
32,115,321
80,104,267
69,120,118
79,73,95
80,117,88
76,92,124
69,90,97
32,100,124
65,120,317
84,100,247
32,102,96
77,99,156
79,121,157
83,105,170
84,114,114
188,109,284
32,109,121
87,110,319
72,109,109
73,106,96
76,102,194
69,100,126
32,111,117
84,97,170
72,99,99
69,102,126
32,104,114
76,111,208
79,151,180
67,105,119
65,115,168
84,91,180
73,108,88
79,102,100
78,93,158
32,110,177
79,107,196
70,92,119
32,102,119
84,99,162
72,91,101
73,107,141
83,110,102
32,107,136
82,134,261
69,111,107
83,122,200
84,110,245
82,105,206
8,314,494
65,129,478
85,103,154
82,108,185
65,121,188
78,101,157
84,100,142
32,106,148
73,109,256
83,101,115
32,100,118
83,106,277
77,96,141
65,119,138
76,277,122
188,121,402
32,118,142
84,99,233
72,89,105
69,97,103
73,102,165
82,95,122
32,100,130
70,87,377
76,93,162
65,113,147
86,101,170
79,109,154
82,102,175
32,112,131
73,101,375
83,96,145
32,120,123
73,97,169
77,150,169
69,108,117
78,95,154
83,90,206
69,122,181
16,500,353
49,100,230
32,205,339
8,538,557
32,104,588
16,305,257
87,114,253
79,104,119
78,104,126
68,99,102
69,102,177
82,95,128
70,124,287
85,99,159
76,168,221
89,98,207
32,111,170
80,112,296
8,380,452
70,104,441
76,92,155
65,113,147
86,101,170
79,109,154
82,102,175
73,109,136
69,100,131
8,396,480
69,112,574
68,103,221
32,110,156
78,96,200
79,114,158
68,96,262
76,116,196
69,105,153
83,171,213
32,113,266
65,122,186
78,107,126
68,99,126
32,100,104
68,93,469
69,99,233
76,105,157
73,100,198
67,104,223
73,105,163
79,137,167
85,103,145
83,107,144
76,102,156
89,98,207
32,111,170
77,95,271
65,112,110
68,82,172
69,102,180
32,106,134
82,111,276
8,202,427
70,104,441
82,105,198
73,97,126
69,97,122
68,82,208
32,95,157
82,121,293
73,87,161
67,110,187
69,109,150
32,101,235
65,138,214
84,100,247
32,102,96
82,119,253
69,112,110
83,122,196
79,134,115
78,111,160
65,112,160
76,133,145
66,95,262
76,100,166
8,431,459
65,129,478
66,100,192
76,107,162
69,104,123
32,128,214
80,100,366
82,99,141
73,108,218
67,115,142
69,107,152
83,109,153
190,99,320
32,154,169
16,204,318
84,94,178
69,116,174
8,396,480
72,101,415
69,109,127
89,97,148
32,108,149
72,97,213
65,114,75
86,95,132
69,97,114
32,100,110
68,102,259
65,125,150
73,96,152
76,109,215
89,104,196
32,113,121
76,100,222
85,92,230
78,100,243
67,110,206
72,104,104
32,123,268
83,100,258
80,100,161
69,100,162
67,100,339
73,85,199
65,109,138
76,128,171
83,110,185
32,249,265
67,107,351
79,144,112
77,116,117
8,205,453
32,106,582
67,106,257
79,124,102
77,116,117
66,93,296
78,105,161
79,114,179
8,290,443
79,100,520
83,113,187
32,109,201
17,518,113
84,104,185
72,96,120
65,115,126
84,93,108
32,100,134
73,100,170
78,111,120
67,96,124
76,123,122
85,104,184
68,90,100
69,109,192
32,111,140
84,102,197
72,99,99
69,102,126
73,107,146
82,95,122
32,100,130
70,87,377
65,122,247
77,98,157
79,113,162
85,90,156
83,106,151
32,101,154
16,294,296
84,102,171
8,132,499
16,290,554
84,116,189
72,101,186
65,115,126
73,94,299
32,106,173
67,113,159
72,93,117
73,108,113
67,101,104
75,93,123
69,95,167
78,93,113
8,378,493
66,88,631
8,259,454
16,298,595
66,106,179
81,106,330
8,388,494
66,88,631
81,106,330
8,388,494
66,88,631
81,106,330
32,111,162
67,106,257
72,93,117
73,108,113
67,101,104
75,93,123
69,95,167
78,93,113
32,107,183
84,99,150
72,87,111
65,114,121
84,91,97
32,99,119
67,113,248
79,117,87
77,116,117
69,110,100
83,114,185
32,96,147
87,109,191
73,97,125
84,108,134
72,106,103
32,108,144
65,115,143
32,105,152
83,119,174
65,117,194
76,122,142
65,112,221
68,103,277
32,110,192
65,117,182
78,103,161
68,105,118
32,99,111
80,109,288
79,109,174
82,87,127
84,98,188
73,135,104
79,137,118
78,114,138
32,112,171
79,107,196
70,92,119
8,357,418
79,118,587
70,121,139
32,108,125
70,91,256
82,106,193
73,95,122
69,97,123
68,82,208
32,95,157
82,121,293
73,87,161
67,110,187
69,109,150
70,111,249
79,153,131
82,98,141
8,190,431
32,106,582
70,101,260
79,159,121
82,100,143
32,106,116
85,95,261
78,99,186
68,101,114
69,102,177
82,95,128
32,114,164
83,114,225
69,107,183
8,396,480
67,118,499
8,247,468
86,109,417
69,103,142
78,106,122
32,118,144
68,107,322
79,112,123
76,131,225
65,113,147
82,97,147
83,114,280
8,382,490
76,116,483
8,431,459
76,101,456
65,113,147
82,97,147
83,114,280
68,103,196
8,322,492
16,298,595
49,109,185
8,388,494
188,105,569
32,130,158
78,112,310
79,114,158
32,106,214
87,103,166
65,114,170
89,104,176
32,102,102
84,101,129
72,104,139
65,114,121
84,91,97
32,99,119
67,113,248
65,116,128
78,112,108
32,105,147
66,94,215
69,138,143
32,99,105
66,97,272
69,141,119
65,109,170
84,110,165
16,284,219
49,95,172
32,205,339
16,285,456
65,127,179
16,302,317
8,190,449
65,129,478
78,115,152
79,114,179
84,95,119
72,95,104
69,120,84
82,112,97
32,102,150
76,100,275
85,92,230
78,100,243
67,110,206
72,104,104
32,123,268
83,100,258
80,100,161
69,100,162
67,100,339
73,85,199
65,109,138
76,128,171
32,124,253
73,139,126
83,103,121
32,107,125
65,109,214
32,103,100
70,104,321
79,159,121
85,104,123
82,103,140
32,107,141
73,101,307
84,94,134
69,111,167
77,107,159
32,110,101
67,106,257
79,124,102
77,116,117
66,93,296
73,104,187
78,112,179
65,109,231
84,108,170
73,114,133
79,122,128
78,110,168
32,110,177
84,102,142
72,88,109
65,114,121
84,91,97
32,99,119
67,113,248
79,117,87
77,116,117
69,110,100
83,114,185
32,96,147
87,109,191
73,97,125
84,108,134
72,106,103
32,108,144
65,115,143
78,104,118
32,111,181
69,94,187
71,120,250
82,120,197
79,127,152
76,231,227
32,118,260
70,83,262
