VK,HT,FT
16,396,-1
74,558,867
79,112,175
72,155,270
78,136,153
89,130,599
222,21,739
83,122,386
32,125,161
16,302,999
80,779,964
73,95,180
90,970,531
65,105,289
32,137,168
73,96,111
83,132,231
32,106,119
65,103,222
32,110,91
71,831,655
82,70,206
69,158,160
65,156,1072
84,97,68
32,173,72
80,593,936
76,151,321
65,151,1080
67,566,827
69,113,149
32,112,138
84,113,135
79,174,196
32,95,11
69,138,91
65,122,430
84,113,161
190,281,740
32,158,95
16,596,625
84,101,87
72,8,128
69,115,123
89,99,251
32,113,95
72,112,134
65,136,191
86,826,879
69,143,343
32,83,97
83,96,286
69,124,1
65,130,160
70,549,792
79,180,122
68,140,740
32,128,129
84,105,471
72,143,118
65,127,378
84,99,1014
32,125,319
8,775,295
84,81,128
32,99,130
84,96,183
65,128,160
83,143,201
84,133,106
69,139,161
83,123,288
32,130,999
65,111,175
66,324,681
83,127,576
79,68,220
76,284,90
85,121,138
84,114,141
69,124,98
76,268,262
89,99,657
32,94,56
65,111,176
77,274,555
90,669,48
73,137,145
78,107,164
71,100,913
8,516,147
65,115,263
90,748,978
73,116,180
78,108,300
71,522,413
188,315,124
32,133,319
87,415,523
73,93,208
84,96,86
72,102,36
32,145,315
71,784,324
79,194,182
68,128,983
32,91,23
80,695,125
79,123,88
82,129,489
84,103,99
73,134,171
79,133,168
78,138,237
83,96,308
32,116,402
84,131,114
79,116,85
16,307,799
49,843,690
32,106,304
16,334,665
84,102,91
72,150,112
69,115,174
89,121,289
32,142,161
8,905,375
16,293,633
73,146,135
84,106,273
32,107,270
73,136,167
83,122,552
32,132,996
65,151,137
76,125,317
79,169,162
8,608,784
83,135,288
79,116,250
32,116,236
65,128,307
32,117,143
70,925,84
65,128,182
77,411,954
73,134,186
76,112,294
89,118,270
32,156,28
79,134,122
87,913,918
78,107,285
69,120,355
68,95,198
32,105,182
66,296,163
85,153,79
73,134,169
83,93,201
78,134,116
69,114,155
83,144,198
8,765,599
73,135,90
78,100,197
69,92,92
83,131,373
8,707,821
83,120,198
73,141,373
78,108,310
69,132,205
83,119,198
32,105,93
84,93,541
72,133,97
65,115,165
84,95,156
32,138,219
83,160,496
69,210,118
82,102,357
86,89,452
69,117,283
83,132,199
32,105,297
66,324,591
82,127,250
69,129,109
65,148,274
75,302,196
70,999,714
65,135,296
83,125,120
84,99,135
32,143,395
77,355,357
69,114,20
65,128,90
76,146,237
75,158,737
8,242,78
83,129,138
32,158,171
65,128,403
76,28,104
32,117,319
68,90,862
65,116,122
89,115,219
32,116,183
76,115,322
79,39,218
78,281,143
71,596,919
190,746,23
32,158,522
16,449,803
78,103,212
79,135,86
84,96,90
32,94,139
84,93,114
79,140,248
32,1245,79
77,398,582
69,114,176
78,120,147
84,105,270
73,62,180
79,173,248
78,140,175
32,113,44
84,96,158
72,116,157
69,115,176
32,118,119
66,687,821
85,120,8
82,135,888
71,81,92
69,133,218
82,95,612
83,130,911
188,47,703
32,95,881
80,287,311
73,122,111
90,62,951
65,143,1
32,145,95
65,102,423
78,134,172
68,87,777
32,104,442
83,129,114
73,134,291
68,91,726
69,119,120
83,130,288
32,128,111
87,334,384
73,68,182
84,79,214
72,15,127
32,108,271
84,108,847
79,310,113
78,150,197
83,110,198
32,128,228
79,122,202
70,48,589
32,11,320
79,194,200
80,833,869
84,99,89
73,100,112
79,140,275
78,109,253
83,27,229
190,430,748
32,132,910
16,22,896
73,111,174
70,913,684
32,129,94
89,103,167
79,123,272
85,163,128
32,113,163
71,286,630
79,68,200
32,105,166
84,89,146
79,123,172
32,99,93
16,420,583
74,532,150
79,179,627
72,117,142
78,108,285
89,97,366
222,872,249
83,128,206
32,130,145
16,308,314
80,608,645
73,134,118
90,721,175
65,112,194
188,318,407
32,101,334
16,259,114
73,139,144
32,102,174
74,822,995
85,145,206
83,139,246
84,107,563
32,92,139
75,402,348
78,103,238
79,195,231
87,712,381
32,132,71
89,127,6
79,140,255
85,123,99
32,112,161
87,312,225
73,135,116
76,143,322
32,120,139
76,152,120
79,125,158
86,527,312
69,152,92
32,83,101
73,133,114
84,113,598
190,80,74
16,41,34
74,414,713
79,160,119
78,147,256
89,121,249
222,353,733
83,131,288
39,363,318
72,108,122
8,871,211
82,112,129
69,134,188
83,118,1041
84,99,621
65,139,189
85,121,264
82,133,166
65,104,183
78,105,238
84,115,107
8,239,29
190,399,304
32,140,260
16,312,68
84,138,125
72,153,101
69,115,220
32,103,144
83,93,288
84,140,216
65,151,718
70,389,130
32,107,298
73,173,234
83,115,288
32,120,95
80,733,326
69,97,156
82,121,388
83,129,145
79,119,116
78,185,232
65,140,372
66,874,716
76,103,231
69,114,165
32,105,107
65,148,134
78,131,127
68,91,648
32,105,139
70,997,250
82,65,136
73,114,161
69,139,105
78,109,12
68,94,240
76,57,322
89,44,641
32,124,97
87,544,756
72,86,85
69,122,99
78,107,156
32,127,162
89,127,628
79,135,121
85,121,114
32,117,228
86,597,855
73,95,657
83,153,112
73,95,126
84,113,217
190,109,690
32,141,94
39,160,675
8,392,682
16,380,533
74,254,367
79,164,585
72,112,146
78,100,139
8,765,183
16,359,114
74,879,732
79,123,438
72,5,159
78,103,234
8,651,898
78,126,133
89,132,58
222,552,312
83,92,288
32,103,323
72,112,142
65,123,165
83,94,297
32,102,162
65,136,147
32,164,64
87,395,513
73,120,200
68,88,748
69,112,120
32,119,75
77,92,608
69,133,212
78,118,147
85,89,157
32,105,168
79,288,269
70,366,274
8,56,726
83,114,647
188,535,582
32,132,402
80,748,405
65,163,155
83,127,224
84,115,90
65,119,372
83,143,21
188,290,315
8,990,493
79,175,75
70,573,377
32,145,998
69,158,120
86,671,981
69,123,111
82,97,875
89,105,218
84,98,134
72,73,57
73,162,738
71,711,944
78,131,129
32,118,161
70,96,395
82,132,89
79,190,128
77,775,359
32,150,107
83,98,1104
65,128,190
76,142,335
65,124,315
68,141,892
32,102,161
84,95,128
32,97,150
8,128,902
79,123,296
32,113,402
70,279,374
73,20,86
82,94,199
8,760,821
82,80,386
73,96,183
69,115,251
68,26,825
32,163,172
77,855,368
85,134,434
83,127,186
72,120,127
82,112,300
79,199,220
77,590,153
83,144,254
32,121,310
16,307,367
73,144,98
70,627,779
32,139,509
89,128,616
79,135,132
85,118,116
32,105,394
83,92,245
84,97,583
73,137,676
76,265,277
32,129,167
65,128,302
82,129,144
69,115,210
78,132,151
222,317,97
84,123,314
32,117,275
70,333,29
85,110,136
76,142,381
188,166,557
32,25,188
16,312,53
74,748,753
79,140,112
72,118,166
78,134,237
89,121,94
83,105,199
32,96,303
8,582,516
222,835,715
83,1,185
32,160,192
72,111,106
65,102,115
83,140,719
32,114,161
65,136,185
32,110,91
83,154,693
69,117,215
76,121,97
69,66,367
67,905,586
84,102,691
73,134,87
79,75,95
78,119,447
32,119,191
79,148,200
70,48,380
32,111,319
83,138,807
8,813,172
68,139,209
69,91,200
83,24,410
69,124,202
82,102,297
84,128,317
83,115,889
32,91,91
84,37,273
72,111,257
65,140,394
84,124,106
32,107,322
87,507,717
73,133,181
76,139,322
32,112,172
77,487,329
69,114,165
76,138,381
84,82,79
32,127,152
89,128,238
79,123,122
85,163,146
82,67,220
32,110,130
72,87,119
69,35,123
65,139,142
82,32,132
84,107,208
190,26,99
72,152,294
79,140,132
77,231,161
69,116,92
65,163,114
68,90,95
69,161,282
32,136,19
8,313,374
32,122,125
8,602,590
32,127,366
77,526,105
65,102,303
68,86,603
69,114,165
32,85,287
16,309,498
65,130,303
8,973,932
16,278,482
83,125,288
79,140,219
68,32,950
65,141,375
32,116,0
65,105,141
78,101,159
68,161,207
32,120,95
65,137,23
76,142,101
67,51,714
79,98,284
72,147,91
79,164,225
76,130,99
32,140,141
65,129,176
82,0,183
69,108,410
32,134,78
65,160,184
76,240,104
83,114,199
79,147,252
32,106,105
65,139,144
86,307,731
65,122,512
73,95,144
76,138,80
65,131,585
66,122,394
76,95,329
69,115,341
190,505,597
32,126,1005
83,119,97
84,125,110
69,133,90
65,114,542
77,686,896
69,124,49
68,90,811
32,1494,162
82,99,145
73,122,185
67,161,624
69,158,202
188,900,54
84,96,755
79,111,168
32,140,90
83,142,104
79,135,250
85,160,178
80,800,412
83,144,291
188,429,927
