VK,HT,FT
20,72,-1
73,65,90
20,70,60
32,86,194
72,64,144
65,74,97
86,79,240
69,77,193
32,70,195
66,65,256
69,73,179
78,100,184
32,69,167
84,70,202
79,65,111
32,72,194
65,69,144
32,86,194
76,62,215
79,65,135
84,67,187
32,72,224
79,77,279
70,82,300
32,86,194
66,65,256
65,74,197
68,70,257
32,68,129
20,65,240
84,72,99
20,72,72
72,63,170
65,74,97
73,65,287
32,86,194
82,66,259
69,64,198
83,115,317
84,75,361
65,74,197
85,73,397
82,73,201
65,76,347
78,68,129
84,214,144
83,81,255
32,98,173
73,70,328
78,70,62
32,69,181
77,82,328
89,64,176
32,68,250
84,73,208
72,64,110
73,69,234
82,69,186
84,79,198
89,64,176
32,68,250
84,73,208
69,73,179
8,188,641
89,64,176
69,73,179
65,86,218
82,69,186
32,68,161
76,62,215
79,65,135
86,79,240
69,77,193
32,70,195
65,69,144
70,82,300
65,74,197
73,65,287
82,69,186
32,68,161
87,78,179
8,310,586
79,80,188
70,82,300
32,86,194
20,65,240
84,72,99
20,72,72
72,63,170
65,74,97
8,310,586
20,72,170
80,72,289
20,72,170
65,74,197
68,70,257
32,68,129
20,65,240
84,72,99
20,72,72
72,63,170
73,69,234
189,863,263
32,86,194
66,65,256
85,74,115
84,66,120
32,68,176
84,73,208
72,64,110
73,69,234
83,76,154
32,185,205
73,70,328
83,76,154
32,185,205
78,80,239
79,76,63
84,70,226
32,72,224
79,77,279
78,82,74
69,73,179
32,70,195
79,77,279
70,82,300
32,86,194
84,73,208
72,64,110
69,73,209
77,82,328
17,733,379
49,796,381
16,587,796
49,589,795
16,411,459
32,86,194
20,65,240
87,66,160
20,75,119
69,55,84
32,60,261
87,83,189
69,85,128
82,73,235
69,67,188
32,82,140
84,73,208
82,69,186
65,76,347
86,79,240
69,77,193
76,78,174
73,69,234
78,70,62
71,63,82
32,86,194
70,72,416
82,69,186
79,80,188
77,86,347
32,86,194
79,77,279
85,71,51
84,68,112
32,68,176
8,287,586
32,86,194
79,77,279
70,82,300
32,86,194
84,73,208
79,65,111
87,74,185
78,77,147
32,69,181
65,69,144
78,58,110
68,68,87
32,69,112
84,70,141
72,58,88
73,69,234
83,76,154
32,185,205
82,66,259
69,64,198
83,115,317
84,75,361
85,71,194
82,73,201
65,76,347
78,68,129
84,214,144
32,71,177
67,86,418
65,74,197
85,73,397
71,65,115
72,64,130
84,69,124
32,71,177
77,82,328
89,64,176
32,68,250
69,61,244
89,64,176
69,73,179
190,54,405
32,86,194
20,65,240
73,65,87
20,67,56
84,71,110
32,71,177
87,74,131
65,63,194
83,72,150
32,63,148
80,81,393
65,74,197
83,72,152
84,74,301
32,71,177
83,73,383
69,73,189
86,84,192
69,84,170
78,100,184
32,69,167
65,69,144
78,58,110
68,68,87
32,69,112
20,65,240
73,65,87
20,67,56
32,86,194
87,78,179
65,75,190
83,72,150
32,63,148
83,73,383
84,74,301
65,74,197
82,69,186
86,79,240
73,69,234
78,70,62
8,310,586
73,69,234
78,70,62
71,63,82
188,56,543
32,388,262
83,73,383
79,80,188
32,72,194
20,65,240
73,65,87
20,67,56
32,86,194
70,72,416
73,69,234
71,115,124
85,71,194
82,73,201
69,63,182
68,69,186
32,66,136
87,78,179
72,64,144
89,64,176
32,68,250
78,80,239
79,76,63
84,70,226
16,822,593
49,549,396
32,86,194
20,65,240
73,65,87
20,67,56
32,86,194
65,69,144
77,82,328
