VK,HT,FT
16,191,-1
84,110,222
72,77,52
73,102,206
83,101,106
32,82,69
16,190,443
67,103,286
72,130,91
73,109,96
67,109,145
189,563,817
70,110,222
73,92,79
76,111,80
189,49,8
16,217,444
65,115,96
32,80,121
76,59,269
79,115,91
67,97,180
65,133,112
84,84,78
73,144,96
79,102,97
78,118,92
83,128,150
32,81,143
73,92,150
83,116,123
32,82,74
79,100,132
78,134,98
69,117,104
32,79,109
79,98,138
70,122,100
32,87,60
84,110,273
72,77,74
69,96,110
32,86,84
66,73,195
69,109,233
83,131,117
84,104,130
32,288,99
16,158,420
73,76,89
222,833,331
86,98,145
69,110,162
32,98,62
69,107,360
86,88,194
69,92,186
82,100,69
32,93,97
69,117,190
65,136,145
84,74,123
73,113,157
78,109,73
8,403,507
69,97,175
78,109,77
32,111,105
65,116,289
84,97,154
190,93,288
32,108,103
16,154,395
84,91,138
72,91,78
69,95,92
32,90,79
82,125,162
69,118,88
83,103,118
84,100,104
65,120,165
85,86,138
82,109,103
65,129,245
78,96,150
84,95,171
32,262,98
73,84,218
83,116,103
32,94,99
65,120,241
76,116,112
87,135,146
65,139,95
89,94,119
83,103,112
32,98,125
86,130,201
69,101,150
82,92,65
89,103,90
32,98,94
67,103,161
76,105,130
69,106,221
65,145,146
78,98,106
32,116,186
65,108,218
78,91,107
68,102,84
32,86,82
87,134,138
69,97,88
76,108,224
32,115,124
79,90,149
82,94,125
71,87,326
65,135,99
78,102,103
73,100,116
90,662,460
69,118,186
68,102,207
190,96,241
32,79,98
16,158,190
79,115,89
78,120,128
69,98,220
32,97,52
79,94,155
70,122,99
32,87,52
84,104,258
72,82,74
69,105,190
32,94,88
77,122,143
79,119,99
82,101,135
69,95,91
32,79,70
77,115,116
69,102,85
77,122,268
66,97,148
79,129,124
82,100,168
65,109,141
8,584,463
79,121,121
82,94,133
65,111,184
66,81,242
76,111,208
69,114,159
32,98,84
65,119,368
83,131,136
80,124,141
69,102,216
67,94,227
84,98,144
83,116,186
32,99,128
79,90,147
70,108,110
32,83,65
69,114,179
65,141,157
84,97,106
73,124,136
78,115,96
71,87,172
32,86,106
72,76,131
69,85,101
82,127,94
69,118,93
32,85,96
73,89,154
83,111,104
32,77,92
84,109,183
72,73,68
69,111,164
32,102,86
70,94,200
82,128,89
73,90,88
69,113,163
78,110,73
68,103,74
76,85,111
73,94,139
78,127,103
69,107,224
83,109,132
32,87,104
65,124,159
78,84,111
68,102,64
32,83,81
87,153,156
65,131,79
82,113,95
77,91,204
84,88,195
72,78,144
32,68,126
79,94,155
70,110,103
32,86,58
84,91,105
72,79,62
69,110,139
32,87,85
83,101,201
84,86,164
65,119,140
70,94,234
190,95,298
32,99,120
16,155,481
73,84,79
32,87,68
65,108,228
77,101,215
32,107,100
65,122,297
76,81,144
87,133,142
65,141,111
89,83,115
83,106,176
32,84,146
71,91,302
82,118,180
69,108,89
84,92,130
69,115,94
68,103,179
32,76,97
87,157,154
73,80,95
84,96,169
72,73,177
32,77,82
65,112,147
32,87,105
87,160,133
65,144,97
82,113,122
77,106,156
32,111,93
87,158,193
69,115,194
76,151,272
67,113,140
79,109,90
77,120,189
69,112,235
32,90,74
66,80,390
69,93,128
70,98,207
79,173,69
82,98,113
69,125,88
32,84,48
80,118,196
76,105,161
65,114,189
67,113,173
73,86,197
78,115,93
71,88,167
32,87,70
77,102,237
89,92,143
32,106,82
79,103,131
82,100,160
68,105,128
69,98,161
82,96,78
190,99,289
32,89,83
16,160,477
84,96,228
72,82,69
69,110,101
82,116,88
32,92,89
69,107,433
65,134,119
82,121,125
69,111,105
32,89,51
8,922,686
82,118,158
69,108,100
32,84,164
65,109,194
82,133,120
69,99,95
32,94,93
65,110,353
32,79,121
76,55,226
65,128,99
82,115,111
71,89,318
69,108,164
32,87,49
86,126,149
65,132,159
82,130,98
73,101,199
69,93,224
84,95,118
89,91,181
32,96,90
79,97,133
70,117,108
32,85,58
72,67,123
69,83,95
65,139,146
76,87,205
84,89,213
72,74,166
89,86,107
32,101,92
79,101,146
80,129,142
84,102,171
73,138,119
79,120,111
78,134,76
83,108,105
32,98,141
65,106,280
86,131,138
65,128,234
73,92,171
76,100,80
65,133,229
66,94,118
76,102,188
69,106,193
32,94,119
65,112,434
84,86,81
32,158,90
84,94,250
72,71,74
73,123,170
83,105,91
32,93,89
82,105,128
69,116,82
83,117,125
84,81,166
85,77,150
65,123,117
82,142,107
65,132,205
78,98,165
84,108,226
32,87,134
65,128,280
78,80,118
68,97,81
32,107,87
78,105,108
85,79,66
84,90,151
82,126,142
73,90,85
79,109,89
78,125,90
8,607,400
84,88,199
73,141,80
79,113,131
78,118,127
65,128,238
76,92,224
32,109,152
73,88,185
78,130,63
70,109,169
79,182,72
82,96,182
77,111,273
65,120,202
84,78,106
73,108,111
79,99,117
78,128,88
32,98,131
73,77,133
83,114,93
32,82,76
69,104,462
65,145,124
83,113,138
89,95,133
32,105,119
84,92,235
79,92,116
32,148,144
79,102,117
66,88,138
84,106,90
65,121,281
73,92,140
78,108,82
190,96,383
32,100,83
16,152,356
84,100,196
72,75,159
69,103,107
32,93,79
70,85,203
79,163,71
68,95,107
32,85,130
73,77,195
83,100,128
32,93,85
69,113,472
88,908,708
67,112,220
69,96,140
76,147,300
69,118,168
78,107,71
84,107,208
32,277,166
65,107,211
78,85,102
68,106,61
32,90,90
65,124,178
76,109,136
87,148,202
65,140,131
89,93,100
83,133,116
32,100,149
39,516,617
8,700,491
65,113,235
85,98,160
82,126,106
65,118,104
78,100,156
84,107,152
8,551,597
32,113,68
84,93,193
65,133,170
83,109,135
84,84,125
69,98,231
83,133,141
32,85,136
70,88,231
82,115,99
69,118,103
83,117,120
72,95,57
190,95,248
32,64,73
16,142,386
65,128,208
78,83,117
79,122,95
8,705,409
16,243,296
65,128,159
78,101,176
79,92,112
84,89,207
72,79,162
69,117,119
82,125,97
32,92,116
71,88,122
82,117,204
69,123,101
65,131,237
84,83,255
32,103,217
84,90,271
72,77,79
73,114,114
78,110,96
71,102,133
32,87,109
65,103,166
66,86,345
79,145,127
85,93,64
84,97,143
32,216,130
68,64,218
73,69,93
78,106,63
73,83,140
78,111,96
71,96,142
32,77,73
72,76,244
69,99,103
82,123,91
69,117,101
32,90,150
73,91,169
83,106,109
32,80,86
84,99,146
72,71,73
65,107,115
84,97,51
32,282,100
84,98,154
72,73,71
69,90,117
89,87,93
32,88,107
72,81,227
65,98,107
86,145,134
69,106,134
32,88,81
65,126,445
78,91,114
32,108,190
73,97,160
78,132,68
68,110,65
79,107,97
82,92,170
32,93,157
80,124,185
76,107,169
65,131,120
89,92,118
71,101,160
82,126,174
79,121,125
85,97,71
78,98,196
68,106,109
32,93,89
70,81,201
79,207,77
82,94,106
32,103,107
67,98,167
72,134,153
73,109,104
76,98,82
68,107,233
82,142,138
69,102,96
78,99,65
190,98,306
32,102,88
16,150,406
73,76,74
84,96,137
222,28,990
83,116,135
32,87,108
86,94,223
69,108,185
82,100,59
89,92,85
32,92,114
67,105,161
76,118,126
69,106,204
65,144,179
78,95,156
32,101,106
65,125,305
78,87,126
68,98,60
32,87,90
87,134,160
69,99,139
76,154,227
32,93,76
84,91,180
65,132,206
75,74,265
69,99,189
78,108,89
32,88,125
67,103,184
65,134,199
82,138,128
69,104,96
32,93,178
79,93,136
70,109,99
190,97,307
32,147,69
16,168,498
73,79,84
32,97,71
87,136,156
79,134,115
85,100,63
76,116,166
68,105,213
32,84,129
72,69,151
71,76,86
73,90,155
72,91,82
76,112,147
89,99,118
32,96,90
82,121,168
69,110,101
67,105,293
79,111,125
77,117,272
69,117,122
78,104,72
68,101,130
32,78,88
69,110,258
65,146,137
84,74,90
73,131,89
78,106,93
71,98,120
32,90,98
72,67,193
69,91,108
82,133,84
69,122,94
16,161,306
49,106,212
39,17,833
8,719,609
73,84,188
71,77,243
72,95,229
76,84,143
89,111,131
