VK,HT,FT
16,1120,-1
65,85,101
32,103,237
16,466,755
77,468,290
65,105,139
8,124,149
76,89,150
69,129,125
71,209,103
69,105,204
78,121,162
68,105,133
32,105,276
79,115,194
78,97,197
32,201,233
84,122,173
72,63,145
69,137,89
32,84,133
73,223,193
83,65,260
76,112,415
65,109,147
78,105,331
68,97,71
8,902,67
73,95,231
83,575,257
76,232,115
65,119,161
78,103,189
68,123,189
32,105,141
79,155,80
70,65,133
32,65,125
16,283,471
77,174,982
65,108,159
85,14,232
73,121,77
188,83,418
32,113,125
16,93,68
77,316,426
65,105,237
77,151,880
65,152,262
222,450,176
83,142,172
32,97,268
16,1085,777
70,74,100
73,95,221
83,161,125
72,22,154
32,89,278
16,441,596
72,113,143
79,177,141
85,57,210
83,101,38
69,81,173
188,794,933
32,137,141
76,19,150
79,97,102
67,109,133
65,89,184
84,165,141
69,57,149
68,134,209
32,79,141
73,121,172
78,97,174
32,113,166
84,121,13
72,113,120
69,121,101
32,105,114
83,97,409
77,256,664
65,101,144
76,120,97
32,73,217
70,142,133
73,81,109
83,644,165
72,54,149
73,121,229
78,92,210
71,333,166
32,57,261
86,200,160
73,34,165
76,120,190
65,90,433
71,302,647
69,113,211
32,97,157
84,87,185
85,147,236
82,97,144
78,106,149
69,101,101
68,45,913
32,121,157
84,96,153
79,105,117
85,105,132
82,97,214
73,132,122
83,145,47
84,105,1005
32,113,173
8,717,346
32,140,125
83,89,141
72,104,117
79,177,157
80,114,414
73,155,117
78,110,129
71,18,647
32,89,165
77,969,401
69,81,159
67,24,183
65,105,101
32,105,293
16,736,578
80,117,408
65,89,119
73,89,221
65,129,260
8,78,722
65,81,263
73,33,81
65,89,149
73,223,213
8,999,86
188,956,547
87,705,385
73,126,111
78,105,133
68,19,126
83,97,249
85,113,225
82,77,77
70,70,141
73,121,229
78,138,165
71,484,752
32,121,148
46,943,755
32,130,181
73,97,229
83,118,213
32,113,125
83,97,141
84,121,161
73,148,189
76,83,116
32,81,157
79,114,92
78,81,255
69,158,181
32,127,157
79,110,149
70,18,97
32,105,205
84,113,150
72,50,193
69,113,201
32,105,83
66,183,668
69,81,205
83,104,206
84,128,172
32,105,301
82,137,226
69,97,272
83,148,108
84,97,161
65,113,285
85,39,165
82,105,195
65,145,285
78,113,179
84,69,172
83,111,221
32,113,157
73,89,172
8,111,671
70,97,133
79,39,181
82,105,141
32,145,290
70,73,481
82,129,227
69,81,144
83,97,216
72,106,124
32,105,609
83,105,292
69,97,188
65,105,184
70,89,10
79,126,101
68,135,117
32,121,165
73,121,168
78,105,139
32,105,93
84,105,175
72,105,243
69,153,175
32,124,129
16,297,585
85,113,332
78,120,127
73,113,173
84,67,135
69,105,101
68,126,112
32,105,569
16,295,163
83,89,221
84,177,237
65,105,973
84,91,173
69,51,178
83,104,172
190,358,272
32,121,189
46,106,963
72,95,156
65,161,392
83,11,240
188,141,4
32,105,93
70,102,0
79,169,105
82,97,229
32,105,245
79,63,535
86,503,434
69,105,211
82,129,184
32,113,125
51,941,642
87,551,423
48,611,507
32,121,309
89,969,425
69,98,108
65,145,149
82,98,1
83,386,125
188,11,641
32,105,277
66,157,903
69,88,197
78,57,138
32,167,157
8,60,672
46,507,795
32,97,133
83,89,410
69,105,209
65,105,101
70,98,160
79,124,117
68,105,159
46,176,391
8,445,16
16,321,770
83,631,159
16,277,780
76,108,322
79,97,124
67,88,172
65,140,146
84,113,145
69,81,130
68,105,117
32,178,181
79,150,157
78,113,157
32,105,286
84,142,109
72,73,153
69,129,149
32,105,157
66,117,404
69,128,240
65,129,149
67,68,157
72,105,101
188,108,930
32,89,221
65,120,166
32,121,253
70,102,77
69,113,190
32,88,87
83,364,102
84,67,163
69,57,188
80,39,739
83,97,230
32,105,255
70,97,84
82,103,117
79,162,211
77,136,418
32,97,247
84,122,801
72,97,118
69,118,133
32,105,157
16,412,938
80,944,749
65,153,194
67,51,124
73,113,233
70,94,175
73,113,221
67,123,515
32,121,295
16,267,914
79,97,162
67,118,184
69,137,117
65,98,184
78,80,189
188,660,693
32,105,157
84,104,167
72,112,56
69,121,477
32,105,93
76,113,320
79,89,141
67,105,120
65,129,173
84,97,161
73,81,136
79,80,192
78,57,189
32,89,165
73,127,218
83,273,101
32,166,253
69,153,189
78,67,172
79,177,121
85,165,153
71,36,978
72,93,112
32,81,173
84,146,126
79,113,141
32,81,253
68,122,334
82,129,52
65,89,101
87,857,930
32,105,221
72,97,120
85,113,165
71,892,302
69,153,173
32,94,161
67,105,157
82,97,229
79,89,123
87,65,707
68,102,259
83,89,6
188,242,193
32,97,133
66,2,978
85,105,169
84,134,117
32,105,327
16,327,485
77,849,151
65,42,377
77,423,835
65,117,171
32,113,171
72,57,141
65,154,140
83,57,213
32,151,125
78,107,165
69,121,224
86,897,243
69,81,250
82,97,194
32,170,133
66,269,156
69,57,133
78,113,192
32,89,140
65,124,26
32,121,221
