VK,HT,FT
16,260,-1
77,151,274
73,132,206
67,158,197
72,146,109
17,100,381
86,166,210
17,896,253
86,157,157
38,880,124
69,173,155
8,371,445
77,159,344
73,137,150
67,156,172
72,139,109
8,529,501
16,263,466
77,143,411
73,137,220
67,141,185
72,141,100
69,161,139
76,178,200
65,202,103
78,151,109
71,175,177
69,191,181
79,144,200
8,105,383
76,174,163
79,162,121
32,159,129
16,235,299
82,166,131
73,155,147
83,160,104
84,142,221
65,164,137
85,138,170
82,157,176
65,150,147
78,152,110
84,150,138
69,200,133
8,232,468
79,179,142
32,145,216
73,138,283
83,168,87
32,147,103
65,192,193
32,146,135
71,164,292
82,150,217
65,151,131
8,278,426
69,167,118
65,189,190
84,178,156
32,147,143
80,172,310
76,182,247
65,188,167
67,148,218
69,147,143
32,167,151
84,188,318
79,159,129
32,162,139
69,153,144
65,187,151
84,171,137
32,156,228
8,388,332
32,159,225
87,122,227
8,492,494
188,165,202
32,146,315
87,125,206
72,162,238
69,188,113
84,158,246
69,158,173
82,170,252
8,221,489
72,143,168
69,174,85
82,160,185
32,164,194
89,180,143
79,173,150
85,153,88
82,162,221
32,164,155
76,170,162
79,185,211
75,145,192
73,156,255
78,178,106
71,174,240
32,158,189
79,131,346
8,358,386
70,187,222
79,172,114
82,157,163
32,170,204
65,176,396
32,141,139
81,396,612
85,139,104
73,145,147
67,153,193
75,131,168
32,147,211
66,147,318
73,133,250
84,168,143
69,196,158
32,166,121
66,146,258
89,171,168
32,149,204
89,167,129
79,190,144
85,155,88
82,168,149
83,161,129
69,157,314
76,163,204
70,192,260
32,153,107
79,130,334
82,144,180
32,161,136
89,174,163
79,181,176
85,151,86
32,168,153
87,121,277
65,165,240
78,165,105
84,155,81
32,173,289
84,165,207
79,164,111
32,146,190
83,144,201
73,140,197
84,156,160
32,166,223
68,146,568
79,140,156
87,135,200
78,156,118
32,156,176
87,142,236
73,139,156
84,174,100
72,154,145
32,160,118
65,176,273
32,145,139
66,150,316
85,130,154
78,142,109
67,150,174
72,136,90
32,167,121
79,138,206
70,139,161
32,156,126
70,131,204
82,164,248
73,151,170
69,152,107
78,155,170
68,170,106
83,159,112
190,133,379
32,156,194
16,230,302
84,117,104
72,148,290
69,189,148
89,160,124
32,154,211
72,149,309
65,192,106
86,171,115
69,186,106
32,155,156
65,177,198
32,141,158
70,126,236
85,139,104
76,172,317
32,148,179
66,149,232
8,510,348
16,242,394
73,147,136
70,162,240
32,155,144
89,182,137
