VK,HT,FT
16,632,-1
76,143,105
85,98,357
67,155,110
72,111,277
73,164,7
84,117,48
65,149,221
83,167,116
32,131,98
16,194,0
77,141,176
69,117,240
88,129,171
73,118,495
67,182,105
65,142,103
78,197,127
32,125,77
16,53,171
82,112,382
69,112,176
83,133,337
84,101,217
82,119,999
85,125,58
65,116,71
78,245,92
84,103,127
32,138,86
79,158,146
78,146,0
32,100,124
16,403,100
87,118,405
69,158,343
83,76,158
84,113,251
32,146,0
49,716,353
55,484,982
84,79,196
72,144,102
32,148,283
73,177,433
78,121,409
32,156,111
16,546,281
67,152,288
76,157,213
69,90,189
86,115,153
69,139,86
76,108,150
65,131,154
78,287,144
68,155,165
32,149,74
16,708,0
79,224,325
72,90,352
73,154,382
79,131,121
32,164,94
73,168,234
83,145,112
32,163,100
67,141,88
76,164,213
69,120,217
65,151,76
82,159,206
76,184,417
89,111,282
32,168,86
84,140,321
72,116,54
69,110,233
32,133,169
66,127,228
69,120,0
83,226,121
84,127,182
32,124,181
16,293,383
77,132,470
69,110,176
88,137,53
73,117,256
67,69,89
65,161,122
78,9,108
32,150,116
16,215,44
82,157,156
69,126,230
83,135,0
84,122,202
82,115,348
85,107,246
65,152,85
78,267,64
84,104,42
8,647,1292
75,138,192
73,109,171
67,175,99
72,149,230
69,114,44
78,129,0
32,107,110
65,260,157
78,104,114
68,111,118
32,134,52
70,91,0
79,202,11
68,150,224
32,132,162
73,159,0
78,88,221
32,116,93
16,378,169
67,113,330
76,177,496
69,120,200
86,138,186
69,102,112
76,250,116
65,151,121
78,187,150
68,64,126
190,75,306
32,132,187
16,414,334
32,150,270
84,144,260
72,119,145
69,135,153
32,136,372
68,104,576
69,149,181
67,135,298
79,101,312
82,204,465
32,97,292
79,129,143
70,149,400
32,149,0
84,120,0
72,136,115
69,132,74
32,119,0
68,108,451
73,127,237
78,124,36
73,123,175
78,159,80
71,96,177
32,198,473
82,138,116
79,173,0
77,179,577
32,139,6
87,131,210
65,176,120
83,195,105
8,756,906
73,139,346
83,137,79
32,113,113
67,143,353
76,242,88
65,165,125
83,111,100
73,128,151
67,137,92
32,216,0
65,169,0
78,91,74
68,130,142
32,146,123
65,157,255
85,107,140
84,148,167
72,103,101
69,122,96
78,123,184
84,98,230
73,146,392
67,179,111
32,119,6
65,228,164
78,122,209
68,130,50
32,171,222
73,171,0
84,141,152
83,114,274
32,134,0
65,159,162
71,123,274
69,71,165
68,113,237
32,166,0
67,133,173
72,143,427
65,144,87
82,150,70
77,143,601
32,105,469
73,179,227
78,89,295
8,196,383
83,122,283
32,158,74
83,132,489
79,133,226
77,101,231
84,55,328
72,155,114
73,155,394
78,131,265
71,103,293
32,98,355
18,762,768
32,26,297
89,113,178
79,134,313
85,119,93
32,321,226
77,106,359
73,126,74
71,114,42
72,131,184
84,105,460
32,152,179
69,102,128
88,168,242
80,133,0
69,112,332
67,141,236
84,128,154
188,70,112
32,109,106
73,152,164
78,126,646
32,134,88
65,167,39
32,136,89
71,122,157
79,187,132
68,147,528
32,119,155
87,132,124
65,183,99
84,298,224
8,306,409
89,119,187
190,115,679
32,86,341
16,441,166
84,145,157
72,137,0
69,130,116
32,127,119
8,679,159
72,151,145
69,120,85
32,123,449
67,138,250
72,133,294
73,167,415
80,160,0
83,118,0
32,183,0
65,150,126
78,162,80
68,128,67
32,115,326
83,118,170
65,127,150
76,240,159
83,110,196
65,144,135
32,157,0
84,140,464
72,136,151
65,221,148
84,182,187
32,141,120
73,163,131
83,177,77
32,135,93
66,93,190
82,131,143
65,146,144
8,763,195
79,287,240
85,159,100
71,98,349
72,108,0
84,101,193
32,134,68
84,106,365
79,135,113
32,130,89
89,127,94
79,144,0
85,160,125
82,83,53
32,144,151
84,142,0
65,147,69
66,112,235
76,156,56
69,112,204
87,110,311
8,386,724
32,25,204
87,100,22
72,139,256
69,116,135
78,148,259
32,110,113
89,115,147
79,136,24
85,131,114
32,114,100
65,117,179
82,89,169
73,119,60
86,83,559
69,134,87
32,171,221
65,125,154
82,164,78
69,159,113
32,140,94
70,138,331
82,121,0
69,146,142
83,135,0
72,144,185
32,146,318
65,167,231
78,62,122
68,124,33
32,165,90
68,113,433
69,144,161
76,381,111
73,128,394
67,122,117
73,146,319
79,174,129
85,115,92
83,166,112
190,127,672
32,191,443
16,153,513
68,53,214
82,157,249
73,127,169
78,188,107
75,115,695
83,135,111
32,123,467
65,213,65
82,194,70
69,171,123
32,130,92
84,119,335
82,109,69
65,134,277
68,139,142
8,616,525
77,90,114
65,133,48
68,129,171
69,75,182
32,140,134
87,109,198
73,152,0
84,135,88
72,142,146
32,118,126
72,153,194
73,165,186
71,100,157
72,137,173
32,140,48
69,103,38
8,238,265
81,727,659
85,122,183
65,115,122
76,287,143
73,130,363
84,137,120
32,136,325
8,384,474
84,109,42
89,158,229
32,168,138
73,149,264
78,133,369
71,125,355
82,106,302
69,138,142
68,135,191
69,123,194
78,141,170
84,116,47
83,202,54
32,182,234
8,618,207
190,89,489
8,0,137
32,168,173
65,187,152
78,176,115
68,123,100
32,132,0
77,105,620
73,155,126
88,143,230
69,98,155
68,151,265
32,152,488
84,123,212
79,124,102
32,157,88
80,123,175
82,132,53
8,0,0
69,125,150
82,140,120
70,65,388
69,112,165
67,149,204
84,138,215
73,142,275
79,115,106
78,232,302
190,109,51
32,246,0
18,732,68
8,314,825
190,80,386
32,212,35
16,97,335
84,149,191
72,138,145
69,126,112
32,104,125
70,15,713
79,275,128
68,137,209
32,162,139
73,153,267
83,134,138
32,144,109
84,150,262
82,102,0
85,137,193
