VK,HT,FT
16,689,-1
80,593,959
8,156,91
20,207,653
80,285,384
20,201,925
73,858,438
90,542,91
65,562,544
32,132,67
73,369,53
83,469,140
32,126,84
79,679,462
78,458,791
69,115,39
32,131,94
79,600,677
70,141,482
32,115,100
77,773,790
89,271,318
32,121,41
70,806,557
65,321,40
86,202,610
79,811,863
82,413,515
73,631,93
84,109,120
69,71,101
32,141,26
70,250,418
79,165,137
68,476,114
83,728,709
32,116,52
69,106,61
86,68,11
69,32,107
82,896,726
190,209,672
32,130,153
16,745,671
73,52,270
222,357,88
86,457,746
69,218,83
32,132,41
79,548,682
78,744,663
76,858,693
89,855,77
32,126,122
77,330,768
65,69,299
73,498,635
78,213,53
76,290,543
89,838,114
32,132,113
79,9,943
82,843,897
68,701,179
69,23,73
82,405,351
69,104,104
68,445,577
32,150,96
70,756,252
82,903,70
79,910,485
77,941,484
32,132,102
20,956,748
68,618,319
20,37,877
79,751,608
77,73,916
73,763,430
78,131,503
79,998,970
222,200,447
83,475,18
32,128,107
79,892,905
82,69,826
32,132,125
76,792,458
79,847,228
67,413,180
65,178,661
76,602,794
32,116,88
20,691,69
73,64,604
20,991,849
84,137,29
65,840,323
76,555,214
73,48,104
65,525,938
78,229,658
32,114,83
80,970,259
73,242,793
90,283,294
65,766,154
82,798,75
73,249,30
65,36,863
83,949,725
190,412,653
32,113,102
16,310,820
72,964,48
79,936,762
87,922,522
69,18,72
86,613,967
69,95,125
82,254,17
188,281,470
8,191,338
16,464,301
72,472,15
79,7,130
87,918,99
69,114,51
86,809,57
69,161,75
82,841,815
188,458,476
32,120,46
20,343,24
73,83,740
20,494,873
32,112,116
78,26,242
79,177,208
84,137,56
73,953,783
67,140,800
69,98,0
68,991,890
32,111,42
84,85,138
72,35,949
65,869,383
84,169,61
32,113,91
16,501,272
80,895,623
65,14,497
80,984,740
65,575,209
32,115,116
16,935,332
74,387,619
79,754,820
72,789,229
78,239,770
222,492,128
83,668,58
32,120,121
87,426,848
65,18,232
83,131,622
32,107,122
68,864,530
79,430,736
73,549,656
78,464,904
71,625,535
32,110,106
65,309,168
32,115,107
82,305,369
69,30,57
65,552,494
76,808,480
89,756,175
32,105,88
65,448,484
87,849,788
