VK,HT,FT
16,271,-1
79,93,111
8,101,888
16,213,160
80,136,371
76,196,377
65,148,96
78,121,92
84,142,273
32,85,159
73,102,177
83,134,89
32,104,116
65,114,65
76,103,177
87,197,163
65,37,99
89,105,153
83,120,151
32,73,151
70,111,118
8,202,861
77,112,255
89,111,654
32,74,181
70,143,198
73,112,252
82,126,134
83,152,120
84,120,166
32,112,97
67,170,455
72,88,179
79,128,111
73,110,110
67,189,201
69,155,183
32,72,995
70,104,266
79,189,154
82,75,129
32,80,282
87,91,410
82,95,533
73,122,162
84,225,141
73,127,152
78,219,156
71,112,112
32,101,129
8,232,845
67,160,81
72,152,133
79,122,113
83,144,200
73,111,209
78,115,87
71,120,71
32,93,117
68,128,194
73,96,68
78,128,87
69,196,281
82,57,63
190,158,1284
32,143,199
8,1009,360
32,33,168
69,113,232
65,138,392
84,129,97
73,127,97
78,112,177
71,107,112
32,70,129
79,102,82
85,126,164
84,121,191
190,122,205
32,97,128
16,186,225
84,122,118
72,104,120
69,144,121
32,104,128
77,53,228
85,137,128
83,144,96
73,129,121
67,144,433
32,112,123
65,114,183
78,135,117
68,44,118
32,111,91
68,109,219
69,73,96
67,144,450
79,133,168
82,119,121
32,125,143
73,102,53
83,110,118
32,130,144
83,112,485
79,339,331
32,64,146
80,244,244
69,145,263
65,132,75
67,135,270
69,139,219
70,112,475
85,42,210
76,112,145
32,96,204
65,129,65
78,113,97
68,123,121
32,73,72
16,198,247
73,152,135
32,77,185
65,128,157
76,114,154
87,95,200
65,184,75
89,105,319
83,129,331
32,92,168
78,120,161
79,117,113
8,124,591
78,152,112
79,80,556
8,86,360
75,91,122
78,241,177
79,104,113
87,112,197
32,95,428
84,116,222
72,127,119
32,119,224
8,545,697
69,49,232
32,120,128
70,104,256
79,138,152
68,131,270
32,95,301
87,96,398
73,162,344
84,119,242
8,232,691
76,133,250
32,112,127
66,135,204
69,103,296
32,113,135
65,135,392
77,116,217
65,130,105
90,310,291
73,163,115
78,241,181
71,112,105
190,119,749
32,152,160
16,148,167
73,176,30
32,103,182
72,113,192
65,99,87
86,161,221
69,152,248
32,121,127
72,98,342
65,132,91
68,144,131
32,105,192
65,128,112
76,128,226
77,129,135
79,96,104
83,143,177
84,127,211
32,115,159
69,96,256
86,141,130
69,135,209
82,125,52
89,25,111
84,120,247
72,118,209
73,169,99
78,160,149
71,152,104
32,70,145
79,102,104
78,143,14
32,88,131
84,222,127
72,85,86
69,111,36
32,120,917
77,115,243
69,128,38
78,32,145
85,112,153
32,113,128
66,127,680
89,80,199
32,104,184
78,129,112
79,137,120
87,136,136
190,123,370
32,144,136
16,193,423
77,137,205
89,111,111
32,125,136
70,132,240
65,30,63
86,119,220
79,257,23
82,84,112
73,136,157
84,127,242
69,118,178
32,128,110
68,113,146
73,95,87
83,108,174
72,110,119
32,136,128
87,184,175
79,120,1105
85,115,68
76,217,149
68,123,200
32,137,151
66,151,268
69,179,78
32,121,112
84,184,103
72,129,81
69,119,87
32,127,128
67,129,173
8,442,584
16,351,407
80,105,185
65,149,249
78,104,304
71,128,412
8,281,325
65,96,93
78,144,184
71,143,107
32,101,144
16,217,167
67,170,143
85,93,257
82,113,145
89,105,111
32,77,152
16,271,248
84,106,118
79,81,250
70,125,3
85,122,223
32,119,129
