VK,HT,FT
16,252,-1
65,148,224
80,135,245
76,139,337
69,158,179
66,126,174
69,130,305
222,151,320
83,125,391
32,121,101
73,149,119
83,116,464
32,103,570
77,138,124
89,91,113
32,116,170
70,110,114
65,138,187
86,7,162
79,113,118
82,106,125
73,160,141
84,160,170
69,145,0
32,163,369
82,183,457
69,170,125
83,128,165
84,196,180
65,114,58
85,116,150
82,198,101
65,120,45
78,80,130
84,111,145
32,177,128
84,149,143
79,111,127
32,141,152
71,141,324
79,133,64
32,137,180
84,170,118
79,278,105
32,130,112
87,109,168
72,209,123
69,102,200
78,137,140
32,122,153
68,152,219
73,69,214
78,149,137
73,101,216
78,169,137
71,122,151
32,124,131
79,171,125
85,197,145
84,145,177
32,139,189
73,90,126
87,125,262
72,94,29
84,132,277
32,120,152
70,119,98
8,80,605
84,140,198
32,183,59
87,128,122
73,206,83
84,106,183
72,96,66
32,81,215
70,110,267
82,158,254
73,100,158
69,27,127
78,134,154
68,81,140
83,131,368
190,14,37
32,349,435
16,14,466
84,158,156
72,86,149
69,3,141
32,116,141
65,80,165
84,149,212
77,145,343
79,110,215
83,112,160
80,108,308
72,99,89
69,340,133
82,150,4
32,115,167
8,107,678
69,124,118
32,151,159
8,782,216
32,163,283
73,159,215
83,47,177
32,117,121
82,187,198
69,186,129
76,212,144
65,149,139
88,138,271
69,98,215
68,95,215
32,141,172
65,100,590
78,85,105
68,117,400
32,131,69
84,142,121
72,81,92
69,169,10
32,117,170
65,101,142
82,202,163
84,132,246
87,159,181
79,110,122
82,119,153
75,92,852
32,151,301
79,194,111
78,131,136
32,102,132
84,146,159
72,144,96
69,91,123
32,143,171
87,105,32
65,121,227
76,109,189
83,100,198
32,148,141
65,206,28
82,202,134
69,126,123
32,131,119
65,102,244
76,300,107
32,118,371
80,158,274
72,71,168
79,302,144
84,160,121
79,86,397
71,105,111
82,152,94
65,77,126
80,155,228
72,94,108
83,110,378
32,122,176
79,142,179
70,152,1
32,73,139
67,61,171
85,166,154
82,134,152
69,163,142
78,134,120
84,115,128
32,145,121
69,109,416
86,147,248
69,95,326
78,102,162
84,117,363
83,100,142
32,103,168
73,174,130
78,163,89
32,105,320
16,226,465
67,109,302
65,82,204
78,83,107
84,115,187
79,73,489
78,161,154
190,77,402
16,326,330
32,152,180
16,216,339
87,124,253
72,101,84
67,126,596
8,796,967
73,110,117
67,115,174
72,59,132
32,108,635
82,180,220
69,151,152
65,32,136
76,155,143
89,102,91
32,135,203
77,121,122
65,93,236
75,83,218
69,107,171
83,152,241
32,148,158
73,129,94
84,110,214
32,99,149
70,123,197
69,125,73
76,77,218
32,119,407
76,109,164
73,206,121
75,110,281
69,94,363
32,124,142
65,109,205
32,128,244
16,230,238
222,127,175
78,92,189
69,175,250
73,118,133
71,115,354
72,144,153
66,112,249
79,102,156
82,119,141
72,113,144
79,94,157
68,104,130
16,250,194
222,131,150
32,161,217
82,197,191
69,184,143
83,152,163
84,171,172
65,237,364
85,179,175
82,151,233
65,135,121
78,86,221
84,122,223
190,83,445
32,350,262
16,144,424
73,118,143
32,80,212
82,176,196
69,148,132
65,104,158
76,301,151
89,77,318
32,130,203
76,98,137
73,154,847
75,74,107
69,111,204
32,97,180
84,136,306
72,38,113
69,118,56
73,113,155
82,147,242
32,133,102
76,97,212
85,139,176
78,127,118
67,126,247
72,94,112
32,126,188
83,114,334
80,110,326
69,154,148
67,104,170
73,244,153
65,122,239
76,112,153
83,91,189
16,165,66
59,710,728
32,101,752
80,138,250
73,164,85
67,139,302
75,110,98
32,134,129
65,37,250
78,109,124
68,133,128
32,109,109
80,128,564
65,219,147
73,112,187
82,143,283
32,152,554
79,166,107
82,106,157
32,127,116
65,113,159
76,212,143
32,194,332
89,128,107
79,143,103
85,120,140
32,142,64
67,92,394
65,108,188
78,128,155
32,124,250
69,128,102
65,134,265
84,76,141
32,136,42
83,134,143
79,116,50
85,166,118
80,104,1056
32,182,89
65,186,153
78,85,182
68,112,100
32,130,87
83,147,211
65,69,366
76,110,144
65,106,126
68,93,273
190,109,280
32,340,396
16,281,526
84,189,40
72,83,136
69,115,112
73,87,181
82,76,169
32,151,123
80,158,249
82,181,251
73,110,71
67,111,174
69,114,306
83,237,311
32,156,189
65,28,334
82,175,121
69,121,148
32,78,144
82,49,216
69,189,136
65,154,154
83,125,142
79,83,126
78,198,139
65,125,197
66,107,414
76,89,449
69,146,74
32,97,140
65,114,217
78,121,117
68,118,112
32,114,131
84,132,18
72,113,52
69,138,78
73,145,154
82,126,196
32,132,153
80,110,276
79,194,191
82,139,155
84,145,282
73,166,74
79,194,145
78,140,110
83,104,19
32,120,329
65,48,281
82,202,61
69,96,182
32,133,171
82,183,328
65,162,173
84,124,90
72,125,86
69,106,145
82,170,94
32,137,214
76,97,319
65,128,45
82,152,154
71,95,289
69,115,121
190,149,1063
32,343,993
16,226,346
84,157,159
72,93,137
87,109,375
8,95,757
69,119,604
32,116,119
87,109,141
65,115,227
73,234,118
84,130,191
32,132,59
83,147,270
84,137,290
65,115,229
70,103,136
32,143,94
73,103,121
83,130,28
32,99,103
72,138,168
73,89,439
71,95,111
72,101,126
76,307,198
89,85,318
32,95,163
84,133,171
82,0,227
65,111,228
73,118,71
78,241,119
69,139,4
68,133,271
65,115,184
82,158,115
69,121,142
32,117,43
65,101,173
78,103,170
68,107,140
32,114,85
67,107,161
65,113,187
78,98,132
32,135,213
65,110,254
78,126,141
83,82,190
87,101,498
69,137,120
82,229,100
32,156,698
65,137,147
78,96,118
89,94,155
32,91,316
81,78,928
85,123,124
69,196,497
83,207,198
84,179,281
73,149,179
79,156,150
78,198,83
32,114,182
89,147,197
79,154,93
85,119,132
32,173,140
77,127,138
65,107,200
89,104,296
32,112,198
72,106,395
65,97,89
86,69,223
69,104,215
32,152,109
79,145,160
78,168,343
32,149,124
84,110,191
72,99,91
69,103,129
32,120,5
77,131,342
69,114,158
78,157,109
85,169,751
32,196,51
65,71,279
78,101,16
68,94,159
32,87,112
65,125,183
82,168,165
69,107,156
32,110,105
86,119,261
69,95,268
82,186,101
89,138,327
32,128,231
65,116,156
67,107,284
79,167,165
77,158,228
79,40,112
68,157,99
65,116,227
84,166,226
73,169,135
78,152,348
71,113,149
32,137,195
70,129,183
79,115,118
82,111,2
32,101,95
68,97,165
73,110,121
69,102,186
84,6,166
69,104,174
82,175,29
89,46,295
32,113,203
82,181,202
69,121,119
83,201,414
84,199,252
82,162,229
73,23,117
67,95,213
84,133,149
73,286,91
79,166,93
78,163,155
83,110,226
190,113,208
8,1211,914
65,99,171
8,1500,803
32,127,154
65,71,224
78,82,138
68,81,100
32,151,45
65,154,180
76,95,130
69,102,288
82,133,88
71,126,305
73,89,37
69,172,141
83,149,231
190,95,285
32,348,674
16,221,453
84,157,156
72,87,152
69,124,91
32,122,125
66,136,220
69,166,106
83,140,142
84,172,249
32,166,131
80,129,116
65,95,254
82,161,152
84,137,207
32,173,126
73,168,196
83,136,241
32,171,159
89,132,201
79,151,37
85,124,117
32,106,101
67,98,103
65,119,175
78,203,115
32,124,212
71,148,151
69,127,154
84,135,131
32,123,150
65,101,275
32,107,66
66,125,269
82,163,203
79,86,151
87,107,260
78,146,145
73,155,137
69,72,116
32,151,291
66,120,590
73,182,204
84,110,184
69,103,230
32,116,130
70,109,167
79,83,163
82,109,92
32,183,134
16,206,458
52,448,33
49,919,929
190,117,374
48,567,770
190,89,398
32,357,438
16,88,382
73,110,181
84,128,191
32,151,195
73,101,320
83,135,373
32,157,38
65,112,212
32,17,200
83,156,271
77,156,132
65,121,192
76,145,252
32,169,213
80,110,565
73,182,389
69,146,199
67,104,174
