VK,HT,FT
16,695,-1
87,430,815
72,896,395
69,84,65
84,31,115
72,18,311
69,92,101
82,96,82
32,90,94
89,796,985
79,88,54
85,51,52
59,548,242
82,106,24
69,20,64
32,86,105
65,68,82
78,70,98
32,136,179
16,927,757
73,62,100
68,68,316
78,70,79
8,81,862
78,49,66
68,377,955
73,83,104
65,107,87
78,64,77
8,343,241
222,983,667
82,99,109
69,81,68
32,103,170
65,129,70
78,92,111
32,116,99
16,583,475
73,63,89
78,71,87
68,4,417
73,79,137
65,101,202
78,53,236
32,116,108
70,912,825
79,120,158
68,666,993
32,82,142
76,793,42
79,51,28
86,432,484
69,93,109
188,156,48
82,26,94
32,116,135
79,77,116
82,98,90
32,82,94
79,187,29
85,15,124
8,615,572
82,112,91
188,472,787
32,105,92
79,186,7
82,66,84
32,90,148
89,211,631
79,51,71
85,106,161
222,773,750
86,144,777
69,38,70
32,77,97
78,57,188
69,75,3
86,89,937
69,68,92
82,95,163
32,81,69
84,85,59
82,124,109
73,89,99
69,83,108
68,708,277
32,92,175
73,52,84
84,79,70
32,86,99
66,571,618
85,68,131
84,93,88
32,59,94
65,101,108
82,72,86
69,75,162
32,82,153
67,726,710
85,106,163
82,98,124
73,58,99
79,16,101
85,106,163
83,545,227
188,72,469
32,100,184
16,83,414
80,428,763
73,77,331
78,76,100
84,72,139
85,68,77
222,168,256
83,673,732
32,67,103
73,77,122
83,517,322
32,75,81
84,68,129
72,190,801
69,47,110
32,85,92
80,488,998
76,443,16
65,31,99
67,754,553
69,91,104
32,87,145
84,78,92
79,27,113
32,69,97
71,390,870
79,161,131
190,586,592
32,59,203
16,135,921
80,386,176
69,83,100
82,99,87
83,976,702
79,179,101
78,50,196
65,87,110
76,414,628
89,62,379
188,943,898
32,92,153
16,171,491
73,59,140
32,101,170
72,50,113
65,133,88
68,779,898
32,117,153
78,68,65
69,77,119
86,443,256
69,47,120
82,91,54
32,67,103
72,591,854
65,101,23
68,693,799
32,82,94
16,781,997
73,59,314
78,68,87
68,95,69
73,61,84
65,99,56
78,75,188
32,90,104
70,983,496
79,107,78
68,416,617
190,615,648
32,113,56
16,831,535
77,61,551
89,5,539
32,89,98
70,549,152
73,73,88
65,133,93
78,70,88
67,566,128
69,93,94
32,82,157
65,96,21
78,3,88
68,542,53
32,85,118
16,708,951
73,73,84
32,67,127
68,802,300
69,47,66
67,677,757
73,108,99
68,53,995
69,46,135
68,925,28
32,83,388
84,67,70
79,93,74
32,110,73
67,490,890
72,320,145
69,52,104
67,461,2
