VK,HT,FT
16,414,-1
67,331,984
65,611,499
70,929,757
69,212,102
32,96,120
16,687,553
82,801,316
73,80,95
79,41,95
32,99,112
73,142,119
83,578,515
32,120,120
78,519,414
79,328,436
84,466,23
61,463,896
8,836,271
77,38,840
65,676,39
89,93,812
32,104,168
78,258,142
79,830,464
84,602,417
32,88,90
66,145,143
69,126,509
32,103,96
65,384,240
85,40,157
84,790,501
72,467,562
69,944,522
84,326,984
72,190,27
8,310,555
78,164,953
84,248,264
73,175,89
67,915,961
32,103,93
77,634,884
69,536,161
8,948,340
16,867,87
77,775,227
69,891,916
224,536,63
88,53,556
73,80,123
67,542,174
65,529,475
78,596,978
32,104,138
70,256,266
79,817,148
68,914,1
79,88,247
32,120,108
8,729,912
79,860,874
68,522,500
32,104,96
66,727,285
85,511,86
84,844,547
32,104,118
73,88,14
84,87,278
32,107,185
73,81,101
83,112,385
32,120,92
68,986,601
69,187,3
76,375,877
73,127,108
67,594,48
73,94,87
79,992,997
85,128,86
83,9,400
190,826,713
32,104,159
16,904,972
84,676,287
72,425,839
69,730,175
32,81,124
83,24,977
87,208,8
69,775,712
84,420,218
32,81,112
80,509,700
79,576,85
82,869,774
75,58,463
32,116,124
73,89,95
83,948,755
32,103,216
70,120,152
65,339,404
8,51,195
76,409,877
65,899,855
86,852,549
79,699,699
82,661,66
70,516,468
85,190,162
76,506,496
32,36,126
65,772,963
78,527,246
68,982,401
32,120,96
16,777,592
73,171,118
32,104,30
76,85,348
79,741,322
86,742,456
69,934,534
32,88,155
84,336,816
72,732,514
65,632,26
84,362,62
32,90,139
69,391,771
86,78,787
69,754,753
82,124,122
89,356,458
32,112,91
68,682,524
73,77,87
83,66,994
72,862,113
32,20,115
73,65,87
83,618,165
32,79,124
67,530,336
79,917,796
77,705,329
80,966,846
76,667,555
69,157,398
84,918,15
69,130,339
76,454,282
89,179,652
32,120,117
67,147,28
85,815,369
83,466,276
84,135,474
79,904,614
77,680,967
73,89,80
90,336,277
65,195,507
66,520,831
76,661,804
69,82,145
190,675,328
16,880,342
32,103,168
83,387,569
69,281,639
82,113,349
86,461,863
73,93,201
67,387,890
69,686,442
32,72,96
73,89,101
83,944,673
32,103,181
81,514,622
85,128,732
73,73,126
67,819,223
75,896,5
32,99,96
65,920,86
78,749,28
68,793,341
32,97,216
8,44,524
188,883,701
32,95,22
70,270,980
79,594,459
68,66,712
32,96,97
73,154,119
83,154,415
32,100,3
68,792,672
69,594,769
8,730,354
84,983,691
72,392,603
69,890,637
32,80,96
70,953,412
79,757,362
68,833,598
32,104,180
73,155,102
83,192,262
32,102,87
68,326,124
69,990,925
76,642,917
73,80,193
67,690,667
73,88,87
79,238,157
85,605,859
83,169,322
188,716,125
32,120,107
65,740,837
78,446,972
68,122,927
32,88,147
84,765,336
72,400,737
69,443,191
32,120,104
80,929,288
82,234,865
73,89,87
67,954,585
69,593,743
83,990,581
32,105,144
65,475,480
82,827,290
69,88,460
32,104,112
82,499,799
69,40,687
65,816,229
83,42,389
79,651,480
78,412,99
65,978,859
66,237,287
76,754,979
69,941,268
190,88,973
32,96,7
16,127,991
84,2,530
72,947,497
65,38,365
84,882,933
222,610,919
83,745,575
32,120,90
65,246,209
32,98,124
75,645,413
78,614,278
79,16,285
67,17,352
75,528,901
173,64,39
79,651,376
85,638,858
84,557,494
32,82,5
67,948,107
79,358,348
77,791,710
66,967,906
73,115,38
78,480,885
65,502,188
84,353,196
73,80,124
79,862,590
78,149,506
16,751,274
49,436,115
32,103,120
16,62,539
73,93,123
32,79,198
87,646,760
79,6,67
85,797,820
76,961,573
68,219,935
32,120,96
68,437,596
69,555,42
70,792,546
73,165,98
78,998,390
73,80,87
84,642,13
69,826,92
76,605,951
89,379,219
32,98,72
82,635,943
69,402,711
67,752,688
79,867,778
77,265,77
69,91,786
78,119,682
68,172,835
32,93,2
65,639,946
68,355,566
73,115,118
78,785,642
71,170,85
32,103,66
67,254,808
72,625,959
73,80,119
80,450,155
83,15,239
32,112,168
65,755,98
78,853,133
68,836,527
32,104,120
83,260,474
76,49,457
8,718,841
65,10,817
76,604,355
83,45,132
65,94,795
32,79,103
84,757,547
79,264,760
32,103,120
65,207,404
32,83,96
77,968,429
69,305,580
65,471,927
76,868,184
190,132,886
16,124,411
32,103,112
8,430,302
188,951,556
32,104,147
69,513,193
83,336,688
80,265,549
69,336,307
67,339,872
73,88,99
65,306,109
76,138,329
89,701,770
32,79,192
84,863,113
72,519,206
69,120,517
32,104,163
83,225,917
80,949,621
73,138,85
67,611,664
89,787,668
32,98,124
83,367,262
65,528,642
76,135,63
83,929,396
65,261,344
32,104,156
84,308,684
72,522,37
65,440,664
84,797,602
32,120,112
72,639,851
65,870,49
83,828,932
32,13,180
74,267,658
85,125,293
83,345,974
84,5,70
32,44,178
84,251,649
72,805,657
69,204,384
32,120,124
82,774,656
69,901,528
8,548,19
73,174,126
71,972,610
72,102,841
84,243,408
32,120,216
65,121,255
77,528,487
79,817,268
85,340,76
78,78,542
84,322,915
32,107,112
79,586,65
70,79,572
32,104,103
75,608,773
73,89,88
67,19,625
75,361,191
190,915,963
32,104,145
16,456,687
66,375,130
69,650,865
32,112,112
67,538,135
65,248,582
82,773,1
69,957,745
70,666,241
85,767,208
76,584,524
59,815,96
32,81,112
73,89,125
84,665,994
222,534,137
83,681,978
32,78,96
65,618,318
68,922,361
73,80,93
67,292,754
84,28,9
73,171,58
78,611,418
71,187,878
16,111,238
49,699,965
32,112,77
16,878,622
73,96,121
32,75,107
69,602,413
65,764,640
84,920,823
32,97,112
65,789,195
84,483,868
32,120,112
16,490,918
67,695,197
65,381,825
70,449,191
69,802,512
32,112,155
16,727,503
82,431,359
73,80,88
79,220,573
32,34,128
65,55,822
84,580,330
32,79,77
76,705,608
69,399,278
65,718,183
83,91,508
84,73,298
32,104,133
79,272,820
78,319,631
67,697,495
69,611,997
32,98,92
65,809,886
32,103,99
87,461,163
69,915,221
75,806,52
32,120,112
65,48,882
78,989,313
68,151,119
32,0,135
84,294,25
72,853,759
69,124,149
32,120,7
86,731,34
65,922,92
82,673,64
73,174,88
69,107,270
84,398,410
89,622,898
32,120,120
79,529,691
70,53,784
32,79,120
84,878,26
72,200,847
69,436,494
32,40,216
77,544,499
69,139,601
78,774,277
85,810,238
32,104,141
65,410,964
76,567,64
79,86,669
87,61,620
83,700,705
32,86,135
77,560,653
69,832,494
32,104,96
84,706,104
79,31,627
32,96,0
68,62,752
79,293,323
32,120,120
83,367,761
79,994,98
32,66,124
87,126,812
84,812,830
8,857,531
73,80,87
84,214,478
72,724,399
79,956,756
85,111,853
84,453,386
32,104,108
66,540,206
69,312,741
73,111,90
78,88,660
71,381,20
65,492,131
78,226,822
68,236,543
32,103,150
81,405,867
85,887,95
65,649,968
76,481,746
73,88,88
84,991,738
89,852,916
32,103,216
8,532,451
67,959,856
79,249,789
77,842,174
73,37,107
78,345,174
71,107,94
32,103,112
66,252,718
79,910,93
82,114,710
69,820,806
68,750,11
190,732,45
32,112,164
16,985,740
79,501,967
86,702,174
69,798,69
82,879,27
76,318,87
8,452,664
65,400,493
76,463,200
32,120,85
8,601,436
188,119,115
32,103,175
16,83,395
67,7,754
65,352,885
8,311,488
65,843,215
70,622,364
69,346,517
32,79,151
16,313,336
82,727,398
73,89,127
79,772,385
32,112,145
73,91,130
83,260,898
32,86,127
65,778,792
32,77,163
71,931,701
82,390,509
69,66,802
65,570,302
84,612,442
32,96,151
70,400,271
65,651,248
83,450,188
84,31,314
173,813,51
67,398,125
65,420,556
83,888,353
85,108,475
65,639,223
76,354,10
32,103,147
82,152,628
69,76,63
83,957,890
84,627,108
65,634,38
85,2,996
82,763,888
65,979,685
78,859,217
84,734,294
32,91,124
87,273,372
73,88,127
84,453,705
72,555,562
32,103,120
79,889,754
80,992,567
84,326,127
73,47,119
79,741,70
78,15,109
8,332,609
65,693,676
76,733,397
32,88,196
75,805,650
73,80,118
78,928,200
68,854,638
83,432,618
32,120,96
79,610,445
70,465,84
32,103,13
8,916,954
84,151,943
72,725,712
65,539,678
84,126,69
32,100,134
16,553,912
73,140,96
32,103,94
87,825,501
79,486,287
85,913,305
76,885,38
68,618,928
32,76,96
72,245,287
73,89,94
71,493,594
72,111,257
76,24,724
89,343,855
32,37,17
82,116,868
69,839,951
67,924,68
79,423,669
77,651,483
78,786,73
69,673,821
68,892,641
190,16,358
8,476,430
69,205,539
78,653,907
68,298,750
190,598,510
