VK,HT,FT
20,287,-1
77,93,260
20,103,309
89,104,191
77,93,154
79,141,159
77,138,150
83,97,308
66,107,250
65,103,117
75,111,211
69,120,111
32,97,155
83,93,180
72,89,113
79,144,162
80,87,166
32,108,197
8,442,642
32,103,674
73,109,229
83,87,130
84,95,194
72,97,148
69,92,126
8,300,422
32,145,556
73,92,266
83,95,103
32,112,132
84,99,90
72,95,130
69,88,71
32,99,92
80,134,340
76,139,257
65,120,103
67,103,222
69,98,151
32,105,174
84,91,187
79,92,89
32,93,121
79,129,386
71,96,292
8,131,438
32,67,589
71,87,214
79,158,82
32,86,101
70,119,508
79,174,122
82,87,92
32,119,135
65,107,372
76,155,161
32,114,255
89,95,292
79,136,154
85,126,119
82,115,102
32,97,154
66,103,312
65,132,199
75,86,129
69,98,152
82,130,103
89,90,145
32,101,143
67,113,262
82,100,158
65,123,178
86,93,244
73,112,130
78,128,141
70,112,257
83,128,279
190,104,203
8,164,632
71,88,194
83,92,150
190,110,231
20,278,267
233,302,998
84,116,253
20,120,133
72,101,161
69,87,169
89,102,161
32,66,125
79,130,249
70,106,137
69,138,497
82,124,148
32,110,169
80,137,302
76,115,150
69,101,126
78,131,237
84,92,188
89,77,159
32,88,119
79,77,262
70,92,131
32,70,89
84,95,98
65,121,172
83,115,133
84,90,164
89,88,165
32,120,213
66,84,222
65,117,192
75,98,196
69,117,133
68,105,199
32,132,104
83,109,348
69,109,178
76,132,116
69,106,147
67,100,328
84,108,214
73,110,99
79,135,111
78,121,118
83,97,96
190,123,183
20,176,298
84,74,210
20,102,131
72,99,137
69,98,186
32,103,200
83,96,291
84,93,260
65,119,138
70,361,302
32,105,343
65,143,282
82,105,129
69,114,125
32,93,98
70,109,246
82,85,187
73,94,169
69,100,162
78,84,162
68,106,116
76,96,217
89,90,156
32,99,208
65,106,136
78,84,94
68,102,97
32,100,94
86,104,364
69,111,195
82,110,160
89,102,183
32,126,249
72,103,275
65,109,100
80,291,124
89,104,308
32,105,117
84,120,204
79,119,97
32,132,108
66,99,263
65,132,153
75,105,177
69,96,143
32,109,116
87,105,199
72,95,91
65,117,171
84,105,86
86,113,221
69,131,124
82,124,114
32,92,106
73,91,432
83,92,84
32,114,88
79,104,142
78,98,131
32,96,135
89,83,198
79,117,107
85,96,111
82,101,131
32,99,155
77,106,428
73,107,179
78,100,177
68,113,145
190,105,399
69,97,97
20,220,192
84,87,227
20,102,156
72,106,172
69,104,180
32,86,153
80,118,245
76,138,234
65,115,85
67,123,281
69,97,128
32,119,231
73,95,140
83,89,110
32,103,124
86,96,297
69,124,170
82,95,129
89,97,129
32,96,138
67,120,282
76,96,173
69,133,168
65,108,219
78,105,132
32,99,145
65,108,197
78,76,113
68,93,113
32,102,120
82,124,301
69,108,105
83,107,252
80,93,151
69,88,122
67,98,191
84,118,251
65,121,135
66,92,164
76,89,201
59,312,509
69,101,152
190,104,391
8,261,574
76,88,334
69,112,126
188,118,216
8,101,806
190,88,497
32,117,226
20,176,433
233,487,80
84,98,238
20,106,133
72,99,148
69,91,184
32,103,157
66,95,217
65,122,95
75,92,143
69,110,97
68,107,199
32,120,132
71,96,365
79,132,145
68,112,323
83,124,112
32,97,128
65,150,179
82,114,215
69,128,57
32,103,217
65,104,185
76,93,148
87,127,173
65,130,119
89,111,208
83,108,126
32,110,139
87,97,349
65,128,141
82,85,135
77,99,189
32,119,190
65,127,169
78,93,122
68,91,125
32,90,84
70,112,376
82,137,207
69,154,205
83,101,210
72,123,121
190,120,253
20,190,368
84,92,354
20,127,140
72,96,126
69,91,168
32,90,156
80,97,188
82,106,141
73,121,179
67,109,152
69,101,170
83,129,166
32,84,168
