VK,HT,FT
16,123,-1
79,96,204
78,108,136
32,128,152
79,104,71
85,97,184
82,102,121
32,133,50
87,18,398
65,110,134
89,89,193
32,123,137
72,76,182
79,80,248
77,127,191
69,138,172
188,138,171
32,123,148
77,142,463
89,83,237
32,96,120
72,116,577
85,100,97
83,72,29
66,85,232
65,79,136
78,105,192
68,110,67
32,139,96
83,168,127
85,64,126
71,121,49
69,71,267
83,135,170
84,127,116
69,118,121
68,72,233
32,111,124
87,142,168
69,130,344
32,124,56
83,72,329
84,95,102
79,216,80
80,256,126
32,109,152
65,102,171
84,322,203
32,119,88
65,104,328
32,100,83
82,149,257
69,129,64
83,140,159
84,120,161
65,121,221
85,80,316
82,101,158
65,76,200
78,160,108
84,125,104
32,112,143
70,88,166
79,126,58
82,55,127
32,0,80
68,94,110
73,105,95
78,69,104
69,248,288
82,160,85
190,143,1202
32,174,232
16,184,95
87,100,311
69,35,224
32,86,144
83,134,112
84,80,160
65,111,469
82,120,170
69,90,79
8,661,241
84,56,351
69,88,121
68,87,189
32,80,88
76,87,228
79,79,299
75,96,802
73,84,211
78,107,139
71,79,143
32,105,80
65,108,106
84,176,191
32,95,97
84,102,140
72,91,66
69,27,103
32,146,115
82,82,138
69,79,82
83,103,243
84,87,94
65,99,160
85,121,89
82,134,132
78,160,352
84,135,106
83,94,185
32,105,68
84,102,26
72,120,144
65,106,79
84,59,111
32,104,90
8,408,667
85,104,431
82,96,100
65,87,85
78,94,110
84,115,123
83,16,104
32,74,116
84,138,226
72,104,104
65,145,386
84,77,247
32,104,75
87,43,133
69,65,91
82,92,224
69,65,93
32,104,158
67,88,328
76,35,110
79,35,141
83,136,7
69,98,225
32,105,42
66,52,140
89,138,103
188,53,311
32,103,96
65,108,652
78,120,106
68,86,33
32,159,91
87,141,82
69,66,156
32,105,56
83,177,147
65,116,82
87,117,169
32,130,117
84,112,96
72,63,47
69,72,40
32,128,161
83,106,365
73,128,128
71,112,112
78,142,613
32,80,205
70,63,412
79,112,71
82,141,89
32,206,45
16,128,352
83,144,198
79,38,221
65,169,321
78,144,104
82,136,1328
