VK,HT,FT
16,372,-1
84,55,178
72,90,444
73,130,326
83,123,294
32,126,166
82,123,667
69,81,188
83,115,244
84,122,410
8,139,624
20,964,831
16,1386,292
84,122,465
72,107,371
73,98,429
83,131,180
32,123,148
82,123,451
69,109,143
83,115,120
84,119,149
65,115,312
85,165,228
82,124,218
65,123,1402
85,168,161
78,123,270
8,139,676
65,114,1310
78,115,164
84,115,297
32,123,195
87,155,201
65,104,200
83,114,188
32,107,172
70,115,505
65,123,219
78,122,148
84,129,242
65,124,159
83,115,165
84,107,221
73,100,406
67,115,244
16,337,570
49,309,929
32,138,172
16,450,372
84,115,175
72,107,72
69,123,259
32,128,176
70,123,204
79,259,86
83,131,204
68,123,196
8,113,1347
68,98,196
32,139,166
87,110,284
65,115,218
83,107,228
32,140,172
70,131,353
65,108,127
66,76,716
85,119,145
83,56,321
8,1500,750
76,132,268
79,137,204
85,125,243
83,115,204
32,139,172
8,147,609
84,123,212
37,931,986
16,434,324
65,99,476
76,120,264
32,170,480
79,91,21
70,140,267
32,123,538
8,356,848
32,131,243
8,1500,701
190,107,1397
32,131,394
16,1500,542
84,115,426
72,107,364
69,124,201
32,114,270
87,115,1354
65,130,21
73,107,188
84,274,429
32,131,234
83,131,283
84,107,220
65,108,168
70,285,420
32,147,509
87,131,190
65,78,217
83,115,183
32,123,260
69,107,146
88,41,420
84,115,380
82,122,180
69,122,174
77,108,453
69,132,171
76,122,348
89,123,332
32,131,196
80,131,1244
79,107,395
76,107,785
73,130,221
84,139,183
69,107,196
32,95,194
65,114,1044
78,123,125
68,115,196
32,139,172
80,115,230
69,122,196
82,115,212
83,107,220
79,103,339
78,99,340
65,123,412
66,124,212
76,273,347
69,123,338
190,115,664
8,77,510
65,123,306
78,126,345
68,123,235
32,107,606
65,115,1291
76,102,353
8,418,564
84,99,268
72,107,134
69,131,205
89,107,175
32,123,483
87,115,1362
82,99,356
8,139,1341
69,107,156
82,91,180
69,107,88
32,138,228
65,115,373
76,99,120
87,108,448
65,117,229
89,107,243
83,123,214
32,131,231
72,123,807
65,123,208
8,144,697
87,131,462
69,115,187
65,114,308
82,100,214
73,89,241
78,113,243
71,104,172
32,144,338
65,123,451
32,123,179
83,123,220
77,108,36
73,57,324
76,99,71
87,107,195
69,136,281
8,115,651
69,107,196
190,115,962
32,137,265
16,310,434
65,123,274
78,106,385
89,133,387
84,123,1417
72,123,172
73,123,300
78,142,400
71,115,146
32,131,209
87,107,436
8,139,712
16,338,930
77,116,137
89,116,382
32,167,211
72,107,284
85,148,212
83,114,308
66,115,508
65,115,370
78,146,160
68,131,346
32,138,169
69,107,213
86,121,337
69,110,196
78,115,364
32,142,246
72,91,786
65,108,263
68,107,347
32,115,157
65,126,236
78,123,124
32,131,383
65,126,357
67,131,356
69,123,929
80,107,223
84,115,531
73,131,442
79,147,156
78,99,335
65,187,308
76,115,58
32,123,475
82,123,1174
69,142,216
86,120,334
73,107,220
69,107,372
87,131,259
32,145,204
65,122,572
66,124,347
79,211,176
85,147,179
84,267,372
32,129,342
84,106,215
72,80,146
69,142,298
8,118,747
84,123,613
72,139,310
69,123,182
32,136,148
83,140,227
84,107,234
8,1080,636
70,131,452
79,198,84
68,115,539
32,137,230
65,122,508
78,123,166
68,123,196
32,135,406
83,124,239
84,107,184
65,115,520
70,265,196
32,29,211
65,115,285
83,113,216
32,131,172
87,130,1385
69,137,387
76,123,420
16,369,975
49,823,631
32,115,420
16,1500,572
73,108,474
8,123,771
16,271,320
84,99,732
72,107,358
